energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
2.38019010,1.04862578,0.00047326,0.10731780,0.21749256,0.90801495,0.20501335,0.00310004,0.03355295,0.19128598
2.38619310,1.03352763,0.00053205,0.10454422,0.21476585,0.89922849,0.19725661,0.00353664,0.03225253,0.19108957
2.39219610,1.02164285,0.00059999,0.10206000,0.21265731,0.89371299,0.18955955,0.00404356,0.03113761,0.19143488
2.39819910,1.01396679,0.00067784,0.09995611,0.21137995,0.89235005,0.18209453,0.00462547,0.03022665,0.19253439
2.40420210,1.01143887,0.00076626,0.09831848,0.21113550,0.89596779,0.17502927,0.00528635,0.02953613,0.19458929
2.41020510,1.01490197,0.00086576,0.09722455,0.21210563,0.90530377,0.16852079,0.00602911,0.02907982,0.19778063
2.41620810,1.02506313,0.00097662,0.09673984,0.21444358,0.92096924,0.16270978,0.00685528,0.02886801,0.20226084
2.42221111,1.04245733,0.00109889,0.09691481,0.21826635,0.94341595,0.15771532,0.00776472,0.02890675,0.20814596
2.42821411,1.06741574,0.00123234,0.09778213,0.22364792,0.97290697,0.15363054,0.00875528,0.02919722,0.21550878
2.43421711,1.10003979,0.00137642,0.09935445,0.23061378,1.00949293,0.15051899,0.00982262,0.02973514,0.22437338
2.44022011,1.14018263,0.00153025,0.10162278,0.23913692,1.05299482,0.14841226,0.01096001,0.03051040,0.23471107
2.44622311,1.18743867,0.00169257,0.10455562,0.24913561,1.10299428,0.14730860,0.01215820,0.03150679,0.24643820
2.45222611,1.24114226,0.00186180,0.10809885,0.26047313,1.15883242,0.14717278,0.01340544,0.03270201,0.25941583
2.45822911,1.30037589,0.00203600,0.11217649,0.27295949,1.21961725,0.14793720,0.01468752,0.03406788,0.27345149
2.46423212,1.36398794,0.00221290,0.11669217,0.28635515,1.28424025,0.14950408,0.01598796,0.03557072,0.28830290
2.47023512,1.43061984,0.00238999,0.12153157,0.30037677,1.35140157,0.15174876,0.01728832,0.03717207,0.30368374
2.47623812,1.49874172,0.00256448,0.12656544,0.31470473,1.41964337,0.15452401,0.01856851,0.03882955,0.31927125
2.48224112,1.56669572,0.00273346,0.13165332,0.32899223,1.48739031,0.15766502,0.01980736,0.04049789,0.33471543
2.48824412,1.63274534,0.00289393,0.13664775,0.34287573,1.55299580,0.16099505,0.02098307,0.04213020,0.34964953
2.49424712,1.69512901,0.00304289,0.14139888,0.35598618,1.61479234,0.16433147,0.02207393,0.04367927,0.36370149
