energy_ev,total_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
2.89044522,4.74616186,0.23150838,0.00000000,0.21442431,0.00000000,1.43424206,4.26454329
2.89644822,4.74834217,0.23348067,0.00000000,0.21916145,0.00000000,1.44312415,4.25909155
2.90245123,4.74837507,0.23488874,0.00000000,0.22382618,0.00000000,1.45068699,4.25200182
2.90845423,4.74763124,0.23577759,0.00000000,0.22846792,0.00000000,1.45762211,4.24439674
2.91445723,4.74765865,0.23621654,0.00000000,0.23314502,0.00000000,1.46469938,4.23755854
2.92046023,4.75012012,0.23629610,0.00000000,0.23792114,0.00000000,1.47273884,4.23287754
2.92646323,4.75672121,0.23612379,0.00000000,0.24286109,0.00000000,1.48257852,4.23179169
2.93246623,4.76913124,0.23581908,0.00000000,0.24802641,0.00000000,1.49503946,4.23571968
2.93846923,4.78890080,0.23550775,0.00000000,0.25347084,0.00000000,1.51088927,4.24599028
2.94447224,4.81737916,0.23531573,0.00000000,0.25923594,0.00000000,1.53080561,4.26377111
2.95047524,4.85563553,0.23536285,0.00000000,0.26534711,0.00000000,1.55534118,4.29000010
2.95647824,4.90438776,0.23575673,0.00000000,0.27181017,0.00000000,1.58489172,4.32532289
2.96248124,4.96394215,0.23658704,0.00000000,0.27860873,0.00000000,1.61966856,4.37003946
2.96848424,5.03414753,0.23792045,0.00000000,0.28570250,0.00000000,1.65967712,4.42406258
2.97448724,5.11436616,0.23979647,0.00000000,0.29302659,0.00000000,1.70470252,4.48689071
2.98049025,5.20346365,0.24222452,0.00000000,0.30049200,0.00000000,1.75430325,4.55759702
2.98649325,5.29981883,0.24518209,0.00000000,0.30798713,0.00000000,1.80781358,4.63483559
2.99249625,5.40135416,0.24861448,0.00000000,0.31538049,0.00000000,1.86435500,4.71686542
2.99849925,5.50558599,0.25243585,0.00000000,0.32252434,0.00000000,1.92285654,4.80159155
3.00450225,5.60969334,0.25653169,0.00000000,0.32925932,0.00000000,1.98208353,4.88662245
3.01050525,5.71060280,0.26076263,0.00000000,0.33541967,0.00000000,2.04067402,4.96934148
3.01650825,5.80508664,0.26496938,0.00000000,0.34083917,0.00000000,2.09718141,5.04699017
3.02251126,5.88987046,0.26897867,0.00000000,0.34535722,0.00000000,2.15012188,5.11675995
3.02851426,5.96174614,0.27260987,0.00000000,0.34882513,0.00000000,2.19802481,5.17588896
3.03451726,6.01768570,0.27568205,0.00000000,0.35111221,0.00000000,2.23948398,5.22176011
3.04052026,6.05495155,0.27802112,0.00000000,0.35211147,0.00000000,2.27320767,5.25199637
3.04652326,6.07119868,0.27946688,0.00000000,0.35174472,0.00000000,2.29806544,5.26454964
3.05252626,6.06456455,0.27987945,0.00000000,0.34996687,0.00000000,2.31312960,5.25777941
3.05852926,6.03374323,0.27914500,0.00000000,0.34676926,0.00000000,2.31770962,5.23051822
3.06453227,5.97804063,0.27718048,0.00000000,0.34218186,0.00000000,2.31137801,5.18212116
3.07053527,5.89740883,0.27393707,0.00000000,0.33627430,0.00000000,2.29398660,5.11249755
3.07653827,5.79245811,0.26940239,0.00000000,0.32915570,0.00000000,2.26567258,5.02212360
3.08254127,5.66444651,0.26360123,0.00000000,0.32097316,0.00000000,2.22685408,4.91203570
3.08854427,5.51524739,0.25659490,0.00000000,0.31190913,0.00000000,2.17821569,4.78380475
3.09454727,5.34729678,0.24847926,0.00000000,0.30217768,0.00000000,2.12068464,4.63949284
3.10055028,5.16352264,0.23938149,0.00000000,0.29201975,0.00000000,2.05539881,4.48159410
3.10655328,4.96725921,0.22945586,0.00000000,0.28169758,0.00000000,1.98366822,4.31296236
3.11255628,4.76215003,0.21887860,0.00000000,0.27148850,0.00000000,1.90693162,4.13672860
3.11855928,4.55204332,0.20784220,0.00000000,0.26167824,0.00000000,1.82671024,3.95621138
3.12456228,4.34088402,0.19654942,0.00000000,0.25255402,0.00000000,1.74456065,3.77482380
3.13056528,4.13260616,0.18520711,0.00000000,0.24439754,0.00000000,1.66202867,3.59598039
3.13656828,3.93102947,0.17402026,0.00000000,0.23747820,0.00000000,1.58060605,3.42300704
3.14257129,3.73976345,0.16318632,0.00000000,0.23204654,0.00000000,1.50169164,3.25905707
3.14857429,3.56212182,0.15289018,0.00000000,0.22832830,0.00000000,1.42655797,3.10703579
3.15457729,3.40104949,0.14329977,0.00000000,0.22651904,0.00000000,1.35632452,2.96953563
3.16058029,3.25906360,0.13456241,0.00000000,0.22677955,0.00000000,1.29193782,2.84878321
3.16658329,3.13820966,0.12680210,0.00000000,0.22923215,0.00000000,1.23415889,2.74659936
3.17258629,3.04003297,0.12011764,0.00000000,0.23395790,0.00000000,1.18355754,2.66437229
3.17858929,2.96556503,0.11458155,0.00000000,0.24099472,0.00000000,1.14051323,2.60304382
3.18459230,2.91532415,0.11023987,0.00000000,0.25033661,0.00000000,1.10522168,2.56310802
3.19059530,2.88932906,0.10711264,0.00000000,0.26193372,0.00000000,1.07770629,2.54462125
3.19659830,2.88712389,0.10519497,0.00000000,0.27569346,0.00000000,1.05783337,2.54722234
3.20260130,2.90781280,0.10445874,0.00000000,0.29148236,0.00000000,1.04533003,2.57016143
3.20860430,2.95010244,0.10485461,0.00000000,0.30912890,0.00000000,1.03980371,2.61233576
3.21460730,3.01235017,0.10631444,0.00000000,0.32842692,0.00000000,1.04076230,2.67233091
3.22061031,3.09261638,0.10875381,0.00000000,0.34913972,0.00000000,1.04763396,2.74846572
3.22661331,3.18871899,0.11207476,0.00000000,0.37100466,0.00000000,1.05978595,2.83883951
3.23261631,3.29828862,0.11616852,0.00000000,0.39373815,0.00000000,1.07654191,2.94138005
3.23861931,3.41882303,0.12091820,0.00000000,0.41704092,0.00000000,1.09719713,3.05389109
3.24462231,3.54773965,0.12620140,0.00000000,0.44060344,0.00000000,1.12103182,3.17409849
3.25062531,3.68242524,0.13189269,0.00000000,0.46411135,0.00000000,1.14732217,3.29969391
3.25662831,3.82028194,0.13786593,0.00000000,0.48725094,0.00000000,1.17534953,3.42837558
3.26263132,3.95876924,0.14399637,0.00000000,0.50971429,0.00000000,1.20440779,3.55788553
3.26863432,4.09544141,0.15016256,0.00000000,0.53120431,0.00000000,1.23380942,3.68604301
3.27463732,4.22798042,0.15624803,0.00000000,0.55143935,0.00000000,1.26289057,3.81077399
3.28064032,4.35422410,0.16214277,0.00000000,0.57015739,0.00000000,1.29101549,3.93013656
3.28664332,4.47218978,0.16774450,0.00000000,0.58711987,0.00000000,1.31758077,4.04234241
3.29264632,4.58009352,0.17295969,0.00000000,0.60211492,0.00000000,1.34201957,4.14577441
3.29864932,4.67636505,0.17770445,0.00000000,0.61496005,0.00000000,1.36380621,4.23900053
3.30465233,4.75965880,0.18190515,0.00000000,0.62550432,0.00000000,1.38246105,4.32078422
3.31065533,4.82886116,0.18549896,0.00000000,0.63362994,0.00000000,1.39755583,4.39009149
3.31665833,4.88309421,0.18843416,0.00000000,0.63925319,0.00000000,1.40871928,4.44609484
3.32266133,4.92171622,0.19067036,0.00000000,0.64232485,0.00000000,1.41564281,4.48817432
3.32866433,4.94431903,0.19217853,0.00000000,0.64282999,0.00000000,1.41808610,4.51591574
3.33466733,4.95072255,0.19294098,0.00000000,0.64078719,0.00000000,1.41588208,4.52910638
3.34067034,4.94096658,0.19295117,0.00000000,0.63624727,0.00000000,1.40894124,4.52772818
3.34667334,4.91530014,0.19221346,0.00000000,0.62929143,0.00000000,1.39725455,4.51194874
3.35267634,4.87416844,0.19074270,0.00000000,0.62002902,0.00000000,1.38089509,4.48211028
3.35867934,4.81819790,0.18856378,0.00000000,0.60859479,0.00000000,1.36001774,4.43871668
3.36468234,4.74817924,0.18571101,0.00000000,0.59514587,0.00000000,1.33485705,4.38241905
3.37068534,4.66504920,0.18222745,0.00000000,0.57985848,0.00000000,1.30572303,4.31399991
3.37668834,4.56987099,0.17816411,0.00000000,0.56292444,0.00000000,1.27299496,4.23435648
3.38269135,4.46381409,0.17357901,0.00000000,0.54454751,0.00000000,1.23711333,4.14448318
3.38869435,4.34813349,0.16853618,0.00000000,0.52493987,0.00000000,1.19857010,4.04545404
3.39469735,4.22414908,0.16310452,0.00000000,0.50431856,0.00000000,1.15789760,3.93840496
3.40070035,4.09322534,0.15735660,0.00000000,0.48290212,0.00000000,1.11565654,3.82451648
3.40670335,3.95675176,0.15136734,0.00000000,0.46090749,0.00000000,1.07242332,3.70499713
3.41270635,3.81612430,0.14521269,0.00000000,0.43854715,0.00000000,1.02877739,3.58106773
3.41870935,3.67272816,0.13896823,0.00000000,0.41602667,0.00000000,0.98528877,3.45394677
3.42471236,3.52792194,0.13270785,0.00000000,0.39354258,0.00000000,0.94250644,3.32483691
3.43071536,3.38302333,0.12650236,0.00000000,0.37128057,0.00000000,0.90094769,3.19491281
