energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
2.81840920,1.14232254,-1.14189243,0.00610818,-0.00610605,0.10269307,-0.10266603,0.00415532,-0.00415341,0.00000000,-0.00000000,0.06647068,-0.06645678,0.02945524,-0.02944832,0.00441300,-0.00441057,0.22181498,-0.22170710
2.82441221,1.17077810,-1.17038680,0.00638349,-0.00638132,0.10404492,-0.10403131,0.00428357,-0.00428154,0.00000000,-0.00000000,0.06764968,-0.06763977,0.02999075,-0.02998749,0.00467379,-0.00467158,0.22882525,-0.22873124
2.83041521,1.19891611,-1.19856918,0.00667411,-0.00667192,0.10485934,-0.10485954,0.00442514,-0.00442301,0.00000000,-0.00000000,0.06871975,-0.06871395,0.03038122,-0.03038173,0.00492922,-0.00492724,0.23543978,-0.23536096
2.83641821,1.22634923,-1.22605159,0.00697512,-0.00697297,0.10512438,-0.10513842,0.00457755,-0.00457537,0.00000000,-0.00000000,0.06967141,-0.06966974,0.03062150,-0.03062580,0.00517686,-0.00517514,0.24156890,-0.24150636
2.84242121,1.25268333,-1.25243911,0.00728074,-0.00727867,0.10484106,-0.10486867,0.00473789,-0.00473570,0.00000000,-0.00000000,0.07049831,-0.07050069,0.03070965,-0.03071767,0.00541455,-0.00541309,0.24712772,-0.24708227
2.84842421,1.27753380,-1.27734615,0.00758447,-0.00758254,0.10402334,-0.10406394,0.00490290,-0.00490073,0.00000000,-0.00000000,0.07119797,-0.07120419,0.03064695,-0.03065855,0.00564047,-0.00563926,0.25203855,-0.25201072
2.85442721,1.30054310,-1.30041407,0.00787937,-0.00787765,0.10269758,-0.10275033,0.00506906,-0.00506697,0.00000000,-0.00000000,0.07177248,-0.07178221,0.03043783,-0.03045281,0.00585329,-0.00585232,0.25623344,-0.25622345
2.86043022,1.32139910,-1.32132948,0.00815826,-0.00815680,0.10090175,-0.10096554,0.00523279,-0.00523082,0.00000000,-0.00000000,0.07222915,-0.07224197,0.03008974,-0.03010781,0.00605228,-0.00605153,0.25965659,-0.25966434
2.86643322,1.33985319,-1.33984241,0.00841398,-0.00841284,0.09868429,-0.09875782,0.00539053,-0.00538872,0.00000000,-0.00000000,0.07258111,-0.07259647,0.02961287,-0.02963370,0.00623740,-0.00623684,0.26226668,-0.26229174
2.87243622,1.35573744,-1.35578349,0.00863970,-0.00863893,0.09610277,-0.09618454,0.00553891,-0.00553730,0.00000000,-0.00000000,0.07284774,-0.07286498,0.02901987,-0.02904309,0.00640949,-0.00640906,0.26403898,-0.26408062
2.87843922,1.36897993,-1.36907927,0.00882917,-0.00882881,0.09322228,-0.09331068,0.00567491,-0.00567354,0.00000000,-0.00000000,0.07305499,-0.07307338,0.02832552,-0.02835071,0.00657027,-0.00656993,0.26496710,-0.26502427
2.88444222,1.37961726,-1.37976485,0.00897695,-0.00897704,0.09011381,-0.09020713,0.00579598,-0.00579486,0.00000000,-0.00000000,0.07323551,-0.07325420,0.02754628,-0.02757300,0.00672253,-0.00672220,0.26506441,-0.26513578
2.89044522,1.38780350,-1.38799278,0.00907871,-0.00907927,0.08685244,-0.08694894,0.00590016,-0.00589932,0.00000000,-0.00000000,0.07342853,-0.07344660,0.02669989,-0.02672770,0.00687014,-0.00686972,0.26436485,-0.26444880
2.89644822,1.39381485,-1.39403782,0.00913133,-0.00913237,0.08351567,-0.08361360,0.00598620,-0.00598564,0.00000000,-0.00000000,0.07367957,-0.07369606,0.02580495,-0.02583340,0.00701809,-0.00701750,0.26292318,-0.26301786
