energy_ev,total_up,Bi_p_up,Bi_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-4.63731866,1.76025689,0.26133776,0.01396322,0.19313061,1.42867586,0.02121917,0.12579330
-4.63131566,1.78996612,0.26890995,0.01424757,0.19587235,1.45568083,0.02216764,0.12356841
-4.62531266,1.81831883,0.27601875,0.01450454,0.19831226,1.48172811,0.02315142,0.12114600
-4.61930965,1.84473802,0.28257362,0.01472778,0.20038881,1.50632276,0.02415429,0.11855108
-4.61330665,1.86868412,0.28848807,0.01491143,0.20204593,1.52899775,0.02515900,0.11581515
-4.60730365,1.88966047,0.29368097,0.01505013,0.20323395,1.54931903,0.02614779,0.11297441
-4.60130065,1.90721977,0.29807805,0.01513919,0.20391059,1.56689156,0.02710276,0.11006802
-4.59529765,1.92097170,0.30161355,0.01517461,0.20404213,1.58136621,0.02800644,0.10713643
-4.58929465,1.93059145,0.30423201,0.01515323,0.20360455,1.59244752,0.02884224,0.10421991
-4.58329165,1.93582884,0.30588998,0.01507279,0.20258463,1.59990195,0.02959493,0.10135725
-4.57728864,1.93651764,0.30655776,0.01493203,0.20098099,1.60356619,0.03025112,0.09858483
-4.57128564,1.93258446,0.30622095,0.01473074,0.19880484,1.60335514,0.03079967,0.09593596
-4.56528264,1.92405657,0.30488169,0.01446981,0.19608055,1.59926891,0.03123205,0.09344059
-4.55927964,1.91106798,0.30255967,0.01415128,0.19284572,1.59139837,0.03154266,0.09112520
-4.55327664,1.89386327,0.29929259,0.01377827,0.18915098,1.57992874,0.03172903,0.08901311
-4.54727364,1.87279850,0.29513627,0.01335499,0.18505927,1.56514058,0.03179193,0.08712482
-4.54127064,1.84833878,0.29016412,0.01288664,0.18064468,1.54740815,0.03173549,0.08547856
-4.53526763,1.82105235,0.28446618,0.01237932,0.17599090,1.52719458,0.03156702,0.08409085
-4.52926463,1.79160092,0.27814754,0.01183988,0.17118924,1.50504396,0.03129693,0.08297710
-4.52326163,1.76072643,0.27132635,0.01127575,0.16633634,1.48157035,0.03093844,0.08215197
-4.51725863,1.72923446,0.26413133,0.01069480,0.16153169,1.45744397,0.03050723,0.08162975
-4.51125563,1.69797470,0.25669895,0.01010514,0.15687493,1.43337482,0.03002099,0.08142441
-4.50525263,1.66781913,0.24917030,0.00951488,0.15246316,1.41009433,0.02949893,0.08154950
-4.49924962,1.63963853,0.24168785,0.00893200,0.14838830,1.38833561,0.02896121,0.08201777
-4.49324662,1.61427815,0.23439207,0.00836411,0.14473461,1.36881289,0.02842836,0.08284065
-4.48724362,1.59253339,0.22741812,0.00781833,0.14157649,1.35220095,0.02792061,0.08402743
-4.48124062,1.57512635,0.22089267,0.00730110,0.13897653,1.33911524,0.02745734,0.08558443
-4.47523762,1.56268411,0.21493099,0.00681803,0.13698408,1.33009336,0.02705645,0.08751396
-4.46923462,1.55571954,0.20963434,0.00637388,0.13563412,1.32557867,0.02673378,0.08981336
-4.46323162,1.55461522,0.20508771,0.00597240,0.13494668,1.32590649,0.02650271,0.09247404
-4.45722861,1.55961132,0.20135812,0.00561634,0.13492667,1.33129354,0.02637366,0.09548065
-4.45122561,1.57079760,0.19849334,0.00530742,0.13556419,1.34183084,0.02635383,0.09881043
-4.44522261,1.58810998,0.19652110,0.00504632,0.13683524,1.35748045,0.02644703,0.10243285
-4.43921961,1.61133186,0.19544894,0.00483278,0.13870283,1.37807613,0.02665356,0.10630946
-4.43321661,1.64009993,0.19526448,0.00466561,0.14111839,1.40332785,0.02697029,0.11039410
-4.42721361,1.67391447,0.19593624,0.00454280,0.14402348,1.43282999,0.02739082,0.11463347
-4.42121061,1.71215373,0.19741487,0.00446162,0.14735164,1.46607299,0.02790583,0.11896791
-4.41520760,1.75409170,0.19963488,0.00441871,0.15103046,1.50245793,0.02850342,0.12333264
-4.40920460,1.79891891,0.20251667,0.00441025,0.15498359,1.54131356,0.02916966,0.12765910
-4.40320160,1.84576525,0.20596878,0.00443205,0.15913284,1.58191518,0.02988916,0.13187666
-4.39719860,1.89372417,0.20989055,0.00447966,0.16340017,1.62350470,0.03064568,0.13591435
-4.39119560,1.94187739,0.21417470,0.00454855,0.16770951,1.66531111,0.03142281,0.13970277
-4.38519260,1.98931914,0.21871008,0.00463419,0.17198842,1.70657073,0.03220457,0.14317593
-4.37918959,2.03517933,0.22338442,0.00473215,0.17616955,1.74654665,0.03297606,0.14627309
-4.37318659,2.07864474,0.22808690,0.00483823,0.18019176,1.78454649,0.03372396,0.14894038
-4.36718359,2.11897758,0.23271061,0.00494851,0.18400098,1.81993821,0.03443702,0.15113232
-4.36118059,2.15553102,0.23715477,0.00505943,0.18755082,1.85216342,0.03510635,0.15281299
-4.35517759,2.18776116,0.24132661,0.00516784,0.19080282,1.88074782,0.03572568,0.15395692
-4.34917459,2.21523535,0.24514301,0.00527106,0.19372641,1.90530867,0.03629139,0.15454965
-4.34317159,2.23763667,0.24853170,0.00536683,0.19629869,1.92555925,0.03680249,0.15458796
-4.33716858,2.25476484,0.25143217,0.00545339,0.19850390,1.94131030,0.03726036,0.15407972
-4.33116558,2.26653368,0.25379614,0.00552945,0.20033276,1.95246868,0.03766849,0.15304342
-4.32516258,2.27296564,0.25558773,0.00559415,0.20178172,1.95903368,0.03803202,0.15150740
-4.31915958,2.27418384,0.25678330,0.00564705,0.20285208,1.96109117,0.03835723,0.14950884
