energy_ev,total_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-4.83541771,0.95155313,0.32209098,0.03382249,0.17813517,0.16937880,0.18969969,0.00000000
-4.82941471,0.92180098,0.30724209,0.03306925,0.17152285,0.16219606,0.18846527,0.00000000
-4.82341171,0.89104717,0.29275442,0.03234810,0.16421967,0.15458429,0.18763820,0.00000000
-4.81740870,0.85960272,0.27874269,0.03165769,0.15630678,0.14665783,0.18718171,0.00000000
-4.81140570,0.82778597,0.26531126,0.03099755,0.14788049,0.13854365,0.18704625,0.00000000
-4.80540270,0.79591618,0.25255372,0.03036828,0.13904846,0.13037904,0.18717113,0.00000000
-4.79939970,0.76430759,0.24055286,0.02977170,0.12992575,0.12230914,0.18748640,0.00000000
-4.79339670,0.73326401,0.22938082,0.02921099,0.12063073,0.11448444,0.18791501,0.00000000
-4.78739370,0.70307434,0.21909969,0.02869079,0.11128129,0.10705838,0.18837503,0.00000000
-4.78139070,0.67400912,0.20976233,0.02821731,0.10199127,0.10018507,0.18878208,0.00000000
-4.77538769,0.64631824,0.20141342,0.02779830,0.09286734,0.09401729,0.18905169,0.00000000
-4.76938469,0.62022987,0.19409077,0.02744313,0.08400648,0.08870462,0.18910173,0.00000000
-4.76338169,0.59595030,0.18782666,0.02716275,0.07549397,0.08439188,0.18885475,0.00000000
-4.75737869,0.57366481,0.18264926,0.02696955,0.06740209,0.08121772,0.18824016,0.00000000
-4.75137569,0.55353909,0.17858390,0.02687729,0.05978942,0.07931329,0.18719620,0.00000000
-4.74537269,0.53572105,0.17565410,0.02690084,0.05270064,0.07880095,0.18567173,0.00000000
-4.73936968,0.52034266,0.17388238,0.02705592,0.04616702,0.07979304,0.18362758,0.00000000
-4.73336668,0.50752161,0.17329056,0.02735872,0.04020719,0.08239039,0.18103768,0.00000000
-4.72736368,0.49736235,0.17389962,0.02782552,0.03482842,0.08668072,0.17788974,0.00000000
-4.72136068,0.48995657,0.17572902,0.02847212,0.03002806,0.09273688,0.17418551,0.00000000
-4.71535768,0.48538267,0.17879550,0.02931333,0.02579518,0.10061484,0.16994068,0.00000000
-4.70935468,0.48370447,0.18311137,0.03036234,0.02211236,0.11035150,0.16518430,0.00000000
-4.70335168,0.48496896,0.18868239,0.03163014,0.01895730,0.12196247,0.15995790,0.00000000
-4.69734867,0.48920347,0.19550531,0.03312486,0.01630457,0.13543987,0.15431416,0.00000000
-4.69134567,0.49641224,0.20356529,0.03485121,0.01412699,0.15075033,0.14831533,0.00000000
-4.68534267,0.50657289,0.21283335,0.03681000,0.01239699,0.16783333,0.14203142,0.00000000
-4.67933967,0.51963301,0.22326398,0.03899776,0.01108763,0.18660014,0.13553812,0.00000000
-4.67333667,0.53550727,0.23479325,0.04140640,0.01017339,0.20693340,0.12891475,0.00000000
-4.66733367,0.55407541,0.24733749,0.04402323,0.00963074,0.22868772,0.12224203,0.00000000
-4.66133067,0.57518141,0.26079272,0.04683096,0.00943841,0.25169111,0.11560003,0.00000000
-4.65532766,0.59863400,0.27503509,0.04980803,0.00957738,0.27574765,0.10906617,0.00000000
-4.64932466,0.62420887,0.28992216,0.05292910,0.01003074,0.30064112,0.10271340,0.00000000
-4.64332166,0.65165228,0.30529527,0.05616566,0.01078324,0.32613974,0.09660867,0.00000000
-4.63731866,0.68068635,0.32098284,0.05948692,0.01182077,0.35200166,0.09081160,0.00000000
-4.63131566,0.71101545,0.33680443,0.06286070,0.01312967,0.37798127,0.08537353,0.00000000
-4.62531266,0.74233373,0.35257549,0.06625452,0.01469598,0.40383580,0.08033681,0.00000000
-4.61930965,0.77433306,0.36811251,0.06963658,0.01650466,0.42933202,0.07573441,0.00000000
-4.61330665,0.80671115,0.38323825,0.07297688,0.01853885,0.45425271,0.07158986,0.00000000
-4.60730365,0.83917925,0.39778686,0.07624806,0.02077918,0.47840245,0.06791740,0.00000000
