energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
4.49924962,1.11808471,0.00074753,0.03722802,0.17125001,0.08544262,0.02067928,0.19234770,0.06364654,0.87468669
4.50525263,1.08530383,0.00063228,0.03701826,0.16918876,0.08254412,0.02068547,0.18391801,0.06309550,0.85019830
4.51125563,1.05554170,0.00054290,0.03678771,0.16694263,0.07963286,0.02080226,0.17559265,0.06314224,0.82876749
4.51725863,1.02858912,0.00047457,0.03652999,0.16449621,0.07671322,0.02100405,0.16742316,0.06371812,0.81015572
4.52326163,1.00427050,0.00042319,0.03624050,0.16185441,0.07379291,0.02126517,0.15946655,0.06476267,0.79414515
4.52926463,0.98244457,0.00038521,0.03591636,0.15903962,0.07088244,0.02156033,0.15178392,0.06622401,0.78054148
4.53526763,0.96300526,0.00035767,0.03555632,0.15608874,0.06799449,0.02186519,0.14443885,0.06805935,0.76917718
4.54127064,0.94588235,0.00033812,0.03516067,0.15305003,0.06514327,0.02215685,0.13749573,0.07023537,0.75991454
4.54727364,0.93104180,0.00032453,0.03473113,0.14998004,0.06234404,0.02241451,0.13101812,0.07272859,0.75264845
4.55327664,0.91848567,0.00031529,0.03427074,0.14694065,0.05961255,0.02261996,0.12506707,0.07552548,0.74730859
4.55927964,0.90825116,0.00030916,0.03378380,0.14399629,0.05696466,0.02275815,0.11969960,0.07862250,0.74386063
4.56528264,0.90040884,0.00030518,0.03327575,0.14121137,0.05441591,0.02281769,0.11496731,0.08202584,0.74230627
4.57128564,0.89505972,0.00030272,0.03275303,0.13864806,0.05198133,0.02279118,0.11091517,0.08575098,0.74268193
4.57728864,0.89233112,0.00030140,0.03222304,0.13636429,0.04967517,0.02267559,0.10758055,0.08982187,0.74505590
4.58329165,0.89237145,0.00030108,0.03169391,0.13441213,0.04751081,0.02247236,0.10499246,0.09427001,0.74952402
4.58929465,0.89534389,0.00030185,0.03117446,0.13283649,0.04550066,0.02218749,0.10317109,0.09913318,0.75620401
4.59529765,0.90141923,0.00030402,0.03067399,0.13167416,0.04365616,0.02183147,0.10212759,0.10445412,0.76522861
4.60130065,0.91076831,0.00030810,0.03020210,0.13095316,0.04198781,0.02141906,0.10186418,0.11027900,0.77673796
4.60730365,0.92355425,0.00031484,0.02976861,0.13069249,0.04050522,0.02096895,0.10237453,0.11665598,0.79087155
4.61330665,0.93992507,0.00032515,0.02938333,0.13090223,0.03921723,0.02050333,0.10364438,0.12363376,0.80776022
4.61930965,0.96000705,0.00034021,0.02905595,0.13158392,0.03813199,0.02004737,0.10565245,0.13126031,0.82751873
4.62531266,0.98389927,0.00036137,0.02879592,0.13273130,0.03725715,0.01962853,0.10837164,0.13958186,0.85023920
4.63131566,1.01166962,0.00039021,0.02861235,0.13433144,0.03659994,0.01927591,0.11177029,0.14864208,0.87598592
