energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
3.50275138,3.22377436,0.10683145,0.66695281,1.55451023,0.01261929,1.93879594,0.97708290,0.19441433,0.65235920
3.50875438,3.21967064,0.10383924,0.66843742,1.60074973,0.01251724,1.92207039,0.96854109,0.19491061,0.64793837
3.51475738,3.22144450,0.10124564,0.67147715,1.64794858,0.01243221,1.90386353,0.96333780,0.19571905,0.64463388
3.52076038,3.22860730,0.09903785,0.67613216,1.69522597,0.01236115,1.88385691,0.96138856,0.19679448,0.64238585
3.52676338,3.24061748,0.09719896,0.68245065,1.74167252,0.01230112,1.86179006,0.96256831,0.19808838,0.64112834
3.53276638,3.25690371,0.09570904,0.69046662,1.78638053,0.01224941,1.83747672,0.96671764,0.19955088,0.64079231
3.53876938,3.27688622,0.09454632,0.70019712,1.82847485,0.01220364,1.81081720,0.97364904,0.20113264,0.64130810
3.54477239,3.29999510,0.09368822,0.71163896,1.86714273,0.01216188,1.78180617,0.98315262,0.20278667,0.64260723
3.55077539,3.32568529,0.09311237,0.72476522,1.90166160,0.01212269,1.75053561,0.99500126,0.20446984,0.64462347
3.55677839,3.35344755,0.09279746,0.73952163,1.93142330,0.01208517,1.71719284,1.00895505,0.20614410,0.64729342
3.56278139,3.38281552,0.09272385,0.75582327,1.95595398,0.01204895,1.68205385,1.02476499,0.20777741,0.65055647
3.56878439,3.41336908,0.09287404,0.77355175,1.97492861,0.01201418,1.64547242,1.04217606,0.20934427,0.65435442
3.57478739,3.44473436,0.09323296,0.79255333,1.98817977,0.01198150,1.60786579,1.06092960,0.21082591,0.65863076
3.58079040,3.47658129,0.09378798,0.81263813,1.99570034,0.01195193,1.56969777,1.08076547,0.21221013,0.66332998
3.58679340,3.50861924,0.09452880,0.83358087,1.99764018,0.01192686,1.53146028,1.10142393,0.21349081,0.66839677
3.59279640,3.54059184,0.09544720,0.85512320,1.99429723,0.01190790,1.49365446,1.12264759,0.21466719,0.67377547
3.59879940,3.57227179,0.09653662,0.87697774,1.98610353,0.01189680,1.45677238,1.14418356,0.21574295,0.67940983
3.60480240,3.60345639,0.09779175,0.89883384,1.97360715,0.01189534,1.42128034,1.16578598,0.21672518,0.68524312
3.61080540,3.63396447,0.09920803,0.92036497,1.95745080,0.01190528,1.38760462,1.18721898,0.21762330,0.69121858
3.61680840,3.66363513,0.10078126,0.94123739,1.93834854,0.01192820,1.35612035,1.20826003,0.21844805,0.69728043
3.62281141,3.69232848,0.10250715,0.96111991,1.91706132,0.01196548,1.32714398,1.22870375,0.21921061,0.70337510
3.62881441,3.71992824,0.10438108,0.97969422,1.89437270,0.01201824,1.30092942,1.24836577,0.21992185,0.70945285
3.63481741,3.74634597,0.10639785,0.99666530,1.87106561,0.01208727,1.27766799,1.26708673,0.22059180,0.71546948
