energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
3.16658329,2.84559343,0.53108443,0.15300481,0.08660792,0.34591772,0.15053618,0.32704222,0.84134475,1.97712980
3.17258629,2.82498354,0.52450547,0.15301632,0.07929658,0.35044757,0.15676703,0.31934721,0.85596372,1.95773265
3.17858929,2.79962496,0.51897781,0.15272820,0.07275770,0.35367825,0.16304225,0.31093880,0.86915141,1.93268869
3.18459230,2.76924497,0.51439049,0.15213074,0.06693068,0.35558691,0.16924923,0.30189679,0.88067277,1.90203379
3.19059530,2.73373986,0.51064989,0.15122391,0.06174954,0.35618677,0.17527697,0.29231412,0.89034314,1.86594756
3.19659830,2.69317542,0.50768326,0.15001693,0.05714563,0.35552593,0.18101885,0.28229403,0.89803131,1.82474628
3.20260130,2.64778071,0.50544061,0.14852772,0.05305002,0.35368482,0.18637499,0.27194701,0.90366059,1.77887090
3.20860430,2.59793561,0.50389501,0.14678193,0.04939556,0.35077269,0.19125452,0.26138782,0.90720789,1.72887084
3.21460730,2.54415317,0.50304124,0.14481197,0.04611854,0.34692310,0.19557741,0.25073250,0.90870097,1.67538432
3.22061031,2.48705761,0.50289295,0.14265576,0.04316005,0.34228874,0.19927593,0.24009561,0.90821406,1.61911643
3.22661331,2.42735941,0.50347845,0.14035538,0.04046690,0.33703568,0.20229579,0.22958765,0.90586207,1.56081590
3.23261631,2.36582835,0.50483545,0.13795570,0.03799236,0.33133739,0.20459668,0.21931283,0.90179378,1.50125149
3.23861931,2.30326609,0.50700498,0.13550297,0.03569643,0.32536869,0.20615255,0.20936721,0.89618417,1.44118919
3.24462231,2.24047917,0.51002496,0.13304343,0.03354601,0.31929990,0.20695136,0.19983715,0.88922638,1.38137090
3.25062531,2.17825370,0.51392363,0.13062202,0.03151477,0.31329138,0.20699449,0.19079822,0.88112360,1.32249546
3.25662831,2.11733255,0.51871346,0.12828121,0.02958288,0.30748867,0.20629580,0.18231447,0.87208118,1.26520247
3.26263132,2.05839591,0.52438575,0.12605994,0.02773661,0.30201833,0.20488048,0.17443813,0.86229940,1.21005946
3.26863432,2.00204571,0.53090633,0.12399286,0.02596782,0.29698477,0.20278360,0.16720964,0.85196699,1.15755249
3.27463732,1.94879444,0.53821275,0.12210971,0.02427336,0.29246790,0.20004868,0.16065801,0.84125598,1.10808026
3.28064032,1.89905838,0.54621302,0.12043496,0.02265454,0.28852185,0.19672606,0.15480155,0.83031767,1.06195169
3.28664332,1.85315543,0.55478630,0.11898779,0.02111642,0.28517474,0.19287147,0.14964878,0.81928023,1.01938668
3.29264632,1.81130708,0.56378533,0.11778216,0.01966724,0.28242935,0.18854454,0.14519956,0.80824774,0.98051963
3.29864932,1.77364443,0.57304080,0.11682731,0.01831780,0.28026472,0.18380759,0.14144641,0.79730083,0.94540536
3.30465233,1.74021730,0.58236725,0.11612832,0.01708091,0.27863857,0.17872447,0.13837592,0.78649865,0.91402694
3.31065533,1.71100615,0.59157049,0.11568688,0.01597078,0.27749032,0.17335975,0.13597009,0.77588216,0.88630474
3.31665833,1.68593560,0.60045596,0.11550226,0.01500257,0.27674473,0.16777794,0.13420779,0.76547839,0.86210634
3.32266133,1.66488890,0.60883775,0.11557215,0.01419184,0.27631572,0.16204307,0.13306601,0.75530539,0.84125664
3.32866433,1.64772240,0.61654766,0.11589368,0.01355410,0.27611047,0.15621827,0.13252100,0.74537751,0.82354787
3.33466733,1.63427902,0.62344388,0.11646415,0.01310440,0.27603348,0.15036558,0.13254927,0.73571053,0.80874886
3.34067034,1.62440007,0.62941875,0.11728180,0.01285682,0.27599037,0.14454578,0.13312825,0.72632648,0.79661350
3.34667334,1.61793464,0.63440504,0.11834613,0.01282409,0.27589149,0.13881823,0.13423683,0.71725745,0.78688802
