energy_ev,total_up,Bi_p_up,Bi_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-5.16558279,1.49796306,0.01441521,0.02182237,0.18688995,1.22389808,0.57599123,0.00000000
-5.15957979,1.47760917,0.01361148,0.02165783,0.18358467,1.20848347,0.56971597,0.00000000
-5.15357679,1.45558210,0.01302397,0.02145086,0.18010657,1.19135286,0.56211012,0.00000000
-5.14757379,1.43155295,0.01265830,0.02119633,0.17641426,1.17222172,0.55303787,0.00000000
-5.14157079,1.40532364,0.01251807,0.02089121,0.17248380,1.15091335,0.54242168,0.00000000
-5.13556778,1.37684027,0.01260493,0.02053476,0.16831062,1.12736951,0.53024773,0.00000000
-5.12956478,1.34619830,0.01291866,0.02012854,0.16391051,1.10165453,0.51656832,0.00000000
-5.12356178,1.31363941,0.01345709,0.01967631,0.15931949,1.07395253,0.50150094,0.00000000
-5.11755878,1.27954020,0.01421597,0.01918386,0.15459259,1.04455835,0.48522423,0.00000000
-5.11155578,1.24439368,0.01518882,0.01865864,0.14980174,1.01386249,0.46797109,0.00000000
-5.10555278,1.20878459,0.01636665,0.01810944,0.14503274,0.98233137,0.45001926,0.00000000
-5.09954977,1.17336008,0.01773771,0.01754591,0.14038148,0.95048381,0.43168005,0.00000000
-5.09354677,1.13879726,0.01928723,0.01697805,0.13594977,0.91886527,0.41328558,0.00000000
-5.08754377,1.10576965,0.02099723,0.01641579,0.13184074,0.88802118,0.39517538,0.00000000
-5.08154077,1.07491402,0.02284640,0.01586849,0.12815420,0.85847091,0.37768287,0.00000000
-5.07553777,1.04679955,0.02481003,0.01534448,0.12498214,0.83068358,0.36112234,0.00000000
-5.06953477,1.02190071,0.02686019,0.01485078,0.12240446,0.80505709,0.34577701,0.00000000
-5.06353177,1.00057514,0.02896595,0.01439275,0.12048528,0.78190117,0.33188873,0.00000000
-5.05752876,0.98304761,0.03109387,0.01397395,0.11926982,0.76142531,0.31964949,0.00000000
-5.05152576,0.96940049,0.03320859,0.01359605,0.11878210,0.74373193,0.30919532,0.00000000
-5.04552276,0.95957126,0.03527358,0.01325884,0.11902341,0.72881504,0.30060246,0.00000000
-5.03951976,0.95335682,0.03725212,0.01296033,0.11997178,0.71656412,0.29388611,0.00000000
-5.03351676,0.95042431,0.03910831,0.01269698,0.12158230,0.70677300,0.28900154,0.00000000
-5.02751376,0.95032770,0.04080814,0.01246394,0.12378832,0.69915299,0.28584756,0.00000000
-5.02151076,0.95252933,0.04232072,0.01225539,0.12650357,0.69334957,0.28427201,0.00000000
-5.01550775,0.95642525,0.04361933,0.01206489,0.12962500,0.68896161,0.28407914,0.00000000
-5.00950475,0.96137311,0.04468249,0.01188577,0.13303625,0.68556219,0.28503844,0.00000000
-5.00350175,0.96672139,0.04549496,0.01171148,0.13661171,0.68272004,0.28689452,0.00000000
-4.99749875,0.97183863,0.04604843,0.01153597,0.14022094,0.68002047,0.28937781,0.00000000
-4.99149575,0.97614141,0.04634212,0.01135400,0.14373327,0.67708490,0.29221548,0.00000000
-4.98549275,0.97911995,0.04638313,0.01116138,0.14702247,0.67358822,0.29514229,0.00000000
-4.97948974,0.98036036,0.04618646,0.01095519,0.14997134,0.66927325,0.29791105,0.00000000
-4.97348674,0.97956266,0.04577486,0.01073390,0.15247593,0.66396168,0.30030208,0.00000000
-4.96748374,0.97655390,0.04517832,0.01049746,0.15444938,0.65756128,0.30213171,0.00000000
-4.96148074,0.97129608,0.04443337,0.01024725,0.15582507,0.65006904,0.30325918,0.00000000
-4.95547774,0.96388853,0.04358217,0.00998602,0.15655920,0.64157036,0.30359200,0.00000000
-4.94947474,0.95456482,0.04267130,0.00971774,0.15663238,0.63223434,0.30308945,0.00000000
-4.94347174,0.94368441,0.04175057,0.00944742,0.15605053,0.62230553,0.30176418,0.00000000
-4.93746873,0.93171943,0.04087154,0.00918088,0.15484472,0.61209248,0.29968186,0.00000000
-4.93146573,0.91923718,0.04008615,0.00892445,0.15307025,0.60195385,0.29695889,0.00000000
-4.92546273,0.90687903,0.03944524,0.00868472,0.15080474,0.59228238,0.29375832,0.00000000
-4.91945973,0.89533659,0.03899713,0.00846824,0.14814558,0.58348772,0.29028410,0.00000000
-4.91345673,0.88532597,0.03878632,0.00828125,0.14520655,0.57597857,0.28677382,0.00000000
-4.90745373,0.87756111,0.03885226,0.00812939,0.14211401,0.57014500,0.28349031,0.00000000
-4.90145073,0.87272715,0.03922833,0.00801750,0.13900256,0.56634158,0.28071226,0.00000000
-4.89544772,0.87145468,0.03994094,0.00794939,0.13601055,0.56487191,0.27872420,0.00000000
-4.88944472,0.87429573,0.04100881,0.00792767,0.13327539,0.56597515,0.27780619,0.00000000
-4.88344172,0.88170235,0.04244253,0.00795370,0.13092898,0.56981502,0.27822356,0.00000000
-4.87743872,0.89400834,0.04424424,0.00802744,0.12909328,0.57647165,0.28021688,0.00000000
