energy_ev,total_up,Ge_p_up,Ge_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
2.51825913,1.05610924,0.30522762,0.00000000,0.75727389,0.26709698,0.38752248,0.00000000
2.52426213,1.03754583,0.30027515,0.00000000,0.74331820,0.26435332,0.37554806,0.00000000
2.53026513,1.01510584,0.29406588,0.00000000,0.72648519,0.26028742,0.36301172,0.00000000
2.53626813,0.98900247,0.28667284,0.00000000,0.70695967,0.25494486,0.35001345,0.00000000
2.54227114,0.95952434,0.27819216,0.00000000,0.68497741,0.24839385,0.33667081,0.00000000
2.54827414,0.92702582,0.26873967,0.00000000,0.66081716,0.24072300,0.32311584,0.00000000
2.55427714,0.89191562,0.25844711,0.00000000,0.63479174,0.23203856,0.30949152,0.00000000
2.56028014,0.85464437,0.24745808,0.00000000,0.60723863,0.22246136,0.29594778,0.00000000
2.56628314,0.81569155,0.23592388,0.00000000,0.57851025,0.21212351,0.28263736,0.00000000
2.57228614,0.77555234,0.22399942,0.00000000,0.54896451,0.20116499,0.26971164,0.00000000
2.57828914,0.73472472,0.21183922,0.00000000,0.51895578,0.18973021,0.25731667,0.00000000
2.58429215,0.69369740,0.19959378,0.00000000,0.48882655,0.17796465,0.24558948,0.00000000
2.59029515,0.65293881,0.18740625,0.00000000,0.45890018,0.16601174,0.23465496,0.00000000
2.59629815,0.61288754,0.17540962,0.00000000,0.42947471,0.15400993,0.22462327,0.00000000
2.60230115,0.57394442,0.16372434,0.00000000,0.40081800,0.14209015,0.21558789,0.00000000
2.60830415,0.53646640,0.15245654,0.00000000,0.37316421,0.13037367,0.20762454,0.00000000
2.61430715,0.50076229,0.14169678,0.00000000,0.34671164,0.11897026,0.20079069,0.00000000
2.62031016,0.46709047,0.13151935,0.00000000,0.32162193,0.10797697,0.19512593,0.00000000
2.62631316,0.43565838,0.12198211,0.00000000,0.29802045,0.09747725,0.19065303,0.00000000
2.63231616,0.40662373,0.11312676,0.00000000,0.27599790,0.08754049,0.18737959,0.00000000
2.63831916,0.38009721,0.10497963,0.00000000,0.25561284,0.07822204,0.18530032,0.00000000
2.64432216,0.35614659,0.09755277,0.00000000,0.23689496,0.06956355,0.18439966,0.00000000
2.65032516,0.33480170,0.09084539,0.00000000,0.21984904,0.06159369,0.18465477,0.00000000
2.65632816,0.31606026,0.08484551,0.00000000,0.20445919,0.05432904,0.18603862,0.00000000
2.66233117,0.29989402,0.07953173,0.00000000,0.19069333,0.04777535,0.18852306,0.00000000
2.66833417,0.28625501,0.07487514,0.00000000,0.17850754,0.04192874,0.19208168,0.00000000
2.67433717,0.27508158,0.07084117,0.00000000,0.16785020,0.03677720,0.19669233,0.00000000
2.68034017,0.26630384,0.06739139,0.00000000,0.15866578,0.03230190,0.20233911,0.00000000
2.68634317,0.25984838,0.06448516,0.00000000,0.15089795,0.02847864,0.20901365,0.00000000
2.69234617,0.25564192,0.06208114,0.00000000,0.14449214,0.02527908,0.21671560,0.00000000
2.69834917,0.25361387,0.06013850,0.00000000,0.13939733,0.02267194,0.22545229,0.00000000
2.70435218,0.25369761,0.05861793,0.00000000,0.13556705,0.02062394,0.23523736,0.00000000
2.71035518,0.25583049,0.05748236,0.00000000,0.13295974,0.01910066,0.24608857,0.00000000
2.71635818,0.25995266,0.05669744,0.00000000,0.13153839,0.01806716,0.25802464,0.00000000
2.72236118,0.26600482,0.05623172,0.00000000,0.13126958,0.01748845,0.27106146,0.00000000
2.72836418,0.27392510,0.05605665,0.00000000,0.13212219,0.01732974,0.28520760,0.00000000
2.73436718,0.28364535,0.05614636,0.00000000,0.13406572,0.01755661,0.30045961,0.00000000
2.74037019,0.29508718,0.05647734,0.00000000,0.13706866,0.01813503,0.31679712,0.00000000
2.74637319,0.30815798,0.05702799,0.00000000,0.14109682,0.01903135,0.33417830,0.00000000
2.75237619,0.32274750,0.05777818,0.00000000,0.14611204,0.02021218,0.35253586,0.00000000
2.75837919,0.33872513,0.05870884,0.00000000,0.15207137,0.02164437,0.37177390,0.00000000
2.76438219,0.35593833,0.05980158,0.00000000,0.15892668,0.02329494,0.39176604,0.00000000
2.77038519,0.37421240,0.06103849,0.00000000,0.16662518,0.02513117,0.41235492,0.00000000
2.77638819,0.39335191,0.06240207,0.00000000,0.17511049,0.02712071,0.43335343,0.00000000
2.78239120,0.41314366,0.06387538,0.00000000,0.18432455,0.02923185,0.45454761,0.00000000
2.78839420,0.43336139,0.06544228,0.00000000,0.19421017,0.03143390,0.47570127,0.00000000
2.79439720,0.45377194,0.06708791,0.00000000,0.20471410,0.03369764,0.49656233,0.00000000
2.80040020,0.47414273,0.06879930,0.00000000,0.21579052,0.03599594,0.51687047,0.00000000
2.80640320,0.49425007,0.07056606,0.00000000,0.22740460,0.03830434,0.53636586,0.00000000
2.81240620,0.51388797,0.07238106,0.00000000,0.23953598,0.04060171,0.55479857,0.00000000
2.81840920,0.53287693,0.07424120,0.00000000,0.25218178,0.04287087,0.57193813,0.00000000
2.82441221,0.55107206,0.07614792,0.00000000,0.26535892,0.04509914,0.58758267,0.00000000
2.83041521,0.56837010,0.07810765,0.00000000,0.27910545,0.04727875,0.60156729,0.00000000
2.83641821,0.58471473,0.08013201,0.00000000,0.29348061,0.04940711,0.61377091,0.00000000
2.84242121,0.60009978,0.08223765,0.00000000,0.30856347,0.05148685,0.62412136,0.00000000
2.84842421,0.61457004,0.08444587,0.00000000,0.32445006,0.05352562,0.63259823,0.00000000
2.85442721,0.62821935,0.08678178,0.00000000,0.34124898,0.05553567,0.63923346,0.00000000
2.86043022,0.64118609,0.08927323,0.00000000,0.35907542,0.05753316,0.64410927,0.00000000
2.86643322,0.65364601,0.09194934,0.00000000,0.37804404,0.05953724,0.64735386,0.00000000
2.87243622,0.66580285,0.09483886,0.00000000,0.39826077,0.06156890,0.64913484,0.00000000
2.87843922,0.67787709,0.09796828,0.00000000,0.41981397,0.06364975,0.64965079,0.00000000
2.88444222,0.69009342,0.10135989,0.00000000,0.44276548,0.06580062,0.64912150,0.00000000
2.89044522,0.70266756,0.10502988,0.00000000,0.46714190,0.06804015,0.64777732,0.00000000
2.89644822,0.71579321,0.10898658,0.00000000,0.49292679,0.07038349,0.64584829,0.00000000
2.90245123,0.72962984,0.11322887,0.00000000,0.52005415,0.07284104,0.64355353,0.00000000
2.90845423,0.74429194,0.11774511,0.00000000,0.54840375,0.07541745,0.64109163,0.00000000
2.91445723,0.75984048,0.12251238,0.00000000,0.57779864,0.07811084,0.63863234,0.00000000
2.92046023,0.77627698,0.12749634,0.00000000,0.60800521,0.08091236,0.63631010,0.00000000
2.92646323,0.79354060,0.13265162,0.00000000,0.63873588,0.08380606,0.63421968,0.00000000
2.93246623,0.81150846,0.13792289,0.00000000,0.66965453,0.08676914,0.63241405,0.00000000
2.93846923,0.82999908,0.14324638,0.00000000,0.70038457,0.08977259,0.63090447,0.00000000
2.94447224,0.84877900,0.14855207,0.00000000,0.73051927,0.09278207,0.62966280,0.00000000
2.95047524,0.86757200,0.15376627,0.00000000,0.75963416,0.09575917,0.62862570,0.00000000
2.95647824,0.88607063,0.15881454,0.00000000,0.78730078,0.09866290,0.62770047,0.00000000
2.96248124,0.90394936,0.16362489,0.00000000,0.81310143,0.10145126,0.62677205,0.00000000
2.96848424,0.92087873,0.16813104,0.00000000,0.83664403,0.10408299,0.62571083,0.00000000
2.97448724,0.93653981,0.17227557,0.00000000,0.85757661,0.10651931,0.62438079,0.00000000
2.98049025,0.95063820,0.17601293,0.00000000,0.87560072,0.10872549,0.62264749,0.00000000
2.98649325,0.96291700,0.17931197,0.00000000,0.89048312,0.11067243,0.62038553,0.00000000
2.99249625,0.97316813,0.18215809,0.00000000,0.90206535,0.11233784,0.61748524,0.00000000
2.99849925,0.98124154,0.18455467,0.00000000,0.91027064,0.11370728,0.61385810,0.00000000
3.00450225,0.98705191,0.18652387,0.00000000,0.91510802,0.11477478,0.60944096,0.00000000
3.01050525,0.99058264,0.18810662,0.00000000,0.91667334,0.11554323,0.60419876,0.00000000
3.01650825,0.99188712,0.18936190,0.00000000,0.91514736,0.11602431,0.59812586,0.00000000
3.02251126,0.99108711,0.19036520,0.00000000,0.91079088,0.11623815,0.59124592,0.00000000
3.02851426,0.98836871,0.19120627,0.00000000,0.90393731,0.11621261,0.58361056,0.00000000
3.03451726,0.98397584,0.19198622,0.00000000,0.89498283,0.11598235,0.57529687,0.00000000
3.04052026,0.97820180,0.19281411,0.00000000,0.88437476,0.11558758,0.56640403,0.00000000
3.04652326,0.97137930,0.19380304,0.00000000,0.87259848,0.11507267,0.55704927,0.00000000
3.05252626,0.96386924,0.19506604,0.00000000,0.86016339,0.11448459,0.54736333,0.00000000
3.05852926,0.95604891,0.19671177,0.00000000,0.84758852,0.11387129,0.53748580,0.00000000
3.06453227,0.94829989,0.19884028,0.00000000,0.83538813,0.11328006,0.52756039,0.00000000
3.07053527,0.94099629,0.20153899,0.00000000,0.82405782,0.11275595,0.51773043,0.00000000
3.07653827,0.93449347,0.20487897,0.00000000,0.81406161,0.11234021,0.50813474,0.00000000
3.08254127,0.92911789,0.20891181,0.00000000,0.80582017,0.11206900,0.49890401,0.00000000
3.08854427,0.92515824,0.21366701,0.00000000,0.79970068,0.11197212,0.49015781,0.00000000
3.09454727,0.92285812,0.21915025,0.00000000,0.79600844,0.11207219,0.48200224,0.00000000
3.10055028,0.92241061,0.22534236,0.00000000,0.79498045,0.11238385,0.47452840,0.00000000
3.10655328,0.92395471,0.23219930,0.00000000,0.79678101,0.11291348,0.46781144,0.00000000
3.11255628,0.92757376,0.23965296,0.00000000,0.80149947,0.11365904,0.46191050,0.00000000
3.11855928,0.93329592,0.24761293,0.00000000,0.80915008,0.11461034,0.45686914,0.00000000
3.12456228,0.94109656,0.25596904,0.00000000,0.81967395,0.11574959,0.45271650,0.00000000
3.13056528,0.95090236,0.26459475,0.00000000,0.83294282,0.11705220,0.44946881,0.00000000
3.13656828,0.96259705,0.27335110,0.00000000,0.84876479,0.11848791,0.44713140,0.00000000
3.14257129,0.97602835,0.28209121,0.00000000,0.86689143,0.12002208,0.44570084,0.00000000
3.14857429,0.99101587,0.29066508,0.00000000,0.88702636,0.12161723,0.44516726,0.00000000
3.15457729,1.00735952,0.29892448,0.00000000,0.90883471,0.12323466,0.44551652,0.00000000
3.16058029,1.02484806,0.30672779,0.00000000,0.93195330,0.12483606,0.44673232,0.00000000
3.16658329,1.04326739,0.31394454,0.00000000,0.95600117,0.12638518,0.44879784,0.00000000
3.17258629,1.06240811,0.32045948,0.00000000,0.98059000,0.12784938,0.45169706,0.00000000
3.17858929,1.08207204,0.32617596,0.00000000,1.00533423,0.12920096,0.45541539,0.00000000
3.18459230,1.10207740,0.33101857,0.00000000,1.02986041,0.13041828,0.45993986,0.00000000
3.19059530,1.12226235,0.33493485,0.00000000,1.05381554,0.13148661,0.46525848,0.00000000
3.19659830,1.14248687,0.33789605,0.00000000,1.07687425,0.13239859,0.47135913,0.00000000
