energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.25562781,4.21243700,2.89095947,0.74080105,0.01263189,1.23466643,0.04734451,1.77020929,0.87679379,0.48579747
-5.24962481,4.14975934,2.87814173,0.72710054,0.01209796,1.21258437,0.04683811,1.75324896,0.87311455,0.47887083
-5.24362181,4.08140399,2.86248006,0.71326557,0.01153849,1.18906417,0.04628765,1.73393548,0.86750947,0.47117150
-5.23761881,4.00836545,2.84453652,0.69946452,0.01095897,1.16446913,0.04570006,1.71254150,0.86011991,0.46279368
-5.23161581,3.93165465,2.82486569,0.68585248,0.01036510,1.13916577,0.04508090,1.68934552,0.85109193,0.45383995
-5.22561281,3.85226293,2.80398847,0.67256558,0.00976266,1.11351212,0.04443430,1.66461878,0.84057053,0.44441755
-5.21960980,3.77113049,2.78236925,0.65971652,0.00915738,1.08784713,0.04376292,1.63861432,0.82869481,0.43463505
-5.21360680,3.68912008,2.76039719,0.64739141,0.00855484,1.06248144,0.04306808,1.61155864,0.81559434,0.42459934
-5.20760380,3.60699675,2.73837226,0.63564782,0.00796035,1.03768970,0.04234993,1.58364621,0.80138665,0.41441311
-5.20160080,3.52541390,2.71649629,0.62451428,0.00737888,1.01370468,0.04160772,1.55503672,0.78617612,0.40417275
-5.19559780,3.44490563,2.69486908,0.61399088,0.00681494,0.99071327,0.04084011,1.52585515,0.77005399,0.39396683
-5.18959480,3.36588533,2.67348971,0.60405118,0.00627259,0.96885433,0.04004548,1.49619416,0.75309944,0.38387496
-5.18359180,3.28864983,2.65226238,0.59464503,0.00575533,0.94821851,0.03922227,1.46611866,0.73538169,0.37396726
-5.17758879,3.21338860,2.63100664,0.58570228,0.00526611,0.92884985,0.03836935,1.43567178,0.71696268,0.36430415
-5.17158579,3.14019716,2.60947124,0.57713713,0.00480735,0.91074913,0.03748625,1.40488214,0.69790033,0.35493655
-5.16558279,3.06909376,2.58735085,0.56885296,0.00438090,0.89387870,0.03657348,1.37377147,0.67825192,0.34590644
-5.15957979,3.00003841,2.56430502,0.56074740,0.00398812,0.87816867,0.03563266,1.34236247,0.65807752,0.33724770
-5.15357679,2.93295332,2.53997839,0.55271745,0.00362990,0.86352408,0.03466666,1.31068621,0.63744316,0.32898715
-5.14757379,2.86774379,2.51402149,0.54466444,0.00330672,0.84983284,0.03367966,1.27878885,0.61642366,0.32114590
-5.14157079,2.80431880,2.48611119,0.53649874,0.00301872,0.83697409,0.03267714,1.24673744,0.59510482,0.31374073
-5.13556778,2.74261037,2.45597020,0.52814400,0.00276577,0.82482662,0.03166580,1.21462450,0.57358512,0.30678570
-5.12956478,2.68259127,2.42338482,0.51954076,0.00254757,0.81327708,0.03065345,1.18257139,0.55197663,0.30029381
-5.12356178,2.62429036,2.38822050,0.51064953,0.00236367,0.80222762,0.02964887,1.15073052,0.53040539,0.29427878
-5.11755878,2.56780524,2.35043465,0.50145302,0.00221363,0.79160271,0.02866159,1.11928627,0.50901106,0.28875679
-5.11155578,2.51331189,2.31008628,0.49195770,0.00209699,0.78135482,0.02770176,1.08845498,0.48794608,0.28374828
-5.10555278,2.46107113,2.26734239,0.48219459,0.00201345,0.77146882,0.02677996,1.05848391,0.46737436,0.27927966
-5.09954977,2.41143176,2.22248083,0.47221926,0.00196280,0.76196492,0.02590703,1.02964953,0.44746957,0.27538498
-5.09354677,2.36483043,2.17588954,0.46211121,0.00194508,0.75290003,0.02509394,1.00225503,0.42841312,0.27210740
-5.08754377,2.32178828,2.12806244,0.45197246,0.00196051,0.74436752,0.02435167,0.97662747,0.41039206,0.26950054
-5.08154077,2.28290453,2.07959195,0.44192562,0.00200959,0.73649542,0.02369115,0.95311439,0.39359671,0.26762956
-5.07553777,2.24884724,2.03115849,0.43211142,0.00209305,0.72944315,0.02312320,0.93208013,0.37821831,0.26657194
-5.06953477,2.22034154,1.98351731,0.42268578,0.00221188,0.72339688,0.02265848,0.91390182,0.36444672,0.26641799
-5.06353177,2.19815573,1.93748292,0.41381641,0.00236725,0.71856378,0.02230748,0.89896513,0.35246800,0.26727095
-5.05752876,2.18308549,1.89391184,0.40567927,0.00256055,0.71516534,0.02208050,0.88765976,0.34246218,0.26924679
-5.05152576,2.17593698,1.85368392,0.39845468,0.00279331,0.71343013,0.02198762,0.88037471,0.33460105,0.27247356
-5.04552276,2.17750894,1.81768287,0.39232337,0.00306712,0.71358609,0.02203865,0.87749332,0.32904598,0.27709039
-5.03951976,2.18857456,1.78677659,0.38746247,0.00338363,0.71585286,0.02224310,0.87938816,0.32594595,0.28324613
-5.03351676,2.20986356,1.76179770,0.38404147,0.00374444,0.72043434,0.02261004,0.88641577,0.32543555,0.29109768
-5.02751376,2.24204488,1.74352481,0.38221842,0.00415104,0.72751169,0.02314801,0.89891134,0.32763319,0.30080791
-5.02151076,2.28571051,1.73266511,0.38213615,0.00460474,0.73723710,0.02386483,0.91718333,0.33263938,0.31254337
-5.01550775,2.34136074,1.72983842,0.38391888,0.00510663,0.74972846,0.02476746,0.94150815,0.34053512,0.32647169
-5.00950475,2.40939117,1.73556323,0.38766902,0.00565744,0.76506514,0.02586171,0.97212491,0.35138041,0.34275877
-5.00350175,2.49008163,1.75024500,0.39346443,0.00625758,0.78328488,0.02715209,1.00923029,0.36521295,0.36156565
-4.99749875,2.58358716,1.77416673,0.40135601,0.00690697,0.80438191,0.02864148,1.05297358,0.38204684,0.38304519
-4.99149575,2.68993090,1.80748213,0.41136587,0.00760508,0.82830629,0.03033093,1.10345187,0.40187146,0.40733849
-4.98549275,2.80899901,1.85021132,0.42348584,0.00835081,0.85496445,0.03221943,1.16070543,0.42465043,0.43457108
-4.97948974,2.94053728,1.90223920,0.43767670,0.00914253,0.88422071,0.03430362,1.22471323,0.45032058,0.46484869
-4.97348674,3.08414935,1.96331636,0.45386785,0.00997793,0.91589986,0.03657766,1.29538865,0.47879109,0.49825296
-4.96748374,3.23929643,2.03306257,0.47195768,0.01085413,0.94979059,0.03903305,1.37257531,0.50994254,0.53483671
-4.96148074,3.40529812,2.11097287,0.49181450,0.01176756,0.98564958,0.04165852,1.45604313,0.54362622,0.57461901
-4.95547774,3.58133455,2.19642605,0.51327823,0.01271397,1.02320624,0.04443996,1.54548470,0.57966330,0.61758023
-4.94947474,3.76644960,2.28869556,0.53616267,0.01368849,1.06216788,0.04736045,1.64051202,0.61784442,0.66365682
-4.94347174,3.95955528,2.38696281,0.56025849,0.01468556,1.10222527,0.05040031,1.74065382,0.65792924,0.71273641
-4.93746873,4.15943764,2.49033267,0.58533692,0.01569900,1.14305835,0.05353723,1.84535374,0.69964651,0.76465304
-4.93146573,4.36476418,2.59785111,0.61115399,0.01672203,1.18434229,0.05674647,1.95396957,0.74269443,0.81918309
-4.92546273,4.57409332,2.70852479,0.63745548,0.01774731,1.22575347,0.06000115,2.06577391,0.78674172,0.87604189
-4.91945973,4.78588618,2.82134228,0.66398223,0.01876703,1.26697561,0.06327255,2.17995665,0.83142920,0.93488154
-4.91345673,4.99852102,2.93529670,0.69047600,0.01977295,1.30770585,0.06653048,2.29562950,0.87637242,0.99529014
-4.90745373,5.21031070,3.04940921,0.71668546,0.02075655,1.34766070,0.06974377,2.41183296,0.92116505,1.05679269
-4.90145073,5.41952342,3.16275293,0.74237241,0.02170910,1.38658186,0.07288069,2.52754592,0.96538345,1.11885406
-4.89544772,5.62440673,3.27447663,0.76731777,0.02262183,1.42424183,0.07590949,2.64169812,1.00859223,1.18088416
-4.88944472,5.82321482,3.38382740,0.79132742,0.02348605,1.46044909,0.07879892,2.75318540,1.05035098,1.24224540
-4.88344172,6.01423891,3.49017171,0.81423747,0.02429334,1.49505292,0.08151874,2.86088784,1.09022194,1.30226271
-4.87743872,6.19584004,3.59301383,0.83591883,0.02503572,1.52794760,0.08404029,2.96369033,1.12777870,1.36023578
-4.87143572,6.36648386,3.69201105,0.85628093,0.02570586,1.55907590,0.08633695,3.06050537,1.16261547,1.41545362
-4.86543272,6.52477627,3.78698477,0.87527433,0.02629722,1.58843172,0.08838467,3.15029743,1.19435698,1.46721095
-4.85942971,6.66949913,3.87792683,0.89289208,0.02680427,1.61606174,0.09016238,3.23210833,1.22266843,1.51482616
-4.85342671,6.79964457,3.96500061,0.90916992,0.02722268,1.64206596,0.09165240,3.30508270,1.24726534,1.55766021
-4.84742371,6.91444676,4.04853647,0.92418498,0.02754947,1.66659691,0.09284075,3.36849280,1.26792283,1.59513585
-4.84142071,7.01340979,4.12902128,0.93805322,0.02778312,1.68985757,0.09371743,3.42176171,1.28448403,1.62675659
-4.83541771,7.09633025,4.20708216,0.95092564,0.02792373,1.71209775,0.09427665,3.46448396,1.29686709,1.65212451
-4.82941471,7.16331340,4.28346458,0.96298318,0.02797308,1.73360903,0.09451693,3.49644274,1.30507063,1.67095629
-4.82341171,7.21478164,4.35900530,0.97443082,0.02793462,1.75471811,0.09444117,3.51762292,1.30917715,1.68309668
-4.81740870,7.25147459,4.43460079,0.98549069,0.02781352,1.77577865,0.09405667,3.52821909,1.30935433,1.68852874
-4.81140570,7.27443997,4.51117199,0.99639473,0.02761656,1.79716171,0.09337498,3.52863812,1.30585379,1.68738029
-4.80540270,7.28501501,4.58962641,1.00737695,0.02735203,1.81924482,0.09241183,3.51949599,1.29900747,1.67992614
-4.79939970,7.28479836,4.67081873,1.01866565,0.02702955,1.84239998,0.09118684,3.50160841,1.28922151,1.66658576
-4.79339670,7.27561286,4.75551108,1.03047580,0.02665987,1.86698072,0.08972326,3.47597573,1.27696763,1.64791634
-4.78739370,7.25945987,4.84433452,1.04300179,0.02625460,1.89330872,0.08804762,3.44376192,1.26277243,1.62460118
-4.78139070,7.23846632,4.93775276,1.05641089,0.02582592,1.92166009,0.08618926,3.40626845,1.24720458,1.59743379
-4.77538769,7.21482585,5.03602974,1.07083746,0.02538622,1.95225207,0.08417987,3.36490352,1.23086052,1.56729800
-4.76938469,7.19073579,5.13920220,1.08637820,0.02494781,1.98523036,0.08205295,3.32114766,1.21434891,1.53514476
-4.76338169,7.16833206,5.24705844,1.10308846,0.02452250,2.02065777,0.07984316,3.27651644,1.19827437,1.50196632
-4.75737869,7.14962406,5.35912446,1.12097982,0.02412128,2.05850462,0.07758573,3.23252172,1.18322101,1.46876859
-4.75137569,7.13643196,5.47465811,1.14001889,0.02375400,2.09864146,0.07531574,3.19063231,1.16973633,1.43654264
-4.74537269,7.13032865,5.59265211,1.16012747,0.02342903,2.14083459,0.07306746,3.15223548,1.15831589,1.40623644
-4.73936968,7.13258845,5.71184625,1.18118388,0.02315303,2.18474468,0.07087360,3.11860051,1.14938952,1.37872754
-4.73336668,7.14414488,5.83074879,1.20302563,0.02293071,2.22992895,0.06876464,3.09084528,1.14330925,1.35479790
-4.72736368,7.16555892,5.94766681,1.22545310,0.02276473,2.27584703,0.06676819,3.06990730,1.14033969,1.33511169
-4.72136068,7.19699935,6.06074499,1.24823436,0.02265556,2.32187043,0.06490838,3.05651978,1.14065104,1.32019674
-4.71535768,7.23823596,6.16801167,1.27111067,0.02260153,2.36729566,0.06320536,3.05119380,1.14431507,1.31043047
-4.70935468,7.28864616,6.26743106,1.29380283,0.02259887,2.41136059,0.06167482,3.05420704,1.15130431,1.30603064
-4.70335168,7.34723481,6.35695983,1.31601780,0.02264187,2.45326361,0.06032775,3.06559944,1.16149442,1.30705139
-4.69734867,7.41266660,6.43460628,1.33745567,0.02272308,2.49218495,0.05917019,3.08517603,1.17466980,1.31338463
-4.69134567,7.48330995,6.49849000,1.35781660,0.02283357,2.52730949,0.05820322,3.11251660,1.19053223,1.32476668
-4.68534267,7.55729068,6.54689991,1.37680748,0.02296328,2.55785014,0.05742303,3.14699214,1.20871233,1.34079000
-4.67933967,7.63255354,6.57834848,1.39414821,0.02310136,2.58307096,0.05682114,3.18778725,1.22878333,1.36091954
-4.67333667,7.70692930,6.59162022,1.40957735,0.02323654,2.60230917,0.05638478,3.23392774,1.25027682,1.38451303
