energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,V_p_up,V_d_up
1.66583292,4.67746968,0.00151624,0.19351856,0.16129454,0.20503354,0.08238529,1.13567677,0.28998586,2.94009280
1.67183592,4.39522606,0.00131601,0.18925411,0.14775209,0.19355955,0.07887337,1.07951785,0.27331594,2.74169476
1.67783892,4.12612605,0.00115637,0.18538644,0.13508251,0.18245959,0.07545013,1.02535394,0.25661159,2.55375409
1.68384192,3.87266635,0.00103504,0.18207355,0.12335247,0.17182354,0.07218838,0.97367973,0.24006688,2.37778944
1.68984492,3.63705267,0.00095015,0.17946977,0.11261331,0.16173017,0.06915919,0.92492354,0.22387641,2.21510228
1.69584792,3.42114532,0.00090034,0.17772009,0.10289993,0.15224522,0.06642974,0.87943732,0.20823097,2.06674692
1.70185093,3.22641764,0.00088474,0.17695470,0.09423025,0.14341998,0.06406138,0.83748951,0.19331371,1.93350933
1.70785393,3.05392817,0.00090298,0.17728405,0.08660533,0.13529042,0.06210799,0.79926090,0.17929689,1.81589520
1.71385693,2.90430686,0.00095519,0.17879457,0.08001000,0.12787695,0.06061461,0.76484362,0.16633947,1.71412717
1.71985993,2.77775494,0.00104200,0.18154515,0.07441408,0.12118461,0.05961645,0.73424291,0.15458531,1.62815079
1.72586293,2.67405794,0.00116451,0.18556463,0.06977389,0.11520380,0.05913823,0.70738165,0.14416218,1.55764872
1.73186593,2.59261061,0.00132424,0.19085034,0.06603420,0.10991149,0.05919393,0.68410719,0.13518141,1.50206201
1.73786893,2.53245220,0.00152310,0.19736773,0.06313040,0.10527263,0.05978675,0.66420021,0.12773812,1.46061763
1.74387194,2.49231053,0.00176336,0.20505107,0.06099074,0.10124201,0.06090955,0.64738521,0.12191182,1.43236080
1.74987494,2.47065275,0.00204754,0.21380526,0.05953876,0.09776623,0.06254545,0.63334214,0.11776738,1.41619089
1.75587794,2.46574081,0.00237835,0.22350859,0.05869555,0.09478577,0.06466870,0.62171878,0.11535608,1.41089951
1.76188094,2.47568963,0.00275865,0.23401641,0.05838198,0.09223713,0.06724578,0.61214353,0.11471670,1.41520928
1.76788394,2.49852575,0.00319132,0.24516543,0.05852072,0.09005501,0.07023654,0.60423802,0.11587643,1.42781212
1.77388694,2.53224467,0.00367919,0.25677861,0.05903804,0.08817427,0.07359557,0.59762939,0.11885153,1.44740564
1.77988994,2.57486496,0.00422495,0.26867033,0.05986521,0.08653188,0.07727345,0.59196170,0.12364763,1.47272657
1.78589295,2.62447746,0.00483109,0.28065164,0.06093976,0.08506864,0.08121806,0.58690625,0.13025961,1.50258015
1.79189595,2.67928837,0.00549979,0.29253544,0.06220616,0.08373063,0.08537584,0.58217058,0.13867115,1.53586480
1.79789895,2.73765497,0.00623286,0.30414132,0.06361635,0.08247051,0.08969290,0.57750583,0.14885375,1.57159139
