energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-4.58329165,0.17377866,0.12612358,0.03066942,0.00035154,0.04015954,0.03534317,0.00000000
-4.57728864,0.14947150,0.10881558,0.02638969,0.00026442,0.03470986,0.03012007,0.00000000
-4.57128564,0.12791462,0.09330912,0.02259524,0.00019897,0.02981870,0.02557177,0.00000000
-4.56528264,0.10897068,0.07954675,0.01925921,0.00015061,0.02546677,0.02165620,0.00000000
-4.55927964,0.09249496,0.06745385,0.01635418,0.00011582,0.02163010,0.01833258,0.00000000
-4.55327664,0.07834079,0.05694341,0.01385296,0.00009195,0.01828134,0.01556285,0.00000000
-4.54727364,0.06636519,0.04792099,0.01172934,0.00007709,0.01539108,0.01331313,0.00000000
-4.54127064,0.05643454,0.04028949,0.00995892,0.00006999,0.01292932,0.01155508,0.00000000
-4.53526763,0.04843019,0.03395377,0.00851998,0.00007000,0.01086674,0.01026719,0.00000000
-4.52926463,0.04225386,0.02882489,0.00739422,0.00007699,0.00917607,0.00943597,0.00000000
-4.52326163,0.03783265,0.02482392,0.00656765,0.00009132,0.00783322,0.00905706,0.00000000
-4.51725863,0.03512369,0.02188526,0.00603125,0.00011391,0.00681848,0.00913612,0.00000000
-4.51125563,0.03411827,0.01995946,0.00578165,0.00014617,0.00611750,0.00968969,0.00000000
-4.50525263,0.03484547,0.01901551,0.00582176,0.00019009,0.00572216,0.01074573,0.00000000
-4.49924962,0.03737513,0.01904259,0.00616122,0.00024831,0.00563136,0.01234412,0.00000000
-4.49324662,0.04182008,0.02005127,0.00681683,0.00032412,0.00585169,0.01453682,0.00000000
-4.48724362,0.04833771,0.02207420,0.00781278,0.00042161,0.00639789,0.01738782,0.00000000
-4.48124062,0.05713043,0.02516614,0.00918079,0.00054574,0.00729323,0.02097278,0.00000000
-4.47523762,0.06844530,0.02940353,0.01096010,0.00070243,0.00856965,0.02537837,0.00000000
-4.46923462,0.08257226,0.03488333,0.01319716,0.00089866,0.01026778,0.03070119,0.00000000
-4.46323162,0.09984117,0.04172124,0.01594525,0.00114256,0.01243664,0.03704630,0.00000000
-4.45722861,0.12061728,0.05004924,0.01926376,0.00144352,0.01513310,0.04452536,0.00000000
-4.45122561,0.14529500,0.06001230,0.02321722,0.00181226,0.01842106,0.05325431,0.00000000
-4.44522261,0.17428997,0.07176445,0.02787407,0.00226085,0.02237021,0.06335054,0.00000000
-4.43921961,0.20802931,0.08546394,0.03330509,0.00280280,0.02705451,0.07492974,0.00000000
-4.43321661,0.24693993,0.10126772,0.03958158,0.00345297,0.03255016,0.08810230,0.00000000
-4.42721361,0.29143521,0.11932520,0.04677318,0.00422761,0.03893328,0.10296939,0.00000000
-4.42121061,0.34189989,0.13977137,0.05494549,0.00514418,0.04627707,0.11961880,0.00000000
