energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
0.41120560,1.48320131,-1.48319198,0.27728090,-0.27727984,0.08879311,-0.08879264,0.00778671,-0.00778679,0.23883825,-0.23883858,0.29071291,-0.29070992,0.32128696,-0.32128527,0.04061661,-0.04061668,0.65975240,-0.65974471
0.41720860,1.50763025,-1.50762049,0.28009316,-0.28009197,0.08985923,-0.08985875,0.00739452,-0.00739460,0.23476078,-0.23476107,0.29963643,-0.29963343,0.32584600,-0.32584413,0.03970767,-0.03970772,0.68626703,-0.68625927
0.42321161,1.53153596,-1.53152598,0.28310008,-0.28309877,0.09072647,-0.09072599,0.00699255,-0.00699262,0.23051417,-0.23051440,0.30821338,-0.30821044,0.33074578,-0.33074379,0.03877306,-0.03877309,0.71221333,-0.71220566
0.42921461,1.55450707,-1.55449710,0.28636642,-0.28636500,0.09137321,-0.09137275,0.00658563,-0.00658571,0.22625155,-0.22625170,0.31624907,-0.31624624,0.33584658,-0.33584453,0.03783671,-0.03783672,0.73712118,-0.73711379
0.43521761,1.57614361,-1.57613387,0.28995595,-0.28995443,0.09178225,-0.09178181,0.00617838,-0.00617845,0.22212900,-0.22212905,0.32355478,-0.32355216,0.34100128,-0.34099924,0.03692206,-0.03692203,0.76053669,-0.76052973
0.44122061,1.59607046,-1.59606118,0.29392980,-0.29392818,0.09194134,-0.09194093,0.00577510,-0.00577516,0.21830173,-0.21830168,0.32995361,-0.32995124,0.34606045,-0.34605847,0.03605151,-0.03605146,0.78203446,-0.78202810
0.44722361,1.61394975,-1.61394113,0.29834465,-0.29834295,0.09184371,-0.09184335,0.00537975,-0.00537981,0.21492001,-0.21491984,0.33528588,-0.33528384,0.35087745,-0.35087560,0.03524598,-0.03524589,0.80122907,-0.80122346
0.45322661,1.62949176,-1.62948399,0.30325092,-0.30324915,0.09148833,-0.09148802,0.00499591,-0.00499597,0.21212496,-0.21212467,0.33941427,-0.33941260,0.35531347,-0.35531180,0.03452436,-0.03452424,0.81778511,-0.81778038
0.45922961,1.64246395,-1.64245720,0.30869087,-0.30868904,0.09088004,-0.09087979,0.00462676,-0.00462682,0.21004446,-0.21004403,0.34222813,-0.34222689,0.35924225,-0.35924081,0.03390317,-0.03390302,0.83142564,-0.83142189
0.46523262,1.65269791,-1.65269231,0.31469691,-0.31469504,0.09002953,-0.09002934,0.00427504,-0.00427509,0.20878921,-0.20878865,0.34364705,-0.34364626,0.36255429,-0.36255312,0.03339621,-0.03339603,0.84193852,-0.84193584
0.47123562,1.66009394,-1.66008960,0.32129013,-0.32128824,0.08895312,-0.08895300,0.00394303,-0.00394307,0.20844931,-0.20844860,0.34362332,-0.34362301,0.36516047,-0.36515961,0.03301430,-0.03301408,0.84918065,-0.84917911
0.47723862,1.66462339,-1.66462037,0.32847919,-0.32847729,0.08767246,-0.08767241,0.00363258,-0.00363262,0.20909130,-0.20909045,0.34214349,-0.34214367,0.36699493,-0.36699441,0.03276518,-0.03276494,0.85307980,-0.85307942
0.48324162,1.66632883,-1.66632716,0.33625975,-0.33625785,0.08621407,-0.08621408,0.00334511,-0.00334515,0.21075613,-0.21075514,0.33922859,-0.33922925,0.36801716,-0.36801699,0.03265353,-0.03265326,0.85363402,-0.85363481
0.48924462,1.66532210,-1.66532179,0.34461442,-0.34461252,0.08460874,-0.08460882,0.00308161,-0.00308164,0.21345787,-0.21345674,0.33493338,-0.33493450,0.36821323,-0.36821341,0.03268111,-0.03268082,0.85090899,-0.85091092
0.49524762,1.66178080,-1.66178178,0.35351338,-0.35351151,0.08289097,-0.08289111,0.00284267,-0.00284269,0.21718355,-0.21718228,0.32934443,-0.32934600,0.36759616,-0.36759669,0.03284703,-0.03284672,0.84503311,-0.84503614
0.50125063,1.65594322,-1.65594541,0.36291579,-0.36291393,0.08109819,-0.08109838,0.00262852,-0.00262854,0.22189400,-0.22189261,0.32257729,-0.32257927,0.36620558,-0.36620644,0.03314817,-0.03314785,0.83619104,-0.83619508
0.50725363,1.64810241,-1.64810569,0.37277164,-0.37276981,0.07927009,-0.07927032,0.00243911,-0.00243913,0.22752576,-0.22752424,0.31477275,-0.31477509,0.36410647,-0.36410763,0.03357973,-0.03357940,0.82461575,-0.82462071
0.51325663,1.63859943,-1.63860366,0.38302442,-0.38302261,0.07744785,-0.07744811,0.00227412,-0.00227413,0.23399397,-0.23399234,0.30609250,-0.30609514,0.36138737,-0.36138881,0.03413576,-0.03413542,0.81057968,-0.81058545
0.51925963,1.62781634,-1.62782134,0.39361408,-0.39361229,0.07567340,-0.07567368,0.00213306,-0.00213307,0.24119616,-0.24119442,0.29671427,-0.29671716,0.35815793,-0.35815960,0.03480992,-0.03480957,0.79438540,-0.79439185
0.52526263,1.61616893,-1.61617451,0.40448039,-0.40447861,0.07398870,-0.07398898,0.00201536,-0.00201537,0.24901673,-0.24901488,0.28682680,-0.28682986,0.35454596,-0.35454781,0.03559608,-0.03559573,0.77635621,-0.77636319
0.53126563,1.60409959,-1.60410553,0.41556634,-0.41556456,0.07243502,-0.07243530,0.00192040,-0.00192041,0.25733191,-0.25732996,0.27662461,-0.27662778,0.35069409,-0.35069608,0.03648904,-0.03648869,0.75682704,-0.75683441
0.53726863,1.59207017,-1.59207626,0.42682142,-0.42681962,0.07105230,-0.07105257,0.00184768,-0.00184768,0.26601500,-0.26601296,0.26630304,-0.26630625,0.34675621,-0.34675827,0.03748510,-0.03748475,0.73613613,-0.73614375
0.54327164,1.58055505,-1.58056106,0.43820454,-0.43820270,0.06987848,-0.06987871,0.00179682,-0.00179682,0.27494152,-0.27493939,0.25605354,-0.25605673,0.34289351,-0.34289559,0.03858257,-0.03858222,0.71461765,-0.71462537
0.54927464,1.57003414,-1.57003985,0.44968631,-0.44968441,0.06894890,-0.06894908,0.00176773,-0.00176772,0.28399414,-0.28399191,0.24605940,-0.24606250,0.33927063,-0.33927267,0.03978212,-0.03978177,0.69259543,-0.69260312
0.55527764,1.56098589,-1.56099108,0.46125058,-0.46124860,0.06829575,-0.06829588,0.00176064,-0.00176063,0.29306697,-0.29306465,0.23649205,-0.23649500,0.33605155,-0.33605350,0.04108698,-0.04108663,0.67037810,-0.67038563
0.56128064,1.55388004,-1.55388449,0.47289495,-0.47289286,0.06794752,-0.06794758,0.00177618,-0.00177616,0.30206917,-0.30206676,0.22750800,-0.22751075,0.33339564,-0.33339744,0.04250294,-0.04250257,0.64825537,-0.64826261
0.56728364,1.54917011,-1.54917364,0.48463033,-0.48462809,0.06792850,-0.06792848,0.00181546,-0.00181544,0.31092757,-0.31092506,0.21924642,-0.21924893,0.33145376,-0.33145535,0.04403812,-0.04403774,0.62649565,-0.62650250
0.57328664,1.54728556,-1.54728799,0.49647934,-0.49647694,0.06825831,-0.06825820,0.00188012,-0.00188009,0.31958825,-0.31958565,0.21182742,-0.21182964,0.33036451,-0.33036586,0.04570265,-0.04570226,0.60534473,-0.60535111
