energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,V_p_up,V_d_up
-2.19409705,2.55149576,0.00000685,0.08790947,0.00011868,1.10840649,0.19591019,0.09201025,0.43657562,1.35210487
-2.18809405,2.54291179,0.00000641,0.08798841,0.00014009,1.09105774,0.19700299,0.08980434,0.43290744,1.36084292
-2.18209105,2.52759313,0.00000601,0.08786073,0.00016545,1.07066507,0.19729938,0.08749825,0.42797402,1.36586251
-2.17608804,2.50578627,0.00000564,0.08752431,0.00019520,1.04729021,0.19677849,0.08511050,0.42182290,1.36730958
-2.17008504,2.47791648,0.00000531,0.08698139,0.00022983,1.02101985,0.19543769,0.08266151,0.41451979,1.36547582
-2.16408204,2.44458978,0.00000501,0.08623901,0.00026978,0.99196872,0.19329306,0.08017371,0.40614944,1.36079784
-2.15807904,2.40658808,0.00000475,0.08530932,0.00031550,0.96028270,0.19037927,0.07767166,0.39681589,1.35384998
-2.15207604,2.36485720,0.00000453,0.08420970,0.00036736,0.92614175,0.18674895,0.07518199,0.38664204,1.34533085
-2.14607304,2.32048752,0.00000435,0.08296270,0.00042572,0.88976204,0.18247135,0.07273318,0.37576836,1.33604385
-2.14007004,2.27468766,0.00000421,0.08159581,0.00049082,0.85139679,0.17763043,0.07035520,0.36435079,1.32687233
-2.13406703,2.22875179,0.00000411,0.08014088,0.00056285,0.81133559,0.17232245,0.06807898,0.35255771,1.31875042
-2.12806403,2.18402167,0.00000407,0.07863335,0.00064186,0.76990193,0.16665302,0.06593565,0.34056626,1.31263052
-2.12206103,2.14184475,0.00000407,0.07711129,0.00072778,0.72744883,0.16073383,0.06395581,0.32855785,1.30944889
-2.11605803,2.10353001,0.00000413,0.07561414,0.00082042,0.68435270,0.15467914,0.06216849,0.31671332,1.31009061
-2.11005503,2.07030327,0.00000424,0.07418139,0.00091944,0.64100574,0.14860212,0.06060023,0.30520781,1.31535547
-2.10405203,2.04326384,0.00000441,0.07285111,0.00102432,0.59780696,0.14261131,0.05927406,0.29420551,1.32592606
-2.09804902,2.02334425,0.00000464,0.07165851,0.00113442,0.55515250,0.13680724,0.05820854,0.28385473,1.34233933
-2.09204602,2.01127487,0.00000493,0.07063448,0.00124893,0.51342571,0.13127936,0.05741684,0.27428336,1.36496272
