energy_ev,total_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up,Zr_p_up,Zr_d_up
1.22161081,0.77939884,0.00825830,0.13204543,0.17860703,0.00000000,0.36627077,0.52601111
1.22761381,0.77583332,0.00820796,0.13322669,0.17686402,0.00000000,0.36282790,0.52307632
1.23361681,0.77361675,0.00816620,0.13441626,0.17531873,0.00000000,0.35980534,0.52135152
1.23961981,0.77213986,0.00812568,0.13551248,0.17385701,0.00000000,0.35693105,0.52040864
1.24562281,0.77083712,0.00807955,0.13642121,0.17236984,0.00000000,0.35395373,0.51985060
1.25162581,0.76920500,0.00802172,0.13705874,0.17075716,0.00000000,0.35065055,0.51932363
1.25762881,0.76681694,0.00794702,0.13735407,0.16893116,0.00000000,0.34683353,0.51852714
1.26363182,0.76333439,0.00785136,0.13725081,0.16681890,0.00000000,0.34235408,0.51722078
1.26963482,0.75851399,0.00773182,0.13670829,0.16436425,0.00000000,0.33710597,0.51522881
1.27563782,0.75221050,0.00758673,0.13570216,0.16152902,0.00000000,0.33102637,0.51244159
1.28164082,0.74437576,0.00741562,0.13422430,0.15829337,0.00000000,0.32409526,0.50881438
1.28764382,0.73505388,0.00721920,0.13228216,0.15465545,0.00000000,0.31633321,0.50436369
1.29364682,0.72437304,0.00699927,0.12989755,0.15063035,0.00000000,0.30779771,0.49916136
1.29964982,0.71253437,0.00675855,0.12710502,0.14624854,0.00000000,0.29857843,0.49332687
1.30565283,0.69979856,0.00650060,0.12394983,0.14155367,0.00000000,0.28879140,0.48701823
1.31165583,0.68647078,0.00622955,0.12048568,0.13660016,0.00000000,0.27857275,0.48042182
1.31765883,0.67288465,0.00594997,0.11677233,0.13145043,0.00000000,0.26807200,0.47374176
1.32366183,0.65938582,0.00566666,0.11287313,0.12617207,0.00000000,0.25744536,0.46718908
1.32966483,0.64631595,0.00538444,0.10885264,0.12083508,0.00000000,0.24684930,0.46097121
1.33566783,0.63399760,0.00510799,0.10477438,0.11550913,0.00000000,0.23643456,0.45528224
1.34167084,0.62272057,0.00484168,0.10069885,0.11026115,0.00000000,0.22634085,0.45029402
1.34767384,0.61273027,0.00458944,0.09668182,0.10515323,0.00000000,0.21669242,0.44614867
1.35367684,0.60421828,0.00435464,0.09277289,0.10024086,0.00000000,0.20759457,0.44295264
1.35967984,0.59731559,0.00414001,0.08901455,0.09557161,0.00000000,0.19913115,0.44077237
1.36568284,0.59208860,0.00394760,0.08544143,0.09118430,0.00000000,0.19136316,0.43963181
1.37168584,0.58853787,0.00377878,0.08208008,0.08710852,0.00000000,0.18432830,0.43951183
1.37768884,0.58659979,0.00363420,0.07894899,0.08336464,0.00000000,0.17804153,0.44035146
1.38369185,0.58615080,0.00351390,0.07605891,0.07996412,0.00000000,0.17249647,0.44205083
1.38969485,0.58701412,0.00341731,0.07341352,0.07691028,0.00000000,0.16766748,0.44447581
1.39569785,0.58896853,0.00334336,0.07101026,0.07419916,0.00000000,0.16351247,0.44746406
1.40170085,0.59175886,0.00329059,0.06884132,0.07182070,0.00000000,0.15997602,0.45083218
1.40770385,0.59510770,0.00325722,0.06689478,0.06976001,0.00000000,0.15699284,0.45438375
1.41370685,0.59872778,0.00324125,0.06515579,0.06799868,0.00000000,0.15449137,0.45791780
1.41970985,0.60233449,0.00324062,0.06360773,0.06651608,0.00000000,0.15239725,0.46123749
1.42571286,0.60565797,0.00325323,0.06223335,0.06529056,0.00000000,0.15063667,0.46415833
1.43171586,0.60845415,0.00327707,0.06101578,0.06430053,0.00000000,0.14913937,0.46651591
1.43771886,0.61051439,0.00331028,0.05993945,0.06352538,0.00000000,0.14784112,0.46817239
1.44372186,0.61167307,0.00335116,0.05899076,0.06294608,0.00000000,0.14668576,0.46902175
1.44972486,0.61181300,0.00339827,0.05815869,0.06254566,0.00000000,0.14562658,0.46899341
1.45572786,0.61086830,0.00345039,0.05743506,0.06230939,0.00000000,0.14462709,0.46805402
1.46173087,0.60882474,0.00350650,0.05681471,0.06222470,0.00000000,0.14366117,0.46620740
1.46773387,0.60571753,0.00356581,0.05629542,0.06228096,0.00000000,0.14271264,0.46349270
1.47373687,0.60162677,0.00362768,0.05587773,0.06246906,0.00000000,0.14177436,0.45998078
1.47973987,0.59667100,0.00369159,0.05556454,0.06278085,0.00000000,0.14084690,0.45576918
1.48574287,0.59099904,0.00375707,0.05536074,0.06320854,0.00000000,0.13993693,0.45097594
1.49174587,0.58478092,0.00382368,0.05527265,0.06374414,0.00000000,0.13905554,0.44573255
1.49774887,0.57819821,0.00389094,0.05530756,0.06437887,0.00000000,0.13821646,0.44017665
1.50375188,0.57143452,0.00395829,0.05547329,0.06510282,0.00000000,0.13743453,0.43444471
1.50975488,0.56466662,0.00402507,0.05577774,0.06590466,0.00000000,0.13672440,0.42866522
1.51575788,0.55805668,0.00409052,0.05622868,0.06677161,0.00000000,0.13609965,0.42295276
1.52176088,0.55174611,0.00415377,0.05683355,0.06768964,0.00000000,0.13557229,0.41740317
1.52776388,0.54585114,0.00421390,0.05759946,0.06864391,0.00000000,0.13515289,0.41209021
1.53376688,0.54046046,0.00426994,0.05853325,0.06961936,0.00000000,0.13485104,0.40706364
1.53976988,0.53563476,0.00432097,0.05964174,0.07060153,0.00000000,0.13467644,0.40234894
1.54577289,0.53140822,0.00436618,0.06093196,0.07157751,0.00000000,0.13464023,0.39794845
1.55177589,0.52779159,0.00440495,0.06241149,0.07253688,0.00000000,0.13475665,0.39384388
1.55777889,0.52477653,0.00443695,0.06408875,0.07347268,0.00000000,0.13504483,0.38999985
1.56378189,0.52234091,0.00446221,0.06597322,0.07438231,0.00000000,0.13553052,0.38636836
1.56978489,0.52045452,0.00448120,0.06807562,0.07526818,0.00000000,0.13624765,0.38289358
1.57578789,0.51908476,0.00449491,0.07040785,0.07613818,0.00000000,0.13723954,0.37951697
1.58179090,0.51820200,0.00450486,0.07298285,0.07700583,0.00000000,0.13855962,0.37618221
1.58779390,0.51778414,0.00451316,0.07581417,0.07789010,0.00000000,0.14027150,0.37283964
1.59379690,0.51782013,0.00452246,0.07891546,0.07881489,0.00000000,0.14244844,0.36945026
1.59979990,0.51831234,0.00453597,0.08229963,0.07980813,0.00000000,0.14517198,0.36598875
