energy_ev,total_up,B_p_up,B_d_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-5.24962481,2.79719417,0.20101004,0.00000000,0.85773259,0.58599215,0.04181600,1.03857449
-5.24362181,2.86764248,0.20501520,0.00000000,0.87710926,0.60773606,0.04495784,1.06402108
-5.23761881,2.94034044,0.20870416,0.00000000,0.89709382,0.63066305,0.04814248,1.09045263
-5.23161581,3.01414724,0.21201954,0.00000000,0.91736152,0.65446200,0.05131949,1.11745833
-5.22561281,3.08783405,0.21490376,0.00000000,0.93756677,0.67879223,0.05443603,1.14459362
-5.21960980,3.16010058,0.21730003,0.00000000,0.95734649,0.70328843,0.05743803,1.17138552
-5.21360680,3.22959615,0.21915364,0.00000000,0.97632453,0.72756661,0.06027160,1.19733971
-5.20760380,3.29494509,0.22041341,0.00000000,0.99411719,0.75123140,0.06288436,1.22194919
-5.20160080,3.35477657,0.22103342,0.00000000,1.01034003,0.77388429,0.06522696,1.24470464
-5.19559780,3.40775795,0.22097484,0.00000000,1.02461573,0.79513294,0.06725440,1.26510618
-5.18959480,3.45263075,0.22020784,0.00000000,1.03658305,0.81460108,0.06892738,1.28267625
-5.18359180,3.48824805,0.21871352,0.00000000,1.04590651,0.83193884,0.07021344,1.29697324
-5.17758879,3.51361160,0.21648554,0.00000000,1.05228643,0.84683303,0.07108800,1.30760513
-5.17158579,3.52790707,0.21353161,0.00000000,1.05546904,0.85901700,0.07153507,1.31424279
-5.16558279,3.53053575,0.20987455,0.00000000,1.05525591,0.86827963,0.07154780,1.31663211
-5.15957979,3.52114084,0.20555284,0.00000000,1.05151256,0.87447303,0.07112869,1.31460445
-5.15357679,3.49962707,0.20062067,0.00000000,1.04417546,0.87751851,0.07028953,1.30808476
-5.14757379,3.46617227,0.19514740,0.00000000,1.03325720,0.87741057,0.06905105,1.29709696
-5.14157079,3.42123007,0.18921634,0.00000000,1.01884936,0.87421859,0.06744227,1.28176614
-5.13556778,3.36552326,0.18292310,0.00000000,1.00112291,0.86808615,0.06549964,1.26231739
-5.12956478,3.30002790,0.17637328,0.00000000,0.98032596,0.85922785,0.06326590,1.23907124
-5.12356178,3.22594843,0.16967980,0.00000000,0.95677884,0.84792376,0.06078881,1.21243566
-5.11755878,3.14468491,0.16295995,0.00000000,0.93086677,0.83451171,0.05811972,1.18289508
-5.11155578,3.05779342,0.15633217,0.00000000,0.90303015,0.81937763,0.05531209,1.15099669
-5.10555278,2.96694138,0.14991284,0.00000000,0.87375300,0.80294440,0.05241995,1.11733457
-5.09954977,2.87385942,0.14381314,0.00000000,0.84354994,0.78565957,0.04949640,1.08253236
-5.09354677,2.78029186,0.13813618,0.00000000,0.81295224,0.76798252,0.04659226,1.04722508
