energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-4.93746873,9.14871804,0.02777627,1.27735082,0.03112871,0.00000000,2.82388134,3.42188932,0.04249731,4.04256931
-4.93146573,9.16166915,0.02996872,1.23135879,0.03053641,0.00000000,2.75355516,3.46088365,0.04211755,4.07774094
-4.92546273,9.19183847,0.03239931,1.18775624,0.02993120,0.00000000,2.69002122,3.50684826,0.04176890,4.11970906
-4.91945973,9.23914849,0.03504463,1.14668616,0.02932380,0.00000000,2.63368912,3.55959162,0.04146058,4.16837428
-4.91345673,9.30299239,0.03787712,1.10824078,0.02872471,0.00000000,2.58479502,3.61870329,0.04120073,4.22339708
-4.90745373,9.38225384,0.04086533,1.07247289,0.02814405,0.00000000,2.54340681,3.68356294,0.04099610,4.28419876
-4.90145073,9.47534511,0.04397437,1.03940726,0.02759132,0.00000000,2.50943384,3.75335701,0.04085184,4.34997246
-4.89544772,9.58026274,0.04716649,1.00905163,0.02707525,0.00000000,2.48264094,3.82710275,0.04077129,4.41970471
-4.88944472,9.69465967,0.05040180,0.98140661,0.02660365,0.00000000,2.46266633,3.90367888,0.04075594,4.49220694
-4.88344172,9.81593152,0.05363917,0.95647423,0.02618327,0.00000000,2.44904288,3.98186197,0.04080544,4.56615656
-4.87743872,9.94131442,0.05683715,0.93426474,0.02581974,0.00000000,2.44122211,4.06036735,0.04091776,4.64014593
-4.87143572,10.06799082,0.05995516,0.91480149,0.02551754,0.00000000,2.43860023,4.13789279,0.04108935,4.71273775
-4.86543272,10.19319940,0.06295458,0.89812397,0.02527993,0.00000000,2.44054540,4.21316367,0.04131551,4.78252437
-4.85942971,10.31434510,0.06579993,0.88428890,0.02510909,0.00000000,2.44642547,4.28497765,0.04159073,4.84818882
-4.85342671,10.42910469,0.06846007,0.87336967,0.02500613,0.00000000,2.45563513,4.35224713,0.04190910,4.90856465
-4.84742371,10.53552394,0.07090925,0.86545443,0.02497124,0.00000000,2.46762189,4.41403809,0.04226484,4.96269202
-4.84142071,10.63210234,0.07312804,0.86064303,0.02500386,0.00000000,2.48190972,4.46960362,0.04265274,5.00986728
-4.83541771,10.71786207,0.07510415,0.85904324,0.02510286,0.00000000,2.49811988,4.51841108,0.04306860,5.04968377
-4.82941471,10.79239832,0.07683289,0.86076659,0.02526674,0.00000000,2.51598786,4.56016195,0.04350973,5.08206174
-4.82341171,10.85590896,0.07831751,0.86592406,0.02549388,0.00000000,2.53537604,4.59480378,0.04397524,5.10726589
-4.81740870,10.90920236,0.07956912,0.87462198,0.02578273,0.00000000,2.55628146,4.62253396,0.04446636,5.12590935
-4.81140570,10.95368290,0.08060642,0.88695828,0.02613207,0.00000000,2.57883817,4.64379546,0.04498662,5.13894388
-4.80540270,10.99131461,0.08145496,0.90301912,0.02654114,0.00000000,2.60331402,4.65926473,0.04554186,5.14763631
-4.79939970,11.02456411,0.08214630,0.92287594,0.02700985,0.00000000,2.63010166,4.66983263,0.04614020,5.15353194
-4.79339670,11.05632484,0.08271672,0.94658291,0.02753888,0.00000000,2.65970386,4.67657885,0.04679177,5.15840631
-4.78739370,11.08982474,0.08320582,0.97417439,0.02812969,0.00000000,2.69271322,4.68074101,0.04750841,5.16420689
-4.78139070,11.12852063,0.08365489,1.00566254,0.02878458,0.00000000,2.72978680,4.68367930,0.04830314,5.17298706
-4.77538769,11.17598214,0.08410518,1.04103441,0.02950656,0.00000000,2.77161609,4.68683772,0.04918960,5.18683445
-4.76938469,11.23576890,0.08459614,1.08024863,0.03029920,0.00000000,2.81889322,4.69170292,0.05018134,5.20779643
-4.76338169,11.31130437,0.08516369,1.12323136,0.03116640,0.00000000,2.87227414,4.69976160,0.05129108,5.23780523
-4.75737869,11.40575001,0.08583855,1.16987138,0.03211210,0.00000000,2.93234015,4.71245748,0.05252993,5.27860526
-4.75137569,11.52188324,0.08664487,1.22001432,0.03313992,0.00000000,2.99955880,4.73114856,0.05390660,5.33168508
-4.74537269,11.66198277,0.08759891,1.27345622,0.03425275,0.00000000,3.07424581,4.75706570,0.05542667,5.39821620
-4.73936968,11.82772461,0.08870819,1.32993662,0.03545232,0.00000000,3.15652934,4.79127320,0.05709187,5.47900072
-4.73336668,12.02009186,0.08997091,1.38913153,0.03673876,0.00000000,3.24631833,4.83463231,0.05889959,5.57442951
-4.72736368,12.23930144,0.09137568,1.45064692,0.03811016,0.00000000,3.34327639,4.88776842,0.06084241,5.68445212
-4.72136068,12.48475021,0.09290171,1.51401314,0.03956224,0.00000000,3.44680282,4.95104293,0.06290782,5.80855965
-4.71535768,12.75498296,0.09451935,1.57868117,0.04108794,0.00000000,3.55602198,5.02453040,0.06507822,5.94578087
-4.70935468,13.04768412,0.09619100,1.64402108,0.04267729,0.00000000,3.66978229,5.10800221,0.06733098,6.09469219
-4.70335168,13.35969445,0.09787226,1.70932354,0.04431721,0.00000000,3.78666550,5.20091713,0.06963880,6.25344101
-4.69734867,13.68705347,0.09951352,1.77380473,0.04599155,0.00000000,3.90500674,5.30241978,0.07197021,6.41978215
-4.69134567,14.02506754,0.10106164,1.83661512,0.04768126,0.00000000,4.02292529,5.41134746,0.07429027,6.59112643
-4.68534267,14.36840258,0.10246183,1.89685210,0.04936460,0.00000000,4.13836558,5.52624565,0.07656147,6.76460001
-4.67933967,14.71119976,0.10365963,1.95357658,0.05101764,0.00000000,4.24914737,5.64539229,0.07874466,6.93711313
-4.67333667,15.04721120,0.10460289,2.00583304,0.05261476,0.00000000,4.35302362,5.76683072,0.08080018,7.10543601
-4.66733367,15.36995225,0.10524370,2.05267262,0.05412932,0.00000000,4.44774419,5.88841056,0.08268898,7.26628008
-4.66133067,15.67286571,0.10554013,2.09317833,0.05553444,0.00000000,4.53112286,6.00783581,0.08437378,7.41638179
-4.65532766,15.94949294,0.10545783,2.12649145,0.05680373,0.00000000,4.60110525,6.12271884,0.08582016,7.55258664
