energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-2.74037019,1.74676765,0.28156308,0.81483917,0.00346954,0.03289104,0.01758087,0.40123713,0.19666725,0.22697526
-2.73436718,1.75663857,0.28671164,0.82328673,0.00364815,0.03324135,0.01834445,0.40972323,0.19659700,0.21895735
-2.72836418,1.76415533,0.29182951,0.82979122,0.00383045,0.03355471,0.01909087,0.41755302,0.19600045,0.21164680
-2.72236118,1.76923872,0.29680547,0.83429789,0.00401643,0.03382159,0.01981752,0.42474389,0.19484138,0.20505627
-2.71635818,1.77196248,0.30154945,0.83683152,0.00420621,0.03403443,0.02052248,0.43135570,0.19310314,0.19920562
-2.71035518,1.77254401,0.30599328,0.83749181,0.00439993,0.03418756,0.02120445,0.43748766,0.19078875,0.19412129
-2.70435218,1.77132797,0.31009030,0.83644519,0.00459779,0.03427716,0.02186253,0.44327324,0.18792012,0.18983515
-2.69834917,1.76876354,0.31381398,0.83391373,0.00479991,0.03430100,0.02249596,0.44887337,0.18453652,0.18638270
-2.69234617,1.76537643,0.31715546,0.83016146,0.00500630,0.03425819,0.02310391,0.45446827,0.18069234,0.18380068
-2.68634317,1.76173718,0.32012039,0.82547900,0.00521679,0.03414889,0.02368519,0.46024818,0.17645432,0.18212435
-2.68034017,1.75842717,0.32272503,0.82016732,0.00543091,0.03397397,0.02423798,0.46640351,0.17189829,0.18138444
-2.67433717,1.75600437,0.32499206,0.81452126,0.00564788,0.03373466,0.02475965,0.47311471,0.16710572,0.18160395
-2.66833417,1.75497034,0.32694624,0.80881402,0.00586647,0.03343229,0.02524660,0.48054252,0.16216015,0.18279500
-2.66233117,1.75574036,0.32861024,0.80328307,0.00608503,0.03306806,0.02569411,0.48881892,0.15714370,0.18495586
-2.65632816,1.75861800,0.33000083,0.79811839,0.00630140,0.03264282,0.02609640,0.49803916,0.15213387,0.18806844
-2.65032516,1.76377548,0.33112573,0.79345344,0.00651297,0.03215702,0.02644664,0.50825539,0.14720074,0.19209620
-2.64432216,1.77124062,0.33198129,0.78935937,0.00671665,0.03161067,0.02673715,0.51947194,0.14240464,0.19698275
-2.63831916,1.78089097,0.33255101,0.78584252,0.00690897,0.03100340,0.02695962,0.53164266,0.13779445,0.20265123
-2.63231616,1.79245514,0.33280516,0.78284538,0.00708614,0.03033464,0.02710544,0.54467025,0.13340655,0.20900442
-2.62631316,1.80552123,0.33270136,0.78025061,0.00724421,0.02960378,0.02716604,0.55840770,0.12926439,0.21592573
-2.62031016,1.81955167,0.33218608,0.77788807,0.00737912,0.02881042,0.02713334,0.57266166,0.12537866,0.22328095
-2.61430715,1.83390355,0.33119704,0.77554408,0.00748692,0.02795461,0.02700012,0.58719768,0.12174812,0.23092076
-2.60830415,1.84785351,0.32966624,0.77297263,0.00756391,0.02703714,0.02676047,0.60174698,0.11836081,0.23868394
-2.60230115,1.86062568,0.32752347,0.76990766,0.00760678,0.02605973,0.02641013,0.61601457,0.11519572,0.24640104
-2.59629815,1.87142154,0.32470014,0.76607598,0.00761277,0.02502523,0.02594681,0.62968833,0.11222471,0.25389857
-2.59029515,1.87945020,0.32113310,0.76121003,0.00757977,0.02393780,0.02537042,0.64244869,0.10941462,0.26100338
-2.58429215,1.88395793,0.31676837,0.75506004,0.00750650,0.02280288,0.02468326,0.65397869,0.10672946,0.26754720
-2.57828914,1.88425579,0.31156445,0.74740491,0.00739249,0.02162729,0.02388999,0.66397392,0.10413249,0.27337106
-2.57228614,1.87974428,0.30549520,0.73806168,0.00723821,0.02041908,0.02299762,0.67215212,0.10158834,0.27832961
-2.56628314,1.86993444,0.29855198,0.72689300,0.00704501,0.01918741,0.02201537,0.67826218,0.09906476,0.28229502
-2.56028014,1.85446464,0.29074514,0.71381266,0.00681512,0.01794239,0.02095436,0.68209218,0.09653428,0.28516047
-2.55427714,1.83311292,0.28210478,0.69878896,0.00655159,0.01669480,0.01982736,0.68347638,0.09397559,0.28684300
-2.54827414,1.80580464,0.27268063,0.68184610,0.00625818,0.01545586,0.01864834,0.68230098,0.09137457,0.28728583
-2.54227114,1.77261561,0.26254136,0.66306356,0.00593923,0.01423693,0.01743207,0.67850840,0.08872517,0.28645980
-2.53626813,1.73377088,0.25177314,0.64257382,0.00559955,0.01304930,0.01619370,0.67210020,0.08602990,0.28436425
-2.53026513,1.68963948,0.24047770,0.62055859,0.00524420,0.01190392,0.01494827,0.66313843,0.08330021,0.28102698
-2.52426213,1.64072576,0.22877001,0.59724373,0.00487841,0.01081121,0.01371032,0.65174558,0.08055656,0.27650356
-2.51825913,1.58765764,0.21677555,0.57289342,0.00450736,0.00978094,0.01249352,0.63810296,0.07782837,0.27087592
-2.51225613,1.53117234,0.20462752,0.54780351,0.00413607,0.00882208,0.01131033,0.62244772,0.07515380,0.26425023
-2.50625313,1.47210018,0.19246397,0.52229460,0.00376925,0.00794283,0.01017172,0.60506863,0.07257934,0.25675434
-2.50025013,1.41134698,0.18042493,0.49670488,0.00341118,0.00715058,0.00908704,0.58630052,0.07015933,0.24853454
-2.49424712,1.34987535,0.16864981,0.47138307,0.00306564,0.00645200,0.00806385,0.56651781,0.06795535,0.23975208
-2.48824412,1.28868550,0.15727489,0.44668143,0.00273585,0.00585314,0.00710788,0.54612703,0.06603549,0.23057936
-2.48224112,1.22879586,0.14643124,0.42294918,0.00242442,0.00535955,0.00622311,0.52555864,0.06447343,0.22119591
-2.47623812,1.17122379,0.13624281,0.40052620,0.00213331,0.00497642,0.00541177,0.50525824,0.06334749,0.21178439
-2.47023512,1.11696670,0.12682491,0.37973719,0.00186392,0.00470874,0.00467456,0.48567743,0.06273944,0.20252656
-2.46423212,1.06698385,0.11828298,0.36088618,0.00161703,0.00456142,0.00401074,0.46726446,0.06273316,0.19359945
-2.45822911,1.02217894,0.11071166,0.34425157,0.00139290,0.00453937,0.00341838,0.45045478,0.06341311,0.18517182
-2.45222611,0.98338370,0.10419401,0.33008152,0.00119133,0.00464760,0.00289457,0.43566185,0.06486263,0.17740086
-2.44622311,0.95134274,0.09880109,0.31858982,0.00101169,0.00489120,0.00243561,0.42326820,0.06716200,0.17042942
-2.44022011,0.92669962,0.09459149,0.30995212,0.00085305,0.00527529,0.00203726,0.41361702,0.07038635,0.16438358
-2.43421711,0.90998451,0.09161118,0.30430263,0.00071417,0.00580494,0.00169495,0.40700440,0.07460336,0.15937090
-2.42821411,0.90160341,0.08989322,0.30173126,0.00059368,0.00648495,0.00140394,0.40367241,0.07987093,0.15547900
-2.42221111,0.90182931,0.08945770,0.30228127,0.00049003,0.00731965,0.00115949,0.40380305,0.08623466,0.15277489
-2.41620810,0.91079530,0.09031156,0.30594747,0.00040166,0.00831262,0.00095704,0.40751343,0.09372542,0.15130468
-2.41020510,0.92848992,0.09244851,0.31267503,0.00032694,0.00946636,0.00079229,0.41485210,0.10235701,0.15109389
-2.40420210,0.95475504,0.09584898,0.32235910,0.00026433,0.01078196,0.00066133,0.42579668,0.11212398,0.15214824
-2.39819910,0.98928628,0.10048011,0.33484510,0.00021232,0.01225874,0.00056066,0.44025305,0.12299974,0.15445483
-2.39219610,1.03163632,0.10629586,0.34993013,0.00016949,0.01389392,0.00048731,0.45805600,0.13493519,0.15798374
-2.38619310,1.08122121,0.11323726,0.36736518,0.00013455,0.01568233,0.00043878,0.47897152,0.14785773,0.16268989
-2.38019010,1.13732973,0.12123284,0.38685859,0.00010633,0.01761621,0.00041312,0.50270068,0.16167104,0.16851514
