energy_ev,total_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
4.61330665,2.08136281,2.17901981,0.45992140,0.12383437,0.29494214,0.67408197,0.00000000
4.61930965,1.93601205,2.01960756,0.43017044,0.11206765,0.27320280,0.62428179,0.00000000
4.62531266,1.79001311,1.86053121,0.39993400,0.10070832,0.25154220,0.57464954,0.00000000
4.63131566,1.64513717,1.70366874,0.36960087,0.08986776,0.23021323,0.52576769,0.00000000
4.63731866,1.50299613,1.55070230,0.33953429,0.07963521,0.20944190,0.47815600,0.00000000
4.64332166,1.36502168,1.40309927,0.31006631,0.07007789,0.18942497,0.43226581,0.00000000
4.64932466,1.23245182,1.26210193,0.28149360,0.06124179,0.17032875,0.38847701,0.00000000
4.65532766,1.10632477,1.12872540,0.25407479,0.05315309,0.15228904,0.34709759,0.00000000
4.66133067,0.98747957,1.00376295,0.22802918,0.04582011,0.13541201,0.30836559,0.00000000
4.66733367,0.87656303,0.88779803,0.20353698,0.03923554,0.11977606,0.27245297,0.00000000
4.67333667,0.77404204,0.78122175,0.18074075,0.03337895,0.10543436,0.23947128,0.00000000
4.67933967,0.68022038,0.68425481,0.15974805,0.02821941,0.09241801,0.20947864,0.00000000
4.68534267,0.59525905,0.59697268,0.14063496,0.02371801,0.08073965,0.18248766,0.00000000
4.69134567,0.51919918,0.51933286,0.12345049,0.01983032,0.07039724,0.15847402,0.00000000
4.69734867,0.45198637,0.45120310,0.10822143,0.01650869,0.06137813,0.13738529,0.00000000
4.70335168,0.39349560,0.39238959,0.09495758,0.01370417,0.05366294,0.11914969,0.00000000
4.70935468,0.34355575,0.34266399,0.08365701,0.01136832,0.04722940,0.10368450,0.00000000
4.71535768,0.30197288,0.30178872,0.07431130,0.00945459,0.04205580,0.09090388,0.00000000
4.72136068,0.26855139,0.26953939,0.06691029,0.00791944,0.03812415,0.08072584,0.00000000
4.72736368,0.24311252,0.24572398,0.06144642,0.00672315,0.03542275,0.07307825,0.00000000
4.73336668,0.22550951,0.23019809,0.05791824,0.00583035,0.03394823,0.06790353,0.00000000
4.73936968,0.21563876,0.22287570,0.05633303,0.00521031,0.03370690,0.06516219,0.00000000
4.74537269,0.21344693,0.22373523,0.05670849,0.00483696,0.03471538,0.06483481,0.00000000
4.75137569,0.21893324,0.23282053,0.05907310,0.00468875,0.03700043,0.06692263,0.00000000
4.75737869,0.23214725,0.25023664,0.06346548,0.00474835,0.04059803,0.07144655,0.00000000
4.76338169,0.25318165,0.27614040,0.06993231,0.00500214,0.04555153,0.07844460,0.00000000
4.76938469,0.28216056,0.31072592,0.07852515,0.00543969,0.05190915,0.08796795,0.00000000
4.77538769,0.31922329,0.35420536,0.08929605,0.00605307,0.05972055,0.10007548,0.00000000
4.78139070,0.36450432,0.40678532,0.10229207,0.00683617,0.06903284,0.11482705,0.00000000
4.78739370,0.41810990,0.46863977,0.11754901,0.00778391,0.07988598,0.13227576,0.00000000
4.79339670,0.48009222,0.53988028,0.13508444,0.00889158,0.09230770,0.15245924,0.00000000
4.79939970,0.55042228,0.62052468,0.15489037,0.01015403,0.10630823,0.17539057,0.00000000
4.80540270,0.62896244,0.71046550,0.17692598,0.01156507,0.12187502,0.20104891,0.00000000
4.81140570,0.71544021,0.80943972,0.20111058,0.01311679,0.13896762,0.22937045,0.00000000
4.81740870,0.80942452,0.91700126,0.22731748,0.01479913,0.15751308,0.26024007,0.00000000
4.82341171,0.91030607,1.03249803,0.25536885,0.01659946,0.17740218,0.29348413,0.00000000
4.82941471,1.01728314,1.15505501,0.28503228,0.01850234,0.19848657,0.32886497,0.00000000
4.83541771,1.12935417,1.28356496,0.31601915,0.02048948,0.22057733,0.36607740,0.00000000
4.84142071,1.24531816,1.41668796,0.34798522,0.02253982,0.24344499,0.40474781,0.00000000
4.84742371,1.36378384,1.55286080,0.38053365,0.02462986,0.26682123,0.44443594,0.00000000
4.85342671,1.48318792,1.69031678,0.41322050,0.02673415,0.29040239,0.48463968,0.00000000
4.85942971,1.60182264,1.82711605,0.44556277,0.02882596,0.31385474,0.52480294,0.00000000
4.86543272,1.71787200,1.96118606,0.47704875,0.03087811,0.33682148,0.56432650,0.00000000
4.87143572,1.82945595,2.09037116,0.50715050,0.03286404,0.35893139,0.60258157,0.00000000
4.87743872,1.93468109,2.21248992,0.53533797,0.03475883,0.37980867,0.63892575,0.00000000
4.88344172,2.03169607,2.32539808,0.56109431,0.03654047,0.39908384,0.67272082,0.00000000
4.88944472,2.11874967,2.42705499,0.58393171,0.03819101,0.41640521,0.70335166,0.00000000
4.89544772,2.19424909,2.51559053,0.60340714,0.03969779,0.43145043,0.73024568,0.00000000
4.90145073,2.25681594,2.58937004,0.61913731,0.04105455,0.44393768,0.75289175,0.00000000
4.90745373,2.30533753,2.64705407,0.63081210,0.04226240,0.45363609,0.77085796,0.00000000
4.91345673,2.33901104,2.68765057,0.63820589,0.04333065,0.46037471,0.78380736,0.00000000
4.91945973,2.35737857,2.71055690,0.64118625,0.04427741,0.46404985,0.79151090,0.00000000
4.92546273,2.36035141,2.71558985,0.63971953,0.04512990,0.46463037,0.79385705,0.00000000
4.93146573,2.34822234,2.70300220,0.63387313,0.04592457,0.46216063,0.79085754,0.00000000
4.93746873,2.32166551,2.67348524,0.62381422,0.04670683,0.45676106,0.78264899,0.00000000
4.94347174,2.28172384,2.62815694,0.60980516,0.04753060,0.44862622,0.76949033,0.00000000
4.94947474,2.22978463,2.56853663,0.59219567,0.04845750,0.43802062,0.75175610,0.00000000
4.95547774,2.16754446,2.49650721,0.57141211,0.04955587,0.42527224,0.72992589,0.00000000
4.96148074,2.09696512,2.41426690,0.54794449,0.05089953,0.41076432,0.70457045,0.00000000
4.96748374,2.02022253,2.32427244,0.52233167,0.05256642,0.39492554,0.67633500,0.00000000
4.97348674,1.93965081,2.22917646,0.49514546,0.05463710,0.37821918,0.64592038,0.00000000
4.97948974,1.85768394,2.13176147,0.46697416,0.05719321,0.36113150,0.61406301,0.00000000
4.98549275,1.77679712,2.03487313,0.43840639,0.06031593,0.34415999,0.58151412,0.00000000
4.99149575,1.69945010,1.94135502,0.41001552,0.06408447,0.32780165,0.54901931,0.00000000
4.99749875,1.62803413,1.85398721,0.38234553,0.06857467,0.31254187,0.51729890,0.00000000
5.00350175,1.56482414,1.77543019,0.35589848,0.07385770,0.29884404,0.48702985,0.00000000
5.00950475,1.51193702,1.70817539,0.33112396,0.07999892,0.28714025,0.45882969,0.00000000
5.01550775,1.47129679,1.65450310,0.30841084,0.08705689,0.27782312,0.43324281,0.00000000
5.02151076,1.44460670,1.61644807,0.28808125,0.09508250,0.27123898,0.41072950,0.00000000
5.02751376,1.43332807,1.59577265,0.27038691,0.10411827,0.26768233,0.39165779,0.00000000
5.03351676,1.43866549,1.59394699,0.25550757,0.11419770,0.26739160,0.37629825,0.00000000
5.03951976,1.46155749,1.61213549,0.24355166,0.12534471,0.27054617,0.36482156,0.00000000
5.04552276,1.50267177,1.65118883,0.23455854,0.13757312,0.27726456,0.35729892,0.00000000
5.05152576,1.56240428,1.71164037,0.22850257,0.15088602,0.28760364,0.35370495,0.00000000
5.05752876,1.64088103,1.79370626,0.22529833,0.16527519,0.30155892,0.35392306,0.00000000
5.06353177,1.73796206,1.89728837,0.22480701,0.18072036,0.31906563,0.35775280,0.00000000
5.06953477,1.85324694,2.02197973,0.22684362,0.19718843,0.34000070,0.36491912,0.00000000
5.07553777,1.98608155,2.16707194,0.23118469,0.21463253,0.36418549,0.37508323,0.00000000
5.08154077,2.13556603,2.33156475,0.23757648,0.23299110,0.39138932,0.38785456,0.00000000
5.08754377,2.30056420,2.51417805,0.24574327,0.25218695,0.42133364,0.40280385,0.00000000
5.09354677,2.47971471,2.71336658,0.25539561,0.27212637,0.45369696,0.41947674,0.00000000
5.09954977,2.67144465,2.92733812,0.26623851,0.29269848,0.48812050,0.43740770,0.00000000
5.10555278,2.87398621,3.15407578,0.27797916,0.31377482,0.52421444,0.45613390,0.00000000
5.11155578,3.08539702,3.39136493,0.29033426,0.33520937,0.56156483,0.47520872,0.00000000
5.11755878,3.30358483,3.63682549,0.30303672,0.35683915,0.59974107,0.49421449,0.00000000
5.12356178,3.52633692,3.88794957,0.31584153,0.37848543,0.63830377,0.51277416,0.00000000
5.12956478,3.75135438,4.14214466,0.32853093,0.39995563,0.67681300,0.53056161,0.00000000
5.13556778,3.97629118,4.39678193,0.34091842,0.42104609,0.71483666,0.54731023,0.00000000
5.14157079,4.19879744,4.64924874,0.35285192,0.44154558,0.75195884,0.56281961,0.00000000
5.14757379,4.41656614,4.89700418,0.36421570,0.46123956,0.78778789,0.57696012,0.00000000
5.15357679,4.62738190,5.13763614,0.37493122,0.47991507,0.82196399,0.58967523,0.00000000
5.15957979,4.82917040,5.36891777,0.38495689,0.49736622,0.85416609,0.60098159,0.00000000
5.16558279,5.02004651,5.58886130,0.39428673,0.51339986,0.88411772,0.61096685,0.00000000
5.17158579,5.19835926,5.79576677,0.40294796,0.52784139,0.91159176,0.61978540,0.00000000
5.17758879,5.36273151,5.98826349,0.41099783,0.54054037,0.93641375,0.62765215,0.00000000
5.18359180,5.51209241,6.16534193,0.41851956,0.55137556,0.95846374,0.63483465,0.00000000
5.18959480,5.64570098,6.32637421,0.42561777,0.56025927,0.97767650,0.64164392,0.00000000
5.19559780,5.76315911,6.47112174,0.43241339,0.56714057,0.99404010,0.64842417,0.00000000
5.20160080,5.86441333,6.59972913,0.43903845,0.57200733,1.00759288,0.65554204,0.00000000
5.20760380,5.94974452,6.71270405,0.44563064,0.57488678,1.01841894,0.66337548,0.00000000
5.21360680,6.01974589,6.81088354,0.45232816,0.57584447,1.02664237,0.67230276,0.00000000
5.21960980,6.07528970,6.89538779,0.45926463,0.57498187,1.03242027,0.68269193,0.00000000
5.22561281,6.11748416,6.96756324,0.46656458,0.57243226,1.03593512,0.69489097,0.00000000
5.23161581,6.14762212,7.02891740,0.47433931,0.56835553,1.03738664,0.70921883,0.00000000
5.23761881,6.16712379,7.08104811,0.48268339,0.56293172,1.03698354,0.72595759,0.00000000
5.24362181,6.17747611,7.12557049,0.49167182,0.55635392,1.03493556,0.74534575,0.00000000
5.24962481,6.18017134,7.16404492,0.50135777,0.54882060,1.03144607,0.76757280,0.00000000
5.25562781,6.17664763,7.19790916,0.51177108,0.54052798,1.02670564,0.79277488,0.00000000
5.26163082,6.16823432,7.22841785,0.52291738,0.53166271,1.02088668,0.82103167,0.00000000
5.26763382,6.15610403,7.25659197,0.53477778,0.52239521,1.01413949,0.85236431,0.00000000
5.27363682,6.14123381,7.28318033,0.54730919,0.51287405,1.00658967,0.88673431,0.00000000
5.27963982,6.12437661,7.30863473,0.56044518,0.50322163,0.99833706,0.92404323,0.00000000
5.28564282,6.10604396,7.33309942,0.57409719,0.49353132,0.98945602,0.96413326,0.00000000
5.29164582,6.08650034,7.35641492,0.58815631,0.48386622,0.97999691,1.00678839,0.00000000
5.29764882,6.06576875,7.37813560,0.60249529,0.47425944,0.96998861,1.05173633,0.00000000
5.30365183,6.04364682,7.39755947,0.61697090,0.46471605,0.95944180,1.09865099,0.00000000
5.30965483,6.01973200,7.41376844,0.63142656,0.45521622,0.94835269,1.14715566,0.00000000
5.31565783,5.99345433,7.42567656,0.64569515,0.44571966,0.93670683,1.19682687,0.00000000
5.32166083,5.96411462,7.43208364,0.65960203,0.43617083,0.92448289,1.24719900,0.00000000
5.32766383,5.93092612,7.43173160,0.67296811,0.42650463,0.91165601,1.29776967,0.00000000
5.33366683,5.89305743,7.42336053,0.68561306,0.41665234,0.89820063,1.34800603,0.00000000
5.33966983,5.84967476,7.40576233,0.69735854,0.40654742,0.88409260,1.39735190,0.00000000
5.34567284,5.79998158,7.37782928,0.70803138,0.39613072,0.86931061,1.44523580,0.00000000
5.35167584,5.74325416,7.33859609,0.71746671,0.38535505,0.85383699,1.49107986,0.00000000
5.35767884,5.67887191,7.28727385,0.72551097,0.37418877,0.83765789,1.53430951,0.00000000
5.36368184,5.60634149,7.22327518,0.73202472,0.36261821,0.82076307,1.57436372,0.00000000
5.36968484,5.52531439,7.14623025,0.73688523,0.35064901,0.80314548,1.61070575,0.00000000
5.37568784,5.43559790,7.05599384,0.73998876,0.33830613,0.78480086,1.64283403,0.00000000
5.38169085,5.33715964,6.95264417,0.74125254,0.32563288,0.76572749,1.67029300,0.00000000
