energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-5.28564282,4.90332895,0.04021561,0.12727757,0.64166256,1.33585310,0.07699233,2.84997639,0.76631417,0.37479824
-5.27963982,4.96401781,0.04093855,0.12311346,0.64047229,1.35961891,0.07445528,2.89393339,0.78053910,0.38155059
-5.27363682,5.05504837,0.04182679,0.11955512,0.64416997,1.39049139,0.07209982,2.95630881,0.80052138,0.39107260
-5.26763382,5.17635732,0.04287773,0.11662240,0.65273606,1.42840140,0.06995670,3.03705845,0.82625182,0.40337385
-5.26163082,5.32699632,0.04408185,0.11431771,0.66603066,1.47304937,0.06804490,3.13561081,0.85757600,0.41839508
-5.25562781,5.50513617,0.04542279,0.11262621,0.68379381,1.52390972,0.06637160,3.25086881,0.89419299,0.43600761
-5.24962481,5.70810283,0.04687773,0.11151668,0.70564970,1.58024408,0.06493265,3.38123004,0.93565937,0.45601507
-5.24362181,5.93244421,0.04841795,0.11094302,0.73111469,1.64112270,0.06371339,3.52462510,0.98139826,0.47815747
-5.23761881,6.17402546,0.05000971,0.11084635,0.75960882,1.70545335,0.06268996,3.67857270,1.03071337,0.50211739
-5.23161581,6.42814920,0.05161535,0.11115754,0.79047060,1.77201645,0.06183088,3.84024955,1.08280737,0.52752820
-5.22561281,6.68969636,0.05319455,0.11180010,0.82297446,1.83950511,0.06109879,4.00657266,1.13680414,0.55398387
-5.21960980,6.95328248,0.05470571,0.11269326,0.85635040,1.90656844,0.06045240,4.17429099,1.19177415,0.58105028
-5.21360680,7.21342349,0.05610742,0.11375512,0.88980524,1.97185641,0.05984846,4.34008314,1.24676192,0.60827728
-5.20760380,7.46470488,0.05735995,0.11490576,0.92254474,2.03406444,0.05924371,4.50065756,1.30081471,0.63521145
-5.20160080,7.70194795,0.05842672,0.11607012,0.95379584,2.09197584,0.05859663,4.65285140,1.35301134,0.66140879
-5.19559780,7.92036666,0.05927565,0.11718068,0.98282840,2.14450056,0.05786913,4.79372455,1.40249000,0.68644706
-5.18959480,8.11570948,0.05988031,0.11817964,1.00897567,2.19070850,0.05702792,4.92064526,1.44847410,0.70993728
-5.18359180,8.28438081,0.06022099,0.11902072,1.03165269,2.22985623,0.05604559,5.03136413,1.49029505,0.73153390
-5.17758879,8.42353757,0.06028540,0.11967037,1.05037232,2.26140601,0.05490143,5.12407406,1.52741116,0.75094347
-5.17158579,8.53115763,0.06006920,0.12010848,1.06475794,2.28503647,0.05358190,5.19745377,1.55942197,0.76793128
