energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
1.73786893,1.35536399,0.05206775,0.00000000,0.00730510,0.14420847,0.65308592,1.60768945
1.74387194,1.33624883,0.04715322,0.00000000,0.00691705,0.14173418,0.62756404,1.59277882
1.74987494,1.32056066,0.04294496,0.00000000,0.00661713,0.14005616,0.60707437,1.58023607
1.75587794,1.30737557,0.03935037,0.00000000,0.00639791,0.13905708,0.59106252,1.56910829
1.76188094,1.29575699,0.03627967,0.00000000,0.00625101,0.13860789,0.57892429,1.55843560
1.76788394,1.28478437,0.03364793,0.00000000,0.00616722,0.13857181,0.57002198,1.54728241
1.77388694,1.27357973,0.03137651,0.00000000,0.00613674,0.13880837,0.56370067,1.53476610
1.77988994,1.26133130,0.02939422,0.00000000,0.00614941,0.13917755,0.55930404,1.52008243
1.78589295,1.24731366,0.02763809,0.00000000,0.00619488,0.13954359,0.55618962,1.50252693
1.79189595,1.23090411,0.02605378,0.00000000,0.00626291,0.13977870,0.55374286,1.48151189
1.79789895,1.21159484,0.02459565,0.00000000,0.00634349,0.13976634,0.55139011,1.45657855
1.80390195,1.18900094,0.02322658,0.00000000,0.00642713,0.13940403,0.54860997,1.42740466
1.80990495,1.16286421,0.02191757,0.00000000,0.00650502,0.13860571,0.54494296,1.39380714
1.81590795,1.13305304,0.02064706,0.00000000,0.00656921,0.13730342,0.53999927,1.35574055
1.82191096,1.09955853,0.01940027,0.00000000,0.00661276,0.13544844,0.53346451,1.31329129
1.82791396,1.06248745,0.01816825,0.00000000,0.00662988,0.13301177,0.52510323,1.26666851
1.83391696,1.02205224,0.01694701,0.00000000,0.00661598,0.12998400,0.51476042,1.21619187
1.83991996,0.97855887,0.01573657,0.00000000,0.00656780,0.12637463,0.50236075,1.16227710
1.84592296,0.93239291,0.01454005,0.00000000,0.00648334,0.12221077,0.48790584,1.10541981
1.85192596,0.88400444,0.01336282,0.00000000,0.00636187,0.11753552,0.47146961,1.04617834
1.85792896,0.83389239,0.01221166,0.00000000,0.00620390,0.11240591,0.45319200,0.98515612
1.86393197,0.78258884,0.01109410,0.00000000,0.00601103,0.10689050,0.43327121,0.92298426
1.86993497,0.73064372,0.01001779,0.00000000,0.00578589,0.10106696,0.41195497,0.86030480
1.87593797,0.67861041,0.00899000,0.00000000,0.00553194,0.09501947,0.38953095,0.79775511
1.88194097,0.62703266,0.00801729,0.00000000,0.00525331,0.08883618,0.36631691,0.73595387
1.88794397,0.57643298,0.00710518,0.00000000,0.00495467,0.08260680,0.34265073,0.67548885
1.89394697,0.52730294,0.00625803,0.00000000,0.00464102,0.07642039,0.31888091,0.61690686
1.89994997,0.48009543,0.00547896,0.00000000,0.00431752,0.07036338,0.29535754,0.56070579
1.90595298,0.43521892,0.00476983,0.00000000,0.00398936,0.06451799,0.27242438,0.50732909
1.91195598,0.39303384,0.00413140,0.00000000,0.00366159,0.05896087,0.25041191,0.45716240
1.91795898,0.35385088,0.00356337,0.00000000,0.00333902,0.05376218,0.22963166,0.41053246
1.92396198,0.31793120,0.00306465,0.00000000,0.00302617,0.04898498,0.21037196,0.36770805
1.92996498,0.28548827,0.00263350,0.00000000,0.00272716,0.04468498,0.19289485,0.32890267
1.93596798,0.25669113,0.00226778,0.00000000,0.00244572,0.04091049,0.17743439,0.29427896
1.94197099,0.23166882,0.00196520,0.00000000,0.00218520,0.03770274,0.16419606,0.26395427
1.94797399,0.21051573,0.00172351,0.00000000,0.00194858,0.03509631,0.15335709,0.23800729
1.95397699,0.19329746,0.00154075,0.00000000,0.00173859,0.03311971,0.14506769,0.21648538
1.95997999,0.18005711,0.00141545,0.00000000,0.00155775,0.03179609,0.13945280,0.19941224
1.96598299,0.17082154,0.00134681,0.00000000,0.00140848,0.03114394,0.13661429,0.18679562
1.97198599,0.16560746,0.00133487,0.00000000,0.00129325,0.03117784,0.13663334,0.17863496
1.97798899,0.16442714,0.00138068,0.00000000,0.00121466,0.03190914,0.13957286,0.17492840
1.98399200,0.16729353,0.00148638,0.00000000,0.00117563,0.03334657,0.14547989,0.17567929
