energy_ev,total_up,Pb_p_up,Pb_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-3.97098549,1.57761839,0.11145648,0.00209476,0.19878860,1.36114750,0.27077294,0.00000000
-3.96498249,1.49390075,0.09833281,0.00196374,0.19012739,1.28977278,0.26969108,0.00000000
-3.95897949,1.41960168,0.08639626,0.00185105,0.18287536,1.22629443,0.26997128,0.00000000
-3.95297649,1.35482020,0.07562740,0.00175587,0.17699668,1.17083158,0.27157334,0.00000000
-3.94697349,1.29945477,0.06599185,0.00167719,0.17242926,1.12333008,0.27441758,0.00000000
-3.94097049,1.25321794,0.05744263,0.00161379,0.16908716,1.08357458,0.27838801,0.00000000
-3.93496748,1.21565735,0.04992266,0.00156431,0.16686386,1.05120608,0.28333680,0.00000000
-3.92896448,1.18618178,0.04336724,0.00152728,0.16563613,1.02574407,0.28908993,0.00000000
-3.92296148,1.16409132,0.03770650,0.00150118,0.16526844,1.00661217,0.29545368,0.00000000
-3.91695848,1.14860994,0.03286770,0.00148448,0.16561766,0.99316596,0.30222179,0.00000000
-3.91095548,1.13891910,0.02877739,0.00147569,0.16653800,0.98472180,0.30918285,0.00000000
-3.90495248,1.13419090,0.02536336,0.00147339,0.16788573,0.98058532,0.31612775,0.00000000
-3.89894947,1.13361929,0.02255629,0.00147626,0.16952373,0.98007820,0.32285667,0.00000000
-3.89294647,1.13644793,0.02029118,0.00148315,0.17132562,0.98256219,0.32918546,0.00000000
-3.88694347,1.14199376,0.01850845,0.00149305,0.17317919,0.98745944,0.33495112,0.00000000
-3.88094047,1.14966519,0.01715479,0.00150513,0.17498916,0.99426816,0.34001601,0.00000000
-3.87493747,1.15897442,0.01618371,0.00151875,0.17667903,1.00257336,0.34427088,0.00000000
-3.86893447,1.16954364,0.01555584,0.00153344,0.17819212,1.01205214,0.34763640,0.00000000
-3.86293147,1.18110495,0.01523895,0.00154892,0.17949156,1.02247382,0.35006333,0.00000000
-3.85692846,1.19349459,0.01520780,0.00156504,0.18055955,1.03369501,0.35153134,0.00000000
-3.85092546,1.20664189,0.01544372,0.00158181,0.18139566,1.04565020,0.35204661,0.00000000
-3.84492246,1.22055390,0.01593409,0.00159931,0.18201453,1.05833872,0.35163844,0.00000000
-3.83891946,1.23529679,0.01667162,0.00161771,0.18244297,1.07180887,0.35035506,0.00000000
-3.83291646,1.25097516,0.01765357,0.00163722,0.18271664,1.08614034,0.34825896,0.00000000
-3.82691346,1.26771053,0.01888085,0.00165807,0.18287658,1.10142591,0.34542205,0.00000000
-3.82091046,1.28562031,0.02035711,0.00168046,0.18296571,1.11775367,0.34192084,0.00000000
-3.81490745,1.30479843,0.02208782,0.00170454,0.18302544,1.13519061,0.33783199,0.00000000
-3.80890445,1.32529854,0.02407932,0.00173040,0.18309269,1.15376858,0.33322847,0.00000000
-3.80290145,1.34712088,0.02633797,0.00175804,0.18319734,1.17347326,0.32817638,0.00000000
-3.79689845,1.37020314,0.02886934,0.00178740,0.18336025,1.19423673,0.32273270,0.00000000
-3.79089545,1.39441585,0.03167747,0.00181827,0.18359201,1.21593388,0.31694395,0.00000000
-3.78489245,1.41956229,0.03476429,0.00185039,0.18389235,1.23838264,0.31084573,0.00000000
-3.77888944,1.44538268,0.03812907,0.00188341,0.18425017,1.26134798,0.30446315,0.00000000
-3.77288644,1.47156224,0.04176800,0.00191688,0.18464437,1.28454911,0.29781196,0.00000000
-3.76688344,1.49774233,0.04567394,0.00195032,0.18504508,1.30766932,0.29090030,0.00000000
-3.76088044,1.52353397,0.04983617,0.00198320,0.18541543,1.33036780,0.28373086,0.00000000
-3.75487744,1.54853257,0.05424026,0.00201499,0.18571366,1.35229248,0.27630320,0.00000000
-3.74887444,1.57233311,0.05886800,0.00204514,0.18589530,1.37309306,0.26861623,0.00000000
-3.74287144,1.59454449,0.06369740,0.00207314,0.18591551,1.39243340,0.26067040,0.00000000
-3.73686843,1.61480242,0.06870263,0.00209853,0.18573121,1.41000253,0.25246976,0.00000000
-3.73086543,1.63277994,0.07385409,0.00212087,0.18530306,1.42552345,0.24402346,0.00000000
-3.72486243,1.64819501,0.07911840,0.00213983,0.18459704,1.43875955,0.23534690,0.00000000
-3.71885943,1.66081497,0.08445843,0.00215511,0.18358566,1.44951809,0.22646229,0.00000000
-3.71285643,1.67045762,0.08983332,0.00216651,0.18224870,1.45765083,0.21739870,0.00000000
-3.70685343,1.67698923,0.09519858,0.00217387,0.18057353,1.46305197,0.20819160,0.00000000
-3.70085043,1.68031972,0.10050618,0.00217712,0.17855495,1.46565368,0.19888203,0.00000000
-3.69484742,1.68039586,0.10570475,0.00217620,0.17619464,1.46541980,0.18951536,0.00000000
-3.68884442,1.67719294,0.11073990,0.00217113,0.17350037,1.46233841,0.18013985,0.00000000
-3.68284142,1.67070595,0.11555466,0.00216193,0.17048486,1.45641391,0.17080510,0.00000000
-3.67683842,1.66094116,0.12009014,0.00214864,0.16716468,1.44765944,0.16156039,0.00000000
-3.67083542,1.64790868,0.12428633,0.00213129,0.16355895,1.43609038,0.15245318,0.00000000
-3.66483242,1.63161711,0.12808311,0.00210991,0.15968829,1.42171945,0.14352776,0.00000000
-3.65882941,1.61207039,0.13142155,0.00208453,0.15557381,1.40455407,0.13482410,0.00000000
-3.65282641,1.58926765,0.13424526,0.00205515,0.15123636,1.38459608,0.12637699,0.00000000
-3.64682341,1.56320581,0.13650196,0.00202176,0.14669609,1.36184414,0.11821553,0.00000000
-3.64082041,1.53388499,0.13814515,0.00198434,0.14197226,1.33629850,0.11036285,0.00000000
-3.63481741,1.50131641,0.13913578,0.00194288,0.13708334,1.30796795,0.10283625,0.00000000
-3.62881441,1.46553206,0.13944390,0.00189737,0.13204739,1.27687842,0.09564748,0.00000000
-3.62281141,1.42659557,0.13905010,0.00184784,0.12688264,1.24308258,0.08880335,0.00000000
-3.61680840,1.38461332,0.13794687,0.00179435,0.12160825,1.20666970,0.08230649,0.00000000
-3.61080540,1.33974506,0.13613955,0.00173702,0.11624515,1.16777504,0.07615620,0.00000000
-3.60480240,1.29221309,0.13364697,0.00167605,0.11081693,1.12658800,0.07034938,0.00000000
-3.59879940,1.24230920,0.13050170,0.00161171,0.10535063,1.08335833,0.06488152,0.00000000
-3.59279640,1.19039893,0.12674985,0.00154433,0.09987753,1.03839987,0.05974755,0.00000000
-3.58679340,1.13692251,0.12245041,0.00147437,0.09443373,0.99209139,0.05494275,0.00000000
