energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up
1.25162581,0.67528794,0.01920384,0.11658487,0.17462296,0.01241886,0.41526821,0.00000000,0.33435705,0.00000000
1.25762881,0.67423825,0.02112115,0.10980985,0.17092545,0.01242522,0.42704979,0.00000000,0.32659311,0.00000000
1.26363182,0.67537315,0.02313092,0.10369796,0.16789512,0.01250491,0.44004367,0.00000000,0.31959678,0.00000000
1.26963482,0.67866087,0.02521292,0.09826022,0.16553964,0.01265260,0.45412809,0.00000000,0.31345646,0.00000000
1.27563782,0.68395689,0.02734267,0.09348788,0.16383779,0.01286057,0.46911092,0.00000000,0.30820988,0.00000000
1.28164082,0.69100785,0.02949180,0.08935396,0.16274070,0.01311895,0.48473278,0.00000000,0.30384408,0.00000000
1.28764382,0.69946025,0.03162862,0.08581529,0.16217402,0.01341602,0.50067329,0.00000000,0.30029763,0.00000000
1.29364682,0.70887331,0.03371877,0.08281495,0.16204122,0.01373857,0.51656040,0.00000000,0.29746492,0.00000000
1.29964982,0.71873581,0.03572614,0.08028500,0.16222760,0.01407234,0.53198230,0.00000000,0.29520223,0.00000000
1.30565283,0.72848592,0.03761384,0.07814954,0.16260509,0.01440248,0.54650160,0.00000000,0.29333539,0.00000000
1.31165583,0.73753334,0.03934529,0.07632777,0.16303746,0.01471404,0.55967103,0.00000000,0.29166856,0.00000000
1.31765883,0.74528260,0.04088538,0.07473705,0.16338573,0.01499244,0.57105006,0.00000000,0.28999364,0.00000000
1.32366183,0.75115665,0.04220163,0.07329594,0.16351371,0.01522400,0.58022158,0.00000000,0.28810006,0.00000000
1.32966483,0.75461951,0.04326524,0.07192688,0.16329319,0.01539633,0.58680799,0.00000000,0.28578428,0.00000000
1.33566783,0.75519703,0.04405214,0.07055866,0.16260877,0.01549875,0.59048578,0.00000000,0.28285859,0.00000000
1.34167084,0.75249494,0.04454381,0.06912846,0.16136200,0.01552261,0.59099811,0.00000000,0.27915904,0.00000000
1.34767384,0.74621326,0.04472793,0.06758347,0.15947471,0.01546158,0.58816464,0.00000000,0.27455187,0.00000000
1.35367684,0.73615661,0.04459887,0.06588197,0.15689147,0.01531175,0.58188829,0.00000000,0.26893837,0.00000000
1.35967984,0.72224005,0.04415786,0.06399399,0.15358097,0.01507176,0.57215861,0.00000000,0.26225809,0.00000000
1.36568284,0.70449029,0.04341296,0.06190145,0.14953643,0.01474271,0.55905172,0.00000000,0.25449012,0.00000000
1.37168584,0.68304240,0.04237873,0.05959779,0.14477502,0.01432811,0.54272683,0.00000000,0.24565265,0.00000000
1.37768884,0.65813230,0.04107578,0.05708727,0.13933631,0.01383366,0.52341961,0.00000000,0.23580090,0.00000000
1.38369185,0.63008568,0.03952994,0.05438387,0.13327996,0.01326696,0.50143289,0.00000000,0.22502353,0.00000000
1.38969485,0.59930381,0.03777149,0.05150985,0.12668275,0.01263722,0.47712511,0.00000000,0.21343794,0.00000000
1.39569785,0.56624724,0.03583400,0.04849424,0.11963510,0.01195486,0.45089717,0.00000000,0.20118457,0.00000000
1.40170085,0.53141815,0.03375336,0.04537109,0.11223734,0.01123114,0.42317842,0.00000000,0.18842072,0.00000000
1.40770385,0.49534217,0.03156657,0.04217772,0.10459586,0.01047777,0.39441232,0.00000000,0.17531406,0.00000000
1.41370685,0.45855064,0.02931070,0.03895307,0.09681931,0.00970651,0.36504251,0.00000000,0.16203623,0.00000000
1.41970985,0.42156398,0.02702183,0.03573608,0.08901510,0.00892884,0.33549993,0.00000000,0.14875680,0.00000000
1.42571286,0.38487678,0.02473414,0.03256427,0.08128628,0.00815559,0.30619135,0.00000000,0.13563786,0.00000000
1.43171586,0.34894534,0.02247914,0.02947255,0.07372893,0.00739674,0.27748978,0.00000000,0.12282932,0.00000000
1.43771886,0.31417768,0.02028502,0.02649224,0.06643014,0.00666117,0.24972706,0.00000000,0.11046522,0.00000000
1.44372186,0.28092657,0.01817626,0.02365039,0.05946662,0.00595650,0.22318876,0.00000000,0.09866101,0.00000000
1.44972486,0.24948542,0.01617331,0.02096933,0.05290405,0.00528904,0.19811129,0.00000000,0.08751183,0.00000000
1.45572786,0.22008696,0.01429256,0.01846646,0.04679696,0.00466373,0.17468140,0.00000000,0.07709182,0.00000000
1.46173087,0.19290454,0.01254638,0.01615431,0.04118934,0.00408418,0.15303758,0.00000000,0.06745432,0.00000000
1.46773387,0.16805584,0.01094334,0.01404076,0.03611574,0.00355274,0.13327341,0.00000000,0.05863287,0.00000000
1.47373687,0.14560832,0.00948855,0.01212945,0.03160283,0.00307059,0.11544227,0.00000000,0.05064286,0.00000000
1.47973987,0.12558633,0.00818414,0.01042032,0.02767138,0.00263789,0.09956331,0.00000000,0.04348374,0.00000000
1.48574287,0.10797920,0.00702968,0.00891023,0.02433854,0.00225396,0.08562817,0.00000000,0.03714158,0.00000000
1.49174587,0.09274999,0.00602281,0.00759362,0.02162025,0.00191744,0.07360823,0.00000000,0.03159176,0.00000000
1.49774887,0.07984442,0.00515974,0.00646320,0.01953374,0.00162644,0.06346187,0.00000000,0.02680188,0.00000000
1.50375188,0.06919975,0.00443583,0.00551068,0.01810011,0.00137876,0.05514171,0.00000000,0.02273448,0.00000000
1.50975488,0.06075296,0.00384611,0.00472733,0.01734661,0.00117199,0.04860135,0.00000000,0.01934965,0.00000000
1.51575788,0.05444836,0.00338572,0.00410463,0.01730887,0.00100372,0.04380140,0.00000000,0.01660741,0.00000000
1.52176088,0.05024407,0.00305039,0.00363473,0.01803271,0.00087163,0.04071477,0.00000000,0.01446979,0.00000000
1.52776388,0.04811722,0.00283670,0.00331088,0.01957557,0.00077358,0.03933085,0.00000000,0.01290243,0.00000000
1.53376688,0.04806791,0.00274242,0.00312773,0.02200741,0.00070773,0.03965861,0.00000000,0.01187598,0.00000000
1.53976988,0.05012152,0.00276660,0.00308155,0.02541101,0.00067258,0.04172842,0.00000000,0.01136692,0.00000000
1.54577289,0.05432953,0.00290973,0.00317031,0.02988163,0.00066699,0.04559255,0.00000000,0.01135809,0.00000000
