energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up
-1.98999500,3.50763152,0.07042394,0.32885465,0.57682937,0.07882537,3.02120223,2.63322143,0.56183546,0.00000000
-1.98399200,3.61501540,0.07390589,0.33937263,0.60104020,0.08166778,3.09718132,2.70254420,0.58953145,0.00000000
-1.97798899,3.72241778,0.07724823,0.35007003,0.62519742,0.08451697,3.16655462,2.77128378,0.61804019,0.00000000
-1.97198599,3.82856250,0.08040267,0.36075765,0.64897472,0.08732575,3.22872425,2.83880044,0.64699173,0.00000000
-1.96598299,3.93212613,0.08332300,0.37123087,0.67203663,0.09004528,3.28319534,2.90444703,0.67598709,0.00000000
-1.95997999,4.03176403,0.08596612,0.38127487,0.69404425,0.09262626,3.32958125,2.96757859,0.70460677,0.00000000
-1.95397699,4.12613727,0.08829297,0.39067037,0.71466153,0.09502016,3.36760505,3.02756119,0.73242027,0.00000000
-1.94797399,4.21393954,0.09026943,0.39919971,0.73356202,0.09718048,3.39709767,3.08378000,0.75899658,0.00000000
-1.94197099,4.29392377,0.09186709,0.40665319,0.75043602,0.09906400,3.41799298,3.13564637,0.78391524,0.00000000
-1.93596798,4.36492744,0.09306380,0.41283527,0.76499780,0.10063190,3.43032022,3.18260402,0.80677781,0.00000000
-1.92996498,4.42589636,0.09384420,0.41757051,0.77699276,0.10185074,3.43419462,3.22413453,0.82721922,0.00000000
-1.92396198,4.47590607,0.09419993,0.42070902,0.78620425,0.10269335,3.42980666,3.25976206,0.84491876,0.00000000
-1.91795898,4.51418077,0.09412974,0.42213116,0.79245993,0.10313953,3.41741098,3.28905776,0.85961016,0.00000000
-1.91195598,4.54010898,0.09363938,0.42175134,0.79563719,0.10317645,3.39731542,3.31164376,0.87109041,0.00000000
-1.90595298,4.55325599,0.09274127,0.41952086,0.79566760,0.10279897,3.36987098,3.32719724,0.87922683,0.00000000
-1.89994997,4.55337263,0.09145407,0.41542950,0.79254012,0.10200962,3.33546316,3.33545443,0.88396207,0.00000000
-1.89394697,4.54040035,0.08980203,0.40950603,0.78630297,0.10081844,3.29450511,3.33621498,0.88531673,0.00000000
-1.88794397,4.51447250,0.08781422,0.40181749,0.77706388,0.09924256,3.24743280,3.32934636,0.88338928,0.00000000
-1.88194097,4.47591188,0.08552373,0.39246732,0.76498896,0.09730568,3.19470231,3.31478859,0.87835335,0.00000000
-1.87593797,4.42522471,0.08296673,0.38159250,0.75029997,0.09503729,3.13678904,3.29255903,0.87045216,0.00000000
-1.86993497,4.36309116,0.08018158,0.36935972,0.73327019,0.09247186,3.07418865,3.26275697,0.85999041,0.00000000
-1.86393197,4.29035276,0.07720787,0.35596091,0.71421897,0.08964793,3.00741938,3.22556792,0.84732387,0.00000000
-1.85792896,4.20799703,0.07408566,0.34160818,0.69350528,0.08660712,2.93702506,3.18126711,0.83284690,0.00000000
-1.85192596,4.11713967,0.07085464,0.32652849,0.67152033,0.08339319,2.86357848,3.13022188,0.81697859,0.00000000
-1.84592296,4.01900468,0.06755354,0.31095815,0.64867963,0.08005108,2.78768431,3.07289265,0.80014801,0.00000000
-1.83991996,3.91490306,0.06421954,0.29513751,0.62541471,0.07662605,2.70998117,3.00983196,0.78277911,0.00000000
-1.83391696,3.80621019,0.06088792,0.27930588,0.60216480,0.07316288,2.63114222,2.94168136,0.76527616,0.00000000
-1.82791396,3.69434271,0.05759179,0.26369689,0.57936870,0.06970513,2.55187389,2.86916596,0.74801009,0.00000000
-1.82191096,3.58073509,0.05436191,0.24853444,0.55745704,0.06629461,2.47291242,2.79308624,0.73130657,0.00000000
