energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.26763382,3.01640306,0.75637740,2.21265185,0.00592469,0.09283248,0.01194866,0.38285074,0.46031989,0.20094823
-5.26163082,2.87504064,0.71912947,2.11220953,0.00529564,0.08867236,0.01151847,0.36744661,0.43933995,0.18795720
-5.25562781,2.73470577,0.68141362,2.01254196,0.00470591,0.08457611,0.01104923,0.35173002,0.41813403,0.17544957
-5.24962481,2.59672831,0.64358488,1.91465364,0.00415798,0.08056699,0.01054605,0.33586499,0.39683707,0.16351708
-5.24362181,2.46236780,0.60599301,1.81948876,0.00365345,0.07666895,0.01001479,0.32001565,0.37558654,0.15224094
-5.23761881,2.33279346,0.56897577,1.72791458,0.00319306,0.07290682,0.00946188,0.30434321,0.35452000,0.14169185
-5.23161581,2.20906850,0.53285285,1.64070859,0.00277684,0.06930634,0.00889421,0.28900315,0.33377273,0.13193036
-5.22561281,2.09213913,0.49792089,1.55854983,0.00240416,0.06589424,0.00831893,0.27414294,0.31347558,0.12300729
-5.21960980,1.98282833,0.46444949,1.48201432,0.00207387,0.06269805,0.00774330,0.25990018,0.29375305,0.11496441
-5.21360680,1.88183439,0.43267846,1.41157477,0.00178439,0.05974591,0.00717450,0.24640125,0.27472176,0.10783504
-5.20760380,1.78973363,0.40281629,1.34760400,0.00153384,0.05706625,0.00661950,0.23376041,0.25648921,0.10164479
-5.20160080,1.70698662,0.37503960,1.29038163,0.00132010,0.05468729,0.00608493,0.22207940,0.23915289,0.09641210
-5.19559780,1.63394714,0.34949368,1.24010311,0.00114096,0.05263656,0.00557695,0.21144730,0.22279975,0.09214879
-5.18959480,1.57087260,0.32629372,1.19689046,0.00099414,0.05094018,0.00510113,0.20194071,0.20750593,0.08886036
-5.18359180,1.51793508,0.30552667,1.16080337,0.00087740,0.04962225,0.00466243,0.19362405,0.19333672,0.08654617
-5.17758879,1.47523172,0.28725345,1.13185008,0.00078856,0.04870406,0.00426509,0.18654990,0.18034673,0.08519941
-5.17158579,1.44279348,0.27151124,1.10999684,0.00072555,0.04820332,0.00391262,0.18075924,0.16858013,0.08480689
-5.16558279,1.42059162,0.25831579,1.09517531,0.00068642,0.04813348,0.00360783,0.17628155,0.15807104,0.08534870
-5.15957979,1.40854120,0.24766347,1.08728740,0.00066937,0.04850301,0.00335274,0.17313470,0.14884385,0.08679773
-5.15357679,1.40650140,0.23953305,1.08620704,0.00067269,0.04931482,0.00314870,0.17132454,0.14091367,0.08911920
-5.14757379,1.41427278,0.23388707,1.09177906,0.00069481,0.05056582,0.00299638,0.17084428,0.13428662,0.09227018
-5.14157079,1.43159186,0.23067290,1.10381521,0.00073426,0.05224663,0.00289579,0.17167369,0.12896025,0.09619925
-5.13556778,1.45812373,0.22982350,1.12208806,0.00078958,0.05434147,0.00284639,0.17377814,0.12492391,0.10084634
-5.12956478,1.49345384,0.23125801,1.14632332,0.00085940,0.05682835,0.00284711,0.17710766,0.12215918,0.10614291
-5.12356178,1.53707992,0.23488230,1.17619173,0.00094229,0.05967943,0.00289643,0.18159616,0.12064039,0.11201245
-5.11755878,1.58840564,0.24058972,1.21130145,0.00103682,0.06286170,0.00299244,0.18716092,0.12033529,0.11837139
-5.11155578,1.64673698,0.24826211,1.25119215,0.00114149,0.06633791,0.00313292,0.19370245,0.12120580,0.12513050
-5.10555278,1.71128285,0.25777133,1.29533181,0.00125474,0.07006768,0.00331541,0.20110507,0.12320906,0.13219671
-5.09954977,1.78116064,0.26898137,1.34311712,0.00137489,0.07400893,0.00353729,0.20923797,0.12629853,0.13947541
-5.09354677,1.85540749,0.28175119,1.39387827,0.00150021,0.07811939,0.00379585,0.21795721,0.13042539,0.14687311
-5.08754377,1.93299761,0.29593824,1.44688840,0.00162886,0.08235822,0.00408839,0.22710835,0.13553994,0.15430038
-5.08154077,2.01286524,0.31140257,1.50137778,0.00175895,0.08668774,0.00441228,0.23652991,0.14159319,0.16167502
-5.07553777,2.09393288,0.32801153,1.55655247,0.00188856,0.09107497,0.00476503,0.24605744,0.14853837,0.16892525
-5.06953477,2.17514352,0.34564480,1.61161670,0.00201576,0.09549324,0.00514441,0.25552818,0.15633230,0.17599280
-5.06353177,2.25549538,0.36419938,1.66579799,0.00213867,0.09992340,0.00554846,0.26478599,0.16493668,0.18283574
-5.05752876,2.33407755,0.38359453,1.71837362,0.00225549,0.10435489,0.00597559,0.27368647,0.17431888,0.18943096
-5.05152576,2.41010435,0.40377594,1.76869719,0.00236455,0.10878643,0.00642462,0.28210188,0.18445247,0.19577598
-5.04552276,2.48294648,0.42471925,1.81622338,0.00246437,0.11322627,0.00689480,0.28992581,0.19531716,0.20189021
-5.03951976,2.55215700,0.44643219,1.86052965,0.00255368,0.11769213,0.00738585,0.29707704,0.20689822,0.20781535
-5.03351676,2.61749030,0.46895540,1.90133324,0.00263147,0.12221063,0.00789795,0.30350275,0.21918535,0.21361505
-5.02751376,2.67891282,0.49236161,1.93850231,0.00269703,0.12681637,0.00843174,0.30918056,0.23217101,0.21937370
-5.02151076,2.73660437,0.51675305,1.97206052,0.00274994,0.13155069,0.00898826,0.31411943,0.24584821,0.22519434
