energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.78389195,2.28312373,-2.28316604,0.01903366,-0.01903335,0.29485331,-0.29486575,0.01402159,-0.01402174,0.00000000,-0.00000000,1.14486345,-1.14488365,0.63191338,-0.63193293,0.01863997,-0.01863992,1.03957644,-1.03958639
-5.77788894,2.18799265,-2.18803236,0.01987304,-0.01987270,0.27345564,-0.27346734,0.01350980,-0.01350995,0.00000000,-0.00000000,1.08666161,-1.08668140,0.59651330,-0.59653147,0.01865501,-0.01865494,1.00889397,-1.00890332
-5.77188594,2.09736896,-2.09740536,0.02076311,-0.02076275,0.25321481,-0.25322558,0.01300417,-0.01300431,0.00000000,-0.00000000,1.02918548,-1.02920457,0.56346426,-0.56348071,0.01870720,-0.01870711,0.97931515,-0.97932373
-5.76588294,2.01259794,-2.01263042,0.02170263,-0.02170224,0.23443057,-0.23444024,0.01251218,-0.01251231,0.00000000,-0.00000000,0.97318234,-0.97320047,0.53325463,-0.53326909,0.01880156,-0.01880146,0.95129586,-0.95130350
-5.75987994,1.93483732,-1.93486536,0.02268852,-0.02268811,0.21736305,-0.21737148,0.01204074,-0.01204086,0.00000000,-0.00000000,0.91931795,-0.91933489,0.50630382,-0.50631604,0.01894165,-0.01894153,0.92522811,-0.92523469
-5.75387694,1.86504218,-1.86506536,0.02371584,-0.02371541,0.20222972,-0.20223680,0.01159600,-0.01159611,0.00000000,-0.00000000,0.86816623,-0.86818179,0.48295793,-0.48296772,0.01912950,-0.01912936,0.90143413,-0.90143953
-5.74787394,1.80395632,-1.80397434,0.02477792,-0.02477747,0.18920344,-0.18920910,0.01118328,-0.01118338,0.00000000,-0.00000000,0.82020256,-0.82021659,0.46348720,-0.46349440,0.01936564,-0.01936547,0.88016302,-0.88016717
-5.74187094,1.75210942,-1.75212208,0.02586646,-0.02586600,0.17841140,-0.17841558,0.01080697,-0.01080705,0.00000000,-0.00000000,0.77580040,-0.77581279,0.44808487,-0.44808939,0.01964914,-0.01964895,0.86159004,-0.86159289
-5.73586793,1.70981930,-1.70982651,0.02697179,-0.02697132,0.16993489,-0.16993756,0.01047049,-0.01047055,0.00000000,-0.00000000,0.73523121,-0.73524189,0.43686721,-0.43686901,0.01997771,-0.01997750,0.84581807,-0.84581960
-5.72986493,1.67719828,-1.67720005,0.02808311,-0.02808263,0.16380970,-0.16381087,0.01017631,-0.01017636,0.00000000,-0.00000000,0.69866712,-0.69867604,0.42987440,-0.42987347,0.02034785,-0.02034762,0.83288095,-0.83288117
-5.72386193,1.65416285,-1.65415930,0.02918878,-0.02918831,0.16002712,-0.16002680,0.00992593,-0.00992595,0.00000000,-0.00000000,0.66618603,-0.66619321,0.42707200,-0.42706838,0.02075497,-0.02075473,0.82274830,-0.82274724
-5.71785893,1.64044567,-1.64043701,0.03027666,-0.03027619,0.15853529,-0.15853355,0.00971989,-0.00971990,0.00000000,-0.00000000,0.63777871,-0.63778418,0.42835296,-0.42834675,0.02119360,-0.02119334,0.81533127,-0.81532900
-5.71185593,1.63560909,-1.63559563,0.03133438,-0.03133392,0.15924113,-0.15923804,0.00955789,-0.00955788,0.00000000,-0.00000000,0.61335720,-0.61336103,0.43353996,-0.43353131,0.02165747,-0.02165720,0.81048889,-0.81048549
-5.70585293,1.63905972,-1.63904185,0.03234965,-0.03234921,0.16201245,-0.16200812,0.00943876,-0.00943874,0.00000000,-0.00000000,0.59276422,-0.59276650,0.44238814,-0.44237721,0.02213973,-0.02213946,0.80803462,-0.80803020
-5.69984992,1.65006354,-1.65004175,0.03331050,-0.03331008,0.16668060,-0.16667517,0.00936059,-0.00936056,0.00000000,-0.00000000,0.57578304,-0.57578389,0.45458823,-0.45457527,0.02263307,-0.02263279,0.80774273,-0.80773742
-5.69384692,1.66776137,-1.66773621,0.03420550,-0.03420511,0.17304348,-0.17303708,0.00932079,-0.00932075,0.00000000,-0.00000000,0.56214752,-0.56214709,0.46977039,-0.46975567,0.02312978,-0.02312950,0.80935446,-0.80934840
-5.68784392,1.69118475,-1.69115685,0.03502392,-0.03502356,0.18086899,-0.18086179,0.00931614,-0.00931608,0.00000000,-0.00000000,0.55155196,-0.55155041,0.48750871,-0.48749253,0.02362191,-0.02362164,0.81258371,-0.81257707
-5.68184092,1.71927236,-1.71924241,0.03575583,-0.03575550,0.18989905,-0.18989123,0.00934286,-0.00934279,0.00000000,-0.00000000,0.54366056,-0.54365807,0.50732678,-0.50730948,0.02410130,-0.02410104,0.81712234,-0.81711530
-5.67583792,1.75088728,-1.75085602,0.03639217,-0.03639188,0.19985417,-0.19984594,0.00939674,-0.00939666,0.00000000,-0.00000000,0.53811642,-0.53811319,0.52870444,-0.52868639,0.02455967,-0.02455942,0.82264514,-0.82263788
-5.66983492,1.78483537,-1.78480356,0.03692482,-0.03692458,0.21043861,-0.21043016,0.00947316,-0.00947308,0.00000000,-0.00000000,0.53454997,-0.53454618,0.55108583,-0.55106742,0.02498865,-0.02498841,0.82881464,-0.82880737
-5.66383192,1.81988509,-1.81985354,0.03734656,-0.03734636,0.22134605,-0.22133759,0.00956722,-0.00956713,0.00000000,-0.00000000,0.53258677,-0.53258263,0.57388896,-0.57387059,0.02537985,-0.02537964,0.83528591,-0.83527883
-5.65782891,1.85478896,-1.85475849,0.03765106,-0.03765091,0.23226586,-0.23225761,0.00967377,-0.00967369,0.00000000,-0.00000000,0.53185484,-0.53185055,0.59651656,-0.59649866,0.02572497,-0.02572478,0.84171151,-0.84170483
-5.65182591,1.88830663,-1.88827803,0.03783291,-0.03783282,0.24288976,-0.24288193,0.00978758,-0.00978750,0.00000000,-0.00000000,0.53199139,-0.53198715,0.61836838,-0.61835134,0.02601583,-0.02601566,0.84774678,-0.84774071
-5.64582291,1.91922943,-1.91920347,0.03788760,-0.03788756,0.25291871,-0.25291149,0.00990336,-0.00990328,0.00000000,-0.00000000,0.53264914,-0.53264512,0.63885437,-0.63883860,0.02624451,-0.02624437,0.85305555,-0.85305028
-5.63981991,1.94640595,-1.94638337,0.03781152,-0.03781154,0.26206996,-0.26206354,0.01001592,-0.01001585,0.00000000,-0.00000000,0.53350202,-0.53349842,0.65740873,-0.65739459,0.02640349,-0.02640340,0.85731620,-0.85731193
-5.63381691,1.96876809,-1.96874955,0.03760205,-0.03760213,0.27008388,-0.27007843,0.01012024,-0.01012018,0.00000000,-0.00000000,0.53425049,-0.53424747,0.67350403,-0.67349188,0.02648583,-0.02648578,0.86022817,-0.86022507
-5.62781391,1.98535663,-1.98534270,0.03725760,-0.03725775,0.27673051,-0.27672617,0.01021161,-0.01021157,0.00000000,-0.00000000,0.53462623,-0.53462392,0.68666522,-0.68665535,0.02648531,-0.02648530,0.86151850,-0.86151673
-5.62181091,1.99534540,-1.99533658,0.03677773,-0.03677794,0.28181538,-0.28181228,0.01028572,-0.01028569,0.00000000,-0.00000000,0.53439607,-0.53439460,0.69648263,-0.69647529,0.02639665,-0.02639669,0.86094841,-0.86094809
-5.61580790,1.99806302,-1.99805968,0.03616326,-0.03616354,0.28518455,-0.28518277,0.01033875,-0.01033873,0.00000000,-0.00000000,0.53336534,-0.53336480,0.70262359,-0.70261899,0.02621572,-0.02621581,0.85831939,-0.85832063
-5.60980490,1.99301099,-1.99301337,0.03541639,-0.03541673,0.28672846,-0.28672806,0.01036745,-0.01036745,0.00000000,-0.00000000,0.53138011,-0.53138056,0.70484214,-0.70484039,0.02593970,-0.02593984,0.85347861,-0.85348149
-5.60380190,1.97987727,-1.97988550,0.03454083,-0.03454123,0.28638460,-0.28638560,0.01036927,-0.01036929,0.00000000,-0.00000000,0.52832856,-0.52833006,0.70298610,-0.70298727,0.02556729,-0.02556748,0.84632320,-0.84632773
-5.59779890,1.95854449,-1.95855854,0.03354191,-0.03354237,0.28413877,-0.28414115,0.01034233,-0.01034236,0.00000000,-0.00000000,0.52414125,-0.52414379,0.69700152,-0.69700561,0.02509877,-0.02509901,0.83680310,-0.83680929
-5.59179590,1.92909217,-1.92911188,0.03242663,-0.03242715,0.28002488,-0.28002860,0.01028550,-0.01028555,0.00000000,-0.00000000,0.51879013,-0.51879371,0.68693390,-0.68694082,0.02453619,-0.02453648,0.82492233,-0.82493013
-5.58579290,1.89179274,-1.89181784,0.03120370,-0.03120427,0.27412332,-0.27412831,0.01019839,-0.01019845,0.00000000,-0.00000000,0.51228662,-0.51229119,0.67292632,-0.67293594,0.02388329,-0.02388363,0.81073830,-0.81074765
-5.57978989,1.84710149,-1.84713156,0.02988347,-0.02988409,0.26655805,-0.26656420,0.01008132,-0.01008140,0.00000000,-0.00000000,0.50467847,-0.50468396,0.65521457,-0.65522669,0.02314557,-0.02314594,0.79435940,-0.79437019
-5.57378689,1.79564067,-1.79567521,0.02847787,-0.02847853,0.25749239,-0.25749956,0.00993528,-0.00993538,0.00000000,-0.00000000,0.49604584,-0.49605215,0.63411939,-0.63413375,0.02233011,-0.02233053,0.77594069,-0.77595278
-5.56778389,1.73817885,-1.73821724,0.02700024,-0.02700093,0.24712394,-0.24713197,0.00976187,-0.00976198,0.00000000,-0.00000000,0.48649659,-0.48650362,0.61003630,-0.61005258,0.02144549,-0.02144594,0.75567804,-0.75569127
-5.56178089,1.67560616,-1.67564773,0.02546506,-0.02546578,0.23567866,-0.23568738,0.00956317,-0.00956330,0.00000000,-0.00000000,0.47616124,-0.47616885,0.58342348,-0.58344136,0.02050152,-0.02050200,0.73380101,-0.73381519
-5.55577789,1.60890712,-1.60895113,0.02388772,-0.02388846,0.22340459,-0.22341382,0.00934171,-0.00934185,0.00000000,-0.00000000,0.46518767,-0.46519572,0.55478843,-0.55480753,0.01950902,-0.01950952,0.71056484,-0.71057978
-5.54977489,1.53913207,-1.53917774,0.02228415,-0.02228490,0.21056537,-0.21057491,0.00910027,-0.00910041,0.00000000,-0.00000000,0.45373600,-0.45374434,0.52467377,-0.52469370,0.01847950,-0.01848002,0.68624209,-0.68625758
-5.54377189,1.46736887,-1.46741542,0.02067047,-0.02067123,0.19743382,-0.19744346,0.00884185,-0.00884200,0.00000000,-0.00000000,0.44197395,-0.44198243,0.49364311,-0.49366347,0.01742487,-0.01742540,0.66111436,-0.66113019
-5.53776888,1.39471616,-1.39476280,0.01906262,-0.01906338,0.18428595,-0.18429551,0.00856955,-0.00856970,0.00000000,-0.00000000,0.43007285,-0.43008131,0.46226744,-0.46228784,0.01635712,-0.01635765,0.63546458,-0.63548055
-5.53176588,1.32225938,-1.32230534,0.01747598,-0.01747673,0.17139554,-0.17140480,0.00828644,-0.00828660,0.00000000,-0.00000000,0.41820450,-0.41821278,0.43111262,-0.43113266,0.01528799,-0.01528852,0.60957041,-0.60958630
-5.52576288,1.25105046,-1.25109500,0.01592502,-0.01592575,0.15902938,-0.15903817,0.00799556,-0.00799572,0.00000000,-0.00000000,0.40653915,-0.40654709,0.40072839,-0.40074770,0.01422873,-0.01422925,0.58369893,-0.58371456
-5.51975988,1.18209193,-1.18213436,0.01442297,-0.01442367,0.14744345,-0.14745159,0.00769979,-0.00769996,0.00000000,-0.00000000,0.39524438,-0.39525184,0.37163920,-0.37165743,0.01318981,-0.01319032,0.55810304,-0.55811822
-5.51375688,1.11632578,-1.11636544,0.01298158,-0.01298225,0.13687984,-0.13688715,0.00740191,-0.00740206,0.00000000,-0.00000000,0.38448510,-0.38449192,0.34433707,-0.34435388,0.01218080,-0.01218129,0.53301959,-0.53303416
-5.50775388,1.05462687,-1.05466318,0.01161087,-0.01161151,0.12756455,-0.12757089,0.00710449,-0.00710465,0.00000000,-0.00000000,0.37442431,-0.37443035,0.31927642,-0.31929152,0.01121015,-0.01121061,0.50866926,-0.50868305
-5.50175088,0.99780081,-0.99783321,0.01031904,-0.01031964,0.11970603,-0.11971126,0.00681002,-0.00681017,0.00000000,-0.00000000,0.36522448,-0.36522962,0.29687086,-0.29688397,0.01028514,-0.01028558,0.48525805,-0.48527093
-5.49574787,0.94658532,-0.94661335,0.00911236,-0.00911292,0.11349428,-0.11349827,0.00652086,-0.00652100,0.00000000,-0.00000000,0.35704934,-0.35705344,0.27749158,-0.27750247,0.00941188,-0.00941229,0.46298010,-0.46299196
-5.48974487,0.90165452,-0.90167773,0.00799517,-0.00799568,0.10910035,-0.10910298,0.00623931,-0.00623944,0.00000000,-0.00000000,0.35006553,-0.35006846,0.26146717,-0.26147562,0.00859530,-0.00859568,0.44202156,-0.44203226
-5.48374187,0.86362474,-0.86364275,0.00696995,-0.00697042,0.10667613,-0.10667732,0.00596770,-0.00596782,0.00000000,-0.00000000,0.34444400,-0.34444567,0.24908429,-0.24909012,0.00783923,-0.00783958,0.42256490,-0.42257434
-5.47773887,0.83306099,-0.83307347,0.00603744,-0.00603787,0.10635414,-0.10635381,0.00570839,-0.00570850,0.00000000,-0.00000000,0.34036074,-0.34036101,0.24058898,-0.24059203,0.00714653,-0.00714684,0.40479336,-0.40480145
-5.47173587,0.81048280,-0.81048946,0.00519679,-0.00519717,0.10824716,-0.10824523,0.00546388,-0.00546398,0.00000000,-0.00000000,0.33799638,-0.33799517,0.23618799,-0.23618814,0.00651918,-0.00651946,0.38889506,-0.38890170
-5.46573287,0.79636838,-0.79636898,0.00444575,-0.00444609,0.11244757,-0.11244399,0.00523681,-0.00523689,0.00000000,-0.00000000,0.33753478,-0.33753199,0.23604985,-0.23604701,0.00595848,-0.00595872,0.37506612,-0.37507122
-5.45972986,0.79115630,-0.79115063,0.00378092,-0.00378122,0.11902626,-0.11902101,0.00503002,-0.00503009,0.00000000,-0.00000000,0.33916009,-0.33915564,0.24030540,-0.24029950,0.00546517,-0.00546538,0.36351261,-0.36351608
-5.45372686,0.79524395,-0.79523185,0.00319798,-0.00319824,0.12803116,-0.12802423,0.00484654,-0.00484659,0.00000000,-0.00000000,0.34305247,-0.34304629,0.24904733,-0.24903833,0.00503960,-0.00503977,0.35445089,-0.35445265
-5.44772386,0.80898244,-0.80896379,0.00269191,-0.00269214,0.13948519,-0.13947656,0.00468957,-0.00468960,0.00000000,-0.00000000,0.34938241,-0.34937446,0.26232891,-0.26231678,0.00468183,-0.00468196,0.34810614,-0.34810610
-5.44172086,0.83266776,-0.83264252,0.00225725,-0.00225745,0.15338382,-0.15337354,0.00456246,-0.00456248,0.00000000,-0.00000000,0.35830394,-0.35829419,0.28016155,-0.28014633,0.00439179,-0.00439189,0.34470896,-0.34470703
-5.43571786,0.86652859,-0.86649675,0.00188832,-0.00188849,0.16969245,-0.16968056,0.00446865,-0.00446864,0.00000000,-0.00000000,0.36994676,-0.36993521,0.30251163,-0.30249337,0.00416933,-0.00416939,0.34449005,-0.34448617
-5.42971486,0.91071105,-0.91067267,0.00157942,-0.00157955,0.18834349,-0.18833007,0.00441153,-0.00441151,0.00000000,-0.00000000,0.38440794,-0.38439461,0.32929645,-0.32927524,0.00401427,-0.00401429,0.34767313,-0.34766723
-5.42371186,0.96526127,-0.96521650,0.00132499,-0.00132510,0.20923368,-0.20921883,0.00439441,-0.00439436,0.00000000,-0.00000000,0.40174333,-0.40172828,0.36037986,-0.36035583,0.00392645,-0.00392644,0.35446628,-0.35445830
-5.41770885,1.03010685,-1.03005590,0.00111983,-0.00111992,0.23222166,-0.23220550,0.00442032,-0.00442025,0.00000000,-0.00000000,0.42195943,-0.42194275,0.39556786,-0.39554118,0.00390570,-0.00390565,0.36505204,-0.36504196
-5.41170585,1.10503813,-1.10498133,0.00095919,-0.00095925,0.25712611,-0.25710880,0.00449192,-0.00449183,0.00000000,-0.00000000,0.44500590,-0.44498772,0.43460452,-0.43457542,0.00395183,-0.00395175,0.37957681,-0.37956460
-5.40570285,1.18969082,-1.18962859,0.00083887,-0.00083891,0.28372474,-0.28370647,0.00461134,-0.00461122,0.00000000,-0.00000000,0.47076944,-0.47074994,0.47716880,-0.47713752,0.00406457,-0.00406446,0.39813987,-0.39812555
-5.39969985,1.28353101,-1.28346385,0.00075537,-0.00075540,0.31175433,-0.31173530,0.00478001,-0.00477987,0.00000000,-0.00000000,0.49906941,-0.49904879,0.52287253,-0.52283938,0.00424351,-0.00424336,0.42078278,-0.42076639
-5.39369685,1.38584399,-1.38577254,0.00070592,-0.00070593,0.34091196,-0.34089241,0.00499858,-0.00499841,0.00000000,-0.00000000,0.52965544,-0.52963394,0.57126019,-0.57122553,0.00448800,-0.00448782,0.44747952,-0.44746113
-5.38769385,1.49572794,-1.49565292,0.00068856,-0.00068856,0.37085766,-0.37083785,0.00526673,-0.00526654,0.00000000,-0.00000000,0.56220755,-0.56218545,0.62181064,-0.62177484,0.00479714,-0.00479693,0.47812810,-0.47810784
-5.38169085,1.61209347,-1.61201572,0.00070220,-0.00070218,0.40121846,-0.40119867,0.00558315,-0.00558293,0.00000000,-0.00000000,0.59633879,-0.59631640,0.67394104,-0.67390453,0.00516968,-0.00516943,0.51254416,-0.51252218
-5.37568784,1.73366974,-1.73359016,0.00074662,-0.00074659,0.43159390,-0.43157441,0.00594537,-0.00594513,0.00000000,-0.00000000,0.63160054,-0.63157820,0.72701337,-0.72697661,0.00560396,-0.00560368,0.55045695,-0.55043346
-5.36968484,1.85901754,-1.85893713,0.00082256,-0.00082251,0.46156286,-0.46154397,0.00634981,-0.00634956,0.00000000,-0.00000000,0.66749044,-0.66746849,0.78034319,-0.78030665,0.00609794,-0.00609763,0.59150824,-0.59148347
-5.36368184,1.98654963,-1.98646945,0.00093167,-0.00093160,0.49069162,-0.49067362,0.00679175,-0.00679148,0.00000000,-0.00000000,0.70346272,-0.70344154,0.83321087,-0.83317505,0.00664917,-0.00664883,0.63525437,-0.63522860
-5.35767884,2.11455792,-2.11447906,0.00107658,-0.00107649,0.51854289,-0.51852608,0.00726534,-0.00726506,0.00000000,-0.00000000,0.73894073,-0.73892066,0.88487488,-0.88484027,0.00725482,-0.00725446,0.68117168,-0.68114523
