energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-5.24962481,2.77129434,0.23368909,2.33483515,0.01099138,0.01055136,0.04872521,0.17012855,0.00942230,0.25034890
-5.24362181,2.84188379,0.24110581,2.38640673,0.01131647,0.01129431,0.05067251,0.17879466,0.01001691,0.26011587
-5.23761881,2.90426248,0.24844247,2.42849790,0.01163304,0.01210675,0.05246416,0.18850080,0.01064030,0.27022922
-5.23161581,2.95889732,0.25575775,2.46124256,0.01195018,0.01299222,0.05408511,0.19944899,0.01129968,0.28084497
-5.22561281,3.00661707,0.26314523,2.48504790,0.01227930,0.01395551,0.05552915,0.21188260,0.01200480,0.29216374
-5.21960980,3.04859704,0.27073083,2.50058604,0.01263404,0.01500235,0.05679942,0.22608238,0.01276790,0.30442726
-5.21360680,3.08632956,0.27866873,2.50877538,0.01303014,0.01613916,0.05790842,0.24236066,0.01360357,0.31791285
-5.20760380,3.12158042,0.28713601,2.51075208,0.01348515,0.01737264,0.05887777,0.26105351,0.01452848,0.33292592
-5.20160080,3.15633214,0.29632592,2.50783222,0.01401806,0.01870935,0.05973744,0.28251098,0.01556095,0.34979047
-5.19559780,3.19271527,0.30644006,2.50146612,0.01464884,0.02015530,0.06052476,0.30708529,0.01672044,0.36883768
-5.18959480,3.23293004,0.31767961,2.49318616,0.01539783,0.02171545,0.06128294,0.33511742,0.01802682,0.39039302
-5.18359180,3.27916066,0.33023588,2.48455034,0.01628503,0.02339330,0.06205930,0.36692211,0.01949962,0.41476183
-5.17758879,3.33348561,0.34428053,2.47708362,0.01732942,0.02519044,0.06290328,0.40277191,0.02115705,0.44221422
-5.17158579,3.39778726,0.35995582,2.47221970,0.01854803,0.02710626,0.06386423,0.44288055,0.02301512,0.47296954
-5.16558279,3.47366458,0.37736523,2.47124556,0.01995515,0.02913764,0.06498913,0.48738643,0.02508660,0.50718100
