energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Si_p_up,Si_p_down,Si_d_up,Si_d_down
3.92296148,0.06820061,-0.57040351,0.10131357,-0.58543566,0.01019727,-0.16993737,0.00000016,-0.00673245,0.01632362,-0.12436415,0.05099565,-0.22575049,0.00000000,-0.00000000
3.92896448,0.06042032,-0.57095834,0.08995063,-0.59263338,0.00902589,-0.16760174,0.00000023,-0.00711570,0.01434451,-0.12704770,0.04524346,-0.22880069,0.00000000,-0.00000000
3.93496748,0.05360523,-0.57189516,0.08005410,-0.59995063,0.00799748,-0.16552629,0.00000035,-0.00746834,0.01257649,-0.12957886,0.04022368,-0.23193236,0.00000000,-0.00000000
3.94097049,0.04780406,-0.57293721,0.07170463,-0.60707681,0.00711895,-0.16364044,0.00000051,-0.00778335,0.01102611,-0.13187967,0.03597547,-0.23503278,0.00000000,-0.00000000
3.94697349,0.04305854,-0.57380466,0.06497395,-0.61370783,0.00639614,-0.16186930,0.00000075,-0.00805429,0.00969725,-0.13387460,0.03253321,-0.23799161,0.00000000,-0.00000000
3.95297649,0.03940650,-0.57422698,0.05992945,-0.61955855,0.00583419,-0.16013735,0.00000110,-0.00827550,0.00859186,-0.13549362,0.02992879,-0.24070558,0.00000000,-0.00000000
3.95897949,0.03688482,-0.57395480,0.05663867,-0.62437445,0.00543806,-0.15837199,0.00000160,-0.00844225,0.00771062,-0.13667507,0.02819383,-0.24308277,0.00000000,-0.00000000
3.96498249,0.03553221,-0.57277049,0.05517323,-0.62794158,0.00521291,-0.15650680,0.00000231,-0.00855091,0.00705354,-0.13736822,0.02736170,-0.24504628,0.00000000,-0.00000000
3.97098549,0.03539150,-0.57049693,0.05561218,-0.63009448,0.00516443,-0.15448445,0.00000331,-0.00859908,0.00662056,-0.13753527,0.02746914,-0.24653695,0.00000000,-0.00000000
3.97698849,0.03651142,-0.56700386,0.05804440,-0.63072121,0.00529911,-0.15225891,0.00000471,-0.00858568,0.00641202,-0.13715280,0.02855752,-0.24751515,0.00000000,-0.00000000
3.98299150,0.03894772,-0.56221164,0.06256992,-0.62976569,0.00562445,-0.14979698,0.00000666,-0.00851094,0.00642895,-0.13621246,0.03067348,-0.24796133,0.00000000,-0.00000000
3.98899450,0.04276357,-0.55609215,0.06930013,-0.62722680,0.00614896,-0.14707906,0.00000935,-0.00837643,0.00667336,-0.13472107,0.03386904,-0.24787550,0.00000000,-0.00000000
3.99499750,0.04802923,-0.54866694,0.07835662,-0.62315466,0.00688219,-0.14409913,0.00001303,-0.00818498,0.00714827,-0.13269996,0.03820105,-0.24727552,0.00000000,-0.00000000
4.00100050,0.05482089,-0.54000275,0.08986880,-0.61764424,0.00783453,-0.14086401,0.00001803,-0.00794058,0.00785768,-0.13018360,0.04373006,-0.24619443,0.00000000,-0.00000000
4.00700350,0.06321887,-0.53020489,0.10397040,-0.61082677,0.00901693,-0.13739189,0.00002477,-0.00764827,0.00880635,-0.12721784,0.05051852,-0.24467704,0.00000000,-0.00000000
4.01300650,0.07330515,-0.51940888,0.12079471,-0.60285963,0.01044060,-0.13371045,0.00003380,-0.00731389,0.00999953,-0.12385756,0.05862847,-0.24277591,0.00000000,-0.00000000
4.01900950,0.08516034,-0.50777096,0.14046909,-0.59391524,0.01211655,-0.12985449,0.00004580,-0.00694399,0.01144257,-0.12016408,0.06811880,-0.24054705,0.00000000,-0.00000000
4.02501251,0.09886037,-0.49545815,0.16310872,-0.58416989,0.01405507,-0.12586341,0.00006161,-0.00654551,0.01314038,-0.11620247,0.07904219,-0.23804574,0.00000000,-0.00000000
4.03101551,0.11447297,-0.48263846,0.18881015,-0.57379309,0.01626530,-0.12177865,0.00008229,-0.00612566,0.01509700,-0.11203879,0.09144180,-0.23532256,0.00000000,-0.00000000
4.03701851,0.13205416,-0.46947194,0.21764480,-0.56293815,0.01875461,-0.11764121,0.00010914,-0.00569162,0.01731504,-0.10773758,0.10534811,-0.23242003,0.00000000,-0.00000000
4.04302151,0.15164513,-0.45610296,0.24965295,-0.55173460,0.02152823,-0.11348953,0.00014372,-0.00525041,0.01979517,-0.10335957,0.12077584,-0.22937009,0.00000000,-0.00000000
4.04902451,0.17326956,-0.44265429,0.28483855,-0.54028282,0.02458879,-0.10935765,0.00018793,-0.00480866,0.02253573,-0.09895985,0.13772136,-0.22619245,0.00000000,-0.00000000
4.05502751,0.19693169,-0.42922318,0.32316537,-0.52865125,0.02793604,-0.10527398,0.00024401,-0.00437248,0.02553238,-0.09458650,0.15616068,-0.22289410,0.00000000,-0.00000000
4.06103052,0.22261537,-0.41587966,0.36455462,-0.51687611,0.03156671,-0.10126047,0.00031457,-0.00394736,0.02877788,-0.09027968,0.17604824,-0.21946975,0.00000000,-0.00000000
4.06703352,0.25028414,-0.40266685,0.40888462,-0.50496372,0.03547446,-0.09733243,0.00040269,-0.00353800,0.03226205,-0.08607140,0.19731661,-0.21590342,0.00000000,-0.00000000
4.07303652,0.27988256,-0.38960346,0.45599244,-0.49289515,0.03965008,-0.09349880,0.00051185,-0.00314835,0.03597192,-0.08198562,0.21987725,-0.21217088,0.00000000,-0.00000000
4.07903952,0.31133862,-0.37668785,0.50567781,-0.48063261,0.04408181,-0.08976292,0.00064602,-0.00278152,0.03989195,-0.07803892,0.24362235,-0.20824276,0.00000000,-0.00000000
4.08504252,0.34456731,-0.36390354,0.55770903,-0.46812737,0.04875582,-0.08612359,0.00080961,-0.00243981,0.04400454,-0.07424150,0.26842771,-0.20408822,0.00000000,-0.00000000
4.09104552,0.37947505,-0.35122549,0.61183087,-0.45532842,0.05365686,-0.08257651,0.00100748,-0.00212472,0.04829059,-0.07059851,0.29415659,-0.19967884,0.00000000,-0.00000000
4.09704852,0.41596481,-0.33862693,0.66777382,-0.44219130,0.05876898,-0.07911579,0.00124489,-0.00183705,0.05273022,-0.06711143,0.32066432,-0.19499250,0.00000000,-0.00000000
4.10305153,0.45394146,-0.32608597,0.72526445,-0.42868658,0.06407635,-0.07573550,0.00152743,-0.00157694,0.05730356,-0.06377965,0.34780348,-0.19001693,0.00000000,-0.00000000
4.10905453,0.49331695,-0.31359171,0.78403594,-0.41480728,0.06956398,-0.07243115,0.00186093,-0.00134394,0.06199152,-0.06060194,0.37542925,-0.18475286,0.00000000,-0.00000000
4.11505753,0.53401496,-0.30114945,0.84383830,-0.40057490,0.07521849,-0.06920097,0.00225132,-0.00113716,0.06677653,-0.05757777,0.40340463,-0.17921629,0.00000000,-0.00000000
4.12106053,0.57597434,-0.28878453,0.90444730,-0.38604357,0.08102863,-0.06604698,0.00270449,-0.00095529,0.07164315,-0.05470843,0.43160523,-0.17344007,0.00000000,-0.00000000
4.12706353,0.61915107,-0.27654468,0.96567147,-0.37130213,0.08698571,-0.06297563,0.00322609,-0.00079675,0.07657854,-0.05199785,0.45992306,-0.16747437,0.00000000,-0.00000000
4.13306653,0.66351820,-0.26450083,1.02735639,-0.35647399,0.09308367,-0.05999815,0.00382134,-0.00065976,0.08157266,-0.04945316,0.48826919,-0.16138624,0.00000000,-0.00000000
4.13906953,0.70906361,-0.25274611,1.08938578,-0.34171481,0.09931894,-0.05713050,0.00449472,-0.00054240,0.08661823,-0.04708479,0.51657483,-0.15525814,0.00000000,-0.00000000
