energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-5.35167584,1.52690977,0.06410766,0.00659719,0.20066064,0.01709213,0.91421973,0.67476622,0.26802116
-5.34567284,1.55315963,0.06513915,0.00673465,0.20357948,0.01751582,0.93344450,0.68417104,0.27001399
-5.33966983,1.57505348,0.06616440,0.00683921,0.20573773,0.01791099,0.95022095,0.69061498,0.27128987
-5.33366683,1.59306243,0.06723455,0.00690672,0.20717119,0.01828287,0.96477320,0.69420249,0.27201277
-5.32766383,1.60778530,0.06840369,0.00693423,0.20793268,0.01863763,0.97739766,0.69511140,0.27237019
-5.32166083,1.61991911,0.06972644,0.00692001,0.20808886,0.01898212,0.98844630,0.69358402,0.27256634
-5.31565783,1.63022495,0.07125539,0.00686354,0.20771666,0.01932343,0.99830712,0.68991575,0.27281469
-5.30965483,1.63949067,0.07303842,0.00676548,0.20689920,0.01966857,1.00738277,0.68444160,0.27332978
-5.30365183,1.64849198,0.07511614,0.00662754,0.20572163,0.02002403,1.01606820,0.67752134,0.27431899
-5.29764882,1.65795362,0.07751948,0.00645246,0.20426699,0.02039540,1.02472846,0.66952385,0.27597425
-5.29164582,1.66851250,0.08026754,0.00624377,0.20261228,0.02078708,1.03367752,0.66081136,0.27846419
-5.28564282,1.68068432,0.08336581,0.00600574,0.20082496,0.02120189,1.04315948,0.65172436,0.28192699
-5.27963982,1.69483540,0.08680491,0.00574312,0.19896005,0.02164092,1.05333280,0.64256787,0.28646420
-5.27363682,1.71116103,0.09055989,0.00546102,0.19705794,0.02210329,1.06425859,0.63359956,0.29213575
-5.26763382,1.72967135,0.09459007,0.00516471,0.19514303,0.02258615,1.07589351,0.62502044,0.29895636
-5.26163082,1.75018564,0.09883960,0.00485945,0.19322330,0.02308458,1.08808770,0.61696835,0.30689359
-5.25562781,1.77233513,0.10323859,0.00455031,0.19129063,0.02359176,1.10058802,0.60951461,0.31586744
-5.24962481,1.79557455,0.10770493,0.00424205,0.18932217,0.02409909,1.11304633,0.60266389,0.32575181
-5.24362181,1.81920179,0.11214662,0.00393899,0.18728228,0.02459649,1.12503267,0.59635725,0.33637748
-5.23761881,1.84238482,0.11646456,0.00364491,0.18512524,0.02507263,1.13605265,0.59047810,0.34753681
-5.23161581,1.86419494,0.12055579,0.00336297,0.18279839,0.02551536,1.14556826,0.58486081,0.35898994
-5.22561281,1.88364461,0.12431694,0.00309572,0.18024563,0.02591212,1.15302123,0.57930143,0.37047218
-5.21960980,1.89972848,0.12764775,0.00284501,0.17741103,0.02625031,1.15785780,0.57356999,0.38170256
-5.21360680,1.91146572,0.13045466,0.00261208,0.17424234,0.02651777,1.15955376,0.56742370,0.39239314
