energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up
-5.14757379,4.94371565,0.03598731,0.55679279,1.91291136,1.18965053,0.83480115,0.00000000,0.07606209,1.79942904
-5.14157079,4.90318328,0.03446967,0.55959260,1.93442214,1.17768209,0.82030035,0.00000000,0.07566407,1.78022586
-5.13556778,4.88235522,0.03330118,0.56606155,1.96324314,1.17290386,0.80624550,0.00000000,0.07577121,1.76543778
-5.12956478,4.88169309,0.03250315,0.57617449,1.99932128,1.17557782,0.79297703,0.00000000,0.07634782,1.75527992
-5.12356178,4.90118347,0.03208907,0.58982016,2.04243900,1.18580540,0.78079148,0.00000000,0.07734849,1.74985138
-5.11755878,4.94033735,0.03206432,0.60680468,2.09221465,1.20352580,0.76993360,0.00000000,0.07871924,1.74913085
-5.11155578,4.99820153,0.03242615,0.62685650,2.14810663,1.22851753,0.76059051,0.00000000,0.08039881,1.75297617
-5.10555278,5.07338154,0.03316367,0.64963293,2.20942115,1.26040296,0.75288789,0.00000000,0.08232028,1.76112769
-5.09954977,5.16407489,0.03425802,0.67472779,2.27532311,1.29865582,0.74688852,0.00000000,0.08441268,1.77321533
-5.09354677,5.26811362,0.03568270,0.70168000,2.34484977,1.34261144,0.74259279,0.00000000,0.08660280,1.78876886
-5.08754377,5.38301468,0.03740399,0.72998301,2.41692683,1.39147949,0.73994135,0.00000000,0.08881692,1.80723108
-5.08154077,5.50603669,0.03938152,0.75909481,2.49038655,1.44435919,0.73881945,0.00000000,0.09098269,1.82797318
-5.07553777,5.63424166,0.04156904,0.78844830,2.56398758,1.50025664,0.73906288,0.00000000,0.09303079,1.85031174
-5.06953477,5.76455994,0.04391525,0.81746216,2.63643624,1.55810417,0.74046508,0.00000000,0.09489657,1.87352672
-5.06353177,5.89385729,0.04636490,0.84555176,2.70640907,1.61678137,0.74278518,0.00000000,0.09652153,1.89687983
-5.05752876,6.01900223,0.04885987,0.87214032,2.77257629,1.67513761,0.74575657,0.00000000,0.09785464,1.91963268
-5.05152576,6.13693275,0.05134054,0.89667001,2.83362621,1.73201560,0.74909583,0.00000000,0.09885334,1.94106417
-5.04552276,6.24472071,0.05374708,0.91861292,2.88829014,1.78627557,0.75251148,0.00000000,0.09948450,1.96048680
-5.03951976,6.33963293,0.05602093,0.93748171,2.93536758,1.83681959,0.75571252,0.00000000,0.09972489,1.97726136
-5.03351676,6.41918763,0.05810623,0.95283986,2.97375139,1.88261551,0.75841639,0.00000000,0.09956158,1.99080981
-5.02751376,6.48120504,0.05995120,0.96431111,3.00245231,1.92271971,0.76035621,0.00000000,0.09899195,2.00062616
-5.02151076,6.52385107,0.06150953,0.97158796,3.02062230,1.95629824,0.76128712,0.00000000,0.09802349,2.00628511
-5.01550775,6.54567294,0.06274149,0.97443897,3.02757605,1.98264541,0.76099161,0.00000000,0.09667334,2.00744840
-5.00950475,6.54562574,0.06361502,0.97271444,3.02280972,2.00119934,0.75928377,0.00000000,0.09496755,2.00386880
-5.00350175,6.52308912,0.06410649,0.96635038,3.00601629,2.01155384,0.75601244,0.00000000,0.09294019,1.99539181
-4.99749875,6.47787341,0.06420124,0.95537038,2.97709656,2.01346602,0.75106314,0.00000000,0.09063216,1.98195498
-4.99149575,6.41021485,0.06389387,0.93988526,2.93616509,2.00685944,0.74435898,0.00000000,0.08808996,1.96358506
-4.98549275,6.32075974,0.06318817,0.92009041,2.88355061,1.99182234,0.73586045,0.00000000,0.08536420,1.94039302
-4.97948974,6.21053800,0.06209679,0.89626070,2.81979032,1.96860131,0.72556426,0.00000000,0.08250813,1.91256725
-4.97348674,6.08092662,0.06064072,0.86874310,2.74561805,1.93759020,0.71350129,0.00000000,0.07957600,1.88036499
-4.96748374,5.93360440,0.05884833,0.83794722,2.66194643,1.89931495,0.69973380,0.00000000,0.07662158,1.84410250
-4.96148074,5.77049927,0.05675439,0.80433392,2.56984345,1.85441491,0.68435210,0.00000000,0.07369651,1.80414416
-4.95547774,5.59373021,0.05439881,0.76840253,2.47050417,1.80362123,0.66747071,0.00000000,0.07084894,1.76089097
-4.94947474,5.40554595,0.05182530,0.73067701,2.36521869,1.74773345,0.64922437,0.00000000,0.06812213,1.71476890
-4.94347174,5.20826275,0.04907997,0.69169164,2.25533743,1.68759513,0.62976391,0.00000000,0.06555339,1.66621744
-4.93746873,5.00420378,0.04620998,0.65197679,2.14223535,1.62406959,0.60925223,0.00000000,0.06317312,1.61567898
-4.93146573,4.79564237,0.04326216,0.61204526,2.02727643,1.55801674,0.58786053,0.00000000,0.06100419,1.56358921
-4.92546273,4.58475150,0.04028181,0.57237981,1.91177996,1.49027187,0.56576491,0.00000000,0.05906153,1.51036917
-4.91945973,4.37356120,0.03731162,0.53342225,1.79698994,1.42162736,0.54314351,0.00000000,0.05735211,1.45641906
-4.91345673,4.16392562,0.03439081,0.49556459,1.68404902,1.35281772,0.52017412,0.00000000,0.05587517,1.40211419
-4.90745373,3.95750056,0.03155442,0.45914244,1.57397759,1.28450860,0.49703249,0.00000000,0.05462280,1.34780304
-4.90145073,3.75573196,0.02883284,0.42443089,1.46765905,1.21728988,0.47389121,0.00000000,0.05358078,1.29380758
-4.89544772,3.55985541,0.02625160,0.39164289,1.36583135,1.15167297,0.45091915,0.00000000,0.05272971,1.24042565
-4.88944472,3.37090581,0.02383132,0.36093008,1.26908496,1.08809198,0.42828150,0.00000000,0.05204635,1.18793521
