energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-4.45122561,1.79758437,0.05925993,0.40190646,0.07000149,0.27442384,0.21671633,0.00000000
-4.44522261,1.76221724,0.06019983,0.39251833,0.06522324,0.26957827,0.21306150,0.00000000
-4.43921961,1.72173907,0.06192760,0.38206090,0.06050861,0.26391399,0.20938410,0.00000000
-4.43321661,1.67672842,0.06456226,0.37065338,0.05592719,0.25750019,0.20584998,0.00000000
-4.42721361,1.62793369,0.06825197,0.35844925,0.05154762,0.25043201,0.20265737,0.00000000
-4.42121061,1.57625498,0.07317212,0.34563186,0.04743584,0.24282822,0.20003376,0.00000000
-4.41520760,1.52272245,0.07952255,0.33240962,0.04365362,0.23482827,0.19823201,0.00000000
-4.40920460,1.46847143,0.08752386,0.31901055,0.04025743,0.22658888,0.19752541,0.00000000
-4.40320160,1.41471467,0.09741278,0.30567655,0.03729749,0.21828012,0.19820187,0.00000000
-4.39719860,1.36271210,0.10943624,0.29265732,0.03481713,0.21008122,0.20055709,0.00000000
-4.39119560,1.31373867,0.12384444,0.28020406,0.03285223,0.20217589,0.20488684,0.00000000
-4.38519260,1.26905065,0.14088265,0.26856304,0.03143099,0.19474763,0.21147831,0.00000000
-4.37918959,1.22985133,0.16078198,0.25796908,0.03057363,0.18797474,0.22060074,0.00000000
-4.37318659,1.19725655,0.18374917,0.24863926,0.03029227,0.18202545,0.23249541,0.00000000
-4.36718359,1.17226112,0.20995571,0.24076674,0.03059078,0.17705318,0.24736528,0.00000000
-4.36118059,1.15570694,0.23952659,0.23451501,0.03146467,0.17319198,0.26536461,0.00000000
-4.35517759,1.14825386,0.27252911,0.23001267,0.03290096,0.17055251,0.28658879,0.00000000
-4.34917459,1.15035415,0.30896222,0.22734899,0.03487809,0.16921846,0.31106497,0.00000000
-4.34317159,1.16223183,0.34874692,0.22657024,0.03736580,0.16924373,0.33874382,0.00000000
-4.33716858,1.18386762,0.39171840,0.22767713,0.04032510,0.17065045,0.36949293,0.00000000
-4.33116558,1.21499053,0.43762039,0.23062348,0.04370838,0.17342792,0.40309232,0.00000000
-4.32516258,1.25507682,0.48610234,0.23531616,0.04745956,0.17753254,0.43923255,0.00000000
-4.31915958,1.30335685,0.53671986,0.24161643,0.05151453,0.18288897,0.47751571,0.00000000
-4.31315658,1.35883023,0.58893886,0.24934281,0.05580178,0.18939223,0.51745966,0.00000000
-4.30715358,1.42028917,0.64214357,0.25827537,0.06024329,0.19691110,0.55850563,0.00000000
-4.30115058,1.48634971,0.69564841,0.26816141,0.06475572,0.20529234,0.60002925,0.00000000
-4.29514757,1.55549028,0.74871373,0.27872240,0.06925190,0.21436601,0.64135468,0.00000000
-4.28914457,1.62609631,0.80056480,0.28966207,0.07364254,0.22395142,0.68177184,0.00000000
-4.28314157,1.69650973,0.85041366,0.30067525,0.07783826,0.23386367,0.72055582,0.00000000
-4.27713857,1.76508137,0.89748298,0.31145732,0.08175171,0.24392043,0.75698816,0.00000000
-4.27113557,1.83022456,0.94103093,0.32171373,0.08529984,0.25394877,0.79037900,0.00000000
-4.26513257,1.89046759,0.98037602,0.33116951,0.08840618,0.26379164,0.82008924,0.00000000
-4.25912956,1.94450301,1.01492088,0.33957802,0.09100306,0.27331386,0.84555180,0.00000000
-4.25312656,1.99123158,1.04417367,0.34672893,0.09303359,0.28240709,0.86629102,0.00000000
-4.24712356,2.02979882,1.06776621,0.35245483,0.09445343,0.29099384,0.88193921,0.00000000
-4.24112056,2.05962281,1.08546787,0.35663630,0.09523219,0.29903004,0.89224980,0.00000000
-4.23511756,2.08041165,1.09719443,0.35920525,0.09535432,0.30650622,0.89710616,0.00000000
-4.22911456,2.09217001,1.10301156,0.36014629,0.09481966,0.31344714,0.89652592,0.00000000
-4.22311156,2.09519462,1.10313252,0.35949621,0.09364332,0.31990992,0.89066051,0.00000000
