energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-0.12306153,1.23286476,0.37290271,0.73764993,0.00378353,0.05122735,0.10315874,0.23141877,0.00458856,0.21285334
-0.11705853,1.26556703,0.38643920,0.76646749,0.00400373,0.05212982,0.10264736,0.23473913,0.00501633,0.20703546
-0.11105553,1.30915647,0.40264207,0.80315937,0.00425611,0.05320131,0.10298477,0.23956390,0.00548996,0.20275286
-0.10505253,1.36373980,0.42142384,0.84781153,0.00453830,0.05444330,0.10419964,0.24589310,0.00601284,0.20006789
-0.09904952,1.42922975,0.44263621,0.90037488,0.00484686,0.05585449,0.10630811,0.25370007,0.00658797,0.19900743
-0.09304652,1.50533288,0.46606962,0.96065488,0.00517738,0.05743051,0.10931279,0.26293026,0.00721778,0.19956271
-0.08704352,1.59154116,0.49145461,1.02830362,0.00552451,0.05916367,0.11320197,0.27350059,0.00790397,0.20168984
-0.08104052,1.68712785,0.51846491,1.10281485,0.00588208,0.06104278,0.11794895,0.28529943,0.00864725,0.20531113
-0.07503752,1.79114787,0.54672237,1.18352236,0.00624328,0.06305291,0.12351163,0.29818723,0.00944720,0.21031717
-0.06903452,1.90244330,0.57580357,1.26960200,0.00660081,0.06517523,0.12983219,0.31199770,0.01030207,0.21656939
-0.06303152,2.01965405,0.60524796,1.36007786,0.00694706,0.06738701,0.13683717,0.32653974,0.01120860,0.22390327
-0.05702851,2.14123413,0.63456739,1.45383265,0.00727438,0.06966163,0.14443766,0.34159996,0.01216192,0.23213192
-0.05102551,2.26547348,0.66325668,1.54962251,0.00757525,0.07196875,0.15252999,0.35694580,0.01315547,0.24105009
-0.04502251,2.39052537,0.69080506,1.64609631,0.00784255,0.07427470,0.16099668,0.37232930,0.01418099,0.25043853
-0.03901951,2.51443892,0.71670797,1.74181910,0.00806974,0.07654286,0.16970783,0.38749141,0.01522852,0.26006853
-0.03301651,2.63519645,0.74047910,1.83529943,0.00825110,0.07873437,0.17852294,0.40216682,0.01628657,0.26970666
-0.02701351,2.75075469,0.76166200,1.92502004,0.00838190,0.08080884,0.18729319,0.41608919,0.01734225,0.27911959
-0.02101051,2.85908913,0.77984111,2.00947110,0.00845853,0.08272526,0.19586407,0.42899674,0.01838153,0.28807892
-0.01500750,2.95824006,0.79465179,2.08718501,0.00847861,0.08444298,0.20407851,0.44063799,0.01938958,0.29636587
-0.00900450,3.04635928,0.80578902,2.15677196,0.00844109,0.08592275,0.21178019,0.45077753,0.02035111,0.30377583
-0.00300150,3.12175571,0.81301445,2.21695485,0.00834623,0.08712779,0.21881719,0.45920175,0.02125083,0.31012256
0.00300150,3.18293868,0.81616173,2.26660244,0.00819558,0.08802487,0.22504574,0.46572418,0.02207385,0.31524210
0.00900450,3.22865707,0.81513982,2.30475968,0.00799195,0.08858527,0.23033391,0.47019042,0.02280618,0.31899603
0.01500750,3.25793313,0.80993429,2.33067380,0.00773922,0.08878575,0.23456525,0.47248238,0.02343521,0.32127434
0.02101051,3.27008953,0.80060667,2.34381538,0.00744227,0.08860924,0.23764211,0.47252171,0.02395010,0.32199749
0.02701351,3.26476851,0.78729172,2.34389342,0.00710676,0.08804552,0.23948849,0.47027227,0.02434224,0.32111783
0.03301651,3.24194246,0.77019300,2.33086384,0.00673895,0.08709156,0.24005244,0.46574145,0.02460554,0.31862024
0.03901951,3.20191520,0.74957678,2.30493086,0.00634548,0.08575178,0.23930772,0.45898045,0.02473667,0.31452194
0.04502251,3.14531401,0.72576455,2.26654137,0.00593319,0.08403797,0.23725470,0.45008316,0.02473530,0.30887155
0.05102551,3.07307235,0.69912442,2.21637225,0.00550886,0.08196907,0.23392052,0.43918396,0.02460408,0.30174734
0.05702851,2.98640409,0.67006173,2.15531116,0.00507910,0.07957069,0.22935836,0.42645426,0.02434862,0.29325477
0.06303152,2.88676982,0.63900915,2.08443153,0.00465012,0.07687443,0.22364589,0.41209798,0.02397733,0.28352331
0.06903452,2.77583670,0.60641649,2.00496257,0.00422762,0.07391704,0.21688299,0.39634609,0.02350117,0.27270279
0.07503752,2.65543311,0.57274076,1.91825551,0.00381668,0.07073943,0.20918872,0.37945033,0.02293326,0.26095925
0.08104052,2.52749980,0.53843643,1.82574729,0.00342165,0.06738556,0.20069780,0.36167645,0.02228845,0.24847042
0.08704352,2.39403928,0.50394643,1.72892300,0.00304613,0.06390125,0.19155660,0.34329704,0.02158281,0.23542111
0.09304652,2.25706518,0.46969395,1.62927845,0.00269295,0.06033299,0.18191889,0.32458433,0.02083312,0.22199851
0.09904952,2.11855345,0.43607527,1.52828413,0.00236418,0.05672677,0.17194149,0.30580320,0.02005623,0.20838768
0.10505253,1.98039692,0.40345376,1.42735181,0.00206115,0.05312690,0.16177996,0.28720457,0.01926858,0.19476717
0.11105553,1.84436472,0.37215517,1.32780482,0.00178452,0.04957503,0.15158458,0.26901950,0.01848563,0.18130521
0.11705853,1.71206788,0.34246418,1.23085288,0.00153434,0.04610923,0.14149670,0.25145414,0.01772141,0.16815632
0.12306153,1.58493183,0.31462239,1.13757206,0.00131015,0.04276320,0.13164558,0.23468578,0.01698808,0.15545848
0.12906453,1.46417666,0.28882748,1.04889043,0.00111103,0.03956580,0.12214583,0.21885994,0.01629568,0.14333109
0.13506753,1.35080524,0.26523367,0.96557933,0.00093575,0.03654058,0.11309561,0.20408885,0.01565188,0.13187357
0.14107054,1.24559925,0.24395323,0.88825040,0.00078277,0.03370570,0.10457547,0.19045110,0.01506191,0.12116468
0.14707354,1.14912265,0.22505893,0.81735787,0.00065040,0.03107389,0.09664791,0.17799255,0.01452856,0.11126256
0.15307654,1.06173204,0.20858729,0.75320569,0.00053683,0.02865273,0.08935769,0.16672836,0.01405229,0.10220544
0.15907954,0.98359293,0.19454231,0.69595874,0.00044023,0.02644498,0.08273266,0.15664610,0.01363151,0.09401286
0.16508254,0.91470077,0.18289961,0.64565738,0.00035877,0.02444915,0.07678523,0.14770969,0.01326280,0.08668749
0.17108554,0.85490563,0.17361064,0.60223441,0.00029068,0.02266013,0.07151420,0.13986399,0.01294139,0.08021721
0.17708854,0.80393908,0.16660688,0.56553341,0.00023427,0.02106993,0.06690694,0.13303985,0.01266149,0.07457757
