energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.26163082,7.18980048,0.09160295,0.99753897,1.19976492,0.00000000,0.13615383,3.21653416,2.80319329,1.24351149
-5.25562781,7.34161615,0.09292972,1.00740002,1.23927045,0.00000000,0.13762493,3.30390923,2.87010946,1.26291743
-5.24962481,7.47879227,0.09408417,1.01540458,1.27636778,0.00000000,0.13860714,3.38442175,2.93121236,1.28052420
-5.24362181,7.59950754,0.09505394,1.02135321,1.31062352,0.00000000,0.13910481,3.45714650,2.98552146,1.29605521
-5.23761881,7.70207887,0.09582705,1.02505294,1.34163389,0.00000000,0.13913028,3.52123807,3.03209950,1.30923219
-5.23161581,7.78499112,0.09639209,1.02632285,1.36903143,0.00000000,0.13870305,3.57594300,3.07007437,1.31978301
-5.22561281,7.84692558,0.09673842,1.02499976,1.39249147,0.00000000,0.13784873,3.62061083,3.09866139,1.32744972
-5.21960980,7.88678628,0.09685628,1.02094381,1.41173824,0.00000000,0.13659769,3.65470389,3.11718531,1.33199657
-5.21360680,7.90372299,0.09673705,1.01404369,1.42655031,0.00000000,0.13498374,3.67780554,3.12510093,1.33321744
-5.20760380,7.89715058,0.09637335,1.00422119,1.43676534,0.00000000,0.13304263,3.68962680,3.12201151,1.33094264
-5.20160080,7.86676407,0.09575923,0.99143504,1.44228395,0.00000000,0.13081069,3.69001139,3.10768416,1.32504468
-5.19559780,7.81254942,0.09489034,0.97568373,1.44307266,0.00000000,0.12832349,3.67893919,3.08206188,1.31544299
-5.18959480,7.73478991,0.09376411,0.95700735,1.43916581,0.00000000,0.12561473,3.65652821,3.04527142,1.30210741
-5.18359180,7.63406829,0.09237993,0.93548840,1.43066651,0.00000000,0.12271528,3.62303516,2.99762708,1.28506052
-5.17758879,7.51126480,0.09073934,0.91125157,1.41774649,0.00000000,0.11965256,3.57885473,2.93963010,1.26437872
-5.17158579,7.36755125,0.08884622,0.88446254,1.40064489,0.00000000,0.11645010,3.52451756,2.87196376,1.24019215
-5.16558279,7.20438111,0.08670696,0.85532582,1.37966603,0.00000000,0.11312748,3.46068674,2.79548429,1.21268355
-5.15957979,7.02347562,0.08433062,0.82408182,1.35517594,0.00000000,0.10970046,3.38815291,2.71120790,1.18208603
-5.15357679,6.82680575,0.08172905,0.79100303,1.32759786,0.00000000,0.10618138,3.30782752,2.62029403,1.14867987
-5.14757379,6.61656977,0.07891692,0.75638971,1.29740645,0.00000000,0.10257977,3.22073412,2.52402539,1.11278834
-5.14157079,6.39516609,0.07591176,0.72056481,1.26512074,0.00000000,0.09890311,3.12799729,2.42378499,1.07477270
-5.13556778,6.16516120,0.07273380,0.68386852,1.23129590,0.00000000,0.09515759,3.03082898,2.32103058,1.03502626
-5.12956478,5.92925242,0.06940589,0.64665240,1.19651361,0.00000000,0.09134904,2.93051201,2.21726703,0.99396772
-5.12356178,5.69022554,0.06595313,0.60927321,1.16137125,0.00000000,0.08748374,2.82838057,2.11401696,0.95203368
-5.11755878,5.45090751,0.06240258,0.57208653,1.12646993,0.00000000,0.08356916,2.72579779,2.01279022,0.90967059
-5.11155578,5.21411485,0.05878275,0.53544040,1.09240153,0.00000000,0.07961460,2.62413051,1.91505272,0.86732616
-5.10555278,4.98259847,0.05512312,0.49966894,1.05973501,0.00000000,0.07563165,2.52472176,1.82219515,0.82544039
-5.09954977,4.75898635,0.05145354,0.46508622,1.02900229,0.00000000,0.07163453,2.42886141,1.73550238,0.78443649
-5.09354677,4.54572549,0.04780364,0.43198057,1.00068411,0.00000000,0.06764021,2.33775602,1.65612411,0.74471185
-5.08754377,4.34502508,0.04420218,0.40060924,0.97519636,0.00000000,0.06366836,2.25249866,1.58504758,0.70662941
-5.08154077,4.15880299,0.04067647,0.37119390,0.95287737,0.00000000,0.05974118,2.17404010,1.52307317,0.67050969
-5.07553777,3.98863777,0.03725180,0.34391684,0.93397672,0.00000000,0.05588308,2.10316241,1.47079356,0.63662375
-5.06953477,3.83572833,0.03395098,0.31891816,0.91864615,0.00000000,0.05212031,2.04045637,1.42857746,0.60518745
-5.06353177,3.70086351,0.03079388,0.29629398,0.90693299,0.00000000,0.04848044,1.98630385,1.39655834,0.57635719
-5.05752876,3.58440320,0.02779717,0.27609579,0.89877672,0.00000000,0.04499197,1.94086624,1.37462906,0.55022744
-5.05152576,3.48627269,0.02497407,0.25833093,0.89400890,0.00000000,0.04168385,1.90407993,1.36244280,0.52683013
-5.04552276,3.40597099,0.02233430,0.24296430,0.89235669,0.00000000,0.03858507,1.87565927,1.35942058,0.50613615
-5.03951976,3.34259363,0.01988411,0.22992115,0.89345016,0.00000000,0.03572434,1.85510758,1.36476561,0.48805874
-5.03351676,3.29486971,0.01762635,0.21909095,0.89683322,0.00000000,0.03312987,1.84173592,1.37748428,0.47245891
-5.02751376,3.26121218,0.01556075,0.21033223,0.90197793,0.00000000,0.03082919,1.83468932,1.39641347,0.45915266
-5.02151076,3.23977987,0.01368416,0.20347821,0.90830177,0.00000000,0.02884908,1.83297966,1.42025361,0.44791964
-5.01550775,3.22854903,0.01199095,0.19834302,0.91518735,0.00000000,0.02721556,1.83552401,1.44760642,0.43851308
-5.00950475,3.22539168,0.01047336,0.19472836,0.92200372,0.00000000,0.02595391,1.84118690,1.47701648,0.43067057
