energy_ev,total_up,Ge_p_up,Ge_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-1.60580290,0.56549478,0.12069230,0.00000000,0.19928779,0.20669058,0.38407163,0.00000000
-1.59979990,0.51565293,0.10584558,0.00000000,0.17836596,0.19133043,0.34858352,0.00000000
-1.59379690,0.47479410,0.09231339,0.00000000,0.16127194,0.17947863,0.31931842,0.00000000
-1.58779390,0.44318798,0.08008790,0.00000000,0.14787787,0.17137794,0.29633234,0.00000000
-1.58179090,0.42107467,0.06914433,0.00000000,0.13804992,0.16727277,0.27965667,0.00000000
-1.57578789,0.40867279,0.05944387,0.00000000,0.13165218,0.16741177,0.26930414,0.00000000
-1.56978489,0.40618565,0.05093668,0.00000000,0.12854954,0.17204904,0.26527370,0.00000000
-1.56378189,0.41380505,0.04356499,0.00000000,0.12860952,0.18144399,0.26755405,0.00000000
-1.55777889,0.43171251,0.03726605,0.00000000,0.13170336,0.19585932,0.27612582,0.00000000
-1.55177589,0.46007760,0.03197495,0.00000000,0.13770645,0.21555716,0.29096254,0.00000000
-1.54577289,0.49905347,0.02762726,0.00000000,0.14649845,0.24079297,0.31203031,0.00000000
-1.53976988,0.54876964,0.02416133,0.00000000,0.15796327,0.27180749,0.33928658,0.00000000
-1.53376688,0.60932246,0.02152038,0.00000000,0.17198913,0.30881665,0.37267794,0.00000000
-1.52776388,0.68076347,0.01965421,0.00000000,0.18846908,0.35199975,0.41213749,0.00000000
-1.52176088,0.76308648,0.01852064,0.00000000,0.20730190,0.40148635,0.45758190,0.00000000
-1.51575788,0.85621393,0.01808663,0.00000000,0.22839386,0.45734230,0.50890842,0.00000000
-1.50975488,0.95998329,0.01832900,0.00000000,0.25166106,0.51955557,0.56599222,0.00000000
-1.50375188,1.07413445,0.01923499,0.00000000,0.27703271,0.58802261,0.62868425,0.00000000
-1.49774887,1.19829882,0.02080247,0.00000000,0.30445496,0.66253596,0.69680974,0.00000000
-1.49174587,1.33199091,0.02303980,0.00000000,0.33389533,0.74277395,0.77016759,0.00000000
-1.48574287,1.47460314,0.02596559,0.00000000,0.36534740,0.82829332,0.84853056,0.00000000
-1.47973987,1.62540438,0.02960804,0.00000000,0.39883537,0.91852533,0.93164630,0.00000000
-1.47373687,1.78354246,0.03400409,0.00000000,0.43441823,1.01277604,1.01923898,0.00000000
-1.46773387,1.94805102,0.03919828,0.00000000,0.47219289,1.11023124,1.11101155,0.00000000
-1.46173087,2.11786035,0.04524129,0.00000000,0.51229599,1.20996609,1.20664798,0.00000000
-1.45572786,2.29181203,0.05218823,0.00000000,0.55490373,1.31095959,1.30581558,0.00000000
-1.44972486,2.46867674,0.06009662,0.00000000,0.60022949,1.41211353,1.40816673,0.00000000
-1.44372186,2.64717451,0.06902405,0.00000000,0.64851873,1.51227552,1.51333990,0.00000000
-1.43771886,2.82599647,0.07902558,0.00000000,0.70004107,1.61026515,1.62095959,0.00000000
-1.43171586,3.00382711,0.09015093,0.00000000,0.75507943,1.70490246,1.73063510,0.00000000
-1.42571286,3.17936600,0.10244143,0.00000000,0.81391638,1.79503758,1.84195784,0.00000000
-1.41970985,3.35134801,0.11592688,0.00000000,0.87681805,1.87958020,1.95449749,0.00000000
-1.41370685,3.51856118,0.13062246,0.00000000,0.94401612,1.95752778,2.06779695,0.00000000
-1.40770385,3.67986154,0.14652567,0.00000000,1.01568862,2.02799109,2.18136662,0.00000000
-1.40170085,3.83418449,0.16361355,0.00000000,1.09194048,2.09021623,2.29467834,0.00000000
-1.39569785,3.98055263,0.18184040,0.00000000,1.17278488,2.14360189,2.40715972,0.00000000
-1.38969485,4.11808008,0.20113591,0.00000000,1.25812649,2.18771158,2.51818949,0.00000000
-1.38369185,4.24597382,0.22140413,0.00000000,1.34774788,2.22228005,2.62709464,0.00000000
-1.37768884,4.36353268,0.24252323,0.00000000,1.44129991,2.24721409,2.73315005,0.00000000
-1.37168584,4.47014470,0.26434626,0.00000000,1.53829736,2.26258777,2.83558131,0.00000000
-1.36568284,4.56528393,0.28670285,0.00000000,1.63812023,2.26863257,2.93357120,0.00000000
-1.35967984,4.64850741,0.30940203,0.00000000,1.74002126,2.26572325,3.02627010,0.00000000
-1.35367684,4.71945329,0.33223599,0.00000000,1.84313964,2.25436018,3.11281053,0.00000000
-1.34767384,4.77784046,0.35498473,0.00000000,1.94652073,2.23514913,3.19232537,0.00000000
