energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-4.22311156,4.39348103,-1.90338347,1.67046149,-1.57125109,1.78045077,-0.40122621,0.00996209,-0.00178561,0.33106966,-0.39165881,0.03485930,-0.00146410,1.86425741,-0.82094843
-4.21710855,4.18400481,-2.07305911,1.60420015,-1.75948806,1.68109471,-0.43659138,0.00971561,-0.00191569,0.28624866,-0.45808874,0.03440933,-0.00179878,1.80961088,-0.86060584
-4.21110555,3.98866796,-2.25688197,1.54326698,-1.96600692,1.58920411,-0.47495982,0.00948585,-0.00206179,0.24705831,-0.53239877,0.03395698,-0.00220001,1.75606431,-0.90110316
-4.20510255,3.80846730,-2.45589743,1.48787274,-2.19131098,1.50508413,-0.51660064,0.00927529,-0.00222736,0.21303382,-0.61485454,0.03351591,-0.00267795,1.70457022,-0.94284441
-4.19909955,3.64414135,-2.67106895,1.43815814,-2.43560206,1.42892857,-0.56177883,0.00908548,-0.00241633,0.18370596,-0.70561566,0.03309851,-0.00324363,1.65595685,-0.98629394
-4.19309655,3.49613431,-2.90322509,1.39417740,-2.69872033,1.36080881,-0.61074599,0.00891704,-0.00263298,0.15861093,-0.80472001,0.03271543,-0.00390886,1.61090064,-1.03195840
-4.18709355,3.36457122,-3.15300659,1.35588647,-2.98009035,1.30066650,-0.66373107,0.00876958,-0.00288193,0.13729860,-0.91207106,0.03237526,-0.00468608,1.56990613,-1.08036560
-4.18109055,3.24924557,-3.42081596,1.32313595,-3.27867637,1.24831062,-0.72093139,0.00864182,-0.00316797,0.11933919,-1.02742898,0.03208429,-0.00558811,1.53329374,-1.13204084
-4.17508754,3.14961991,-3.70677238,1.29566930,-3.59295041,1.20341915,-0.78250458,0.00853161,-0.00349596,0.10432817,-1.15040627,0.03184635,-0.00662791,1.50119570,-1.18748173
-4.16908454,3.06483927,-4.01067438,1.27312592,-3.92087596,1.16554532,-0.84856175,0.00843606,-0.00387068,0.09188976,-1.28046888,0.03166278,-0.00781819,1.47355997,-1.24713234
-4.16308154,2.99375681,-4.33197255,1.25504906,-4.25990992,1.13412833,-0.91916231,0.00835170,-0.00429662,0.08167887,-1.41694281,0.03153255,-0.00917101,1.45016159,-1.31135785
-4.15707854,2.93497019,-4.66975413,1.24089778,-4.60702447,1.10850812,-0.99431066,0.00827465,-0.00477784,0.07338194,-1.55902670,0.03145233,-0.01069730,1.43062047,-1.38042058
-4.15107554,2.88686687,-5.02274065,1.23006236,-4.95874968,1.08794347,-1.07395493,0.00820077,-0.00531770,0.06671671,-1.70581003,0.03141678,-0.01240631,1.41442459,-1.45445847
-4.14507254,2.84767608,-5.38929905,1.22188215,-5.31123683,1.07163273,-1.15798769,0.00812589,-0.00591871,0.06143117,-1.85629653,0.03141878,-0.01430504,1.40095702,-1.53346697
-4.13906953,2.81552494,-5.76746623,1.21566502,-5.66034111,1.05873631,-1.24624857,0.00804595,-0.00658228,0.05730196,-2.00943184,0.03144982,-0.01639768,1.38952560,-1.61728491
