energy_ev,total_up,Bi_p_up,Bi_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-5.33366683,1.37324342,0.62308363,0.00600246,0.33379995,0.10884324,0.02906611,0.27897793
-5.32766383,1.38119642,0.62339294,0.00604510,0.33466089,0.10962964,0.02890171,0.28433434
-5.32166083,1.38553059,0.62245169,0.00607137,0.33488938,0.11010479,0.02872469,0.28853293
-5.31565783,1.38546207,0.61993762,0.00607805,0.33427791,0.11020338,0.02850917,0.29137984
-5.30965483,1.38031583,0.61555985,0.00606232,0.33264630,0.10987031,0.02823332,0.29272006
-5.30365183,1.36955316,0.60907247,0.00602190,0.32984871,0.10906278,0.02787983,0.29244204
-5.29764882,1.35279370,0.60028603,0.00595514,0.32577939,0.10775180,0.02743628,0.29048078
-5.29164582,1.32983106,0.58907647,0.00586112,0.32037682,0.10592333,0.02689533,0.28681942
-5.28564282,1.30064135,0.57539107,0.00573969,0.31362609,0.10357863,0.02625469,0.28148903
-5.27963982,1.26538443,0.55925122,0.00559147,0.30555949,0.10073425,0.02551699,0.27456690
-5.27363682,1.22439796,0.54075194,0.00541785,0.29625536,0.09742123,0.02468948,0.26617324
-5.26763382,1.17818467,0.52005836,0.00522095,0.28583515,0.09368398,0.02378359,0.25646653
-5.26163082,1.12739360,0.49739929,0.00500353,0.27445900,0.08957849,0.02281439,0.24563772
-5.25562781,1.07279647,0.47305849,0.00476890,0.26232004,0.08517039,0.02179992,0.23390360
-5.24962481,1.01526024,0.44736397,0.00452082,0.24963761,0.08053256,0.02076051,0.22149954
-5.24362181,0.95571729,0.42067601,0.00426335,0.23664980,0.07574270,0.01971799,0.20867202
-5.23761881,0.89513458,0.39337445,0.00400073,0.22360562,0.07088076,0.01869497,0.19567114
-5.23161581,0.83448317,0.36584590,0.00373724,0.21075704,0.06602656,0.01771405,0.18274346
-5.22561281,0.77470916,0.33847137,0.00347709,0.19835134,0.06125739,0.01679711,0.17012541
-5.21960980,0.71670739,0.31161492,0.00322426,0.18662386,0.05664600,0.01596463,0.15803746
-5.21360680,0.66129853,0.28561362,0.00298246,0.17579160,0.05225879,0.01523512,0.14667921
-5.20760380,0.60921025,0.26076928,0.00275499,0.16604758,0.04815440,0.01462459,0.13622548
-5.20160080,0.56106295,0.23734197,0.00254471,0.15755641,0.04438262,0.01414612,0.12682353
-5.19559780,0.51736013,0.21554566,0.00235395,0.15045085,0.04098370,0.01380957,0.11859126
-5.18959480,0.47848338,0.19554577,0.00218454,0.14482962,0.03798806,0.01362134,0.11161653
-5.18359180,0.44469175,0.17745869,0.00203777,0.14075638,0.03541627,0.01358429,0.10595739
-5.17758879,0.41612515,0.16135305,0.00191442,0.13825986,0.03327941,0.01369772,0.10164317
-5.17158579,0.39281129,0.14725248,0.00181478,0.13733500,0.03157962,0.01395749,0.09867631
-5.16558279,0.37467549,0.13513975,0.00173870,0.13794518,0.03031098,0.01435623,0.09703476
-5.15957979,0.36155293,0.12496181,0.00168565,0.14002526,0.02946042,0.01488361,0.09667489
-5.15357679,0.35320256,0.11663563,0.00165479,0.14348540,0.02900882,0.01552678,0.09753467
-5.14757379,0.34932215,0.11005448,0.00164503,0.14821547,0.02893223,0.01627080,0.09953710
-5.14157079,0.34956376,0.10509430,0.00165512,0.15408998,0.02920301,0.01709917,0.10259366
-5.13556778,0.35354931,0.10162008,0.00168369,0.16097314,0.02979096,0.01799443,0.10660777
-5.12956478,0.36088542,0.09949193,0.00172937,0.16872422,0.03066453,0.01893874,0.11147806
-5.12356178,0.37117740,0.09857065,0.00179082,0.17720263,0.03179172,0.01991455,0.11710144
-5.11755878,0.38404163,0.09872258,0.00186681,0.18627285,0.03314106,0.02090514,0.12337583
-5.11155578,0.39911633,0.09982381,0.00195623,0.19580879,0.03468234,0.02189525,0.13020249
-5.10555278,0.41607014,0.10176337,0.00205818,0.20569757,0.03638721,0.02287157,0.13748799
-5.09954977,0.43460840,0.10444548,0.00217192,0.21584236,0.03822961,0.02382314,0.14514555
-5.09354677,0.45447709,0.10779086,0.00229695,0.22616434,0.04018603,0.02474169,0.15309604
-5.08754377,0.47546413,0.11173691,0.00243293,0.23660351,0.04223560,0.02562185,0.16126837
-5.08154077,0.49739825,0.11623702,0.00257970,0.24711840,0.04435998,0.02646111,0.16959938
-5.07553777,0.52014549,0.12125881,0.00273722,0.25768461,0.04654312,0.02725982,0.17803336
-5.06953477,0.54360352,0.12678168,0.00290551,0.26829224,0.04877089,0.02802084,0.18652107
-5.06353177,0.56769423,0.13279354,0.00308459,0.27894233,0.05103057,0.02874922,0.19501851
-5.05752876,0.59235477,0.13928702,0.00327443,0.28964255,0.05331031,0.02945163,0.20348542
-5.05152576,0.61752780,0.14625542,0.00347482,0.30040225,0.05559850,0.03013576,0.21188371
-5.04552276,0.64315134,0.15368839,0.00368533,0.31122723,0.05788320,0.03080964,0.22017582
-5.03951976,0.66914885,0.16156785,0.00390523,0.32211452,0.06015152,0.03148091,0.22832325
-5.03351676,0.69542021,0.16986414,0.00413346,0.33304749,0.06238917,0.03215611,0.23628527
-5.02751376,0.72183405,0.17853286,0.00436849,0.34399160,0.06458009,0.03284002,0.24401799
-5.02151076,0.74822209,0.18751238,0.00460841,0.35489113,0.06670620,0.03353513,0.25147378
-5.01550775,0.77437586,0.19672244,0.00485084,0.36566702,0.06874733,0.03424116,0.25860118
-5.00950475,0.80004604,0.20606369,0.00509295,0.37621623,0.07068140,0.03495484,0.26534525
-5.00350175,0.82494476,0.21541860,0.00533156,0.38641247,0.07248467,0.03566980,0.27164842
-4.99749875,0.84875065,0.22465342,0.00556315,0.39610856,0.07413224,0.03637670,0.27745177
-4.99149575,0.87111675,0.23362139,0.00578398,0.40514024,0.07559872,0.03706353,0.28269662
-4.98549275,0.89168074,0.24216693,0.00599018,0.41333128,0.07685899,0.03771614,0.28732645
-4.97948974,0.91007717,0.25013076,0.00617791,0.42049976,0.07788908,0.03831893,0.29128900
-4.97348674,0.92595112,0.25735563,0.00634345,0.42646504,0.07866710,0.03885563,0.29453834
-4.96748374,0.93897251,0.26369245,0.00648341,0.43105535,0.07917422,0.03931029,0.29703694
-4.96148074,0.94885058,0.26900643,0.00659480,0.43411528,0.07939551,0.03966822,0.29875749
-4.95547774,0.95534755,0.27318307,0.00667521,0.43551305,0.07932083,0.03991698,0.29968447
-4.94947474,0.95829089,0.27613357,0.00672290,0.43514708,0.07894545,0.04004740,0.29981532
-4.94347174,0.95758370,0.27779937,0.00673691,0.43295150,0.07827063,0.04005437,0.29916113
-4.93746873,0.95321234,0.27815571,0.00671713,0.42890032,0.07730393,0.03993762,0.29774691
-4.93146573,0.94525123,0.27721382,0.00666431,0.42301015,0.07605932,0.03970231,0.29561133
-4.92546273,0.93386435,0.27502180,0.00658007,0.41534113,0.07455708,0.03935933,0.29280604
-4.91945973,0.91930347,0.27166396,0.00646692,0.40599627,0.07282347,0.03892550,0.28939451
-4.91345673,0.90190299,0.26725878,0.00632809,0.39511906,0.07089020,0.03842348,0.28545058
-4.90745373,0.88207184,0.26195544,0.00616756,0.38288954,0.06879366,0.03788139,0.28105666
-4.90145073,0.86028249,0.25592911,0.00598983,0.36951905,0.06657404,0.03733233,0.27630179
-4.89544772,0.83705772,0.24937527,0.00579985,0.35524387,0.06427431,0.03681355,0.27127950
-4.88944472,0.81295561,0.24250319,0.00560281,0.34031811,0.06193903,0.03636553,0.26608574
-4.88344172,0.78855330,0.23552891,0.00540402,0.32500603,0.05961326,0.03603082,0.26081669
-4.87743872,0.76443024,0.22866800,0.00520870,0.30957433,0.05734124,0.03585283,0.25556676
-4.87143572,0.74115141,0.22212846,0.00502185,0.29428452,0.05516532,0.03587443,0.25042661
-4.86543272,0.71925122,0.21610388,0.00484804,0.27938577,0.05312479,0.03613665,0.24548140
-4.85942971,0.69921865,0.21076737,0.00469135,0.26510849,0.05125486,0.03667718,0.24080916
-4.85342671,0.68148400,0.20626632,0.00455519,0.25165880,0.04958583,0.03752908,0.23647925
-4.84742371,0.66640777,0.20271818,0.00444227,0.23921405,0.04814227,0.03871946,0.23255114
-4.84142071,0.65427197,0.20020757,0.00435448,0.22791958,0.04694253,0.04026833,0.22907321
-4.83541771,0.64527410,0.19878457,0.00429291,0.21788660,0.04599836,0.04218761,0.22608185
-4.82941471,0.63952393,0.19846447,0.00425784,0.20919135,0.04531469,0.04448028,0.22360065
-4.82341171,0.63704306,0.19922874,0.00424877,0.20187542,0.04488969,0.04713986,0.22163987
-4.81740870,0.63776732,0.20102731,0.00426448,0.19594712,0.04471499,0.05015006,0.22019613
-4.81140570,0.64155177,0.20378196,0.00430312,0.19138385,0.04477607,0.05348479,0.21925231
-4.80540270,0.64817808,0.20739057,0.00436231,0.18813519,0.04505286,0.05710842,0.21877787
-4.79939970,0.65736393,0.21173225,0.00443928,0.18612679,0.04552045,0.06097636,0.21872933
-4.79339670,0.66877417,0.21667276,0.00453096,0.18526456,0.04614996,0.06503595,0.21905128
-4.78739370,0.68203307,0.22207040,0.00463414,0.18543923,0.04690949,0.06922767,0.21967761
-4.78139070,0.69673740,0.22778159,0.00474560,0.18653102,0.04776516,0.07348654,0.22053316
-4.77538769,0.71246965,0.23366641,0.00486222,0.18841418,0.04868211,0.07774383,0.22153573
-4.76938469,0.72881095,0.23959342,0.00498110,0.19096135,0.04962558,0.08192889,0.22259831
-4.76338169,0.74535324,0.24544379,0.00509962,0.19404744,0.05056188,0.08597111,0.22363157
-4.75737869,0.76171005,0.25111449,0.00521554,0.19755309,0.05145929,0.08980192,0.22454654
-4.75137569,0.77752578,0.25652045,0.00532703,0.20136749,0.05228885,0.09335678,0.22525720
-4.74537269,0.79248296,0.26159559,0.00543266,0.20539047,0.05302505,0.09657705,0.22568317
-4.73936968,0.80630739,0.26629271,0.00553144,0.20953394,0.05364625,0.09941168,0.22575209
-4.73336668,0.81877105,0.27058233,0.00562274,0.21372259,0.05413508,0.10181867,0.22540180
-4.72736368,0.82969286,0.27445063,0.00570629,0.21789391,0.05447852,0.10376619,0.22458212
-4.72136068,0.83893738,0.27789657,0.00578205,0.22199760,0.05466791,0.10523338,0.22325620
-4.71535768,0.84641181,0.28092846,0.00585017,0.22599444,0.05469873,0.10621072,0.22140137
-4.70935468,0.85206148,0.28356023,0.00591090,0.22985484,0.05457033,0.10670005,0.21900950
-4.70335168,0.85586444,0.28580764,0.00596447,0.23355697,0.05428543,0.10671415,0.21608679
-4.69734867,0.85782540,0.28768470,0.00601107,0.23708496,0.05384967,0.10627596,0.21265318
