energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
4.01900950,0.36435714,0.03588265,0.00000000,0.24229772,0.02755291,0.04987538,0.00000000
4.02501251,0.31834644,0.03138506,0.00000000,0.20979479,0.02405304,0.04339546,0.00000000
4.03101551,0.27832138,0.02784459,0.00000000,0.18303685,0.02112868,0.03841374,0.00000000
4.03701851,0.24425015,0.02524949,0.00000000,0.16184945,0.01877223,0.03489018,0.00000000
4.04302151,0.21610251,0.02360425,0.00000000,0.14612290,0.01698087,0.03281096,0.00000000
4.04902451,0.19386500,0.02293186,0.00000000,0.13582556,0.01575793,0.03219148,0.00000000
4.05502751,0.17755556,0.02327592,0.00000000,0.13101557,0.01511411,0.03307881,0.00000000
4.06103052,0.16723693,0.02470239,0.00000000,0.13185067,0.01506860,0.03555359,0.00000000
4.06703352,0.16302810,0.02730104,0.00000000,0.13859591,0.01564989,0.03973125,0.00000000
4.07303652,0.16511328,0.03118639,0.00000000,0.15162860,0.01689635,0.04576233,0.00000000
4.07903952,0.17374789,0.03649800,0.00000000,0.17144020,0.01885642,0.05383190,0.00000000
4.08504252,0.18926090,0.04340006,0.00000000,0.19863449,0.02158849,0.06415785,0.00000000
4.09104552,0.21205320,0.05208003,0.00000000,0.23392162,0.02516022,0.07698788,0.00000000
4.09704852,0.24259148,0.06274625,0.00000000,0.27810734,0.02964747,0.09259504,0.00000000
4.10305153,0.28139745,0.07562439,0.00000000,0.33207699,0.03513263,0.11127171,0.00000000
4.10905453,0.32903216,0.09095254,0.00000000,0.39677396,0.04170236,0.13332185,0.00000000
4.11505753,0.38607542,0.10897499,0.00000000,0.47317222,0.04944484,0.15905160,0.00000000
4.12106053,0.45310061,0.12993459,0.00000000,0.56224299,0.05844633,0.18875809,0.00000000
4.12706353,0.53064513,0.15406378,0.00000000,0.66491590,0.06878738,0.22271672,0.00000000
4.13306653,0.61917737,0.18157436,0.00000000,0.78203511,0.08053839,0.26116712,0.00000000
4.13906953,0.71906086,0.21264634,0.00000000,0.91431136,0.09375503,0.30429801,0.00000000
4.14507254,0.83051705,0.24741594,0.00000000,1.06227147,0.10847334,0.35223159,0.00000000
4.15107554,0.95358793,0.28596348,0.00000000,1.22620687,0.12470487,0.40500789,0.00000000
4.15707854,1.08810035,0.32830129,0.00000000,1.40612333,0.14243203,0.46256982,0.00000000
4.16308154,1.23363365,0.37436256,0.00000000,1.60169445,0.16160385,0.52474968,0.00000000
4.16908454,1.38949277,0.42399146,0.00000000,1.81222130,0.18213247,0.59125788,0.00000000
4.17508754,1.55468850,0.47693542,0.00000000,2.03660133,0.20389052,0.66167467,0.00000000
4.18109055,1.72792695,0.53284008,0.00000000,2.27330889,0.22670973,0.73544572,0.00000000
4.18709355,1.90760965,0.59124756,0.00000000,2.52039011,0.25038088,0.81188218,0.00000000
4.19309655,2.09184569,0.65159866,0.00000000,2.77547422,0.27465539,0.89016573,0.00000000
4.19909955,2.27847669,0.71323917,0.00000000,3.03580273,0.29924850,0.96935903,0.00000000
4.20510255,2.46511480,0.77543077,0.00000000,3.29827743,0.32384426,1.04842165,0.00000000
4.21110555,2.64919351,0.83736630,0.00000000,3.55952703,0.34810211,1.12623133,0.00000000
