energy_ev,total_up,Hg_p_up,Hg_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-4.84142071,1.43978815,0.48942008,0.27752298,0.30077758,0.00093932,0.06076244,0.41449659
-4.83541771,1.41017075,0.47640482,0.27356456,0.28377689,0.00093811,0.05968901,0.40998877
-4.82941471,1.38264619,0.46436832,0.26971639,0.26765579,0.00093670,0.05904207,0.40592088
-4.82341171,1.35792517,0.45358339,0.26608761,0.25267476,0.00093536,0.05886791,0.40247604
-4.81740870,1.33674729,0.44431861,0.26280357,0.23906869,0.00093438,0.05921120,0.39985678
-4.81140570,1.31985705,0.43683083,0.26000066,0.22704310,0.00093413,0.06011398,0.39827727
-4.80540270,1.30797915,0.43135755,0.25782072,0.21677113,0.00093499,0.06161442,0.39795507
-4.79939970,1.30179370,0.42810979,0.25640526,0.20839134,0.00093733,0.06374562,0.39910255
-4.79339670,1.30191215,0.42726524,0.25588970,0.20200612,0.00094154,0.06653417,0.40191839
-4.78739370,1.30885454,0.42896213,0.25639772,0.19768071,0.00094797,0.06999873,0.40657937
-4.78139070,1.32302883,0.43329378,0.25803603,0.19544279,0.00095695,0.07414862,0.41323276
-4.77538769,1.34471285,0.44030414,0.26088965,0.19528259,0.00096873,0.07898240,0.42198947
-4.76938469,1.37403954,0.44998429,0.26501781,0.19715339,0.00098353,0.08448663,0.43291838
-4.76338169,1.41098591,0.46227024,0.27045065,0.20097261,0.00100150,0.09063473,0.44604182
-4.75737869,1.45536629,0.47704196,0.27718685,0.20662329,0.00102271,0.09738618,0.46133260
-4.75137569,1.50683019,0.49412389,0.28519218,0.21395612,0.00104717,0.10468600,0.47871252
-4.74537269,1.56486514,0.51328699,0.29439910,0.22279203,0.00107480,0.11246466,0.49805263
-4.73936968,1.62880458,0.53425234,0.30470738,0.23292536,0.00110549,0.12063843,0.51917522
-4.73336668,1.69784104,0.55669637,0.31598587,0.24412774,0.00113904,0.12911027,0.54185752
-4.72736368,1.77104433,0.58025765,0.32807525,0.25615245,0.00117522,0.13777123,0.56583714
-4.72136068,1.84738457,0.60454526,0.34079179,0.26873964,0.00121376,0.14650240,0.59081905
-4.71535768,1.92575957,0.62914838,0.35393206,0.28162191,0.00125437,0.15517742,0.61648399
-4.70935468,2.00502588,0.65364713,0.36727840,0.29453059,0.00129675,0.16366543,0.64249803
