energy_ev,total_up,Ga_p_up,Ga_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
1.98999500,0.83391743,0.05426373,0.00000000,0.19148713,0.21064001,0.27452360,0.00000000
1.99599800,0.81408567,0.05141815,0.00000000,0.19466491,0.20776949,0.25731051,0.00000000
2.00200100,0.79671427,0.04909621,0.00000000,0.19863647,0.20537661,0.24288932,0.00000000
2.00800400,0.78197701,0.04731582,0.00000000,0.20335280,0.20348128,0.23141693,0.00000000
2.01400700,0.76997242,0.04608781,0.00000000,0.20874649,0.20208584,0.22301484,0.00000000
2.02001001,0.76072821,0.04541708,0.00000000,0.21473522,0.20117629,0.21777267,0.00000000
2.02601301,0.75420816,0.04530363,0.00000000,0.22122579,0.20072427,0.21575153,0.00000000
2.03201601,0.75032077,0.04574362,0.00000000,0.22811837,0.20068958,0.21698700,0.00000000
2.03801901,0.74892926,0.04673015,0.00000000,0.23531085,0.20102302,0.22149125,0.00000000
2.04402201,0.74986217,0.04825397,0.00000000,0.24270298,0.20166951,0.22925444,0.00000000
2.05002501,0.75292400,0.05030384,0.00000000,0.25020017,0.20257120,0.24024508,0.00000000
2.05602801,0.75790524,0.05286671,0.00000000,0.25771668,0.20367041,0.25440955,0.00000000
2.06203102,0.76459120,0.05592765,0.00000000,0.26517810,0.20491225,0.27167067,0.00000000
2.06803402,0.77276924,0.05946954,0.00000000,0.27252301,0.20624684,0.29192568,0.00000000
2.07403702,0.78223417,0.06347262,0.00000000,0.27970372,0.20763079,0.31504376,0.00000000
2.08004002,0.79279149,0.06791387,0.00000000,0.28668614,0.20902824,0.34086335,0.00000000
2.08604302,0.80425868,0.07276640,0.00000000,0.29344882,0.21041108,0.36918964,0.00000000
2.09204602,0.81646453,0.07799882,0.00000000,0.29998128,0.21175863,0.39979253,0.00000000
2.09804902,0.82924707,0.08357472,0.00000000,0.30628181,0.21305676,0.43240538,0.00000000
2.10405203,0.84245021,0.08945233,0.00000000,0.31235490,0.21429656,0.46672478,0.00000000
2.11005503,0.85591991,0.09558444,0.00000000,0.31820858,0.21547271,0.50241171,0.00000000
2.11605803,0.86950020,0.10191860,0.00000000,0.32385177,0.21658175,0.53909405,0.00000000
2.12206103,0.88302962,0.10839768,0.00000000,0.32929208,0.21762036,0.57637075,0.00000000
2.12806403,0.89633871,0.11496072,0.00000000,0.33453401,0.21858379,0.61381739,0.00000000
2.13406703,0.90924866,0.12154424,0.00000000,0.33957780,0.21946468,0.65099332,0.00000000
2.14007004,0.92157162,0.12808374,0.00000000,0.34441908,0.22025229,0.68744995,0.00000000
2.14607304,0.93311270,0.13451553,0.00000000,0.34904925,0.22093217,0.72274005,0.00000000
2.15207604,0.94367364,0.14077871,0.00000000,0.35345661,0.22148643,0.75642769,0.00000000
2.15807904,0.95305804,0.14681724,0.00000000,0.35762819,0.22189452,0.78809848,0.00000000
2.16408204,0.96107774,0.15258198,0.00000000,0.36155206,0.22213442,0.81736968,0.00000000
2.17008504,0.96756018,0.15803255,0.00000000,0.36522001,0.22218428,0.84389971,0.00000000
2.17608804,0.97235600,0.16313903,0.00000000,0.36863032,0.22202420,0.86739686,0.00000000
2.18209105,0.97534655,0.16788312,0.00000000,0.37179040,0.22163824,0.88762667,0.00000000
2.18809405,0.97645082,0.17225904,0.00000000,0.37471914,0.22101630,0.90441774,0.00000000
2.19409705,0.97563115,0.17627370,0.00000000,0.37744857,0.22015588,0.91766580,0.00000000
2.20010005,0.97289747,0.17994644,0.00000000,0.38002484,0.21906347,0.92733591,0.00000000
2.20610305,0.96830965,0.18330802,0.00000000,0.38250824,0.21775549,0.93346252,0.00000000
2.21210605,0.96197783,0.18639917,0.00000000,0.38497225,0.21625881,0.93614779,0.00000000
2.21810905,0.95406054,0.18926844,0.00000000,0.38750150,0.21461054,0.93555780,0.00000000
2.22411206,0.94476083,0.19196971,0.00000000,0.39018884,0.21285739,0.93191728,0.00000000
2.23011506,0.93432035,0.19455924,0.00000000,0.39313147,0.21105432,0.92550265,0.00000000
2.23611806,0.92301188,0.19709254,0.00000000,0.39642642,0.20926285,0.91663404,0.00000000
2.24212106,0.91113056,0.19962116,0.00000000,0.40016558,0.20754881,0.90566620,0.00000000
2.24812406,0.89898433,0.20218955,0.00000000,0.40443055,0.20597999,0.89297900,0.00000000
2.25412706,0.88688398,0.20483213,0.00000000,0.40928763,0.20462348,0.87896750,0.00000000
2.26013007,0.87513351,0.20757081,0.00000000,0.41478329,0.20354321,0.86403222,0.00000000
