energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-5.02751376,6.95867260,0.02116106,0.27256378,2.22153313,4.67460922,1.86004868,0.00000000,0.50343635,0.63058921
-5.02151076,6.93890604,0.02105491,0.26966662,2.19260622,4.67375847,1.84917668,0.00000000,0.49393163,0.62917540
-5.01550775,6.91745773,0.02095577,0.26660921,2.16674654,4.67103793,1.83794255,0.00000000,0.48448361,0.62784162
-5.00950475,6.89351137,0.02085924,0.26332642,2.14342665,4.66597533,1.82611058,0.00000000,0.47504591,0.62650769
-5.00350175,6.86642341,0.02076143,0.25977221,2.12219657,4.65819269,1.81350181,0.00000000,0.46559025,0.62510724
-4.99749875,6.83570889,0.02065894,0.25591905,2.10268190,4.64739509,1.79999206,0.00000000,0.45610530,0.62358715
-4.99149575,6.80102428,0.02054891,0.25175678,2.08457949,4.63335850,1.78550857,0.00000000,0.44659496,0.62190671
-4.98549275,6.76214941,0.02042893,0.24729100,2.06765122,4.61591846,1.77002557,0.00000000,0.43707637,0.62003647
-4.97948974,6.71897096,0.02029703,0.24254098,2.05171710,4.59496073,1.75355955,0.00000000,0.42757764,0.61795723
-4.97348674,6.67146909,0.02015164,0.23753748,2.03664839,4.57041516,1.73616470,0.00000000,0.41813566,0.61565907
-4.96748374,6.61970862,0.01999160,0.23232034,2.02236143,4.54225341,1.71792895,0.00000000,0.40879407,0.61314072
-4.96148074,6.56383531,0.01981609,0.22693625,2.00881284,4.51049065,1.69897080,0.00000000,0.39960140,0.61040925
-4.95547774,6.50407724,0.01962465,0.22143650,1.99599610,4.47519110,1.67943722,0.00000000,0.39060967,0.60748009
-4.94947474,6.44075062,0.01941719,0.21587512,1.98393988,4.43647656,1.65950239,0.00000000,0.38187325,0.60437738
-4.94347174,6.37426867,0.01919398,0.21030715,1.97270766,4.39453698,1.63936725,0.00000000,0.37344812,0.60113455
-4.93746873,6.30515195,0.01895570,0.20478729,1.96239835,4.34964159,1.61925939,0.00000000,0.36539145,0.59779496
-4.93146573,6.23403801,0.01870345,0.19936882,1.95314746,4.30214901,1.59943293,0.00000000,0.35776136,0.59441246
-4.92546273,6.16168826,0.01843874,0.19410278,1.94512793,4.25251492,1.58016785,0.00000000,0.35061676,0.59105169
-4.91945973,6.08899008,0.01816353,0.18903744,1.93855019,4.20129574,1.56176846,0.00000000,0.34401728,0.58778801
-4.91345673,6.01695239,0.01788020,0.18421784,1.93366062,4.14914709,1.54456034,0.00000000,0.33802299,0.58470686
-4.90745373,5.94669350,0.01759151,0.17968558,1.93073792,4.09681635,1.52888567,0.00000000,0.33269398,0.58190236
-4.90145073,5.87942053,0.01730059,0.17547860,1.93008708,4.04512883,1.51509667,0.00000000,0.32808964,0.57947536
-4.89544772,5.81640054,0.01701085,0.17163099,1.93203064,3.99496771,1.50354713,0.00000000,0.32426757,0.57753069
-4.88944472,5.75892395,0.01672588,0.16817281,1.93689733,3.94724837,1.49458221,0.00000000,0.32128225,0.57617376
-4.88344172,5.70826180,0.01644937,0.16512982,1.94500846,3.90288810,1.48852687,0.00000000,0.31918335,0.57550673
-4.87743872,5.66561874,0.01618502,0.16252321,1.95666246,3.86277286,1.48567336,0.00000000,0.31801382,0.57562433
-4.87143572,5.63208419,0.01593639,0.16036926,1.97211827,3.82772257,1.48626842,0.00000000,0.31780789,0.57660952
-4.86543272,5.60858437,0.01570679,0.15867892,1.99157859,3.79845706,1.49050090,0.00000000,0.31858900,0.57852940
-4.85942971,5.59583790,0.01549923,0.15745753,2.01517370,3.77556451,1.49849042,0.00000000,0.32036791,0.58143146
-4.85342671,5.59431781,0.01531627,0.15670437,2.04294708,3.75947435,1.51027797,0.00000000,0.32314103,0.58534045
-4.84742371,5.60422214,0.01516002,0.15641246,2.07484355,3.75043605,1.52581883,0.00000000,0.32688912,0.59025614
-4.84142071,5.62545513,0.01503202,0.15656837,2.11070089,3.74850540,1.54497859,0.00000000,0.33157654,0.59615208
-4.83541771,5.65762044,0.01493331,0.15715216,2.15024555,3.75353884,1.56753245,0.00000000,0.33715100,0.60297546
-4.82941471,5.70002690,0.01486435,0.15813754,2.19309289,3.76519658,1.59316811,0.00000000,0.34354397,0.61064817
-4.82341171,5.75170692,0.01482512,0.15949214,2.23875228,3.78295414,1.62149214,0.00000000,0.35067171,0.61906896
-4.81740870,5.81144677,0.01481510,0.16117800,2.28663676,3.80612216,1.65203979,0.00000000,0.35843690,0.62811667
-4.81140570,5.87782731,0.01483338,0.16315219,2.33607719,3.83387308,1.68428771,0.00000000,0.36673080,0.63765431
-4.80540270,5.94927327,0.01487867,0.16536765,2.38634021,3.86527375,1.71766902,0.00000000,0.37543586,0.64753388
-4.79939970,6.02410872,0.01494942,0.16777406,2.43664919,3.89932203,1.75159026,0.00000000,0.38442863,0.65760151
-4.79339670,6.10061592,0.01504381,0.17031889,2.48620736,3.93498572,1.78544918,0.00000000,0.39358285,0.66770288
-4.78739370,6.17709477,0.01515986,0.17294844,2.53422194,3.97124182,1.81865273,0.00000000,0.40277257,0.67768842
-4.78139070,6.25192008,0.01529545,0.17560899,2.57992823,4.00711425,1.85063442,0.00000000,0.41187510,0.68741817
