energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-4.70335168,14.31379327,3.08551785,9.82624951,0.00651951,2.36179528,0.04120890,1.79910594
-4.69734867,14.75226469,3.25768506,10.08430020,0.00731632,2.43529558,0.04417112,1.86374678
-4.69134567,15.16274942,3.42175592,10.32115816,0.00819691,2.50055210,0.04729844,1.93005696
-4.68534267,15.53809574,3.57515459,10.53240435,0.00915696,2.55622786,0.05056693,1.99719310
-4.67933967,15.87137216,3.71539896,10.71381318,0.01019059,2.60110109,0.05394782,2.06422701
-4.67333667,16.15607852,3.84016935,10.86149009,0.01129023,2.63410697,0.05740776,2.13016553
-4.66733367,16.38634737,3.94737416,10.97200062,0.01244646,2.65437510,0.06090925,2.19397310
-4.66133067,16.55712723,4.03520974,11.04248536,0.01364795,2.66126091,0.06441120,2.25459636
-4.65532766,16.66433994,4.10221206,11.07075562,0.01488149,2.65436970,0.06786977,2.31099008
-4.64932466,16.70500571,4.14729793,11.05536621,0.01613212,2.63357199,0.07123919,2.36214333
-4.64332166,16.67733176,4.16979429,10.99566255,0.01738325,2.59900964,0.07447288,2.40710542
-4.63731866,16.58076156,4.16945425,10.89180108,0.01861700,2.55109253,0.07752447,2.44501052
-4.63131566,16.41598439,4.14645954,10.74474295,0.01981451,2.49048602,0.08034906,2.47510047
-4.62531266,16.18490621,4.10140945,10.55622253,0.02095641,2.41808984,0.08290428,2.49674500
-4.61930965,15.89058474,4.03529692,10.32869309,0.02202326,2.33500965,0.08515152,2.50945881
-4.61330665,15.53713303,3.94947309,10.06525302,0.02299614,2.24252252,0.08705687,2.51291509
-4.60730365,15.12959665,3.84560202,9.76955653,0.02385714,2.14203801,0.08859209,2.50695489
-4.60130065,14.67381040,3.72560759,9.44571294,0.02458995,2.03505666,0.08973536,2.49159234
-4.59529765,14.17624086,3.59161502,9.09817908,0.02518037,1.92312756,0.09047178,2.46701526
-4.58929465,13.64382069,3.44588931,8.73164868,0.02561676,1.80780683,0.09079376,2.43358131
-4.58329165,13.08378078,3.29077309,8.35094276,0.02589050,1.69061845,0.09070108,2.39180958
-4.57728864,12.50348530,3.12862615,7.96090407,0.02599623,1.57301885,0.09020081,2.34236799
-4.57128564,11.91027440,2.96176875,7.56629850,0.02593209,1.45636634,0.08930692,2.28605674
-4.56528264,11.31131826,2.79243046,7.17172538,0.02569979,1.34189599,0.08803980,2.22378831
-4.55927964,10.71348548,2.62270596,6.78153827,0.02530457,1.23070070,0.08642548,2.15656457
-4.55327664,10.12322807,2.45451879,6.39977717,0.02475505,1.12371822,0.08449483,2.08545181
-4.54727364,9.54648435,2.28959369,6.03011259,0.02406293,1.02172435,0.08228262,2.01155438
-4.54127064,8.98860074,2.12943770,5.67580168,0.02324261,0.92533174,0.07982649,1.93598787
-4.53526763,8.45427270,1.97532995,5.33965629,0.02231076,0.83499374,0.07716603,1.85985268
-4.52926463,7.94750468,1.82831954,5.02402248,0.02128573,0.75101271,0.07434175,1.78420891
-4.52326163,7.47158874,1.68923083,4.73077133,0.02018706,0.67355186,0.07139422,1.71005348
-4.51725863,7.02910107,1.55867520,4.46130027,0.01903483,0.60264980,0.06836329,1.63830009
-4.51125563,6.62191561,1.43706811,4.21654462,0.01784913,0.53823711,0.06528745,1.56976299
-4.50525263,6.25123380,1.32465034,3.99699882,0.01664954,0.48015388,0.06220328,1.50514488
-4.49924962,5.91762917,1.22151219,3.80274667,0.01545461,0.42816778,0.05914513,1.44502939
-4.49324662,5.62110551,1.12761944,3.63350013,0.01428148,0.38199176,0.05614485,1.38987847
-4.48724362,5.36116701,1.04284001,3.48864587,0.01314558,0.34130105,0.05323180,1.34003453
-4.48124062,5.13689879,0.96697023,3.36729869,0.01206037,0.30574894,0.05043285,1.29572736
-4.47523762,4.94705548,0.89975999,3.26836092,0.01103724,0.27498105,0.04777253,1.25708518
-4.46923462,4.79015596,0.84093584,3.19058620,0.01008543,0.24864784,0.04527332,1.22414960
-4.46323162,4.66458127,0.79022152,3.13264642,0.00921215,0.22641527,0.04295594,1.19689348
-4.45722861,4.56867312,0.74735551,3.09319972,0.00842260,0.20797351,0.04083961,1.17524096
-4.45122561,4.50082973,0.71210508,3.07095768,0.00772025,0.19304371,0.03894244,1.15908864
-4.44522261,4.45959581,0.68427676,3.06474936,0.00710702,0.18138289,0.03728171,1.14832690
-4.43921961,4.44374320,0.66372305,3.07357966,0.00658352,0.17278696,0.03587403,1.14286013
-4.43321661,4.45233893,0.65034531,3.09667986,0.00614939,0.16709208,0.03473557,1.14262505
-4.42721361,4.48479743,0.64409295,3.13354757,0.00580348,0.16417430,0.03388209,1.14760575
-4.42121061,4.54091414,0.64495912,3.18397415,0.00554419,0.16394777,0.03332885,1.15784489
-4.41520760,4.62087803,0.65297297,3.24805748,0.00536959,0.16636152,0.03309048,1.17345010
-4.40920460,4.72526140,0.66818901,3.32619873,0.00527771,0.17139504,0.03318067,1.19459499
-4.40320160,4.85498602,0.69067394,3.41908210,0.00526656,0.17905271,0.03361177,1.22151467
-4.39719860,5.01126558,0.72049132,3.52763723,0.00533431,0.18935726,0.03439430,1.25449541
-4.39119560,5.19552550,0.75768490,3.65298480,0.00547924,0.20234253,0.03553630,1.29385894
-4.38519260,5.40930220,0.80226117,3.79636644,0.00569976,0.21804550,0.03704277,1.33994174
-4.37918959,5.65412496,0.85417180,3.95906102,0.00599431,0.23649804,0.03891491,1.39307012
-4.37318659,5.93138470,0.91329702,4.14229015,0.00636129,0.25771846,0.04114950,1.45353215
-4.36718359,6.24219457,0.97943046,4.34711631,0.00679884,0.28170307,0.04373819,1.52154783
