energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-5.30965483,1.46716052,1.25891588,0.00000000,0.01975248,0.12143399,1.02715903,0.00000000,0.67602683,0.26278953
-5.30365183,1.49460673,1.26950655,0.00000000,0.01966331,0.13079868,1.03869104,0.00000000,0.68881308,0.27611356
-5.29764882,1.52875949,1.28402772,0.00000000,0.01952482,0.14160692,1.05392828,0.00000000,0.70313660,0.29134664
-5.29164582,1.56945017,1.30216702,0.00000000,0.01933516,0.15391479,1.07260612,0.00000000,0.71890959,0.30847757
-5.28564282,1.61640029,1.32352586,0.00000000,0.01909277,0.16775728,1.09439391,0.00000000,0.73599674,0.32746597
-5.27963982,1.66922956,1.34763878,0.00000000,0.01879656,0.18314369,1.11890930,0.00000000,0.75422139,0.34824030
-5.27363682,1.72746496,1.37399439,0.00000000,0.01844614,0.20005322,1.14573345,0.00000000,0.77337266,0.37069618
-5.26763382,1.79055030,1.40205664,0.00000000,0.01804194,0.21843088,1.17442614,0.00000000,0.79321332,0.39469499
-5.26163082,1.85785596,1.43128545,0.00000000,0.01758536,0.23818396,1.20454015,0.00000000,0.81348773,0.42006284
-5.25562781,1.92868809,1.46115562,0.00000000,0.01707890,0.25917926,1.23563409,0.00000000,0.83392953,0.44659021
-5.24962481,2.00229747,1.49117313,0.00000000,0.01652619,0.28124141,1.26728332,0.00000000,0.85426868,0.47403217
-5.24362181,2.07788771,1.52088832,0.00000000,0.01593203,0.30415247,1.29908841,0.00000000,0.87423756,0.50210954
-5.23761881,2.15462308,1.54990531,0.00000000,0.01530234,0.32765300,1.33068100,0.00000000,0.89357600,0.53051099
-5.23161581,2.23163605,1.57788758,0.00000000,0.01464408,0.35144474,1.36172705,0.00000000,0.91203522,0.55889631
-5.22561281,2.30803506,1.60455977,0.00000000,0.01396511,0.37519507,1.39192763,0.00000000,0.92938071,0.58690094
-5.21960980,2.38291270,1.62970592,0.00000000,0.01327403,0.39854309,1.42101757,0.00000000,0.94539422,0.61414162
-5.21360680,2.45535483,1.65316461,0.00000000,0.01257996,0.42110740,1.44876224,0.00000000,0.95987509,0.64022342
-5.20760380,2.52445071,1.67482168,0.00000000,0.01189231,0.44249530,1.47495322,0.00000000,0.97264106,0.66474775
-5.20160080,2.58930460,1.69460123,0.00000000,0.01122052,0.46231321,1.49940317,0.00000000,0.98352903,0.68732143
-5.19559780,2.64904861,1.71245564,0.00000000,0.01057385,0.48017785,1.52194058,0.00000000,0.99239569,0.70756633
-5.18959480,2.70285687,1.72835551,0.00000000,0.00996110,0.49572788,1.54240482,0.00000000,0.99911847,0.72512944
-5.18359180,2.74996066,1.74228010,0.00000000,0.00939040,0.50863548,1.56064206,0.00000000,1.00359677,0.73969285
-5.17758879,2.78966403,1.75420907,0.00000000,0.00886900,0.51861730,1.57650225,0.00000000,1.00575355,0.75098340
-5.17158579,2.82135948,1.76411588,0.00000000,0.00840312,0.52544444,1.58983750,0.00000000,1.00553719,0.75878134
-5.16558279,2.84454291,1.77196341,0.00000000,0.00799781,0.52895082,1.60050200,0.00000000,1.00292356,0.76292787
-5.15957979,2.85882730,1.77770189,0.00000000,0.00765688,0.52903968,1.60835343,0.00000000,0.99791817,0.76333092
-5.15357679,2.86395439,1.78126926,0.00000000,0.00738280,0.52568781,1.61325582,0.00000000,0.99055803,0.75996916
-5.14757379,2.85980386,1.78259387,0.00000000,0.00717676,0.51894733,1.61508365,0.00000000,0.98091319,0.75289374
-5.14157079,2.84639944,1.78159931,0.00000000,0.00703866,0.50894485,1.61372703,0.00000000,0.96908763,0.74222793
-5.13556778,2.82391172,1.77821106,0.00000000,0.00696717,0.49587822,1.60909754,0.00000000,0.95521933,0.72816438
-5.12956478,2.79265754,1.77236456,0.00000000,0.00695985,0.48001074,1.60113455,0.00000000,0.93947944,0.71096040
-5.12356178,2.75309579,1.76401412,0.00000000,0.00701323,0.46166336,1.58981153,0.00000000,0.92207038,0.69093117
-5.11755878,2.70581999,1.75314233,0.00000000,0.00712294,0.44120507,1.57514215,0.00000000,0.90322297,0.66844146
-5.11155578,2.65154778,1.73976922,0.00000000,0.00728386,0.41904195,1.55718581,0.00000000,0.88319247,0.64389599
-5.10555278,2.59110785,1.72396075,0.00000000,0.00749024,0.39560535,1.53605218,0.00000000,0.86225390,0.61772893
-5.09954977,2.52542451,1.70583618,0.00000000,0.00773586,0.37133975,1.51190472,0.00000000,0.84069647,0.59039301
-5.09354677,2.45550063,1.68557357,0.00000000,0.00801413,0.34669061,1.48496261,0.00000000,0.81881768,0.56234854
-5.08754377,2.38239919,1.66341329,0.00000000,0.00831822,0.32209293,1.45550118,0.00000000,0.79691695,0.53405273
-5.08154077,2.30722382,1.63965897,0.00000000,0.00864120,0.29796063,1.42385049,0.00000000,0.77528924,0.50594974
-5.07553777,2.23109878,1.61467565,0.00000000,0.00897609,0.27467720,1.39039197,0.00000000,0.75421883,0.47846158
-5.06953477,2.15514855,1.58888503,0.00000000,0.00931599,0.25258788,1.35555311,0.00000000,0.73397331,0.45198010
-5.06353177,2.08047722,1.56275763,0.00000000,0.00965413,0.23199336,1.31980014,0.00000000,0.71479807,0.42686019
-5.05752876,2.00814796,1.53680206,0.00000000,0.00998398,0.21314521,1.28362873,0.00000000,0.69691135,0.40341423
-5.05152576,1.93916259,1.51155143,0.00000000,0.01029928,0.19624291,1.24755295,0.00000000,0.68049995,0.38190776
-5.04552276,1.87444157,1.48754736,0.00000000,0.01059411,0.18143244,1.21209269,0.00000000,0.66571558,0.36255632
-5.03951976,1.81480459,1.46532196,0.00000000,0.01086297,0.16880625,1.17775972,0.00000000,0.65267199,0.34552334
-5.03351676,1.76095203,1.44537845,0.00000000,0.01110081,0.15840454,1.14504304,0.00000000,0.64144276,0.33091907
-5.02751376,1.71344777,1.42817105,0.00000000,0.01130313,0.15021752,1.11439371,0.00000000,0.63205983,0.31880038
-5.02151076,1.67270373,1.41408494,0.00000000,0.01146597,0.14418857,1.08620992,0.00000000,0.62451265,0.30917132
-5.01550775,1.63896686,1.40341724,0.00000000,0.01158603,0.14021818,1.06082277,0.00000000,0.61874816,0.30198452
-5.00950475,1.61230899,1.39635978,0.00000000,0.01166068,0.13816832,1.03848341,0.00000000,0.61467133,0.29714322
-5.00350175,1.59262040,1.39298465,0.00000000,0.01168801,0.13786736,1.01935208,0.00000000,0.61214648,0.29450404
-4.99749875,1.57960755,1.39323323,0.00000000,0.01166684,0.13911518,1.00348975,0.00000000,0.61099933,0.29388048
-4.99149575,1.57279565,1.39690957,0.00000000,0.01159677,0.14168870,0.99085270,0.00000000,0.61101984,0.29504706
-4.98549275,1.57153641,1.40367862,0.00000000,0.01147816,0.14534739,0.98129060,0.00000000,0.61196588,0.29774431
-4.97948974,1.57502129,1.41306965,0.00000000,0.01131214,0.14983902,0.97454822,0.00000000,0.61356764,0.30168440
-4.97348674,1.58230011,1.42448518,0.00000000,0.01110052,0.15490543,0.97027104,0.00000000,0.61553301,0.30655754
-4.96748374,1.59230506,1.43721528,0.00000000,0.01084581,0.16028825,0.96801468,0.00000000,0.61755372,0.31203896
-4.96148074,1.60387933,1.45045691,0.00000000,0.01055110,0.16573459,0.96725789,0.00000000,0.61931214,0.31779652
-4.95547774,1.61580978,1.46333771,0.00000000,0.01022003,0.17100252,0.96741881,0.00000000,0.62048891,0.32349861
-4.94947474,1.62686263,1.47494359,0.00000000,0.00985664,0.17586621,0.96787390,0.00000000,0.62077084,0.32882231
-4.94347174,1.63582075,1.48434884,0.00000000,0.00946530,0.18012079,0.96797885,0.00000000,0.61985925,0.33346149
-4.93746873,1.64152152,1.49064778,0.00000000,0.00905063,0.18358651,0.96709069,0.00000000,0.61747826,0.33713463
-4.93146573,1.64289337,1.49298659,0.00000000,0.00861733,0.18611239,0.96459023,0.00000000,0.61338279,0.33959204
-4.92546273,1.63898994,1.49059391,0.00000000,0.00817014,0.18757898,0.95990388,0.00000000,0.60736611,0.34062227
-4.91945973,1.62902012,1.48280900,0.00000000,0.00771371,0.18790033,0.95252390,0.00000000,0.59926641,0.34005738
-4.91345673,1.61237294,1.46910613,0.00000000,0.00725253,0.18702492,0.94202641,0.00000000,0.58897228,0.33777699
-4.90745373,1.58863612,1.44911420,0.00000000,0.00679087,0.18493570,0.92808619,0.00000000,0.57642681,0.33371071
-4.90145073,1.55760772,1.42263072,0.00000000,0.00633268,0.18164906,0.91048784,0.00000000,0.56162998,0.32783917
-4.89544772,1.51930035,1.38962961,0.00000000,0.00588162,0.17721288,0.88913286,0.00000000,0.54463941,0.32019328
-4.88944472,1.47393793,1.35026254,0.00000000,0.00544096,0.17170374,0.86404240,0.00000000,0.52556925,0.31085202
-4.88344172,1.42194539,1.30485384,0.00000000,0.00501363,0.16522339,0.83535568,0.00000000,0.50458729,0.29993877
-4.87743872,1.36393188,1.25388940,0.00000000,0.00460219,0.15789459,0.80332436,0.00000000,0.48191052,0.28761639
-4.87143572,1.30066845,1.19800023,0.00000000,0.00420884,0.14985669,0.76830320,0.00000000,0.45779905,0.27408127
-4.86543272,1.23306148,1.13794141,0.00000000,0.00383546,0.14126083,0.73073755,0.00000000,0.43254908,0.25955667
-4.85942971,1.16212306,1.07456779,0.00000000,0.00348361,0.13226534,0.69114847,0.00000000,0.40648485,0.24428573
-4.85342671,1.08893994,1.00880740,0.00000000,0.00315462,0.12303122,0.65011618,0.00000000,0.37995013,0.22852423
-4.84742371,1.01464226,0.94163389,0.00000000,0.00284955,0.11371806,0.60826262,0.00000000,0.35329970,0.21253382
-4.84142071,0.94037364,0.87403931,0.00000000,0.00256929,0.10448049,0.56623402,0.00000000,0.32689094,0.19657552
-4.83541771,0.86726355,0.80700818,0.00000000,0.00231458,0.09546529,0.52468415,0.00000000,0.30107610,0.18090418
-4.82941471,0.79640313,0.74149391,0.00000000,0.00208602,0.08680923,0.48425879,0.00000000,0.27619540,0.16576376
-4.82341171,0.72882512,0.67839835,0.00000000,0.00188413,0.07863775,0.44558219,0.00000000,0.25257127,0.15138370
-4.81740870,0.66548814,0.61855481,0.00000000,0.00170937,0.07106436,0.40924548,0.00000000,0.23050370,0.13797650
-4.81140570,0.60726574,0.56271513,0.00000000,0.00156218,0.06419078,0.37579760,0.00000000,0.21026707,0.12573626
-4.80540270,0.55493976,0.51154042,0.00000000,0.00144294,0.05810785,0.34573844,0.00000000,0.19210808,0.11483844
-4.79939970,0.50919792,0.46559575,0.00000000,0.00135207,0.05289692,0.31951433,0.00000000,0.17624499,0.10544040
-4.79339670,0.47063476,0.42534796,0.00000000,0.00128996,0.04863173,0.29751546,0.00000000,0.16286787,0.09768282
-4.78739370,0.43975543,0.39116639,0.00000000,0.00125701,0.04538057,0.28007495,0.00000000,0.15213970,0.09169161
-4.78139070,0.41698141,0.36332587,0.00000000,0.00125362,0.04320868,0.26746923,0.00000000,0.14419810,0.08758018
-4.77538769,0.40265737,0.34201119,0.00000000,0.00128015,0.04218053,0.25991923,0.00000000,0.13915744,0.08545187
-4.76938469,0.39705837,0.32732255,0.00000000,0.00133696,0.04236212,0.25759206,0.00000000,0.13711117,0.08540226
-4.76338169,0.40039668,0.31928154,0.00000000,0.00142432,0.04382280,0.26060281,0.00000000,0.13813404,0.08752116
-4.75737869,0.41282765,0.31783689,0.00000000,0.00154241,0.04663687,0.26901616,0.00000000,0.14228409,0.09189426
-4.75137569,0.43445414,0.32286993,0.00000000,0.00169133,0.05088451,0.28284772,0.00000000,0.14960432,0.09860396
-4.74537269,0.46532934,0.33419948,0.00000000,0.00187099,0.05665213,0.30206482,0.00000000,0.16012381,0.10772967
-4.73936968,0.50545770,0.35158605,0.00000000,0.00208114,0.06403196,0.32658705,0.00000000,0.17385837,0.11934722
-4.73336668,0.55479415,0.37473545,0.00000000,0.00232134,0.07312098,0.35628632,0.00000000,0.19081061,0.13352744
-4.72736368,0.61324170,0.40330205,0.00000000,0.00259090,0.08401892,0.39098682,0.00000000,0.21096949,0.15033398
-4.72136068,0.68064764,0.43689176,0.00000000,0.00288890,0.09682551,0.43046505,0.00000000,0.23430936,0.16982029
-4.71535768,0.75679881,0.47506522,0.00000000,0.00321413,0.11163701,0.47445003,0.00000000,0.26078864,0.19202595
-4.70935468,0.84141618,0.51734128,0.00000000,0.00356514,0.12854189,0.52262405,0.00000000,0.29034807,0.21697242
-4.70335168,0.93414923,0.56320116,0.00000000,0.00394021,0.14761600,0.57462405,0.00000000,0.32290876,0.24465837
-4.69734867,1.03457041,0.61209339,0.00000000,0.00433736,0.16891720,0.63004375,0.00000000,0.35836997,0.27505466
-4.69134567,1.14217015,0.66343966,0.00000000,0.00475437,0.19247965,0.68843670,0.00000000,0.39660685,0.30809941
-4.68534267,1.25635262,0.71664163,0.00000000,0.00518880,0.21830802,0.74932002,0.00000000,0.43746803,0.34369304
-4.67933967,1.37643255,0.77108843,0.00000000,0.00563800,0.24637174,0.81217897,0.00000000,0.48077328,0.38169385
-4.67333667,1.50163335,0.82616487,0.00000000,0.00609914,0.27659969,0.87647207,0.00000000,0.52631123,0.42191406
-4.66733367,1.63108667,0.88125992,0.00000000,0.00656923,0.30887551,0.94163656,0.00000000,0.57383723,0.46411684
-4.66133067,1.76383363,0.93577523,0.00000000,0.00704512,0.34303390,1.00709408,0.00000000,0.62307154,0.50801438
-4.65532766,1.89882792,0.98913326,0.00000000,0.00752355,0.37885810,1.07225618,0.00000000,0.67369786,0.55326726
