energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
1.79189595,5.23311737,0.01421532,0.28875278,0.35282200,2.31076151,0.09749912,0.48578585,1.52503395,2.25290809
1.79789895,5.16664237,0.01402047,0.29162094,0.34619984,2.25743855,0.09551092,0.47683407,1.53737240,2.24211665
1.80390195,5.10079850,0.01382315,0.29509324,0.34056107,2.20420986,0.09348073,0.46833236,1.54877312,2.23087771
1.80990495,5.03565903,0.01362302,0.29917272,0.33586362,2.15134330,0.09143648,0.46031825,1.55888221,2.21896350
1.81590795,4.97122624,0.01341972,0.30385297,0.33204632,2.09906494,0.08940544,0.45281737,1.56735353,2.20613715
1.82191096,4.90745304,0.01321300,0.30911795,0.32903331,2.04756258,0.08741397,0.44584589,1.57386516,2.19216904
1.82791396,4.84426742,0.01300280,0.31494219,0.32673887,1.99699138,0.08548741,0.43941344,1.57813541,2.17685340
1.83391696,4.78159810,0.01278936,0.32129127,0.32507235,1.94748100,0.08364991,0.43352609,1.57993730,2.16002415
1.83991996,4.71939999,0.01257329,0.32812259,0.32394311,1.89914396,0.08192432,0.42818934,1.57911094,2.14156926
1.84592296,4.65767787,0.01235563,0.33538634,0.32326510,1.85208449,0.08033207,0.42341083,1.57557301,2.12144260
1.85192596,4.59650684,0.01213789,0.34302667,0.32296090,1.80640746,0.07889298,0.41920272,1.56932303,2.09967290
1.85792896,4.53604842,0.01192199,0.35098297,0.32296515,1.76222676,0.07762509,0.41558344,1.56044591,2.07636917
1.86393197,4.47656137,0.01171027,0.35919126,0.32322702,1.71967265,0.07654441,0.41257887,1.54911095,2.05172240
1.86993497,4.41840668,0.01150540,0.36758539,0.32371187,1.67889772,0.07566463,0.41022287,1.53556714,2.02600352
1.87593797,4.36204667,0.01131031,0.37609832,0.32440189,1.64008117,0.07499682,0.40855709,1.52013533,1.99955781
1.88194097,4.30803840,0.01112802,0.38466317,0.32529585,1.60343137,0.07454908,0.40763015,1.50319758,1.97279618
1.88794397,4.25702212,0.01096158,0.39321403,0.32640798,1.56918655,0.07432617,0.40749639,1.48518447,1.94618378
1.89394697,4.20970549,0.01081388,0.40168661,0.32776614,1.53761387,0.07432923,0.40821410,1.46656090,1.92022681
1.89994997,4.16684490,0.01068757,0.41001868,0.32940943,1.50900707,0.07455548,0.40984352,1.44781127,1.89545814
1.90595298,4.12922501,0.01058490,0.41815020,0.33138540,1.48368295,0.07499804,0.41244473,1.42942474,1.87242254
1.91195598,4.09763783,0.01050761,0.42602334,0.33374709,1.46197698,0.07564586,0.41607555,1.41188114,1.85166223
1.91795898,4.07286239,0.01045689,0.43358233,0.33655002,1.44423842,0.07648373,0.42078957,1.39563818,1.83370341
1.92396198,4.05564611,0.01043330,0.44077317,0.33984944,1.43082515,0.07749252,0.42663443,1.38112040,1.81904425
1.92996498,4.04668846,0.01043678,0.44754343,0.34369776,1.42209840,0.07864950,0.43365043,1.36871003,1.80814459
1.93596798,4.04662733,0.01046662,0.45384191,0.34814257,1.41841749,0.07992889,0.44186943,1.35873999,1.80141763
1.94197099,4.05602822,0.01052157,0.45961853,0.35322498,1.42013452,0.08130244,0.45131411,1.35148890,1.79922343
1.94797399,4.07537602,0.01059990,0.46482430,0.35897857,1.42758908,0.08274028,0.46199743,1.34717803,1.80186425
1.95397699,4.10506881,0.01069946,0.46941142,0.36542876,1.44110256,0.08421174,0.47392236,1.34596985,1.80958115
1.95997999,4.14541299,0.01081789,0.47333367,0.37259265,1.46097200,0.08568626,0.48708154,1.34796790,1.82255171
1.96598299,4.19661897,0.01095270,0.47654690,0.38047905,1.48746323,0.08713436,0.50145708,1.35321752,1.84088827
1.97198599,4.25879658,0.01110143,0.47900977,0.38908882,1.52080299,0.08852846,0.51702001,1.36170724,1.86463632
1.97798899,4.33194929,0.01126179,0.48068457,0.39841517,1.56117002,0.08984374,0.53372963,1.37337035,1.89377270
1.98399200,4.41596695,0.01143179,0.48153818,0.40844393,1.60868492,0.09105875,0.55153248,1.38808649,1.92820320
1.98999500,4.51061651,0.01160983,0.48154308,0.41915358,1.66339905,0.09215596,0.57036100,1.40568308,1.96775970
1.99599800,4.61553093,0.01179480,0.48067833,0.43051508,1.72528261,0.09312202,0.59013188,1.42593658,2.01219656
2.00200100,4.73019658,0.01198613,0.47893042,0.44249127,1.79421232,0.09394793,0.61074420,1.44857349,2.06118680
2.00800400,4.85393987,0.01218380,0.47629406,0.45503603,1.86995937,0.09462887,0.63207746,1.47327146,2.11431809
2.01400700,4.98591436,0.01238836,0.47277269,0.46809311,1.95217830,0.09516393,0.65398973,1.49966060,2.17108940
2.02001001,5.12508948,0.01260084,0.46837886,0.48159475,2.04039755,0.09555562,0.67631605,1.52732527,2.23090870
2.02601301,5.27024252,0.01282275,0.46313422,0.49546027,2.13401269,0.09580926,0.69886738,1.55580677,2.29309247
2.03201601,5.41995541,0.01305591,0.45706940,0.50959467,2.23228300,0.09593223,0.72143026,1.58460718,2.35686768
2.03801901,5.57261775,0.01330241,0.45022352,0.52388759,2.33433236,0.09593323,0.74376747,1.61319468,2.42137690
2.04402201,5.72643745,0.01356444,0.44264357,0.53821261,2.43915488,0.09582149,0.76561980,1.64101046,2.48568692
2.05002501,5.87945990,0.01384421,0.43438357,0.55242731,2.54562589,0.09560605,0.78670905,1.66747753,2.54880145
