energy_ev,total_up,Pd_p_up,Pd_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
1.68984492,3.28365458,5.60906987,0.50765125,0.61756661,0.01524528,1.66566179,0.00000000
1.69584792,3.35814194,5.72043459,0.51829881,0.62895853,0.01567980,1.70989819,0.00000000
1.70185093,3.43123631,5.82710485,0.52830203,0.63935451,0.01611541,1.75492273,0.00000000
1.70785393,3.50256797,5.92848039,0.53761021,0.64865944,0.01654902,1.80042989,0.00000000
1.71385693,3.57175334,6.02401223,0.54618018,0.65679497,0.01697723,1.84607042,0.00000000
1.71985993,3.63840255,6.11321659,0.55397758,0.66370199,0.01739649,1.89145517,0.00000000
1.72586293,3.70212814,6.19568830,0.56097799,0.66934298,0.01780318,1.93616055,0.00000000
1.73186593,3.76255484,6.27111347,0.56716791,0.67370394,0.01819378,1.97973557,0.00000000
1.73786893,3.81933011,6.33928128,0.57254558,0.67679604,0.01856494,2.02171033,0.00000000
1.74387194,3.87213515,6.40009415,0.57712153,0.67865676,0.01891366,2.06160603,0.00000000
1.74987494,3.92069586,6.45357587,0.58091887,0.67935053,0.01923737,2.09894603,0.00000000
1.75587794,3.96479324,6.49987678,0.58397331,0.67896864,0.01953403,2.13326759,0.00000000
1.76188094,4.00427254,6.53927542,0.58633269,0.67762845,0.01980220,2.16413400,0.00000000
1.76788394,4.03905050,6.57217555,0.58805624,0.67547180,0.02004107,2.19114635,0.00000000
1.77388694,4.06912002,6.59909812,0.58921332,0.67266244,0.02025052,2.21395441,0.00000000
1.77988994,4.09455185,6.62066740,0.58988169,0.66938271,0.02043101,2.23226617,0.00000000
1.78589295,4.11549265,6.63759116,0.59014543,0.66582921,0.02058361,2.24585526,0.00000000
1.79189595,4.13215944,6.65063497,0.59009236,0.66220776,0.02070985,2.25456609,0.00000000
1.79789895,4.14483034,6.66059108,0.58981116,0.65872775,0.02081162,2.25831616,0.00000000
1.80390195,4.15383193,6.66824288,0.58938827,0.65559602,0.02089104,2.25709555,0.00000000
1.80990495,4.15952375,6.67432638,0.58890466,0.65301052,0.02095031,2.25096345,0.00000000
1.81590795,4.16228071,6.67949048,0.58843266,0.65115412,0.02099151,2.24004218,0.00000000
1.82191096,4.16247449,6.68425822,0.58803295,0.65018878,0.02101654,2.22450881,0.00000000
1.82791396,4.16045489,6.68899133,0.58775200,0.65025051,0.02102689,2.20458514,0.00000000
1.83391696,4.15653247,6.69386046,0.58761997,0.65144529,0.02102358,2.18052657,0.00000000
1.83991996,4.15096355,6.69882341,0.58764941,0.65384628,0.02100706,2.15261064,0.00000000
1.84592296,4.14393859,6.70361319,0.58783464,0.65749252,0.02097717,2.12112589,0.00000000
1.85192596,4.13557487,6.70773755,0.58815212,0.66238925,0.02093314,2.08636191,0.00000000
1.85792896,4.12591399,6.71049079,0.58856165,0.66850979,0.02087363,2.04860097,0.00000000
1.86393197,4.11492438,6.71097794,0.58900849,0.67579902,0.02079681,2.00811181,0.00000000
1.86993497,4.10250878,6.70815082,0.58942624,0.68417817,0.02070045,1.96514590,0.00000000
1.87593797,4.08851622,6.70085441,0.58974036,0.69355076,0.02058212,1.91993609,0.00000000
1.88194097,4.07275764,6.68788164,0.58987220,0.70380917,0.02043932,1.87269778,0.00000000
1.88794397,4.05502417,6.66803358,0.58974324,0.71484165,0.02026965,1.82363216,0.00000000
1.89394697,4.03510680,6.64018215,0.58927931,0.72653910,0.02007103,1.77293105,0.00000000
1.89994997,4.01281609,6.60333170,0.58841467,0.73880135,0.01984184,1.72078287,0.00000000
1.90595298,3.98800061,6.55667623,0.58709552,0.75154245,0.01958108,1.66737909,0.00000000
1.91195598,3.96056296,6.49964889,0.58528293,0.76469460,0.01928850,1.61292044,0.00000000
1.91795898,3.93047219,6.43196106,0.58295494,0.77821057,0.01896469,1.55762233,0.00000000
1.92396198,3.89777214,6.35362881,0.58010770,0.79206440,0.01861110,1.50171895,0.00000000
1.92996498,3.86258506,6.26498538,0.57675573,0.80625038,0.01823008,1.44546570,0.00000000
1.93596798,3.82511072,6.16667898,0.57293119,0.82078047,0.01782480,1.38913961,0.00000000
1.94197099,3.78562113,6.05965651,0.56868229,0.83568035,0.01739923,1.33303786,0.00000000
1.94797399,3.74445161,5.94513401,0.56407106,0.85098450,0.01695796,1.27747432,0.00000000
1.95397699,3.70198909,5.82455607,0.55917051,0.86673077,0.01650612,1.22277452,0.00000000
1.95997999,3.65865873,5.69954653,0.55406152,0.88295482,0.01604919,1.16926943,0.00000000
1.96598299,3.61490998,5.57185345,0.54882958,0.89968504,0.01559284,1.11728844,0.00000000
1.97198599,3.57120330,5.44329160,0.54356169,0.91693836,0.01514279,1.06715221,0.00000000
1.97798899,3.52799851,5.31568554,0.53834355,0.93471729,0.01470460,1.01916588,0.00000000
1.98399200,3.48574570,5.19081627,0.53325724,0.95300860,0.01428358,0.97361319,0.00000000
1.98999500,3.44487929,5.07037417,0.52837948,0.97178369,0.01388467,0.93075186,0.00000000
1.99599800,3.40581547,4.95592009,0.52378056,0.99100068,0.01351230,0.89081080,0.00000000
2.00200100,3.36895315,4.84885611,0.51952397,1.01060821,0.01317039,0.85398909,0.00000000
2.00800400,3.33467796,4.75040678,0.51566663,1.03055045,0.01286228,0.82045706,0.00000000
2.01400700,3.30336881,4.66161069,0.51225972,1.05077313,0.01259077,0.79035929,0.00000000
2.02001001,3.27540611,4.58332180,0.50934984,1.07122991,0.01235809,0.76381943,0.00000000
2.02601301,3.25118072,4.51621941,0.50698045,1.09188874,0.01216597,0.74094650,0.00000000
2.03201601,3.23110251,4.46082490,0.50519343,1.11273735,0.01201572,0.72184237,0.00000000
2.03801901,3.21560760,4.41752342,0.50403046,1.13378765,0.01190826,0.70660991,0.00000000
2.04402201,3.20516315,4.38658826,0.50353411,1.15507831,0.01184418,0.69536139,0.00000000
2.05002501,3.20026904,4.36820563,0.50374858,1.17667533,0.01182384,0.68822659,0.00000000
2.05602801,3.20145584,4.36249801,0.50471977,1.19867027,0.01184740,0.68536017,0.00000000
2.06203102,3.20927865,4.36954399,0.50649490,1.22117622,0.01191484,0.68694775,0.00000000
2.06803402,3.22430686,4.38939332,0.50912136,1.24432147,0.01202597,0.69321049,0.00000000
2.07403702,3.24711009,4.42207606,0.51264507,1.26824136,0.01218047,0.70440748,0.00000000
2.08004002,3.27824066,4.46760523,0.51710822,1.29306851,0.01237780,0.72083590,0.00000000
2.08604302,3.31821342,4.52597289,0.52254670,1.31892221,0.01261721,0.74282861,0.00000000
2.09204602,3.36748381,4.59713995,0.52898716,1.34589745,0.01289766,0.77074897,0.00000000
2.09804902,3.42642504,4.68102045,0.53644408,1.37405428,0.01321771,0.80498287,0.00000000
2.10405203,3.49530546,4.77746130,0.54491686,1.40340823,0.01357554,0.84592787,0.00000000
2.11005503,3.57426703,4.88621889,0.55438716,1.43392219,0.01396877,0.89397968,0.00000000
2.11605803,3.66330596,5.00693386,0.56481666,1.46550053,0.01439445,0.94951602,0.00000000
2.12206103,3.76225606,5.13910560,0.57614542,1.49798551,0.01484902,1.01287832,0.00000000
2.12806403,3.87077551,5.28206802,0.58829081,1.53115648,0.01532823,1.08435150,0.00000000
2.13406703,3.98833763,5.43496799,0.60114723,1.56473172,0.01582713,1.16414261,0.00000000
2.14007004,4.11422559,5.59674763,0.61458657,1.59837285,0.01634014,1.25235875,0.00000000
2.14607304,4.24753157,5.76613173,0.62845937,1.63169165,0.01686103,1.34898534,0.00000000
2.15207604,4.38716005,5.94162114,0.64259675,1.66425888,0.01738301,1.45386551,0.00000000
2.15807904,4.53183530,6.12149286,0.65681289,1.69561450,0.01789883,1.56668157,0.00000000
2.16408204,4.68011290,6.30380740,0.67090814,1.72527905,0.01840092,1.68693978,0.00000000
2.17008504,4.83039515,6.48642373,0.68467248,1.75276542,0.01888150,1.81395940,0.00000000
2.17608804,4.98095012,6.66702194,0.69788935,1.77759073,0.01933276,1.94686694,0.00000000
2.18209105,5.12993439,6.84313361,0.71033969,1.79928774,0.01974702,2.08459670,0.00000000
2.18809405,5.27541920,7.01217957,0.72180608,1.81741550,0.02011693,2.22589813,0.00000000
2.19409705,5.41541991,7.17151459,0.73207692,1.83156904,0.02043562,2.36935055,0.00000000
2.20010005,5.54792864,7.31847838,0.74095057,1.84138785,0.02069685,2.51338532,0.00000000
2.20610305,5.67094990,7.45045178,0.74823934,1.84656314,0.02089522,2.65631528,0.00000000
2.21210605,5.78253862,7.56491699,0.75377335,1.84684396,0.02102626,2.79637075,0.00000000
2.21810905,5.88084024,7.65952034,0.75740411,1.84204206,0.02108657,2.93174117,0.00000000
2.22411206,5.96413192,7.73213564,0.75900785,1.83203582,0.02107389,3.06062090,0.00000000
2.23011506,6.03086395,7.78092632,0.75848855,1.81677311,0.02098719,3.18125739,0.00000000
2.23611806,6.07970017,7.80440380,0.75578044,1.79627342,0.02082668,3.29199993,0.00000000
2.24212106,6.10955582,7.80147999,0.75085018,1.77062898,0.02059383,3.39134658,0.00000000
2.24812406,6.11963147,7.77151142,0.74369837,1.74000516,0.02029133,3.47798737,0.00000000
2.25412706,6.10944126,7.71433277,0.73436047,1.70463987,0.01992303,3.55084148,0.00000000
2.26013007,6.07883403,7.63027780,0.72290698,1.66484193,0.01949387,3.60908678,0.00000000
2.26613307,6.02800587,7.52018617,0.70944285,1.62098829,0.01900975,3.65218008,0.00000000
2.27213607,5.95750297,7.38539495,0.69410600,1.57351990,0.01847741,3.67986727,0.00000000
2.27813907,5.86821420,7.22771453,0.67706504,1.52293611,0.01790427,3.69218277,0.00000000
2.28414207,5.76135300,7.04938909,0.65851608,1.46978755,0.01729823,3.68943844,0.00000000
2.29014507,5.63842888,6.85304277,0.63867870,1.41466743,0.01666755,3.67220269,0.00000000
2.29614807,5.50120954,6.64161330,0.61779128,1.35820134,0.01602059,3.64127106,0.00000000
