energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-2.07403702,0.73965923,0.92417149,0.05397709,0.04216707,0.04090532,0.15081929,0.04935778,0.39997269,0.00000000
-2.06803402,0.67504281,0.86065009,0.04846503,0.03676936,0.03592376,0.13436318,0.04473068,0.37066670,0.00000000
-2.06203102,0.61637772,0.79991264,0.04361744,0.03209260,0.03156224,0.11965117,0.04058290,0.34325928,0.00000000
-2.05602801,0.56394349,0.74239104,0.03944599,0.02812754,0.02781223,0.10664430,0.03693164,0.31792872,0.00000000
-2.05002501,0.51797417,0.68850313,0.03595760,0.02485862,0.02466040,0.09529235,0.03379030,0.29484444,0.00000000
-2.04402201,0.47866412,0.63864941,0.03315548,0.02226579,0.02208979,0.08553739,0.03116897,0.27416698,0.00000000
-2.03801901,0.44617234,0.59320838,0.03103998,0.02032615,0.02008084,0.07731669,0.02907495,0.25604705,0.00000000
-2.03201601,0.42062498,0.55253068,0.02960929,0.01901534,0.01861218,0.07056501,0.02751306,0.24062386,0.00000000
-2.02601301,0.40211576,0.51693214,0.02885977,0.01830853,0.01766128,0.06521617,0.02648585,0.22802265,0.00000000
-2.02001001,0.39070423,0.48668606,0.02878612,0.01818109,0.01720482,0.06120394,0.02599350,0.21835151,0.00000000
-2.01400700,0.38641189,0.46201497,0.02938123,0.01860897,0.01721888,0.05846227,0.02603372,0.21169760,0.00000000
-2.00800400,0.38921636,0.44308219,0.03063574,0.01956868,0.01767887,0.05692508,0.02660132,0.20812289,0.00000000
-2.00200100,0.39904389,0.42998360,0.03253746,0.02103699,0.01855932,0.05652538,0.02768768,0.20765963,0.00000000
-1.99599800,0.41576078,0.42273986,0.03507050,0.02299035,0.01983345,0.05719426,0.02928018,0.21030575,0.00000000
-1.98999500,0.43916409,0.42128953,0.03821434,0.02540420,0.02147278,0.05885950,0.03136143,0.21602039,0.00000000
-1.98399200,0.46897240,0.42548346,0.04194285,0.02825207,0.02344648,0.06144421,0.03390858,0.22471981,0.00000000
