energy_ev,total_up,total_down,Al_p_up,Al_p_down,Al_d_up,Al_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
4.74537269,0.89812609,-0.89812609,0.53781629,-0.53781629,0.00000000,-0.00000000,1.21800661,-1.21800661,0.01448052,-0.01448052,0.02972033,-0.02972033,0.10200732,-0.10200732
4.75137569,0.93468972,-0.93468972,0.54563819,-0.54563819,0.00000000,-0.00000000,1.25203272,-1.25203272,0.01513090,-0.01513090,0.03152200,-0.03152200,0.10856282,-0.10856282
4.75737869,0.97188630,-0.97188630,0.55368100,-0.55368100,0.00000000,-0.00000000,1.28672718,-1.28672718,0.01578970,-0.01578970,0.03330584,-0.03330584,0.11554433,-0.11554433
4.76338169,1.00952607,-1.00952607,0.56190943,-0.56190943,0.00000000,-0.00000000,1.32192810,-1.32192810,0.01645249,-0.01645249,0.03505666,-0.03505666,0.12294440,-0.12294440
4.76938469,1.04740661,-1.04740661,0.57027467,-0.57027467,0.00000000,-0.00000000,1.35745305,-1.35745305,0.01711461,-0.01711461,0.03675965,-0.03675965,0.13074838,-0.13074838
4.77538769,1.08531692,-1.08531692,0.57871669,-0.57871669,0.00000000,-0.00000000,1.39310450,-1.39310450,0.01777131,-0.01777131,0.03840064,-0.03840064,0.13893401,-0.13893401
4.78139070,1.12304186,-1.12304186,0.58716744,-0.58716744,0.00000000,-0.00000000,1.42867628,-1.42867628,0.01841785,-0.01841785,0.03996645,-0.03996645,0.14747119,-0.14747119
4.78739370,1.16036670,-1.16036670,0.59555445,-0.59555445,0.00000000,-0.00000000,1.46396050,-1.46396050,0.01904957,-0.01904957,0.04144506,-0.04144506,0.15632191,-0.15632191
4.79339670,1.19708162,-1.19708162,0.60380461,-0.60380461,0.00000000,-0.00000000,1.49875449,-1.49875449,0.01966201,-0.01966201,0.04282589,-0.04282589,0.16544043,-0.16544043
4.79939970,1.23298575,-1.23298575,0.61184780,-0.61184780,0.00000000,-0.00000000,1.53286721,-1.53286721,0.02025098,-0.02025098,0.04409993,-0.04409993,0.17477365,-0.17477365
