energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-1.17358679,4.75871058,0.00794750,0.05504031,0.30318172,2.22581316,0.56277060,0.00000000,0.91118879,2.18063251
-1.16758379,4.69298308,0.00737443,0.05560970,0.29419020,2.21915788,0.54933117,0.00000000,0.87508935,2.13220438
-1.16158079,4.63658657,0.00682210,0.05653323,0.28521086,2.21684319,0.53611811,0.00000000,0.83953686,2.08917668
-1.15557779,4.58958099,0.00629110,0.05778423,0.27630837,2.21814078,0.52318755,0.00000000,0.80486488,2.05233155
-1.14957479,4.55209552,0.00578219,0.05933772,0.26756014,2.22232831,0.51061643,0.00000000,0.77145307,2.02248966
-1.14357179,4.52431491,0.00529626,0.06117085,0.25905386,2.22872083,0.49849923,0.00000000,0.73970810,2.00046655
-1.13756878,4.50645873,0.00483427,0.06326311,0.25088467,2.23669805,0.48694376,0.00000000,0.71004364,1.98702686
-1.13156578,4.49875416,0.00439714,0.06559621,0.24315184,2.24572585,0.47606634,0.00000000,0.68286037,1.98283827
-1.12556278,4.50140317,0.00398572,0.06815377,0.23595531,2.25537107,0.46598652,0.00000000,0.65852681,1.98842719
-1.11955978,4.51454543,0.00360069,0.07092074,0.22939220,2.26530870,0.45682145,0.00000000,0.63736168,2.00413799
-1.11355678,4.53821880,0.00324255,0.07388256,0.22355323,2.27532145,0.44868036,0.00000000,0.61961844,2.03009783
-1.10755378,4.57231971,0.00291154,0.07702417,0.21851950,2.28529193,0.44165919,0.00000000,0.60547268,2.06618870
-1.10155078,4.61656562,0.00260767,0.08032895,0.21435950,2.29518832,0.43583576,0.00000000,0.59501268,2.11202832
-1.09554777,4.67046252,0.00233064,0.08377756,0.21112661,2.30504479,0.43126558,0.00000000,0.58823352,2.16696097
-1.08954477,4.73327984,0.00207990,0.08734684,0.20885719,2.31493845,0.42797860,0.00000000,0.58503489,2.23005937
-1.08354177,4.80403524,0.00185463,0.09100889,0.20756929,2.32496445,0.42597708,0.00000000,0.58522261,2.30013765
-1.07753877,4.88149131,0.00165375,0.09473036,0.20726210,2.33521153,0.42523456,0.00000000,0.58851379,2.37577572
-1.07153577,4.96416571,0.00147598,0.09847198,0.20791607,2.34573979,0.42569620,0.00000000,0.59454526,2.45535416
-1.06553277,5.05035538,0.00131984,0.10218853,0.20949390,2.35656257,0.42728037,0.00000000,0.60288505,2.53709870
-1.05952976,5.13817492,0.00118371,0.10582918,0.21194209,2.36763383,0.42988147,0.00000000,0.61304636,2.61913266
-1.05352676,5.22560814,0.00106586,0.10933824,0.21519324,2.37884219,0.43337393,0.00000000,0.62450334,2.69953530
-1.04752376,5.31057099,0.00096450,0.11265632,0.21916874,2.39001201,0.43761705,0.00000000,0.63670832,2.77640373
-1.04152076,5.39098320,0.00087781,0.11572191,0.22378201,2.40091167,0.44246063,0.00000000,0.64910942,2.84791570
-1.03551776,5.46484526,0.00080400,0.11847321,0.22894180,2.41126838,0.44775103,0.00000000,0.66116824,2.91239062
-1.02951476,5.53031697,0.00074130,0.12085023,0.23455567,2.42078836,0.45333726,0.00000000,0.67237660,2.96834588
-1.02351176,5.58579316,0.00068805,0.12279699,0.24053324,2.42918113,0.45907686,0.00000000,0.68227188,3.01454607
-1.01750875,5.62997248,0.00064269,0.12426376,0.24678921,2.43618568,0.46484133,0.00000000,0.69045031,3.05004269
-1.01150575,5.66191519,0.00060377,0.12520912,0.25324587,2.44159683,0.47052053,0.00000000,0.69657772,3.07420253
-1.00550275,5.68108632,0.00057001,0.12560189,0.25983495,2.44528946,0.47602611,0.00000000,0.70039735,3.08672344
-0.99949975,5.68738147,0.00054028,0.12542261,0.26649886,2.44723869,0.48129352,0.00000000,0.70173454,3.08763671
-0.99349675,5.68113334,0.00051360,0.12466470,0.27319106,2.44753432,0.48628272,0.00000000,0.70049812,3.07729616
-0.98749375,5.66309806,0.00048917,0.12333501,0.27987573,2.44638815,0.49097731,0.00000000,0.69667861,3.05635446
-0.98149075,5.63442167,0.00046633,0.12145395,0.28652662,2.44413322,0.49538231,0.00000000,0.69034340,3.02572805
-0.97548774,5.59658808,0.00044458,0.11905497,0.29312533,2.44121478,0.49952070,0.00000000,0.68162920,2.98655240
-0.96948474,5.55135108,0.00042357,0.11618358,0.29965898,2.43817304,0.50342888,0.00000000,0.67073231,2.94012992
-0.96348174,5.50065346,0.00040306,0.11289584,0.30611757,2.43561847,0.50715140,0.00000000,0.65789705,2.88787313
-0.95747874,5.44653748,0.00038294,0.10925651,0.31249115,2.43420098,0.51073525,0.00000000,0.64340314,2.83124573
-0.95147574,5.39105096,0.00036317,0.10533680,0.31876700,2.43457445,0.51422405,0.00000000,0.62755254,2.77170436
-0.94547274,5.33615357,0.00034380,0.10121195,0.32492698,2.43735863,0.51765252,0.00000000,0.61065634,2.71064373
-0.93946973,5.28362793,0.00032495,0.09695871,0.33094531,2.44310044,0.52104152,0.00000000,0.59302236,2.64934711
-0.93346673,5.23499952,0.00030675,0.09265283,0.33678683,2.45223686,0.52439397,0.00000000,0.57494386,2.58894448
-0.92746373,5.19146911,0.00028937,0.08836668,0.34240594,2.46506139,0.52769187,0.00000000,0.55668991,2.53037942
-0.92146073,5.15386042,0.00027300,0.08416708,0.34774614,2.48169601,0.53089450,0.00000000,0.53849755,2.47438581
-0.91545773,5.12258518,0.00025780,0.08011342,0.35274043,2.50207004,0.53393803,0.00000000,0.52056618,2.42147465
-0.90945473,5.09762661,0.00024393,0.07625617,0.35731228,2.52590737,0.53673636,0.00000000,0.50305396,2.37193090
-0.90345173,5.07854149,0.00023152,0.07263577,0.36137733,2.55272246,0.53918329,0.00000000,0.48607649,2.32581968
