energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-1.95997999,1.09544168,0.00116838,0.05066951,0.02782492,0.23965441,0.00000000,0.23877826,0.73627629
-1.95397699,1.09912941,0.00115785,0.05085786,0.03102155,0.24229181,0.00000000,0.24174146,0.74002454
-1.94797399,1.10101149,0.00114362,0.05088885,0.03446621,0.24480738,0.00000000,0.24467912,0.74276210
-1.94197099,1.10175066,0.00112660,0.05078288,0.03814867,0.24735380,0.00000000,0.24776725,0.74492327
-1.93596798,1.10203850,0.00110775,0.05056150,0.04205192,0.25008663,0.00000000,0.25118479,0.74695858
-1.92996498,1.10256443,0.00108807,0.05024645,0.04615173,0.25315694,0.00000000,0.25510543,0.74931412
-1.92396198,1.10398423,0.00106855,0.04985861,0.05041643,0.25670395,0.00000000,0.25968924,0.75241053
-1.91795898,1.10688965,0.00105013,0.04941725,0.05480703,0.26084786,0.00000000,0.26507446,0.75662287
-1.91195598,1.11178052,0.00103366,0.04893927,0.05927750,0.26568329,0.00000000,0.27136988,0.76226214
-1.90595298,1.11904069,0.00101987,0.04843875,0.06377546,0.27127374,0.00000000,0.27864821,0.76955956
-1.89994997,1.12891915,0.00100933,0.04792657,0.06824307,0.27764718,0.00000000,0.28694068,0.77865428
-1.89394697,1.14151703,0.00100246,0.04741042,0.07261827,0.28479316,0.00000000,0.29623324,0.78958515
-1.88794397,1.15678116,0.00099945,0.04689484,0.07683619,0.29266153,0.00000000,0.30646459,0.80228698
-1.88194097,1.17450454,0.00100034,0.04638162,0.08083079,0.30116290,0.00000000,0.31752613,0.81659138
-1.87593797,1.19433358,0.00100494,0.04587020,0.08453670,0.31017070,0.00000000,0.32926388,0.83223229
-1.86993497,1.21578175,0.00101288,0.04535828,0.08789099,0.31952498,0.00000000,0.34148239,0.84885568
-1.86393197,1.23824888,0.00102360,0.04484248,0.09083509,0.32903764,0.00000000,0.35395046,0.86603316
-1.85792896,1.26104525,0.00103642,0.04431901,0.09331650,0.33849884,0.00000000,0.36640841,0.88327867
-1.85192596,1.28341916,0.00105052,0.04378424,0.09529046,0.34768440,0.00000000,0.37857666,0.90006746
-1.84592296,1.30458675,0.00106499,0.04323530,0.09672130,0.35636381,0.00000000,0.39016525,0.91585654
-1.83991996,1.32376252,0.00107888,0.04267047,0.09758355,0.36430841,0.00000000,0.40088386,0.93010550
-1.83391696,1.34018932,0.00109123,0.04208948,0.09786272,0.37129951,0.00000000,0.41045183,0.94229678
-1.82791396,1.35316629,0.00110110,0.04149357,0.09755569,0.37713597,0.00000000,0.41860788,0.95195453
-1.82191096,1.36207367,0.00110762,0.04088549,0.09667074,0.38164096,0.00000000,0.42511903,0.95866120
-1.81590795,1.36639344,0.00111000,0.04026925,0.09522719,0.38466765,0.00000000,0.42978827,0.96207121
-1.80990495,1.36572493,0.00110760,0.03964978,0.09325470,0.38610351,0.00000000,0.43246077,0.96192116
-1.80390195,1.35979515,0.00109991,0.03903251,0.09079219,0.38587323,0.00000000,0.43302838,0.95803629
-1.79789895,1.34846342,0.00108660,0.03842281,0.08788657,0.38393995,0.00000000,0.43143221,0.95033318
-1.79189595,1.33172049,0.00106750,0.03782550,0.08459120,0.38030514,0.00000000,0.42766322,0.93881858
-1.78589295,1.30968263,0.00104260,0.03724430,0.08096423,0.37500688,0.00000000,0.42176106,0.92358486
-1.77988994,1.28258109,0.00101210,0.03668138,0.07706686,0.36811694,0.00000000,0.41381095,0.90480239
-1.77388694,1.25074798,0.00097631,0.03613705,0.07296157,0.35973676,0.00000000,0.40393923,0.88270948
-1.76788394,1.21459929,0.00093572,0.03560948,0.06871048,0.34999262,0.00000000,0.39230750,0.85760049
-1.76188094,1.17461622,0.00089092,0.03509462,0.06437381,0.33903027,0.00000000,0.37910595,0.82981290
-1.75587794,1.13132581,0.00084258,0.03458630,0.06000848,0.32700932,0.00000000,0.36454605,0.79971393
-1.74987494,1.08528179,0.00079146,0.03407643,0.05566699,0.31409766,0.00000000,0.34885310,0.76768748
-1.74387194,1.03704655,0.00073834,0.03355533,0.05139648,0.30046617,0.00000000,0.33225891,0.73412190
-1.73786893,0.98717496,0.00068402,0.03301225,0.04723813,0.28628391,0.00000000,0.31499491,0.69939909
-1.73186593,0.93620062,0.00062928,0.03243589,0.04322672,0.27171401,0.00000000,0.29728603,0.66388539
-1.72586293,0.88462475,0.00057486,0.03181500,0.03939051,0.25691032,0.00000000,0.27934541,0.62792424
-1.71985993,0.83290806,0.00052145,0.03113901,0.03575133,0.24201483,0.00000000,0.26137022,0.59183094
-1.71385693,0.78146539,0.00046966,0.03039864,0.03232484,0.22715602,0.00000000,0.24353854,0.55588934
-1.70785393,0.73066302,0.00042002,0.02958638,0.02912095,0.21244791,0.00000000,0.22600732,0.52035032
-1.70185093,0.68081837,0.00037295,0.02869699,0.02614444,0.19798985,0.00000000,0.20891138,0.48543185
-1.69584792,0.63220153,0.00032880,0.02772778,0.02339555,0.18386685,0.00000000,0.19236331,0.45132025
-1.68984492,0.58503829,0.00028781,0.02667884,0.02087071,0.17015040,0.00000000,0.17645418,0.41817251
-1.68384192,0.53951421,0.00025013,0.02555309,0.01856320,0.15689959,0.00000000,0.16125482,0.38611910
-1.67783892,0.49577912,0.00021583,0.02435620,0.01646391,0.14416243,0.00000000,0.14681758,0.35526717
-1.67183592,0.45395186,0.00018490,0.02309640,0.01456192,0.13197725,0.00000000,0.13317836,0.32570372
-1.66583292,0.41412484,0.00015726,0.02178415,0.01284514,0.12037405,0.00000000,0.12035875,0.29749868
-1.65982991,0.37636820,0.00013280,0.02043178,0.01130077,0.10937578,0.00000000,0.10836825,0.27070764
-1.65382691,0.34073344,0.00011134,0.01905298,0.00991578,0.09899954,0.00000000,0.09720634,0.24537417
-1.64782391,0.30725651,0.00009268,0.01766234,0.00867722,0.08925753,0.00000000,0.08686442,0.22153181
-1.64182091,0.27596036,0.00007660,0.01627483,0.00757253,0.08015797,0.00000000,0.07732756,0.19920561
-1.63581791,0.24685695,0.00006285,0.01490533,0.00658969,0.07170580,0.00000000,0.06857607,0.17841346
-1.62981491,0.21994909,0.00005120,0.01356820,0.00571739,0.06390336,0.00000000,0.06058675,0.15916715
-1.62381191,0.19523189,0.00004141,0.01227688,0.00494507,0.05675100,0.00000000,0.05333414,0.14147340
-1.61780890,0.17269440,0.00003325,0.01104362,0.00426299,0.05024766,0.00000000,0.04679143,0.12533491
-1.61180590,0.15232116,0.00002650,0.00987926,0.00366217,0.04439153,0.00000000,0.04093135,0.11075157
-1.60580290,0.13409402,0.00002098,0.00879312,0.00313442,0.03918072,0.00000000,0.03572697,0.09772176
-1.59979990,0.11799427,0.00001648,0.00779297,0.00267226,0.03461402,0.00000000,0.03115239,0.08624401
