energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-4.83541771,1.64981052,0.01990959,0.20923118,0.31581046,0.29372698,0.03222817,0.62094247
-4.82941471,1.54341969,0.01823830,0.18894685,0.30525062,0.27061387,0.02958022,0.59346299
-4.82341171,1.44586098,0.01674713,0.17072284,0.29538806,0.24962321,0.02725214,0.56756520
-4.81740870,1.35766418,0.01545209,0.15468286,0.28620881,0.23090197,0.02527755,0.54334235
-4.81140570,1.27932871,0.01436743,0.14093303,0.27771705,0.21458167,0.02368781,0.52090151
-4.80540270,1.21133490,0.01350568,0.12956282,0.26993908,0.20077992,0.02251210,0.50036898
-4.79939970,1.15415418,0.01287765,0.12064605,0.26292627,0.18960191,0.02177732,0.48189451
-4.79339670,1.10825670,0.01249243,0.11424202,0.25675665,0.18114187,0.02150815,0.46565413
-4.78739370,1.07411536,0.01235735,0.11039635,0.25153512,0.17548394,0.02172688,0.45185104
-4.78139070,1.05220510,0.01247796,0.10914140,0.24739205,0.17270242,0.02245322,0.44071439
-4.77538769,1.04299691,0.01285789,0.11049622,0.24448033,0.17286121,0.02370400,0.43249587
-4.76938469,1.04694622,0.01349867,0.11446576,0.24297098,0.17601234,0.02549267,0.42746405
-4.76338169,1.06447578,0.01439954,0.12103949,0.24304734,0.18219345,0.02782870,0.42589657
-4.75737869,1.09595353,0.01555715,0.13018924,0.24489824,0.19142452,0.03071686,0.42807061
-4.75137569,1.14166628,0.01696528,0.14186656,0.24871022,0.20370375,0.03415639,0.43425181
-4.74537269,1.20179050,0.01861454,0.15599957,0.25465929,0.21900293,0.03814004,0.44468229
-4.73936968,1.27636165,0.02049204,0.17248960,0.26290252,0.23726251,0.04265321,0.45956824
-4.73336668,1.36524396,0.02258116,0.19120783,0.27356987,0.25838679,0.04767298,0.47906766
-4.72736368,1.46810225,0.02486132,0.21199226,0.28675655,0.28223942,0.05316738,0.50327906
-4.72136068,1.58437805,0.02730792,0.23464518,0.30251642,0.30863977,0.05909470,0.53223144
-4.71535768,1.71327153,0.02989234,0.25893160,0.32085671,0.33736043,0.06540312,0.56587646
-4.70935468,1.85373128,0.03258208,0.28457877,0.34173426,0.36812617,0.07203058,0.60408308
-4.70335168,2.00445302,0.03534114,0.31127712,0.36505377,0.40061465,0.07890502,0.64663527
