energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,V_p_up,V_d_up
-4.85342671,3.29608224,0.02320008,0.61830915,1.34367479,0.00000000,1.62521938,1.08027464
-4.84742371,3.42354832,0.02510016,0.64432547,1.39658924,0.00000000,1.68967316,1.10686795
-4.84142071,3.54427938,0.02700191,0.66908224,1.44667807,0.00000000,1.74915452,1.13192423
-4.83541771,3.65563194,0.02888243,0.69202271,1.49290476,0.00000000,1.80236519,1.15479346
-4.82941471,3.75506514,0.03071864,0.71260565,1.53427934,0.00000000,1.84809643,1.17484772
-4.82341171,3.84021884,0.03248788,0.73032184,1.56988867,0.00000000,1.88526659,1.19150157
-4.81740870,3.90898796,0.03416854,0.74471013,1.59892495,0.00000000,1.91295555,1.20423152
-4.81140570,3.95958978,0.03574064,0.75537224,1.62071120,0.00000000,1.93043427,1.21259367
-4.80540270,3.99062107,0.03718638,0.76198578,1.63472251,0.00000000,1.93718815,1.21623861
-4.79939970,4.00110231,0.03849050,0.76431475,1.64060193,0.00000000,1.93293316,1.21492294
-4.79339670,3.99050708,0.03964066,0.76221721,1.63817050,0.00000000,1.91762397,1.20851678
-4.78739370,3.95877504,0.04062760,0.75564959,1.62743057,0.00000000,1.89145357,1.19700694
-4.78139070,3.90630808,0.04144518,0.74466754,1.60856267,0.00000000,1.85484465,1.18049559
-4.77538769,3.83394998,0.04209033,0.72942333,1.58191588,0.00000000,1.80843303,1.15919462
-4.76938469,3.74295049,0.04256284,0.71015984,1.54799231,0.00000000,1.75304399,1.13341592
-4.76338169,3.63491613,0.04286504,0.68720153,1.50742656,0.00000000,1.68966274,1.10355832
-4.75737869,3.51174986,0.04300144,0.66094284,1.46096129,0.00000000,1.61940040,1.07009168
-4.75137569,3.37558294,0.04297826,0.63183453,1.40942002,0.00000000,1.54345710,1.03353932
-4.74537269,3.22870232,0.04280299,0.60036871,1.35367867,0.00000000,1.46308396,0.99445939
-4.73936968,3.07347682,0.04248394,0.56706314,1.29463713,0.00000000,1.37954554,0.95342639
-4.73336668,2.91228562,0.04202978,0.53244556,1.23319221,0.00000000,1.29408441,0.91101364
-4.72736368,2.74745202,0.04144923,0.49703874,1.17021303,0.00000000,1.20788909,0.86777748
-4.72136068,2.58118505,0.04075075,0.46134677,1.10651993,0.00000000,1.12206666,0.82424383
-4.71535768,2.41553075,0.03994240,0.42584301,1.04286749,0.00000000,1.03762065,0.78089768
-4.70935468,2.25233472,0.03903167,0.39096029,0.97993203,0.00000000,0.95543483,0.73817557
-4.70335168,2.09321623,0.03802557,0.35708336,0.91830385,0.00000000,0.87626298,0.69646130
-4.69734867,1.93955395,0.03693066,0.32454375,0.85848388,0.00000000,0.80072447,0.65608458
-4.69134567,1.79248266,0.03575324,0.29361709,0.80088445,0.00000000,0.72930527,0.61732232
-4.68534267,1.65289948,0.03449948,0.26452262,0.74583352,0.00000000,0.66236363,0.58040212
-4.67933967,1.52147828,0.03317573,0.23742475,0.69358169,0.00000000,0.60013957,0.54550734
-4.67333667,1.39869013,0.03178865,0.21243627,0.64431107,0.00000000,0.54276746,0.51278319
-4.66733367,1.28482793,0.03034544,0.18962287,0.59814532,0.00000000,0.49029042,0.48234316
-4.66133067,1.18003327,0.02885401,0.16900866,0.55515989,0.00000000,0.44267575,0.45427523
-4.65532766,1.08432356,0.02732302,0.15058216,0.51539191,0.00000000,0.39983060,0.42864738
-4.64932466,0.99761791,0.02576196,0.13430258,0.47884904,0.00000000,0.36161688,0.40551198
-4.64332166,0.91976061,0.02418105,0.12010594,0.44551686,0.00000000,0.32786505,0.38490880
-4.63731866,0.85054106,0.02259121,0.10791083,0.41536469,0.00000000,0.29838617,0.36686652
-4.63131566,0.78970991,0.02100380,0.09762364,0.38834945,0.00000000,0.27298198,0.35140278
-4.62531266,0.73699096,0.01943048,0.08914301,0.36441791,0.00000000,0.25145284,0.33852290
-4.61930965,0.69208918,0.01788293,0.08236358,0.34350737,0.00000000,0.23360359,0.32821750
-4.61330665,0.65469518,0.01637262,0.07717888,0.32554506,0.00000000,0.21924738,0.32045938
-4.60730365,0.62448672,0.01491050,0.07348342,0.31044670,0.00000000,0.20820763,0.31520012
-4.60130065,0.60112807,0.01350682,0.07117414,0.29811457,0.00000000,0.20031848,0.31236669
-4.59529765,0.58426798,0.01217088,0.07015113,0.28843545,0.00000000,0.19542397,0.31185865
-4.58929465,0.57353706,0.01091089,0.07031782,0.28127895,0.00000000,0.19337620,0.31354609
-4.58329165,0.56854529,0.00973386,0.07158085,0.27649638,0.00000000,0.19403285,0.31726890
-4.57728864,0.56888023,0.00864553,0.07384948,0.27392052,0.00000000,0.19725421,0.32283734
-4.57128564,0.57410642,0.00765038,0.07703488,0.27336642,0.00000000,0.20290010,0.33003418
-4.56528264,0.58376627,0.00675167,0.08104927,0.27463324,0.00000000,0.21082669,0.33861841
-4.55927964,0.59738250,0.00595154,0.08580505,0.27750719,0.00000000,0.22088360,0.34833034
-4.55327664,0.61446210,0.00525114,0.09121398,0.28176539,0.00000000,0.23291112,0.35889799
-4.54727364,0.63450173,0.00465077,0.09718638,0.28718044,0.00000000,0.24673794,0.37004441
-4.54127064,0.65699400,0.00415004,0.10363060,0.29352554,0.00000000,0.26217924,0.38149564
-4.53526763,0.68143463,0.00374806,0.11045260,0.30057970,0.00000000,0.27903527,0.39298875
-4.52926463,0.70732967,0.00344352,0.11755574,0.30813295,0.00000000,0.29709058,0.40427973
-4.52326163,0.73420270,0.00323490,0.12484092,0.31599103,0.00000000,0.31611371,0.41515058
-4.51725863,0.76160129,0.00312051,0.13220683,0.32397939,0.00000000,0.33585761,0.42541534
-4.51125563,0.78910269,0.00309855,0.13955065,0.33194627,0.00000000,0.35606073,0.43492466
-4.50525263,0.81631822,0.00316712,0.14676896,0.33976460,0.00000000,0.37644876,0.44356864
-4.49924962,0.84289634,0.00332421,0.15375889,0.34733271,0.00000000,0.39673716,0.45127779
-4.49324662,0.86852425,0.00356762,0.16041970,0.35457368,0.00000000,0.41663439,0.45802200
-4.48724362,0.89292818,0.00389484,0.16665444,0.36143355,0.00000000,0.43584585,0.46380764
-4.48124062,0.91587227,0.00430293,0.17237201,0.36787833,0.00000000,0.45407847,0.46867295
-4.47523762,0.93715648,0.00478835,0.17748918,0.37389018,0.00000000,0.47104583,0.47268188
-4.46923462,0.95661363,0.00534682,0.18193289,0.37946284,0.00000000,0.48647375,0.47591688
-4.46323162,0.97410593,0.00597314,0.18564240,0.38459672,0.00000000,0.50010610,0.47847100
-4.45722861,0.98952135,0.00666105,0.18857141,0.38929395,0.00000000,0.51171072,0.48043973
-4.45122561,1.00276999,0.00740312,0.19068995,0.39355363,0.00000000,0.52108515,0.48191313
-4.44522261,1.01378093,0.00819068,0.19198593,0.39736772,0.00000000,0.52806199,0.48296861
-4.43921961,1.02249960,0.00901381,0.19246622,0.40071773,0.00000000,0.53251361,0.48366492
-4.43321661,1.02888595,0.00986136,0.19215724,0.40357246,0.00000000,0.53435612,0.48403756
-4.42721361,1.03291341,0.01072109,0.19110484,0.40588706,0.00000000,0.53355218,0.48409596
-4.42121061,1.03456881,0.01157982,0.18937356,0.40760335,0.00000000,0.53011276,0.48382254
-4.41520760,1.03385303,0.01242368,0.18704506,0.40865148,0.00000000,0.52409753,0.48317377
-4.40920460,1.03078245,0.01323844,0.18421598,0.40895290,0.00000000,0.51561408,0.48208305
-4.40320160,1.02539096,0.01400983,0.18099496,0.40842449,0.00000000,0.50481572,0.48046541
-4.39719860,1.01773225,0.01472395,0.17749919,0.40698354,0.00000000,0.49189821,0.47822355
-4.39119560,1.00788239,0.01536770,0.17385047,0.40455352,0.00000000,0.47709545,0.47525506
-4.38519260,0.99594231,0.01592918,0.17017089,0.40107016,0.00000000,0.46067428,0.47146038
-4.37918959,0.98203997,0.01639812,0.16657847,0.39648756,0.00000000,0.44292873,0.46675091
-4.37318659,0.96633225,0.01676623,0.16318286,0.39078416,0.00000000,0.42417394,0.46105713
-4.36718359,0.94900611,0.01702752,0.16008125,0.38396798,0.00000000,0.40473994,0.45433604
-4.36118059,0.93027927,0.01717862,0.15735483,0.37608110,0.00000000,0.38496566,0.44657765
