energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-4.96148074,5.69864606,0.07180623,0.75835886,2.97671260,2.00366912,0.09488795,1.76003330
-4.95547774,5.59115076,0.07271625,0.75886838,2.86857697,2.00808638,0.09242477,1.68944988
-4.94947474,5.46945139,0.07325905,0.75720898,2.75687383,2.00588745,0.08953164,1.61548352
-4.94347174,5.33500848,0.07342365,0.75340802,2.64313537,1.99696881,0.08626119,1.53907654
-4.93746873,5.18934166,0.07320508,0.74749671,2.52876893,1.98131087,0.08267131,1.46116779
-4.93146573,5.03400101,0.07260455,0.73951070,2.41502608,1.95898379,0.07882368,1.38267143
-4.92546273,4.87054721,0.07162938,0.72949175,2.30298342,1.93015318,0.07478229,1.30445978
-4.91945973,4.70054083,0.07029285,0.71749063,2.19353524,1.89508545,0.07061213,1.22735064
-4.91345673,4.52554012,0.06861392,0.70357066,2.08739727,1.85415243,0.06637800,1.15209927
-4.90745373,4.34710625,0.06661675,0.68781196,1.98512053,1.80783483,0.06214345,1.07939482
-4.90145073,4.16681441,0.06433020,0.67031571,1.88711338,1.75672417,0.05797001,1.00986097
-4.89544772,3.98626870,0.06178712,0.65120826,1.79366979,1.70152274,0.05391658,0.94405995
-4.88944472,3.80711866,0.05902362,0.63064468,1.70500137,1.64304118,0.05003900,0.88249942
-4.88344172,3.63107495,0.05607828,0.60881135,1.62127080,1.58219338,0.04638983,0.82564108
-4.87743872,3.45992198,0.05299126,0.58592729,1.54262434,1.51998836,0.04301830,0.77391024
-4.87143572,3.29552536,0.04980343,0.56224412,1.46922114,1.45751905,0.03997035,0.72770522
-4.86543272,3.13983231,0.04655557,0.53804445,1.40125770,1.39594770,0.03728874,0.68740580
-4.85942971,2.99486374,0.04328746,0.51363856,1.33898581,1.33648824,0.03501322,0.65337976
-4.85342671,2.86269697,0.04003720,0.48935957,1.28272318,1.28038548,0.03318064,0.62598691
-4.84742371,2.74543884,0.03684045,0.46555713,1.23285619,1.22889162,0.03182506,0.60558011
-4.84142071,2.64518940,0.03372988,0.44258985,1.18983473,1.18324038,0.03097765,0.59250284
-4.83541771,2.56399676,0.03073469,0.42081671,1.15415960,1.14461933,0.03066655,0.58708338
-4.82941471,2.50380465,0.02788020,0.40058788,1.12636332,1.11414107,0.03091657,0.58962561
-4.82341171,2.46639410,0.02518764,0.38223516,1.10698551,1.09281399,0.03174865,0.60039677
-4.81740870,2.45332179,0.02267401,0.36606248,1.09654428,1.08151342,0.03317924,0.61961280
-4.81140570,2.46585718,0.02035207,0.35233682,1.09550535,1.08095421,0.03521949,0.64742192
-4.80540270,2.50492152,0.01823044,0.34127990,1.10425045,1.09166555,0.03787436,0.68388727
-4.79939970,2.57103133,0.01631376,0.33306102,1.12304680,1.11396913,0.04114167,0.72896976
-4.79339670,2.66424957,0.01460303,0.32779120,1.15201940,1.14796160,0.04501109,0.78251200
-4.78739370,2.78414700,0.01309591,0.32551905,1.19112744,1.19350226,0.04946328,0.84422459
-4.78139070,2.92977657,0.01178712,0.32622838,1.24014632,1.25020689,0.05446911,0.91367554
-4.77538769,3.09966296,0.01066888,0.32983783,1.29865619,1.31744835,0.05998910,0.99028411
-4.76938469,3.29180894,0.00973139,0.33620248,1.36603782,1.39436459,0.06597315,1.07331948
-4.76338169,3.50371983,0.00896322,0.34511749,1.44147620,1.47987421,0.07236060,1.16190517
-4.75737869,3.73244621,0.00835187,0.35632371,1.52397195,1.57269980,0.07908069,1.25502931
-4.75137569,3.97464470,0.00788409,0.36951504,1.61236034,1.67139853,0.08605345,1.35156091
-4.74537269,4.22665543,0.00754636,0.38434750,1.70533718,1.77439956,0.09319100,1.45027182
-4.73936968,4.48459409,0.00732522,0.40044956,1.80149083,1.88004712,0.10039928,1.54986377
-4.73336668,4.74445578,0.00720761,0.41743360,1.89933917,1.98664815,0.10758017,1.64899972
-4.72736368,5.00222690,0.00718112,0.43490796,1.99736991,2.09252282,0.11463385,1.74633811
-4.72136068,5.25400117,0.00723423,0.45248939,2.09408310,2.19605621,0.12146146,1.84056894
-4.71535768,5.49609510,0.00735643,0.46981528,2.18803379,2.29574928,0.12796784,1.93044993
-4.70935468,5.72515852,0.00753839,0.48655543,2.27787353,2.39026718,0.13406418,2.01484122
-4.70335168,5.93827553,0.00777194,0.50242294,2.36238906,2.47848305,0.13967064,2.09273724
-4.69734867,6.13305201,0.00805012,0.51718377,2.44053672,2.55951577,0.14471859,2.16329406
-4.69134567,6.30768619,0.00836712,0.53066482,2.51147160,2.63276008,0.14915254,2.22585122
-4.68534267,6.46101979,0.00871816,0.54276016,2.57457036,2.69790841,0.15293150,2.27994715
-4.67933967,6.59256819,0.00909942,0.55343538,2.62944733,2.75496358,0.15602987,2.32532744
-4.67333667,6.70252929,0.00950779,0.56272991,2.67596363,2.80424249,0.15843758,2.36194607
-4.66733367,6.79177163,0.00994078,0.57075739,2.71422945,2.84637122,0.16015978,2.38995969
-4.66133067,6.86180374,0.01039630,0.57770417,2.74459998,2.88227218,0.16121576,2.40971561
-4.65532766,6.91472722,0.01087243,0.58382613,2.76766575,2.91314472,0.16163750,2.42173451
-4.64932466,6.95317707,0.01136727,0.58944404,2.78423828,2.94044054,0.16146767,2.42668904
-4.64332166,6.98025290,0.01187879,0.59493773,2.79533211,2.96583543,0.16075732,2.42537972
-4.63731866,6.99944506,0.01240465,0.60073942,2.80214430,2.99119899,0.15956344,2.41870952
-4.63131566,7.01455925,0.01294208,0.60732639,2.80603233,3.01856367,0.15794641,2.40765858
-4.62531266,7.02964292,0.01348786,0.61521321,2.80849133,3.05009432,0.15596751,2.39326016
-4.61930965,7.04891580,0.01403824,0.62494394,2.81113119,3.08805901,0.15368673,2.37657887
-4.61330665,7.07670611,0.01458896,0.63708407,2.81565379,3.13480144,0.15116084,2.35869175
-4.60730365,7.11739299,0.01513531,0.65221260,2.82383053,3.19271495,0.14844181,2.34067244
-4.60130065,7.17535441,0.01567220,0.67091400,2.83747971,3.26421731,0.14557581,2.32357846
-4.59529765,7.25491938,0.01619429,0.69377010,2.85844326,3.35172568,0.14260253,2.30844097
-4.58929465,7.36032189,0.01669609,0.72135172,2.88856216,3.45763021,0.13955504,2.29625641
-4.58329165,7.49565410,0.01717219,0.75420992,2.92964960,3.58426515,0.13646002,2.28797901
