energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-2.11005503,0.66522562,-0.10363130,0.05576597,-0.03695092,0.56320436,-0.02759432,0.00012621,-0.00000005,0.01980861,-0.01193093,0.09535375,-0.00982544,0.03430133,-0.01546721,0.00188544,-0.00002270,0.04653278,-0.06970910
-2.10405203,0.66025964,-0.09641795,0.05435606,-0.03381328,0.55592672,-0.02687883,0.00015104,-0.00000005,0.01926660,-0.01091831,0.09808635,-0.00925885,0.03566897,-0.01418036,0.00197583,-0.00002905,0.04491366,-0.06363472
-2.09804902,0.65415673,-0.09004244,0.05278274,-0.03081982,0.54691014,-0.02674350,0.00017953,-0.00000006,0.01866295,-0.00994791,0.10128323,-0.00878357,0.03729665,-0.01295688,0.00208079,-0.00003701,0.04319981,-0.05777905
-2.09204602,0.64753419,-0.08463961,0.05107947,-0.02800420,0.53663278,-0.02725239,0.00021195,-0.00000008,0.01801155,-0.00903094,0.10509600,-0.00841738,0.03923802,-0.01181198,0.00220370,-0.00004687,0.04140765,-0.05220253
-2.08604302,0.64105569,-0.08035114,0.04928511,-0.02539758,0.52561053,-0.02848300,0.00024854,-0.00000011,0.01732829,-0.00817760,0.10968265,-0.00817897,0.04154892,-0.01075991,0.00234800,-0.00005898,0.03955903,-0.04695912
-2.08004002,0.63540967,-0.07732314,0.04744232,-0.02302811,0.51438002,-0.03052483,0.00028951,-0.00000015,0.01663052,-0.00739693,0.11520284,-0.00808774,0.04428573,-0.00981375,0.00251711,-0.00007373,0.03768008,-0.04209527
-2.07403702,0.63128654,-0.07570391,0.04559597,-0.02092043,0.50348100,-0.03347775,0.00033499,-0.00000022,0.01593646,-0.00669670,0.12181284,-0.00816366,0.04750355,-0.00898525,0.00271433,-0.00009154,0.03579996,-0.03764944
-2.06803402,0.62935575,-0.07564195,0.04379147,-0.01909555,0.49343879,-0.03745026,0.00038508,-0.00000030,0.01526462,-0.00608334,0.12966006,-0.00842710,0.05125427,-0.00828475,0.00294267,-0.00011287,0.03394953,-0.03365179
-2.06203102,0.63024337,-0.07728392,0.04207310,-0.01757073,0.48474762,-0.04255736,0.00043979,-0.00000042,0.01463316,-0.00556196,0.13887754,-0.00889858,0.05558466,-0.00772122,0.00320479,-0.00013821,0.03216003,-0.03012437
-2.05602801,0.63451138,-0.08077247,0.04048251,-0.01635955,0.47785544,-0.04891796,0.00049907,-0.00000058,0.01405935,-0.00513637,0.14957846,-0.00959861,0.06053439,-0.00730221,0.00350282,-0.00016807,0.03046187,-0.02708142
-2.05002501,0.64263935,-0.08624377,0.03905734,-0.01547199,0.47315093,-0.05665194,0.00056280,-0.00000079,0.01355904,-0.00480913,0.16185100,-0.01054734,0.06613428,-0.00703400,0.00383829,-0.00020297,0.02888348,-0.02452999
-2.04402201,0.65500926,-0.09382459,0.03783000,-0.01491458,0.47095318,-0.06587660,0.00063076,-0.00000108,0.01314618,-0.00458159,0.17575370,-0.01176426,0.07240464,-0.00692161,0.00421202,-0.00024344,0.02745031,-0.02247048
-2.03801901,0.67189418,-0.10362900,0.03682682,-0.01469053,0.47150446,-0.07670263,0.00070270,-0.00000147,0.01283245,-0.00445402,0.19131167,-0.01326783,0.07935395,-0.00696894,0.00462404,-0.00028999,0.02618412,-0.02089741
-2.03201601,0.69345119,-0.11575451,0.03606734,-0.01479979,0.47496629,-0.08922965,0.00077827,-0.00000197,0.01262691,-0.00442560,0.20851369,-0.01507500,0.08697783,-0.00717878,0.00507352,-0.00034310,0.02510232,-0.01980008
-2.02601301,0.71971888,-0.13027787,0.03556400,-0.01523913,0.48141906,-0.10354133,0.00085712,-0.00000263,0.01253583,-0.00449451,0.22731050,-0.01720077,0.09525848,-0.00755296,0.00555874,-0.00040320,0.02421764,-0.01916314
-2.02001001,0.75061960,-0.14725053,0.03532198,-0.01600213,0.49086499,-0.11970039,0.00093885,-0.00000350,0.01256255,-0.00465792,0.24761448,-0.01965774,0.10416451,-0.00809231,0.00607711,-0.00047069,0.02353794,-0.01896715
-2.01400700,0.78596629,-0.16669404,0.03533948,-0.01707905,0.50323447,-0.13774344,0.00102308,-0.00000461,0.01270743,-0.00491203,0.26930072,-0.02245563,0.11365129,-0.00879680,0.00662520,-0.00054584,0.02306628,-0.01918899
-2.00800400,0.82547384,-0.18859553,0.03560813,-0.01845677,0.51839531,-0.15767611,0.00110942,-0.00000603,0.01296795,-0.00525208,0.29220951,-0.02560094,0.12366183,-0.00966552,0.00719875,-0.00062888,0.02280113,-0.01980219
-2.00200100,0.86877428,-0.21290373,0.03611367,-0.02011864,0.53616457,-0.17946864,0.00119758,-0.00000783,0.01333882,-0.00567229,0.31615045,-0.02909665,0.13412814,-0.01069678,0.00779286,-0.00071990,0.02273677,-0.02077711
-1.99599800,0.91543547,-0.23952564,0.03683685,-0.02204431,0.55632241,-0.20305219,0.00128732,-0.00001011,0.01381227,-0.00616591,0.34090775,-0.03294210,0.14497306,-0.01188816,0.00840203,-0.00081892,0.02286380,-0.02208115
-1.98999500,0.96498231,-0.26832441,0.03775442,-0.02420968,0.57862735,-0.22831622,0.00137853,-0.00001295,0.01437828,-0.00672520,0.36624684,-0.03713310,0.15611248,-0.01323668,0.00902040,-0.00092581,0.02316984,-0.02367882
-1.98399200,1.01691977,-0.29911859,0.03884031,-0.02658685,0.60283225,-0.25510714,0.00147121,-0.00001648,0.01502506,-0.00734144,0.39192191,-0.04166222,0.16745795,-0.01473893,0.00964185,-0.00104035,0.02364017,-0.02553188
-1.97798899,1.07075653,-0.33168302,0.04006679,-0.02914421,0.62870033,-0.28322861,0.00156552,-0.00002082,0.01573936,-0.00800501,0.41768402,-0.04651936,0.17891944,-0.01639133,0.01026021,-0.00116223,0.02425858,-0.02759951
-1.97198599,1.12602842,-0.36575176,0.04140571,-0.03184662,0.65602053,-0.31244342,0.00166179,-0.00002614,0.01650703,-0.00870545,0.44328958,-0.05169263,0.19040824,-0.01819042,0.01086951,-0.00129103,0.02500811,-0.02983851
-1.96598299,1.18232038,-0.40102292,0.04282964,-0.03465584,0.68462139,-0.34247733,0.00176052,-0.00003258,0.01731347,-0.00943161,0.46850862,-0.05716944,0.20183984,-0.02013323,0.01146407,-0.00142629,0.02587187,-0.03220365
-1.95997999,1.23928600,-0.43716563,0.04431300,-0.03753104,0.71438291,-0.37302472,0.00186234,-0.00004033,0.01814413,-0.01017182,0.49313254,-0.06293797,0.21313653,-0.02221773,0.01203876,-0.00156753,0.02683372,-0.03464813
-1.95397699,1.29666364,-0.47382892,0.04583305,-0.04042951,0.74524590,-0.40375598,0.00196806,-0.00004959,0.01898499,-0.01091412,0.51698084,-0.06898867,0.22422983,-0.02444329,0.01258910,-0.00171427,0.02787902,-0.03712421
-1.94797399,1.35428831,-0.51065231,0.04737072,-0.04330758,0.77721802,-0.43432651,0.00207857,-0.00006056,0.01982306,-0.01164652,0.53990654,-0.07531611,0.23506224,-0.02681124,0.01311142,-0.00186605,0.02899513,-0.03958393
-1.94197099,1.41209857,-0.54727773,0.04891127,-0.04612158,0.81037664,-0.46438697,0.00219486,-0.00007346,0.02064678,-0.01235729,0.56179989,-0.08192077,0.24558864,-0.02932541,0.01360288,-0.00202254,0.03017197,-0.04197999
-1.93596798,1.47013813,-0.58336233,0.05044481,-0.04882903,0.84486783,-0.49359446,0.00231793,-0.00008851,0.02144637,-0.01303532,0.58259011,-0.08881085,0.25577680,-0.03199260,0.01406160,-0.00218352,0.03140235,-0.04426675
-1.92996498,1.52855176,-0.61859160,0.05196658,-0.05138982,0.88090189,-0.52162409,0.00244876,-0.00010594,0.02221415,-0.01367045,0.60224521,-0.09600387,0.26560735,-0.03482313,0.01448654,-0.00234893,0.03268219,-0.04640125
-1.92396198,1.58757582,-0.65269221,0.05347700,-0.05376741,0.91874522,-0.54818045,0.00258823,-0.00012596,0.02294473,-0.01425380,0.62076949,-0.10352812,0.27507281,-0.03783115,0.01487757,-0.00251892,0.03401062,-0.04834431
-1.91795898,1.64752350,-0.68544378,0.05498164,-0.05593001,0.95870901,-0.57300851,0.00273705,-0.00014878,0.02363513,-0.01477813,0.63819930,-0.11142360,0.28417612,-0.04103499,0.01523527,-0.00269388,0.03538998,-0.05006159
