energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-5.06353177,3.15017613,0.00499598,0.43757593,1.43538216,1.27741329,0.02682063,1.38390978,0.09213207,0.07131119
-5.05752876,3.21061216,0.00542919,0.45222820,1.46243407,1.29445369,0.02779718,1.40165275,0.09413177,0.07274468
-5.05152576,3.27116583,0.00592649,0.46768037,1.49029960,1.31031869,0.02889275,1.41865628,0.09621748,0.07415687
-5.04552276,3.33139263,0.00648828,0.48382578,1.51864730,1.32497131,0.03009327,1.43475791,0.09836892,0.07552391
-5.03951976,3.39099182,0.00711485,0.50056815,1.54720684,1.33845575,0.03138479,1.44986710,0.10056784,0.07682552
-5.03351676,3.44978330,0.00780632,0.51781868,1.57576280,1.35088453,0.03275343,1.46395570,0.10279761,0.07804467
-5.02751376,3.50768164,0.00856254,0.53549299,1.60414770,1.36242338,0.03418534,1.47704692,0.10504291,0.07916718
-5.02151076,3.56466896,0.00938295,0.55350797,1.63223475,1.37327478,0.03566663,1.48920388,0.10728946,0.08018140
-5.01550775,3.62076845,0.01026652,0.57177900,1.65993093,1.38366104,0.03718344,1.50051811,0.10952381,0.08107786
-5.00950475,3.67601996,0.01121162,0.59021756,1.68717089,1.39380777,0.03872201,1.51109893,0.11173325,0.08184900
-5.00350175,3.73045906,0.01221590,0.60872948,1.71391182,1.40392876,0.04026877,1.52106394,0.11390580,0.08248894
-4.99749875,3.78410031,0.01327621,0.62721401,1.74012964,1.41421272,0.04181050,1.53053107,0.11603026,0.08299333
-4.99149575,3.83692527,0.01438846,0.64556365,1.76581622,1.42481266,0.04333455,1.53961245,0.11809634,0.08335931
-4.98549275,3.88887555,0.01554756,0.66366478,1.79097776,1.43583811,0.04482904,1.54840992,0.12009482,0.08358542
-4.97948974,3.93985051,0.01674738,0.68139911,1.81563381,1.44735045,0.04628306,1.55701234,0.12201770,0.08367167
-4.97348674,3.98970922,0.01798062,0.69864574,1.83981684,1.45936134,0.04768686,1.56549426,0.12385835,0.08361955
-4.96748374,4.03827584,0.01923889,0.71528375,1.86357174,1.47183409,0.04903204,1.57391576,0.12561164,0.08343206
-4.96148074,4.08534757,0.02051263,0.73119507,1.88695511,1.48468756,0.05031161,1.58232308,0.12727390,0.08311375
-4.95547774,4.13070418,0.02179121,0.74626757,1.91003389,1.49780228,0.05152009,1.59074967,0.12884294,0.08267068
-4.94947474,4.17411806,0.02306300,0.76039802,1.93288312,1.51102808,0.05265341,1.59921739,0.13031789,0.08211033
-4.94347174,4.21536381,0.02431551,0.77349487,1.95558265,1.52419288,0.05370890,1.60773740,0.13169898,0.08144147
-4.93746873,4.25422675,0.02553554,0.78548059,1.97821284,1.53711184,0.05468501,1.61631075,0.13298723,0.08067396
-4.93146573,4.29050951,0.02670941,0.79629343,2.00084920,1.54959631,0.05558119,1.62492829,0.13418410,0.07981847
-4.92546273,4.32403636,0.02782322,0.80588861,2.02355629,1.56146231,0.05639753,1.63357002,0.13529113,0.07888619
-4.91945973,4.35465506,0.02886315,0.81423871,2.04638100,1.57253766,0.05713449,1.64220386,0.13630947,0.07788842
-4.91345673,4.38223618,0.02981577,0.82133337,2.06934572,1.58266789,0.05779261,1.65078399,0.13723954,0.07683628
-4.90745373,4.40667013,0.03066835,0.82717827,2.09244163,1.59172027,0.05837217,1.65924879,0.13808065,0.07574025
-4.90145073,4.42786211,0.03140927,0.83179346,2.11562260,1.59958616,0.05887297,1.66751886,0.13883069,0.07460990
-4.89544772,4.44572563,0.03202828,0.83521108,2.13880017,1.60618143,0.05929409,1.67549507,0.13948595,0.07345353
-4.88944472,4.46017504,0.03251689,0.83747270,2.16183975,1.61144523,0.05963382,1.68305719,0.14004099,0.07227795
-4.88344172,4.47111776,0.03286861,0.83862636,2.18455861,1.61533726,0.05988953,1.69006303,0.14048863,0.07108831
-4.87743872,4.47844682,0.03307918,0.83872346,2.20672571,1.61783368,0.06005773,1.69634854,0.14082003,0.06988801
-4.87143572,4.48203438,0.03314679,0.83781567,2.22806358,1.61892234,0.06013422,1.70172886,0.14102492,0.06867868
-4.86543272,4.48172678,0.03307215,0.83595211,2.24825234,1.61859739,0.06011419,1.70600055,0.14109187,0.06746028
