energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
5.74787394,0.00007178,0.00000040,0.00000000,0.00000002,0.00002646,0.00000747,0.00003253
5.75387694,0.00005094,0.00000026,0.00000000,0.00000001,0.00001879,0.00000527,0.00002309
5.75987994,0.00003590,0.00000016,0.00000000,0.00000001,0.00001325,0.00000369,0.00001628
5.76588294,0.00002513,0.00000011,0.00000000,0.00000001,0.00000927,0.00000257,0.00001139
5.77188594,0.00001747,0.00000007,0.00000000,0.00000000,0.00000645,0.00000178,0.00000792
5.77788894,0.00001206,0.00000004,0.00000000,0.00000000,0.00000445,0.00000122,0.00000547
5.78389195,0.00000827,0.00000003,0.00000000,0.00000000,0.00000305,0.00000084,0.00000375
5.78989495,0.00000563,0.00000002,0.00000000,0.00000000,0.00000208,0.00000057,0.00000255
5.79589795,0.00000381,0.00000001,0.00000000,0.00000000,0.00000141,0.00000038,0.00000173
5.80190095,0.00000255,0.00000001,0.00000000,0.00000000,0.00000094,0.00000026,0.00000116
5.80790395,0.00000170,0.00000000,0.00000000,0.00000000,0.00000063,0.00000017,0.00000077
5.81390695,0.00000113,0.00000000,0.00000000,0.00000000,0.00000042,0.00000011,0.00000051
5.81990995,0.00000074,0.00000000,0.00000000,0.00000000,0.00000027,0.00000007,0.00000034
5.82591296,0.00000048,0.00000000,0.00000000,0.00000000,0.00000018,0.00000005,0.00000022
5.83191596,0.00000031,0.00000000,0.00000000,0.00000000,0.00000012,0.00000003,0.00000014
5.83791896,0.00000020,0.00000000,0.00000000,0.00000000,0.00000007,0.00000002,0.00000009
5.84392196,0.00000013,0.00000000,0.00000000,0.00000000,0.00000005,0.00000001,0.00000006
5.84992496,0.00000008,0.00000000,0.00000000,0.00000000,0.00000003,0.00000001,0.00000004
5.85592796,0.00000005,0.00000000,0.00000000,0.00000000,0.00000002,0.00000001,0.00000002
5.86193097,0.00000003,0.00000000,0.00000000,0.00000000,0.00000001,0.00000000,0.00000001
5.86793397,0.00000002,0.00000000,0.00000000,0.00000000,0.00000001,0.00000000,0.00000001
5.87393697,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001
5.87993997,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.88594297,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.89194597,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.89794897,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.90395198,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.90995498,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.91595798,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.92196098,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.92796398,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.93396698,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.93996998,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.94597299,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.95197599,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.95797899,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.96398199,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.96998499,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.97598799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.98199100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.98799400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.99399700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
6.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
