energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,V_p_up,V_d_up
1.77988994,1.07289384,0.00844960,0.05973159,0.07057772,0.00568171,0.00761518,0.09789164,0.23009880,0.81583254
1.78589295,1.09219009,0.00893973,0.05706533,0.07126053,0.00560007,0.00810306,0.10014446,0.23624451,0.83244149
1.79189595,1.11109264,0.00941569,0.05432054,0.07180154,0.00551210,0.00858304,0.10236696,0.24310364,0.84873797
1.79789895,1.12987061,0.00987239,0.05154298,0.07219637,0.00542038,0.00905185,0.10456039,0.25082964,0.86489692
1.80390195,1.14888762,0.01030562,0.04877704,0.07244576,0.00532762,0.00950700,0.10674095,0.25959942,0.88116503
1.80990495,1.16859060,0.01071222,0.04606451,0.07255536,0.00523661,0.00994685,0.10893917,0.26960855,0.89785264
1.81590795,1.18949576,0.01109011,0.04344359,0.07253555,0.00515012,0.01037065,0.11119885,0.28106554,0.91532343
1.82191096,1.21217202,0.01143830,0.04094809,0.07240103,0.00507081,0.01077856,0.11357566,0.29418528,0.93398229
1.82791396,1.23722242,0.01175691,0.03860696,0.07217035,0.00500121,0.01117163,0.11613531,0.30918172,0.95426149
1.83391696,1.26526383,0.01204707,0.03644398,0.07186522,0.00494357,0.01155172,0.11895143,0.32626018,0.97660567
1.83991996,1.29690561,0.01231074,0.03447774,0.07150976,0.00489989,0.01192137,0.12210316,0.34560926,1.00145599
1.84592296,1.33272782,0.01255058,0.03272185,0.07112968,0.00487182,0.01228368,0.12567260,0.36739287,1.02923387
1.85192596,1.37325967,0.01276971,0.03118526,0.07075121,0.00486067,0.01264211,0.12974206,0.39174239,1.06032502
1.85792896,1.41895894,0.01297148,0.02987280,0.07040021,0.00486735,0.01300033,0.13439133,0.41874944,1.09506402
1.86393197,1.47019297,0.01315921,0.02878576,0.07010106,0.00489239,0.01336200,0.13969492,0.44845946,1.13372024
1.86993497,1.52722206,0.01333595,0.02792263,0.06987571,0.00493591,0.01373064,0.14571951,0.48086629,1.17648546
1.87593797,1.59018573,0.01350425,0.02727968,0.06974279,0.00499767,0.01410945,0.15252142,0.51590806,1.22346356
1.88194097,1.65909236,0.01366599,0.02685169,0.06971682,0.00507706,0.01450123,0.16014454,0.55346454,1.27466287
1.88794397,1.73381265,0.01382221,0.02663249,0.06980762,0.00517315,0.01490830,0.16861834,0.59335600,1.32999124
1.89394697,1.81407707,0.01397304,0.02661547,0.07001991,0.00528467,0.01533252,0.17795640,0.63534371,1.38925404
1.89994997,1.89947729,0.01411767,0.02679393,0.07035315,0.00541012,0.01577528,0.18815523,0.67913197,1.45215520
1.90595298,1.98947165,0.01425441,0.02716132,0.07080163,0.00554778,0.01623762,0.19919352,0.72437173,1.51830112
1.91195598,2.08339421,0.01438077,0.02771129,0.07135479,0.00569572,0.01672037,0.21103177,0.77066547,1.58720729
1.91795898,2.18046722,0.01449364,0.02843767,0.07199777,0.00585190,0.01722430,0.22361239,0.81757342,1.65830732
1.92396198,2.27981623,0.01458948,0.02933422,0.07271214,0.00601416,0.01775031,0.23686011,0.86462059,1.73096403
1.92996498,2.38048756,0.01466458,0.03039440,0.07347685,0.00618030,0.01829960,0.25068285,0.91130467,1.80448209
