energy_ev,total_up,Al_p_up,Al_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
0.86743372,4.89703851,0.79924196,0.00000000,2.99002318,4.12487234,0.03645556,0.78188654
0.87343672,4.63494577,0.74208355,0.00000000,2.80832164,3.92479933,0.03303669,0.74061013
0.87943972,4.37330349,0.68663461,0.00000000,2.62947760,3.72265472,0.02981168,0.69930566
0.88544272,4.11388164,0.63324264,0.00000000,2.45463271,3.51988003,0.02679423,0.65825739
0.89144572,3.85819560,0.58217282,0.00000000,2.28470470,3.31775858,0.02399224,0.61770935
0.89744872,3.60752970,0.53361479,0.00000000,2.12040827,3.11743110,0.02140842,0.57786868
0.90345173,3.36296674,0.48769099,0.00000000,1.96228028,2.91991545,0.01904100,0.53890996
0.90945473,3.12542076,0.44446623,0.00000000,1.81070730,2.72612853,0.01688451,0.50098006
0.91545773,2.89567022,0.40395745,0.00000000,1.66595353,2.53690805,0.01493052,0.46420307
0.92146073,2.67438942,0.36614355,0.00000000,1.52818736,2.35303272,0.01316844,0.42868498
0.92746373,2.46217636,0.33097454,0.00000000,1.39750551,2.17523938,0.01158613,0.39451789
0.93346673,2.25957575,0.29837986,0.00000000,1.27395354,2.00423629,0.01017056,0.36178339
0.93946973,2.06709674,0.26827557,0.00000000,1.15754255,1.84071222,0.00890836,0.33055525
0.94547274,1.88522513,0.24057025,0.00000000,1.04826178,1.68534127,0.00778619,0.30090130
0.95147574,1.71443045,0.21516975,0.00000000,0.94608730,1.53878397,0.00679116,0.27288451
0.95747874,1.55516880,0.19198070,0.00000000,0.85098749,1.40168509,0.00591102,0.24656367
0.96348174,1.40788225,0.17091295,0.00000000,0.76292562,1.27466912,0.00513439,0.22199349
0.96948474,1.27299595,0.15188116,0.00000000,0.68186058,1.15833430,0.00445085,0.19922467
0.97548774,1.15091406,0.13480567,0.00000000,0.60774642,1.05324590,0.00385099,0.17830384
0.98149075,1.04201546,0.11961284,0.00000000,0.54053130,0.95992965,0.00332644,0.15927378
0.98749375,0.94664995,0.10623511,0.00000000,0.48015675,0.87886578,0.00286984,0.14217387
0.99349675,0.86513572,0.09461078,0.00000000,0.42655742,0.81048416,0.00247480,0.12704106
0.99949975,0.79775821,0.08468387,0.00000000,0.37966189,0.75516068,0.00213590,0.11391116
1.00550275,0.74477053,0.07640388,0.00000000,0.33939453,0.71321493,0.00184857,0.10282070
1.01150575,0.70639549,0.06972578,0.00000000,0.30567856,0.68490902,0.00160911,0.09380912
1.01750875,0.68282862,0.06460994,0.00000000,0.27844003,0.67044736,0.00141463,0.08692123
1.02351176,0.67424206,0.06102235,0.00000000,0.25761252,0.66997711,0.00126301,0.08220986
1.02951476,0.68078872,0.05893480,0.00000000,0.24314231,0.68358895,0.00115290,0.07973842
1.03551776,0.70260614,0.05832513,0.00000000,0.23499342,0.71131799,0.00108371,0.07958324
1.04152076,0.73981967,0.05917749,0.00000000,0.23315232,0.75314452,0.00105560,0.08183542
1.04752376,0.79254445,0.06148246,0.00000000,0.23763177,0.80899454,0.00106945,0.08660213
1.05352676,0.86088579,0.06523709,0.00000000,0.24847334,0.87873994,0.00112690,0.09400687
1.05952976,0.94493770,0.07044471,0.00000000,0.26574850,0.96219839,0.00123030,0.10418888
1.06553277,1.04477936,0.07711448,0.00000000,0.28955772,1.05913298,0.00138271,0.11730124
1.07153577,1.16046932,0.08526066,0.00000000,0.32002767,1.16925168,0.00158784,0.13350771
1.07753877,1.29203744,0.09490149,0.00000000,0.35730613,1.29220662,0.00185005,0.15297824
1.08354177,1.43947451,0.10605777,0.00000000,0.40155488,1.42759341,0.00217422,0.17588313
1.08954477,1.60271976,0.11875100,0.00000000,0.45294048,1.57495028,0.00256569,0.20238589
1.09554777,1.78164622,0.13300119,0.00000000,0.51162320,1.73375718,0.00303016,0.23263506
1.10155078,1.97604438,0.14882424,0.00000000,0.57774448,1.90343452,0.00357355,0.26675499
1.10755378,2.18560434,0.16622914,0.00000000,0.65141319,2.08334164,0.00420184,0.30483616
1.11355678,2.40989700,0.18521473,0.00000000,0.73269137,2.27277460,0.00492094,0.34692514
1.11955978,2.64835482,0.20576647,0.00000000,0.82157987,2.47096339,0.00573649,0.39301478
1.12556278,2.90025293,0.22785303,0.00000000,0.91800466,2.67706837,0.00665371,0.44303510
1.13156578,3.16469142,0.25142307,0.00000000,1.02180448,2.89017604,0.00767723,0.49684523
1.13756878,3.44057979,0.27640210,0.00000000,1.13272043,3.10929431,0.00881091,0.55422714
1.14357179,3.72662474,0.30268992,0.00000000,1.25038823,3.33334759,0.01005771,0.61488141
1.14957479,4.02132228,0.33015851,0.00000000,1.37433378,3.56117232,0.01141954,0.67842561
1.15557779,4.32295541,0.35865067,0.00000000,1.50397229,3.79151343,0.01289723,0.74439558
1.16158079,4.62959831,0.38797967,0.00000000,1.63861152,4.02302261,0.01449039,0.81224983
1.16758379,4.93912792,0.41792979,0.00000000,1.77745903,4.25425921,0.01619741,0.88137713
1.17358679,5.24924347,0.44825814,0.00000000,1.91963354,4.48369449,0.01801551,0.95110728
1.17958979,5.55749416,0.47869755,0.00000000,2.06417990,4.70972005,0.01994070,1.02072473
1.18559280,5.86131489,0.50896075,0.00000000,2.21008713,4.93066092,0.02196792,1.08948475
1.19159580,6.15806924,0.53874555,0.00000000,2.35630897,5.14479364,0.02409111,1.15663142
1.19759880,6.44509872,0.56774117,0.00000000,2.50178564,5.35036934,0.02630330,1.22141700
1.20360180,6.71977677,0.59563516,0.00000000,2.64546608,5.54564153,0.02859675,1.28312161
1.20960480,6.97956536,0.62212110,0.00000000,2.78632934,5.72889778,0.03096304,1.34107257
1.21560780,7.22207221,0.64690635,0.00000000,2.92340410,5.89849449,0.03339315,1.39466243
1.22161081,7.44510605,0.66971990,0.00000000,3.05578524,6.05289320,0.03587755,1.44336490
1.22761381,7.64672762,0.69031973,0.00000000,3.18264669,6.19069707,0.03840620,1.48674792
1.23361681,7.82529396,0.70849952,0.00000000,3.30324982,6.31068589,0.04096857,1.52448335
1.23961981,7.97949415,0.72409428,0.00000000,3.41694720,6.41184784,0.04355355,1.55635274
1.24562281,8.10837471,0.73698475,0.00000000,3.52318151,6.49340652,0.04614936,1.58224904
1.25162581,8.21135363,0.74710029,0.00000000,3.62148013,6.55484189,0.04874345,1.60217423
1.25762881,8.28822264,0.75442017,0.00000000,3.71144585,6.59590406,0.05132231,1.61623301
1.26363182,8.33913752,0.75897322,0.00000000,3.79274477,6.61661905,0.05387132,1.62462312
1.26963482,8.36459757,0.76083578,0.00000000,3.86509235,6.61728655,0.05637462,1.62762265
1.27563782,8.36541517,0.76012823,0.00000000,3.92823898,6.59846938,0.05881493,1.62557526
1.28164082,8.34267728,0.75701000,0.00000000,3.98195629,6.56097546,0.06117349,1.61887396
1.28764382,8.29770096,0.75167360,0.00000000,4.02602545,6.50583299,0.06343007,1.60794436
1.29364682,8.23198493,0.74433768,0.00000000,4.06022854,6.43425992,0.06556300,1.59322822
1.29964982,8.14715973,0.73523955,0.00000000,4.08434376,6.34762916,0.06754937,1.57516798
1.30565283,8.04493822,0.72462747,0.00000000,4.09814516,6.24743073,0.06936528,1.55419290
1.31165583,7.92706872,0.71275292,0.00000000,4.10140695,6.13523262,0.07098626,1.53070750
1.31765883,7.79529213,0.69986323,0.00000000,4.09391226,6.01264139,0.07238775,1.50508234
1.32366183,7.65130435,0.68619478,0.00000000,4.07546588,5.88126417,0.07354569,1.47764755
1.32966483,7.49672486,0.67196696,0.00000000,4.04591010,5.74267290,0.07443722,1.44868905
