energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-5.54377189,3.26420290,0.00438324,0.47705913,0.53990776,0.30038681,0.76899599,0.90810979,0.04741342,1.14872881
-5.53776888,3.16614695,0.00417477,0.49183953,0.50093300,0.28287808,0.79871508,0.89572422,0.04391916,1.07955128
-5.53176588,3.08436853,0.00396565,0.51142629,0.46325094,0.26543848,0.83721515,0.89009952,0.04049801,1.01260872
-5.52576288,3.02096581,0.00375893,0.53598564,0.42728750,0.24831631,0.88477373,0.89182360,0.03716980,0.94875146
-5.51975988,2.97776317,0.00355753,0.56560628,0.39343419,0.23174831,0.94153731,0.90138038,0.03395470,0.88878494
-5.51375688,2.95626648,0.00336416,0.60029214,0.36204411,0.21595451,1.00750711,0.91914045,0.03087240,0.83345325
-5.50775388,2.95762801,0.00318128,0.63995715,0.33342912,0.20113385,1.08252758,0.94535447,0.02794128,0.78342538
-5.50175088,2.98262190,0.00301097,0.68442216,0.30785831,0.18746062,1.16627848,0.98014973,0.02517782,0.73928458
-5.49574787,3.03163067,0.00285495,0.73341429,0.28555763,0.17508199,1.25827087,1.02352989,0.02259611,0.70152068
-5.48974487,3.10464285,0.00271452,0.78656885,0.26671035,0.16411634,1.35784763,1.07537759,0.02020746,0.67052566
-5.48374187,3.20126127,0.00259057,0.84343393,0.25145843,0.15465257,1.46418865,1.13546007,0.01802026,0.64659185
-5.47773887,3.32072147,0.00248361,0.90347753,0.23990441,0.14675021,1.57632093,1.20343728,0.01603987,0.62991279
-5.47173587,3.46191889,0.00239375,0.96609713,0.23211375,0.14044028,1.69313358,1.27887224,0.01426867,0.62058625
-5.46573287,3.62344377,0.00232082,1.03063137,0.22811729,0.13572671,1.81339735,1.36124321,0.01270624,0.61861894
-5.45972986,3.80362183,0.00226436,1.09637354,0.22791388,0.13258829,1.93578842,1.44995713,0.01134956,0.62393261
-5.45372686,4.00055937,0.00222375,1.16258645,0.23147277,0.13098096,2.05891576,1.54436385,0.01019326,0.63637104
-5.44772386,4.21219085,0.00219825,1.22851810,0.23873584,0.13084035,2.18135136,1.64377062,0.00923001,0.65570749
-5.44172086,4.43632730,0.00218713,1.29341770,0.24961962,0.13208438,2.30166232,1.74745626,0.00845078,0.68165251
