energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-4.78739370,6.18682921,0.44769816,0.50174344,0.00318767,0.58588821,3.73843446,2.00167635,0.04788835,3.38712076
-4.78139070,6.11110740,0.45446773,0.50956660,0.00309266,0.59838226,3.67190425,1.95433883,0.04756904,3.32815109
-4.77538769,6.04801311,0.46235477,0.51851391,0.00301672,0.61308884,3.61052881,1.91252286,0.04734455,3.27440067
-4.76938469,5.99782581,0.47125184,0.52848184,0.00296020,0.63002775,3.55475231,1.87636907,0.04722988,3.22603234
-4.76338169,5.96079763,0.48103685,0.53935479,0.00292353,0.64919567,3.50497781,1.84602206,0.04723981,3.18320444
-4.75737869,5.93714580,0.49157300,0.55100763,0.00290716,0.67056470,3.46155923,1.82162702,0.04738831,3.14606728
-4.75137569,5.92703835,0.50270886,0.56330850,0.00291157,0.69408116,3.42479109,1.80332284,0.04768796,3.11475581
-4.74537269,5.93057455,0.51427874,0.57612175,0.00293723,0.71966440,3.39489666,1.79123228,0.04814934,3.08937914
-4.73936968,5.94776145,0.52610347,0.58931120,0.00298457,0.74720586,3.37201519,1.78544999,0.04878033,3.07000794
-4.73336668,5.97848845,0.53799176,0.60274333,0.00305396,0.77656842,3.35618930,1.78602928,0.04958557,3.05666056
-4.72736368,6.02250173,0.54974209,0.61629053,0.00314564,0.80758616,3.34735323,1.79296844,0.05056587,3.04928907
-4.72136068,6.07938042,0.56114529,0.62983420,0.00325971,0.84006452,3.34532319,1.80619774,0.05171773,3.04776623
-4.71535768,6.14851613,0.57198772,0.64326748,0.00339608,0.87378088,3.34979044,1.82556761,0.05303305,3.05187445
-4.70935468,6.22909725,0.58205498,0.65649752,0.00355443,0.90848572,3.36031792,1.85083911,0.05449888,3.06129751
-4.70335168,6.32009914,0.59113614,0.66944707,0.00373416,0.94390414,3.37634095,1.88167688,0.05609735,3.07561567
-4.69734867,6.42028086,0.59902817,0.68205529,0.00393439,0.97973796,3.39717214,1.91764520,0.05780586,3.09430467
-4.69134567,6.52818867,0.60554061,0.69427758,0.00415392,1.01566813,3.42201071,1.95820733,0.05959731,3.11673859
-4.68534267,6.64216639,0.61050011,0.70608442,0.00439121,1.05135765,3.44995578,2.00272814,0.06144064,3.14219661
-4.67933967,6.76037207,0.61375471,0.71745914,0.00464435,1.08645471,3.48002319,2.05048001,0.06330137,3.16987339
-4.67333667,6.88080051,0.61517769,0.72839477,0.00491109,1.12059634,3.51116527,2.10065162,0.06514249,3.19889241
-4.66733367,7.00131072,0.61467072,0.73888994,0.00518880,1.15341217,3.54229250,2.15235953,0.06692525,3.22832176
-4.66133067,7.11965745,0.61216630,0.74894420,0.00547454,1.18452865,3.57229643,2.20466198,0.06861022,3.25719178
-4.65532766,7.23352604,0.60762927,0.75855283,0.00576502,1.21357346,3.60007273,2.25657449,0.07015831,3.28451361
