energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up
-0.02701351,2.44276070,1.26071712,0.39624632,0.07575279,0.91046234,0.14358774,0.01992469,0.96552040
-0.02101051,2.44149668,1.24666036,0.39219749,0.07375004,0.90635135,0.13771633,0.01991929,0.98680890
-0.01500750,2.43951631,1.23163908,0.38786021,0.07160705,0.90178200,0.13165648,0.01994723,1.00869712
-0.00900450,2.43766313,1.21628210,0.38348983,0.06940759,0.89724604,0.12553537,0.02002176,1.03088920
-0.00300150,2.43677454,1.20120287,0.37934100,0.06723661,0.89323790,0.11947611,0.02015554,1.05308340
0.00300150,2.43765540,1.18698241,0.37565952,0.06517745,0.89023780,0.11359452,0.02036006,1.07498240
0.00900450,2.44105040,1.17415262,0.37267417,0.06330919,0.88869460,0.10799625,0.02064511,1.09630223
0.01500750,2.44761578,1.16318053,0.37058883,0.06170407,0.88900845,0.10277426,0.02101826,1.11677923
0.02101051,2.45789118,1.15445376,0.36957501,0.06042514,0.89151423,0.09800682,0.02148442,1.13617473
0.02701351,2.47227260,1.14826748,0.36976517,0.05952415,0.89646604,0.09375596,0.02204541,1.15427728
0.03301651,2.49098752,1.14481352,0.37124703,0.05903988,0.90402367,0.09006646,0.02269969,1.17090245
0.03901951,2.51407346,1.14417184,0.37405904,0.05899681,0.91424146,0.08696536,0.02344217,1.18589031
0.04502251,2.54136126,1.14630496,0.37818737,0.05940423,0.92706044,0.08446207,0.02426412,1.19910110
0.05102551,2.57246437,1.15105569,0.38356447,0.06025595,0.94230409,0.08254888,0.02515325,1.21040954
0.05702851,2.60677524,1.15814848,0.39006945,0.06153030,0.95967821,0.08120208,0.02609390,1.21969845
0.06303152,2.64346985,1.16719481,0.39753028,0.06319087,0.97877536,0.08038347,0.02706744,1.22685236
0.06903452,2.68152106,1.17770250,0.40572794,0.06518750,0.99908381,0.08004231,0.02805272,1.23175183
0.07503752,2.71972094,1.18908920,0.41440237,0.06745784,1.02000094,0.08011760,0.02902670,1.23426918
0.08104052,2.75671202,1.20069959,0.42326010,0.06992934,1.04085095,0.08054070,0.02996519,1.23426609
0.08704352,2.79102668,1.21182603,0.43198344,0.07252145,1.06090608,0.08123808,0.03084365,1.23159352
0.09304652,2.82113361,1.22173198,0.44024075,0.07514820,1.07941086,0.08213425,0.03163803,1.22609421
0.09904952,2.84548964,1.22967742,0.44769764,0.07772094,1.09560820,0.08315471,0.03232568,1.21760755
0.10505253,2.86259486,1.23494520,0.45402841,0.08015111,1.10876651,0.08422881,0.03288619,1.20597686
0.11105553,2.87104866,1.23686741,0.45892758,0.08235309,1.11820646,0.08529241,0.03330213,1.19105850
0.11705853,2.86960427,1.23485045,0.46212070,0.08424687,1.12332631,0.08629029,0.03355983,1.17273217
0.12306153,2.85721903,1.22839780,0.46337426,0.08576059,1.12362464,0.08717819,0.03364987,1.15091190
0.12906453,2.83309801,1.21712934,0.46250404,0.08683264,1.11871943,0.08792438,0.03356751,1.12555666
0.13506753,2.79672887,1.20079640,0.45938168,0.08741356,1.10836257,0.08851063,0.03331291,1.09668011
0.14107054,2.74790606,1.17929172,0.45393913,0.08746735,1.09244926,0.08893275,0.03289117,1.06435837
0.14707354,2.68674314,1.15265383,0.44617075,0.08697236,1.07102172,0.08920035,0.03231217,1.02873559
0.15307654,2.61367267,1.12106581,0.43613309,0.08592162,1.04426735,0.08933609,0.03159024,0.99002651
0.15907954,2.52943357,1.08484830,0.42394227,0.08432270,1.01251118,0.08937435,0.03074364,0.94851580
0.16508254,2.43504667,1.04444735,0.40976923,0.08219697,0.97620337,0.08935925,0.02979391,0.90455426
0.17108554,2.33177973,1.00041750,0.39383295,0.07957850,0.93590226,0.08934238,0.02876511,0.85855177
0.17708854,2.22110365,0.95340128,0.37639225,0.07651249,0.89225386,0.08938004,0.02768301,0.81096745
0.18309155,2.10464219,0.90410578,0.35773625,0.07305342,0.84596894,0.08953029,0.02657415,0.76229750
0.18909455,1.98411748,0.85327781,0.33817427,0.06926292,0.79779867,0.08984994,0.02546505,0.71306142
0.19509755,1.86129411,0.80167849,0.31802537,0.06520756,0.74851002,0.09039153,0.02438130,0.66378716
0.20110055,1.73792417,0.75005864,0.29760821,0.06095655,0.69886197,0.09120054,0.02334686,0.61499611
0.20710355,1.61569572,0.69913591,0.27723146,0.05657956,0.64958358,0.09231288,0.02238337,0.56718867
