energy_ev,total_up,Pb_p_up,Pb_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
4.21710855,1.55982261,0.42987128,0.00005005,1.02486571,0.09330393,0.03638250,0.46444575
4.22311156,1.63595924,0.47001501,0.00005403,1.07245564,0.09987147,0.03792970,0.48071190
4.22911456,1.70625600,0.51108595,0.00005797,1.11624439,0.10627704,0.03931158,0.49443612
4.23511756,1.76974533,0.55268190,0.00006181,1.15568321,0.11243169,0.04050710,0.50538719
4.24112056,1.82554437,0.59435534,0.00006549,1.19028082,0.11824547,0.04149783,0.51338213
4.24712356,1.87287550,0.63562009,0.00006897,1.21961312,0.12362953,0.04226844,0.51829138
4.25312656,1.91108446,0.67595979,0.00007217,1.24333113,0.12849845,0.04280708,0.52004245
4.25912956,1.93965570,0.71483800,0.00007504,1.26116723,0.13277250,0.04310563,0.51862196
4.26513257,1.95822450,0.75170974,0.00007753,1.27293939,0.13637997,0.04315993,0.51407589
4.27113557,1.96658564,0.78603407,0.00007959,1.27855373,0.13925925,0.04296986,0.50650824
4.27713857,1.96469824,0.81728738,0.00008118,1.27800514,0.14136081,0.04253935,0.49607803
4.28314157,1.95268703,0.84497706,0.00008227,1.27137641,0.14264883,0.04187624,0.48299490
4.28914457,1.93083981,0.86865487,0.00008283,1.25883577,0.14310247,0.04099211,0.46751353
4.29514757,1.89960145,0.88792969,0.00008286,1.24063323,0.14271676,0.03990199,0.44992702
4.30115058,1.85956462,0.90247916,0.00008234,1.21709573,0.14150300,0.03862400,0.43055970
4.30715358,1.81145759,0.91205971,0.00008130,1.18862141,0.13948874,0.03717891,0.40975939
4.31315658,1.75612951,0.91651460,0.00007974,1.15567312,0.13671726,0.03558967,0.38788970
4.31915958,1.69453362,0.91577965,0.00007770,1.11877127,0.13324661,0.03388094,0.36532238
