energy_ev,total_up,Os_p_up,Os_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
4.62531266,2.21770052,1.85180385,0.50550814,0.57698786,0.15628960,0.22547524,0.43297356
4.63131566,2.13575971,1.79328523,0.48248614,0.54818644,0.15166525,0.21890902,0.41869263
4.63731866,2.04707015,1.72883963,0.45792821,0.51754153,0.14654256,0.21173958,0.40270002
4.64332166,1.95323418,1.65964002,0.43233427,0.48561699,0.14100393,0.20410787,0.38528341
4.64932466,1.85591260,1.58693323,0.40621610,0.45298320,0.13513636,0.19616299,0.36674303
4.65532766,1.75679572,1.51202066,0.38008708,0.42020413,0.12903012,0.18806048,0.34738500
4.66133067,1.65757676,1.43623969,0.35445293,0.38782574,0.12277758,0.17996073,0.32751519
4.66733367,1.55992810,1.36094614,0.32980374,0.35636599,0.11647205,0.17202739,0.30743374
4.67333667,1.46548038,1.28749785,0.30660740,0.32630675,0.11020668,0.16442578,0.28743048
4.67933967,1.37580470,1.21723930,0.28530438,0.29808770,0.10407343,0.15732121,0.26778103
4.68534267,1.29239735,1.15148741,0.26630388,0.27210212,0.09816205,0.15087714,0.24874391
4.69134567,1.21666686,1.09151792,0.24998109,0.24869465,0.09255917,0.14525321,0.23055832
4.69734867,1.14992266,1.03855243,0.23667538,0.22816054,0.08734725,0.14060293,0.21344274
4.70335168,1.09336474,0.99374542,0.22668910,0.21074626,0.08260366,0.13707112,0.19759402
4.70935468,1.04807379,0.95817122,0.22028667,0.19665109,0.07839967,0.13479109,0.18318703
4.71535768,1.01500104,0.93281048,0.21769380,0.18602929,0.07479946,0.13388140,0.17037458
4.72136068,0.99495759,0.91853595,0.21909633,0.17899254,0.07185903,0.13444253,0.15928754
4.72736368,0.98860282,0.91609766,0.22463880,0.17561228,0.06962523,0.13655323,0.15003505
4.73336668,0.99643193,0.92610738,0.23442239,0.17592169,0.06813473,0.14026697,0.14270464
4.73936968,1.01876267,0.94902276,0.24850223,0.17991718,0.06741305,0.14560834,0.13736224
4.74537269,1.05572181,0.98513144,0.26688422,0.18755913,0.06747371,0.15256984,0.13405205
4.75137569,1.10723190,1.03453582,0.28952145,0.19877202,0.06831750,0.16110903,0.13279617
4.75737869,1.17299919,1.09713895,0.31631042,0.21344390,0.06993191,0.17114643,0.13359404
4.76338169,1.25250359,1.17263266,0.34708739,0.23142543,0.07229082,0.18256423,0.13642178
4.76938469,1.34499193,1.26048846,0.38162526,0.25252866,0.07535447,0.19520602,0.14123139
4.77538769,1.44947527,1.35995227,0.41963122,0.27652584,0.07906970,0.20887779,0.14795008
4.78139070,1.56473155,1.47004374,0.46074576,0.30314862,0.08337058,0.22335021,0.15647962
4.78739370,1.68931418,1.58956078,0.50454322,0.33208793,0.08817933,0.23836222,0.16669605
4.79339670,1.82156741,1.71709008,0.55053426,0.36299485,0.09340770,0.25362608,0.17844976
4.79939970,1.95964863,1.85102362,0.59817053,0.39548279,0.09895856,0.26883364,0.19156610
4.80540270,2.10155778,1.98958164,0.64685156,0.42913118,0.10472793,0.28366377,0.20584662
4.81140570,2.24517338,2.13084153,0.69593397,0.46349083,0.11060716,0.29779068,0.22107111
4.81740870,2.38829464,2.27277254,0.74474295,0.49809107,0.11648540,0.31089293,0.23700037
4.82341171,2.52868837,2.41327519,0.79258555,0.53244848,0.12225210,0.32266270,0.25337988
4.82941471,2.66413945,2.55022471,0.83876573,0.56607727,0.12779961,0.33281499,0.26994423
4.83541771,2.79250322,2.68151703,0.88260052,0.59850086,0.13302566,0.34109634,0.28642237
4.84142071,2.91175782,2.80511602,0.92343672,0.62926447,0.13783575,0.34729281,0.30254339
4.84742371,3.02005466,2.91910046,0.96066774,0.65794810,0.14214521,0.35123660,0.31804292
4.85342671,3.11576508,3.02170908,0.99374961,0.68417961,0.14588103,0.35281130,0.33266966
4.85942971,3.19752130,3.11138218,1.02221589,0.70764711,0.14898325,0.35195531,0.34619204
4.86543272,3.26425013,3.18679835,1.04569053,0.72811030,0.15140589,0.34866335,0.35840460
4.87143572,3.31519803,3.24690501,1.06389834,0.74541007,0.15311752,0.34298607,0.36913388
4.87743872,3.34994646,3.29094160,1.07667253,0.75947589,0.15410127,0.33502754,0.37824344
4.88344172,3.36841713,3.31845472,1.08395891,0.77033052,0.15435446,0.32494113,0.38563793
4.88944472,3.37086666,3.32930459,1.08581674,0.77809174,0.15388780,0.31292352,0.39126575
4.89544772,3.35787121,3.32366276,1.08241585,0.78297077,0.15272421,0.29920762,0.39512034
4.90145073,3.33030152,3.30200105,1.07403042,0.78526737,0.15089745,0.28405431,0.39723974
4.90745373,3.28928958,3.26507228,1.06102934,0.78536167,0.14845041,0.26774367,0.39770463
4.91345673,3.23618810,3.21388352,1.04386377,0.78370279,0.14543341,0.25056594,0.39663460
4.91945973,3.17252453,3.14966277,1.02305221,0.78079478,0.14190233,0.23281270,0.39418303
4.92546273,3.09995131,3.07382045,0.99916363,0.77718019,0.13791688,0.21476850,0.39053046
4.93146573,3.02019430,2.98790690,0.97279942,0.77342199,0.13353887,0.19670337,0.38587706
4.93746873,2.93500108,2.89356753,0.94457479,0.77008433,0.12883068,0.17886640,0.38043419
4.94347174,2.84609116,2.79249713,0.91510020,0.76771314,0.12385388,0.16148055,0.37441563
4.94947474,2.75510949,2.68639479,0.88496369,0.76681701,0.11866810,0.14473890,0.36802877
4.95547774,2.66358489,2.57692099,0.85471464,0.76784931,0.11333007,0.12880214,0.36146626
4.96148074,2.57289457,2.46565816,0.82484946,0.77119223,0.10789292,0.11379760,0.35489843
4.96748374,2.48423556,2.35407587,0.79579981,0.77714318,0.10240569,0.09981938,0.34846682
