energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-5.13556778,3.01753409,0.02976289,0.18942274,0.52836546,1.30789315,1.33472659,0.03173630,1.29815340
-5.12956478,3.00267423,0.02879504,0.19311055,0.51631965,1.28087068,1.34819363,0.03098162,1.27528398
-5.12356178,2.97775142,0.02767203,0.19694927,0.50232587,1.25219064,1.35770265,0.03005984,1.24699544
-5.11755878,2.94397123,0.02641538,0.20097417,0.48668051,1.22235818,1.36368446,0.02898860,1.21391567
-5.11155578,2.90274282,0.02504841,0.20521336,0.46970519,1.19189401,1.36667367,0.02778790,1.17677319
-5.10555278,2.85563816,0.02359557,0.20968503,0.45173762,1.16131894,1.36729353,0.02647952,1.13637749
-5.09954977,2.80434687,0.02208170,0.21439513,0.43312239,1.13113839,1.36623828,0.02508637,1.09359727
-5.09354677,2.75062861,0.02053143,0.21933554,0.41420209,1.10182776,1.36425349,0.02363191,1.04933726
-5.08754377,2.69626464,0.01896858,0.22448297,0.39530903,1.07381930,1.36211521,0.02213951,1.00451460
-5.08154077,2.64301074,0.01741561,0.22979857,0.37675785,1.04749093,1.36060873,0.02063190,0.96003552
-5.07553777,2.59255265,0.01589325,0.23522839,0.35883922,1.02315763,1.36050765,0.01913066,0.91677310
-5.06953477,2.54646575,0.01442012,0.24070472,0.34181475,1.00106554,1.36255394,0.01765577,0.87554675
-5.06353177,2.50617999,0.01301251,0.24614818,0.32591322,0.98138902,1.36743952,0.01622523,0.83710394
-5.05752876,2.47295074,0.01168427,0.25147058,0.31132804,0.96423058,1.37579001,0.01485485,0.80210471
-5.05152576,2.44783619,0.01044680,0.25657831,0.29821595,0.94962345,1.38815065,0.01355797,0.77110905
-5.04552276,2.43168131,0.00930906,0.26137618,0.28669682,0.93753655,1.40497506,0.01234545,0.74456752
-5.03951976,2.42510830,0.00827775,0.26577136,0.27685444,0.92788135,1.42661652,0.01122558,0.72281500
-5.03351676,2.42851317,0.00735745,0.26967747,0.26873800,0.92052010,1.45332212,0.01020417,0.70606765
-5.02751376,2.44206791,0.00655090,0.27301825,0.26236433,0.91527492,1.48522955,0.00928466,0.69442283
-5.02151076,2.46572773,0.00585925,0.27573094,0.25772040,0.91193721,1.52236650,0.00846826,0.68786182
-5.01550775,2.49924262,0.00528228,0.27776899,0.25476618,0.91027682,1.56465244,0.00775421,0.68625521
-5.00950475,2.54217262,0.00481873,0.27910404,0.25343769,0.91005066,1.61190282,0.00713999,0.68937056
-5.00350175,2.59390626,0.00446648,0.27972708,0.25364993,0.91101040,1.66383529,0.00662157,0.69688217
-4.99749875,2.65368155,0.00422282,0.27964873,0.25529989,0.91290908,1.72007787,0.00619370,0.70838261
-4.99149575,2.72060909,0.00408456,0.27889878,0.25826938,0.91550646,1.78017898,0.00585021,0.72339578
-4.98549275,2.79369681,0.00404824,0.27752484,0.26242783,0.91857329,1.84361891,0.00558422,0.74139118
-4.97948974,2.87187594,0.00411016,0.27559049,0.26763487,0.92189454,1.90982268,0.00538845,0.76179908
-4.97348674,2.95402783,0.00426646,0.27317284,0.27374287,0.92527170,1.97817385,0.00525545,0.78402628
-4.96748374,3.03901102,0.00451311,0.27035983,0.28059940,0.92852455,2.04802909,0.00517782,0.80747207
-4.96148074,3.12568822,0.00484590,0.26724740,0.28804959,0.93149243,2.11873292,0.00514841,0.83154412
-4.95547774,3.21295241,0.00526036,0.26393667,0.29593840,0.93403536,2.18963241,0.00516052,0.85567378
-4.94947474,3.29975155,0.00575173,0.26053135,0.30411292,0.93603515,2.26009112,0.00520804,0.87933040
-4.94347174,3.38511118,0.00631482,0.25713548,0.31242448,0.93739649,2.32950193,0.00528559,0.90203441
-4.93746873,3.46815407,0.00694396,0.25385148,0.32073070,0.93804822,2.39729828,0.00538860,0.92336858
-4.93146573,3.54811646,0.00763295,0.25077877,0.32889735,0.93794459,2.46296329,0.00551340,0.94298718
-4.92546273,3.62436005,0.00837497,0.24801276,0.33680003,0.93706654,2.52603654,0.00565728,0.96062277
-4.91945973,3.69637944,0.00916260,0.24564428,0.34432554,0.93542272,2.58611817,0.00581845,0.97609038
-4.91345673,3.76380476,0.00998782,0.24375929,0.35137295,0.93305015,2.64287033,0.00599607,0.98928892
-4.90745373,3.82639921,0.01084206,0.24243889,0.35785430,0.93001431,2.69601597,0.00619020,1.00019982
-4.90145073,3.88405198,0.01171632,0.24175939,0.36369494,0.92640849,2.74533515,0.00640173,1.00888297
-4.89544772,3.93676668,0.01260129,0.24179237,0.36883346,0.92235222,2.79065947,0.00663228,1.01547024
-4.88944472,3.98464616,0.01348756,0.24260464,0.37322125,0.91798874,2.83186476,0.00688406,1.02015672
-4.88344172,4.02787428,0.01436577,0.24425796,0.37682170,0.91348142,2.86886293,0.00715979,1.02319026
-4.87743872,4.06669585,0.01522691,0.24680844,0.37960922,0.90900929,2.90159339,0.00746252,1.02485959
-4.87143572,4.10139544,0.01606249,0.25030562,0.38156790,0.90476161,2.93001474,0.00779545,1.02548167
-4.86543272,4.13227644,0.01686482,0.25479118,0.38269024,0.90093181,2.95409729,0.00816180,1.02538866
-4.85942971,4.15964096,0.01762719,0.26029731,0.38297569,0.89771096,2.97381680,0.00856462,1.02491513
-4.85342671,4.18377178,0.01834410,0.26684480,0.38242934,0.89528108,2.98914984,0.00900664,1.02438584
-4.84742371,4.20491680,0.01901135,0.27444095,0.38106077,0.89380847,3.00007103,0.00949009,1.02410468
-4.84142071,4.22327654,0.01962620,0.28307742,0.37888306,0.89343752,3.00655203,0.01001658,1.02434491
-4.83541771,4.23899520,0.02018732,0.29272810,0.37591206,0.89428518,3.00856244,0.01058696,1.02534121
