energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
1.59379690,0.84476651,0.01603331,0.14665882,0.33554962,0.09923135,0.57898742,0.00000000,0.17425438,0.00235109
1.59979990,0.85380384,0.01775712,0.13819671,0.34236724,0.09870633,0.57965192,0.00000000,0.18530765,0.00235388
1.60580290,0.86784491,0.01965275,0.13103706,0.35062421,0.09868764,0.58112440,0.00000000,0.19799754,0.00237462
1.61180590,0.88664980,0.02171575,0.12514873,0.36018035,0.09913087,0.58306689,0.00000000,0.21236237,0.00241293
1.61780890,0.90994386,0.02393875,0.12048155,0.37088782,0.09998918,0.58516191,0.00000000,0.22842509,0.00246834
1.62381191,0.93742597,0.02631143,0.11697012,0.38259483,0.10121493,0.58712467,0.00000000,0.24618948,0.00254022
1.62981491,0.96877419,0.02882061,0.11453740,0.39514824,0.10276101,0.58871285,0.00000000,0.26563566,0.00262787
1.63581791,1.00364867,0.03145031,0.11309784,0.40839522,0.10458169,0.58973386,0.00000000,0.28671539,0.00273054
1.64182091,1.04169215,0.03418186,0.11256011,0.42218373,0.10663330,0.59004934,0.00000000,0.30934712,0.00284737
1.64782391,1.08252836,0.03699416,0.11282926,0.43636222,0.10887439,0.58957697,0.00000000,0.33341147,0.00297748
1.65382691,1.12575902,0.03986384,0.11380854,0.45077857,0.11126579,0.58828981,0.00000000,0.35874719,0.00311992
1.65982991,1.17096006,0.04276558,0.11540068,0.46527858,0.11377035,0.58621341,0.00000000,0.38514829,0.00327367
1.66583292,1.21767812,0.04567236,0.11750887,0.47970431,0.11635260,0.58342101,0.00000000,0.41236250,0.00343764
1.67183592,1.26542775,0.04855586,0.12003759,0.49389264,0.11897841,0.58002734,0.00000000,0.44009154,0.00361068
1.67783892,1.31369046,0.05138675,0.12289314,0.50767411,0.12161462,0.57618148,0.00000000,0.46799333,0.00379157
1.68384192,1.36191594,0.05413509,0.12598425,0.52087264,0.12422876,0.57205904,0.00000000,0.49568645,0.00397903
1.68984492,1.40952595,0.05677076,0.12922257,0.53330601,0.12678902,0.56785434,0.00000000,0.52275684,0.00417170
1.69584792,1.45592119,0.05926383,0.13252332,0.54478741,0.12926424,0.56377265,0.00000000,0.54876656,0.00436818
1.70185093,1.50049092,0.06158500,0.13580596,0.55512810,0.13162423,0.56002302,0.00000000,0.57326460,0.00456703
1.70785393,1.54262519,0.06370604,0.13899498,0.56414098,0.13384015,0.55681163,0.00000000,0.59579914,0.00476682
1.71385693,1.58172914,0.06560025,0.14202067,0.57164520,0.13588505,0.55433607,0.00000000,0.61593107,0.00496609
1.71985993,1.61723863,0.06724287,0.14482004,0.57747137,0.13773457,0.55278029,0.00000000,0.63324791,0.00516342
1.72586293,1.64863644,0.06861155,0.14733754,0.58146717,0.13936755,0.55231040,0.00000000,0.64737777,0.00535746
1.73186593,1.67546813,0.06968678,0.14952580,0.58350317,0.14076668,0.55307129,0.00000000,0.65800256,0.00554690
1.73786893,1.69735654,0.07045230,0.15134614,0.58347833,0.14191906,0.55518372,0.00000000,0.66486978,0.00573054
1.74387194,1.71401437,0.07089550,0.15276885,0.58132498,0.14281658,0.55874213,0.00000000,0.66780249,0.00590728
1.74987494,1.72525371,0.07100775,0.15377331,0.57701295,0.14345609,0.56381286,0.00000000,0.66670674,0.00607610
1.75587794,1.73099236,0.07078471,0.15434770,0.57055261,0.14383947,0.57043268,0.00000000,0.66157628,0.00623615
1.76188094,1.73125635,0.07022651,0.15448855,0.56199650,0.14397330,0.57860786,0.00000000,0.65249421,0.00638663
1.76788394,1.72617859,0.06933798,0.15419994,0.55143965,0.14386846,0.58831335,0.00000000,0.63963157,0.00652690
1.77388694,1.71599380,0.06812863,0.15349259,0.53901837,0.14353949,0.59949249,0.00000000,0.62324295,0.00665638
1.77988994,1.70102998,0.06661264,0.15238272,0.52490763,0.14300377,0.61205699,0.00000000,0.60365931,0.00677460
1.78589295,1.68169696,0.06480872,0.15089085,0.50931719,0.14228066,0.62588735,0.00000000,0.58127856,0.00688113
1.79189595,1.65847264,0.06273984,0.14904056,0.49248654,0.14139055,0.64083374,0.00000000,0.55655414,0.00697564
